date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-28,1000.0,1000.0,1000.0,1000.0,263545000,263545,6,1000.0,1000.0
2014-02-05,1000.0,1000.0,1000.0,1000.0,100988000,100988,1,1000.0,1000.0
2014-02-08,1000.0,1000.0,1000.0,1000.0,497000,497,1,1000.0,1000.0
2014-02-23,999.0,1000.0,999.0,999.0,108077025,108136,2,1000.0,1000.0
2014-04-14,1000.0,1000.0,1000.0,1000.0,6000000,6000,1,999.0,1000.0
2014-04-19,1000.0,1000.0,1000.0,1000.0,497000,497,1,1000.0,1000.0
2014-04-21,1000.0,1000.0,1000.0,1000.0,3000000,3000,1,1000.0,1000.0
2014-04-27,1000.0,1000.0,1000.0,1000.0,16628000,16628,1,1000.0,1000.0
2014-05-10,1000.0,1000.0,1000.0,1000.0,19654000,19654,1,1000.0,1000.0
2014-06-07,1000.0,1000.0,1000.0,1000.0,24000000,24000,2,1000.0,1000.0
2014-06-22,1000.0,1000.0,1000.0,1000.0,5000,5,1,1000.0,1000.0
2014-06-24,980.0,980.0,980.0,980.0,19600,20,1,1000.0,980.0
2014-07-07,750.0,750.0,750.0,750.0,10125000,13500,2,980.0,750.0
2014-08-12,850.0,850.0,850.0,850.0,12767000,15020,2,750.0,850.0
2014-08-17,751.0,751.0,751.0,751.0,3755000,5000,1,850.0,751.0
2014-08-23,751.0,751.0,751.0,751.0,1502000,2000,1,751.0,751.0
2014-08-30,850.0,850.0,850.0,850.0,1252050,1473,1,751.0,850.0
2014-08-31,980.0,980.0,980.0,980.0,3880800,3960,1,850.0,980.0
2014-09-09,1300.0,1300.0,1300.0,1300.0,1560000,1200,1,980.0,1300.0
2014-09-21,900.0,900.0,900.0,900.0,1071000,1190,1,1300.0,900.0
2014-09-24,900.0,900.0,900.0,900.0,1071000,1190,1,900.0,900.0
2014-10-01,901.0,901.0,901.0,901.0,4459950,4950,1,900.0,901.0
2014-10-06,1000.0,1000.0,1000.0,1000.0,21195000,21195,1,901.0,1000.0
2014-10-07,1398.0,1500.0,1398.0,1433.0,67630610,47195,4,1000.0,1500.0
2014-10-08,1500.0,1500.0,1500.0,1500.0,12900000,8600,3,1433.0,1500.0
2014-10-15,1500.0,1500.0,1500.0,1500.0,3000000,2000,1,1500.0,1500.0
2014-10-18,1300.0,1410.0,1220.0,1350.0,137416200,101770,9,1500.0,1300.0
2014-10-20,1204.0,1250.0,1200.0,1204.0,68925550,57265,5,1350.0,1250.0
2014-10-21,1250.0,1250.0,1200.0,1220.0,121187500,99350,5,1204.0,1200.0
2014-10-26,1250.0,1250.0,1160.0,1165.0,24465000,21000,3,1220.0,1161.0
2014-10-29,1161.0,1161.0,1161.0,1161.0,11017890,9490,1,1165.0,1161.0
2014-11-17,1237.0,1300.0,1237.0,1281.0,101115265,78945,6,1161.0,1300.0
2014-11-24,1200.0,1200.0,1200.0,1200.0,43620000,36350,1,1281.0,1200.0
2014-11-25,1200.0,1200.0,1200.0,1200.0,16380000,13650,2,1200.0,1200.0
2014-11-30,1260.0,1260.0,1260.0,1260.0,4971960,3946,1,1200.0,1260.0
2014-12-01,1250.0,1250.0,1250.0,1250.0,6250000,5000,1,1260.0,1250.0
2014-12-10,1000.0,1000.0,1000.0,1000.0,5000000,5000,1,1250.0,1000.0
2014-12-17,951.0,951.0,951.0,951.0,22364667,23517,1,1000.0,951.0
