date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-02-14,144.0,144.0,144.0,144.0,10000,10,2,144.0,144.0
2018-05-21,295.0,295.0,295.0,295.0,2725398000,1362699,150,144.0,295.0
2018-05-23,295.0,295.0,288.0,294.0,842461700,422047,56,295.0,288.0
2018-05-26,294.0,294.0,236.0,290.0,75575920,41560,8,294.0,236.0
2018-05-28,279.0,279.0,279.0,284.0,228225060,120754,24,290.0,279.0
2018-05-30,236.0,236.0,236.0,282.0,23772333,14867,4,284.0,236.0
2018-06-02,225.0,225.0,225.0,274.0,49928500,32740,2,282.0,225.0
2018-06-11,265.0,295.0,265.0,283.0,644263600,335702,38,274.0,295.0
2018-06-13,283.0,295.0,283.0,294.0,558147619,280301,14,283.0,295.0
2018-06-18,302.0,302.0,295.0,297.0,755704900,374978,23,294.0,295.0
2018-06-23,295.0,295.0,295.0,295.0,501452000,250726,15,297.0,295.0
2018-06-25,279.0,279.0,279.0,294.0,37800000,20000,1,295.0,279.0
2018-06-27,265.0,265.0,265.0,293.0,3007800,1671,1,294.0,265.0
2018-06-30,257.0,257.0,257.0,291.0,27481560,15794,6,293.0,257.0
2018-07-02,261.0,295.0,261.0,292.0,1086763630,549019,38,291.0,295.0
2018-07-07,292.0,292.0,292.0,292.0,13853000,7000,1,292.0,292.0
2018-07-11,274.0,274.0,274.0,290.0,46002816,24786,8,292.0,274.0
2018-07-14,290.0,290.0,274.0,280.0,5497200,2900,4,290.0,274.0
2018-07-18,273.0,273.0,273.0,273.0,6846822,3693,3,280.0,273.0
2018-08-13,293.0,293.0,293.0,274.0,10881920,5552,3,273.0,293.0
2018-08-18,299.0,299.0,299.0,299.0,400000000,200000,14,274.0,299.0
2018-08-20,299.0,299.0,299.0,299.0,11586204,5796,2,299.0,299.0
2018-08-25,299.0,299.0,299.0,299.0,7596200,3800,2,299.0,299.0
2018-09-01,299.0,299.0,299.0,299.0,75886000,37943,7,299.0,299.0
2018-09-08,279.0,284.0,279.0,282.0,583877836,309421,30,299.0,284.0
2018-09-10,282.0,300.0,282.0,295.0,357035127,181090,18,282.0,300.0
2018-09-12,312.0,312.0,312.0,312.0,33563134,16082,6,295.0,312.0
2018-09-17,314.0,314.0,314.0,314.0,5151791800,2450900,80,312.0,314.0
2018-09-22,360.0,408.0,360.0,404.0,1067900901,395157,17,314.0,408.0
2018-09-24,405.0,459.0,405.0,457.0,1140376370,373247,32,404.0,459.0
2018-09-26,504.0,628.0,504.0,531.0,18258258600,5142048,243,457.0,628.0
2018-09-29,718.0,718.0,553.0,710.0,15482897300,3261344,265,531.0,553.0
2018-10-01,655.0,655.0,655.0,655.0,419003940,95663,14,710.0,655.0
2018-10-03,596.0,596.0,486.0,532.0,1726713170,485517,22,655.0,486.0
2018-10-06,456.0,456.0,414.0,454.0,13255477950,4364419,261,532.0,414.0
2018-10-08,433.0,463.0,433.0,436.0,5105567377,1750759,103,454.0,463.0
2018-10-10,463.0,463.0,463.0,463.0,1458311300,470423,31,436.0,463.0
2018-10-13,538.0,538.0,516.0,534.0,6593609700,1845795,98,463.0,516.0
2018-10-15,479.0,479.0,479.0,479.0,45565878,14226,4,534.0,479.0
2018-10-17,478.0,478.0,449.0,464.0,1617812264,521232,56,479.0,449.0
2018-10-20,464.0,468.0,464.0,467.0,1519567916,486158,27,464.0,468.0
2018-10-22,479.0,487.0,479.0,486.0,3534683508,1087536,48,467.0,487.0
2018-10-24,490.0,490.0,490.0,490.0,7947618416,2426016,125,486.0,490.0
2018-10-27,523.0,531.0,523.0,525.0,2545994050,724963,59,490.0,531.0
2018-10-29,568.0,568.0,516.0,558.0,8113850354,2173669,106,525.0,516.0
2018-11-05,568.0,568.0,516.0,565.0,3759636288,994856,52,558.0,516.0
2018-11-10,464.0,464.0,464.0,464.0,10502500911,3386811,213,565.0,464.0
2018-11-12,464.0,464.0,463.0,464.0,151973821,49013,15,464.0,463.0
2018-11-14,463.0,463.0,449.0,450.0,672620212,223396,15,464.0,449.0
2018-11-17,475.0,475.0,448.0,462.0,328152387,106153,15,450.0,448.0
2018-11-19,448.0,448.0,448.0,448.0,31332000,10444,4,462.0,448.0
2018-11-21,448.0,448.0,448.0,448.0,276819696,92304,7,448.0,448.0
2018-11-24,448.0,448.0,448.0,448.0,2261996996,754502,49,448.0,448.0
2018-11-26,460.0,460.0,404.0,458.0,1133837080,370232,30,448.0,404.0
2018-11-28,434.0,434.0,434.0,434.0,152882200,52718,10,458.0,434.0
2018-12-03,431.0,431.0,404.0,414.0,403641510,145913,10,434.0,404.0
2018-12-05,393.0,393.0,393.0,393.0,363910470,138369,31,414.0,393.0
2018-12-08,393.0,393.0,393.0,393.0,224507320,85364,12,393.0,393.0
2018-12-12,393.0,393.0,393.0,393.0,328813120,125024,9,393.0,393.0
2018-12-17,393.0,393.0,374.0,393.0,469262620,178674,24,393.0,374.0
