date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-07-01,171.0,192.0,157.0,179.0,34363046470,27421991,5160,143.0,192.0
2012-07-02,187.0,187.0,171.0,184.0,11110947250,8620150,329,179.0,171.0
2012-07-07,178.0,200.0,149.0,193.0,184703000,137000,18,184.0,200.0
2012-07-08,193.0,237.0,181.0,196.0,2711762000,2055020,217,193.0,196.0
2012-07-09,189.0,196.0,189.0,191.0,1955029800,1516000,17,196.0,190.0
2012-07-10,191.0,201.0,191.0,194.0,1354405090,1033450,211,191.0,193.0
2012-07-11,194.0,199.0,192.0,193.0,15387684000,11806400,4726,194.0,193.0
2012-07-14,199.0,201.0,199.0,200.0,654330000,485000,93,193.0,200.0
2012-07-15,194.0,210.0,194.0,200.0,7494167741,5565781,2342,200.0,210.0
2012-07-16,210.0,210.0,200.0,206.0,708230000,510000,65,200.0,210.0
2012-07-17,216.0,216.0,216.0,216.0,267834600,183700,32,206.0,216.0
2012-07-18,227.0,227.0,226.0,227.0,2110950000,1380000,161,216.0,227.0
2012-07-22,237.0,237.0,216.0,228.0,4749306780,3087710,16,227.0,216.0
2012-07-23,217.0,224.0,217.0,218.0,523581000,356998,58,228.0,217.0
2012-07-24,207.0,207.0,207.0,207.0,414157400,297100,38,218.0,207.0
2012-07-25,198.0,213.0,196.0,203.0,308608000,225000,50,207.0,203.0
2012-07-28,208.0,211.0,208.0,210.0,16740000,11800,3,203.0,211.0
2012-07-29,215.0,215.0,200.0,204.0,27480000,20000,7,210.0,200.0
2012-07-30,207.0,207.0,207.0,207.0,5735900,4100,3,204.0,207.0
2012-07-31,211.0,211.0,197.0,198.0,28031000,21000,6,207.0,197.0
2012-08-01,206.0,206.0,206.0,206.0,1387000,1000,1,198.0,206.0
2012-08-05,195.0,195.0,195.0,195.0,65900000,50000,15,206.0,195.0
2012-08-06,186.0,186.0,186.0,186.0,63903000,51000,12,195.0,186.0
2012-08-07,184.0,193.0,184.0,185.0,127422600,102200,21,186.0,193.0
2012-08-11,193.0,193.0,193.0,193.0,190965000,146900,20,185.0,193.0
2012-08-12,198.0,202.0,198.0,202.0,2126316265,1559291,369,193.0,202.0
2012-08-14,203.0,203.0,203.0,203.0,137000000,100000,46,202.0,203.0
2012-08-21,203.0,203.0,202.0,203.0,11459142000,8384000,3,203.0,202.0
2012-08-22,201.0,203.0,201.0,202.0,17002491604,12451938,62,203.0,202.0
2012-08-25,203.0,210.0,203.0,204.0,171726370,125001,25,202.0,210.0
2012-08-27,207.0,207.0,205.0,207.0,5336665075,3824055,137,204.0,205.0
2012-09-02,206.0,206.0,206.0,206.0,62460000,45000,10,207.0,206.0
2012-09-04,205.0,209.0,205.0,207.0,439613500,315000,80,206.0,208.0
2012-09-05,209.0,209.0,209.0,209.0,239530000,170000,22,207.0,209.0
2012-09-08,211.0,211.0,211.0,211.0,142000,100,1,209.0,211.0
2012-09-15,200.0,216.0,200.0,211.0,259655500,182400,55,211.0,216.0
2012-09-17,221.0,221.0,221.0,221.0,446400000,300000,30,211.0,221.0
2012-09-18,210.0,221.0,210.0,211.0,982500000,690000,69,221.0,221.0
2012-09-25,220.0,221.0,220.0,221.0,417100000,280000,33,211.0,221.0
2012-09-26,221.0,221.0,221.0,221.0,14900000,10000,1,221.0,221.0
2012-09-29,221.0,222.0,221.0,221.0,119460050,80000,27,221.0,222.0
2012-09-30,222.0,231.0,222.0,228.0,324825000,211500,57,221.0,222.0
2012-10-01,222.0,222.0,222.0,222.0,29980000,20000,4,228.0,222.0
2012-10-03,211.0,233.0,211.0,231.0,915984500,588495,534,222.0,233.0
2012-10-06,239.0,242.0,231.0,236.0,598010000,376000,175,231.0,231.0
2012-10-07,236.0,236.0,236.0,236.0,17490000000,11000000,1366,236.0,236.0
2012-10-08,239.0,247.0,239.0,244.0,10040645000,6100000,15,236.0,244.0
2012-10-09,247.0,254.0,247.0,248.0,8358499080,5005090,3,244.0,248.0
2012-10-10,245.0,260.0,235.0,247.0,5603981500,3361900,514,248.0,248.0
2012-10-13,259.0,259.0,259.0,259.0,1767500000,1010000,111,247.0,259.0
2012-10-14,264.0,264.0,247.0,262.0,3131705000,1775000,986,259.0,264.0
2012-10-15,275.0,275.0,267.0,274.0,459780000,248500,109,262.0,267.0
2012-10-16,274.0,274.0,274.0,274.0,1712968500,926000,237,274.0,274.0
2012-10-17,264.0,282.0,264.0,279.0,504553560,268502,30,274.0,282.0
2012-10-20,286.0,286.0,286.0,286.0,1578547000,817900,83,279.0,286.0
2012-10-21,288.0,298.0,288.0,290.0,11720000,6000,4,286.0,298.0
2012-10-23,293.0,293.0,293.0,293.0,1997780000,1010000,207,290.0,293.0
2012-10-24,293.0,293.0,288.0,293.0,1193742000,603860,65,293.0,288.0
2012-10-28,285.0,285.0,285.0,285.0,38400000,20000,2,293.0,285.0
2012-10-29,282.0,282.0,282.0,282.0,171000000,90000,10,285.0,282.0
2012-11-04,268.0,268.0,268.0,268.0,18050000,10000,1,282.0,268.0
2012-11-05,268.0,274.0,268.0,274.0,7428586536,4019884,802,268.0,273.0
2012-11-07,260.0,271.0,260.0,267.0,2846959500,1582250,162,274.0,267.0
