date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-04,123.0,123.0,123.0,123.0,4287391450,2766059,7,79.0,123.0
2013-11-30,127.0,167.0,127.0,163.0,2234780000,1088690,7,123.0,159.0
2013-12-08,167.0,198.0,159.0,172.0,78979000,36490,3,163.0,159.0
2013-12-11,167.0,171.0,167.0,167.0,16531298400,7871404,28,172.0,167.0
2013-12-18,171.0,171.0,171.0,171.0,1428116000,664240,32,167.0,171.0
2013-12-22,167.0,167.0,167.0,167.0,38213700,18197,21,171.0,167.0
2013-12-24,167.0,190.0,167.0,183.0,1155002100,500001,3,167.0,190.0
2013-12-28,190.0,198.0,174.0,190.0,360402745000,150225550,8,183.0,198.0
2014-01-01,198.0,214.0,190.0,203.0,780890000,304400,6,190.0,214.0
2014-01-04,198.0,198.0,198.0,198.0,1250000000,500000,1,203.0,198.0
2014-01-05,198.0,198.0,198.0,198.0,1374650000,549860,27,198.0,198.0
2014-01-07,198.0,198.0,198.0,198.0,82200000,32880,3,198.0,198.0
2014-01-11,202.0,202.0,198.0,199.0,117075000,46630,4,198.0,198.0
2014-01-13,206.0,214.0,206.0,207.0,3380755258,1295288,17,199.0,214.0
2014-01-14,214.0,218.0,214.0,215.0,388628200,143566,8,207.0,214.0
2014-01-20,246.0,262.0,246.0,251.0,347910000,110000,5,215.0,246.0
2014-01-26,243.0,250.0,208.0,244.0,5683740560,1846572,18,251.0,247.0
2014-02-04,285.0,285.0,285.0,285.0,6820000,2200,2,244.0,285.0
2014-02-05,239.0,239.0,230.0,238.0,985410000,380000,5,285.0,231.0
2014-02-08,252.0,252.0,230.0,246.0,1087724203,405336,12,238.0,230.0
2014-02-09,221.0,221.0,211.0,217.0,609715000,258050,5,246.0,211.0
2014-02-12,209.0,220.0,203.0,216.0,454915200,193700,8,217.0,209.0
2014-02-16,202.0,203.0,202.0,202.0,2093751500,950500,10,216.0,202.0
2014-02-17,202.0,211.0,202.0,204.0,1619858720,729377,8,202.0,211.0
2014-02-18,199.0,199.0,198.0,198.0,1297000000,600000,2,204.0,198.0
2014-02-19,197.0,197.0,197.0,197.0,420346500,195510,4,198.0,197.0
2014-02-22,196.0,204.0,184.0,199.0,499925480,231034,9,197.0,204.0
2014-02-23,186.0,186.0,184.0,184.0,2169080000,1080000,8,199.0,186.0
2014-02-24,184.0,184.0,184.0,184.0,20040000,10000,1,184.0,184.0
2014-02-26,184.0,186.0,184.0,186.0,629170000,310000,4,184.0,186.0
2014-03-03,186.0,186.0,184.0,186.0,567177620,280454,6,186.0,186.0
2014-03-04,167.0,167.0,165.0,166.0,1909290000,1054000,4,186.0,167.0
2014-03-10,170.0,170.0,157.0,169.0,629363340,342390,7,166.0,166.0
2014-03-11,160.0,170.0,156.0,159.0,3730902630,2160415,16,169.0,165.0
2014-03-12,170.0,170.0,170.0,170.0,55500000,30000,1,159.0,170.0
2014-03-15,179.0,179.0,179.0,179.0,42900000,22000,1,170.0,179.0
2014-03-17,184.0,185.0,181.0,183.0,635780800,318279,5,179.0,184.0
2014-03-18,187.0,187.0,181.0,187.0,5397819760,2650010,3,183.0,184.0
2014-03-19,187.0,189.0,187.0,188.0,839415200,408880,4,187.0,187.0
2014-03-25,203.0,203.0,203.0,203.0,44200000,20000,1,188.0,203.0
2014-03-30,187.0,187.0,187.0,187.0,204000000,100000,1,203.0,187.0
2014-03-31,187.0,187.0,187.0,187.0,612000000,300000,1,187.0,187.0
2014-04-05,187.0,188.0,187.0,187.0,1224066000,600000,9,187.0,187.0
