date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-12-23,12.0,12.0,12.0,12.0,67470789800,45404300,522,8.0,12.0
2009-12-28,12.0,12.0,12.0,12.0,385038300,250350,94,12.0,12.0
2009-12-29,12.0,12.0,12.0,12.0,382964400,243152,57,12.0,12.0
2009-12-30,13.0,13.0,13.0,12.0,171410400,106400,43,12.0,13.0
2010-01-02,13.0,13.0,13.0,13.0,278783604,171243,50,12.0,13.0
2010-01-03,13.0,13.0,13.0,13.0,219394830,132645,41,13.0,13.0
2010-01-04,13.0,13.0,13.0,13.0,28589238350,17068202,4289,13.0,13.0
2010-01-05,14.0,14.0,14.0,14.0,8896017565,5133305,777,13.0,14.0
2010-01-06,14.0,14.0,14.0,14.0,6499648309,3625013,269,14.0,14.0
2010-01-09,15.0,15.0,15.0,15.0,8201186875,4421125,270,14.0,15.0
2010-01-10,15.0,15.0,14.0,15.0,57862020697,30531848,4873,15.0,14.0
2010-01-11,14.0,15.0,14.0,15.0,51582678990,26712549,2327,15.0,15.0
2010-01-12,16.0,16.0,15.0,16.0,39621535757,19864191,1798,15.0,16.0
2010-01-13,16.0,16.0,16.0,16.0,28402057062,13768849,985,16.0,16.0
2010-01-16,16.0,17.0,16.0,17.0,59709655098,28111449,701,16.0,17.0
2010-01-17,17.0,17.0,17.0,17.0,10997328716,5031686,626,17.0,17.0
2010-01-18,17.0,17.0,17.0,17.0,5943953100,2816127,275,17.0,17.0
2010-01-19,16.0,16.0,16.0,16.0,1404065834,688943,54,17.0,16.0
2010-01-20,15.0,16.0,15.0,16.0,11551182136,5818584,741,16.0,16.0
2010-01-23,15.0,16.0,15.0,16.0,45507258981,22578141,1295,16.0,16.0
2010-01-24,16.0,16.0,16.0,16.0,14081840143,6805501,495,16.0,16.0
2010-01-25,16.0,16.0,16.0,16.0,4187612444,2082454,207,16.0,16.0
2010-01-26,16.0,16.0,16.0,16.0,4372745022,2185048,282,16.0,16.0
2010-01-27,16.0,16.0,16.0,16.0,3325735700,1662529,146,16.0,16.0
2010-01-30,16.0,16.0,15.0,15.0,3486378176,1787078,161,16.0,15.0
2010-01-31,15.0,16.0,15.0,16.0,16469600490,8162896,427,15.0,16.0
2010-02-01,16.0,16.0,16.0,16.0,2436705976,1183245,170,16.0,16.0
2010-02-02,16.0,16.0,16.0,16.0,1197940094,580580,88,16.0,16.0
2010-02-03,16.0,16.0,16.0,16.0,1786037417,866670,112,16.0,16.0
2010-02-06,16.0,16.0,16.0,16.0,3739220436,1822632,181,16.0,16.0
2010-02-07,16.0,16.0,16.0,16.0,999381129,487355,77,16.0,16.0
2010-02-08,16.0,17.0,16.0,17.0,18564335870,8793885,517,16.0,17.0
2010-02-09,17.0,17.0,17.0,17.0,16153477097,7398571,292,17.0,17.0
2010-02-10,18.0,18.0,18.0,18.0,28960681282,12820622,591,17.0,18.0
2010-02-14,18.0,18.0,17.0,18.0,1935076888,840023,122,18.0,18.0
2010-02-16,19.0,19.0,18.0,19.0,23891407459,10030619,351,18.0,19.0
2010-02-17,18.0,19.0,18.0,19.0,43014098919,17453564,643,19.0,19.0
2010-02-20,20.0,20.0,19.0,20.0,5914497441,2360991,208,19.0,19.0
2010-02-21,19.0,20.0,19.0,19.0,3201890410,1318058,177,20.0,19.0
2010-02-22,19.0,19.0,18.0,18.0,5440053631,2313610,209,19.0,18.0
2010-02-23,18.0,19.0,18.0,18.0,5906571688,2587295,106,18.0,18.0
2010-02-24,18.0,18.0,18.0,18.0,25065338750,10613179,312,18.0,18.0
2010-02-27,19.0,19.0,19.0,19.0,27057993248,11071192,476,18.0,19.0
2010-02-28,20.0,20.0,20.0,20.0,28825954227,11398163,376,19.0,20.0
2010-03-01,20.0,20.0,20.0,20.0,30673921793,11727281,458,20.0,20.0
2010-03-02,21.0,21.0,20.0,20.0,14648031228,5660091,334,20.0,21.0
2010-03-03,20.0,21.0,20.0,21.0,23364538815,8730214,311,20.0,21.0
2010-03-06,21.0,22.0,21.0,22.0,35221926234,12720261,417,21.0,22.0
2010-03-07,22.0,22.0,22.0,22.0,46459097850,16216090,593,22.0,22.0
2010-03-08,23.0,23.0,23.0,23.0,2574085121,869596,171,22.0,23.0
2010-03-09,24.0,24.0,24.0,24.0,582618683,190241,44,23.0,24.0
2010-03-10,24.0,24.0,23.0,24.0,2226382800,722462,124,24.0,23.0
2010-03-13,23.0,23.0,23.0,23.0,1331993775,447729,44,24.0,23.0
2010-03-14,22.0,23.0,22.0,22.0,2583342394,898664,105,23.0,22.0
2010-03-15,22.0,22.0,22.0,22.0,3690765710,1324179,99,22.0,22.0
2010-03-16,21.0,22.0,21.0,21.0,2634296616,977147,102,22.0,21.0
2010-04-13,21.0,21.0,20.0,20.0,3429858869,1311403,118,21.0,20.0
2010-04-14,20.0,20.0,20.0,20.0,142167688,56317,17,20.0,20.0
2010-04-17,20.0,20.0,20.0,20.0,976390,389,1,20.0,20.0
2010-04-18,20.0,21.0,20.0,20.0,2056913121,811684,123,20.0,21.0
2010-04-19,21.0,21.0,21.0,21.0,5352382992,2041336,95,20.0,21.0
2010-04-20,21.0,21.0,21.0,21.0,5994221572,2209444,83,21.0,21.0
2010-04-21,22.0,22.0,22.0,22.0,57841084597,20609756,671,21.0,22.0
2010-04-24,23.0,23.0,21.0,22.0,1595055016,567113,89,22.0,22.0
2010-04-25,21.0,22.0,21.0,21.0,809979344,297757,41,22.0,21.0
2010-04-26,21.0,22.0,21.0,21.0,1334990889,496854,47,21.0,22.0
2010-04-27,22.0,22.0,21.0,21.0,242312101,88820,26,21.0,21.0
2010-04-28,21.0,21.0,21.0,21.0,294605692,110795,23,21.0,21.0
2010-05-01,22.0,22.0,21.0,21.0,499175373,182050,32,21.0,22.0
2010-05-02,22.0,22.0,20.0,21.0,712384877,262257,56,21.0,20.0
2010-05-03,21.0,22.0,21.0,22.0,9444255366,3373681,179,21.0,22.0
2010-05-04,23.0,23.0,23.0,23.0,8130986501,2808059,130,22.0,23.0
2010-05-05,23.0,23.0,23.0,23.0,9747125804,3256669,174,23.0,23.0
2010-05-08,24.0,24.0,23.0,23.0,961954332,330174,63,23.0,23.0
2010-05-09,22.0,22.0,22.0,22.0,1459856276,516306,61,23.0,22.0
2010-05-10,22.0,22.0,21.0,22.0,1205276666,434962,58,22.0,22.0
