date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-02-26,51782.0,51782.0,51782.0,51782.0,5476944659936,99988036,1426091,945.0,51782.0
2025-03-01,53327.0,53327.0,53327.0,53327.0,45266091680,802448,4668,51782.0,53327.0
2025-03-02,54924.0,54924.0,54924.0,54924.0,47143211500,811415,5471,53327.0,54924.0
2025-03-03,56569.0,56569.0,56569.0,56399.0,42852501120,716118,10486,54924.0,56569.0
2025-03-04,58082.0,58082.0,58082.0,58082.0,49281884160,802114,11419,56399.0,58082.0
2025-03-05,59821.0,59821.0,59821.0,59821.0,79605164240,1257983,18640,58082.0,59821.0
2025-03-08,61608.0,61608.0,61608.0,61608.0,382269167910,5865723,68197,59821.0,61608.0
2025-03-09,63451.0,63451.0,63451.0,63451.0,574690568320,8562136,114347,61608.0,63451.0
2025-03-10,65352.0,65352.0,64624.0,65352.0,2225857459950,32199357,181278,63451.0,65352.0
2025-03-11,65352.0,66013.0,63395.0,63782.0,1934366573270,28670543,210787,65352.0,63395.0
2025-03-12,62865.0,65626.0,62033.0,63395.0,909245168760,13557904,131540,63782.0,62922.0
2025-03-15,64094.0,65295.0,64094.0,65266.0,479121417380,6939454,43021,63395.0,65295.0
2025-03-16,65125.0,65125.0,63310.0,63622.0,671320033140,9975505,60698,65266.0,63461.0
2025-03-17,62723.0,63612.0,61854.0,62534.0,432509141770,6538566,50914,63622.0,63111.0
2025-03-18,60663.0,60767.0,60663.0,60663.0,357628022330,5573112,11756,62534.0,60663.0
2025-03-25,61069.0,62478.0,61069.0,62345.0,65228955030,989099,6749,60663.0,62478.0
2025-03-26,64208.0,64208.0,63035.0,63905.0,319344975070,4724211,22115,62345.0,63347.0
2025-03-29,63243.0,65389.0,63243.0,64425.0,266826322790,3915103,16038,63905.0,65229.0
2025-03-30,65408.0,66354.0,64472.0,66221.0,86113633210,1229275,7220,64425.0,66354.0
2025-04-05,66183.0,68017.0,66183.0,66968.0,344948754450,4869109,14923,66221.0,66855.0
2025-04-06,66836.0,66836.0,65418.0,66108.0,252584091630,3611761,15368,66968.0,65890.0
2025-04-07,65645.0,68084.0,65229.0,67176.0,313688906870,4414569,11622,66108.0,68084.0
2025-04-08,69190.0,69190.0,69190.0,69190.0,124677554820,1703478,9204,67176.0,69190.0
2025-04-09,71260.0,71260.0,69577.0,71156.0,535560859020,7114908,9725,69190.0,71260.0
2025-04-12,72319.0,73283.0,71260.0,73170.0,128962710680,1666182,15399,71156.0,73283.0
2025-04-13,75363.0,75363.0,75363.0,75363.0,101547814320,1273806,3900,73170.0,75363.0
2025-04-14,77622.0,77622.0,77622.0,77622.0,137938805970,1679927,6422,75363.0,77622.0
2025-04-15,79948.0,79948.0,78416.0,79910.0,1138043512060,13463616,10167,77622.0,79948.0
2025-04-16,82131.0,82245.0,77518.0,78520.0,376138595920,4528696,6628,79910.0,77518.0
2025-04-19,76232.0,79881.0,76166.0,77093.0,606425808150,7436344,15425,78520.0,77717.0
2025-04-20,79390.0,79399.0,77849.0,79361.0,355975800220,4240396,6052,77093.0,79399.0
2025-04-21,80354.0,81621.0,76989.0,78265.0,465984171420,5628228,8611,79361.0,76989.0
2025-04-22,75920.0,75920.0,75920.0,76781.0,40668341520,506392,399,78265.0,75920.0
2025-04-23,74484.0,74484.0,74484.0,76100.0,18761868750,238125,351,76781.0,74484.0
2025-04-26,73822.0,75533.0,73822.0,73869.0,797690826920,10208805,9178,76100.0,73822.0
2025-04-27,71657.0,73973.0,71657.0,71676.0,327331839730,4317024,6670,73869.0,71676.0
2025-04-28,71931.0,73822.0,71931.0,73756.0,79276795610,1016132,4026,71676.0,73822.0
2025-04-29,75968.0,75968.0,75968.0,75968.0,64179112200,798645,2705,73756.0,75968.0
2025-04-30,78246.0,78246.0,75183.0,77282.0,301538126770,3688663,5563,75968.0,77140.0
2025-05-03,77424.0,79409.0,75013.0,77736.0,257542305870,3132097,5714,77282.0,78463.0
2025-05-04,79220.0,80061.0,79172.0,80014.0,260518070340,3078102,3084,77736.0,80061.0
2025-05-05,82405.0,82405.0,81299.0,82368.0,470051746200,5394969,5306,80014.0,82405.0
2025-05-06,84372.0,84372.0,79900.0,80496.0,195727284030,2298621,2482,82368.0,79900.0
2025-05-07,80505.0,82245.0,78889.0,80468.0,220749527460,2593476,6994,80496.0,79503.0
2025-05-10,78463.0,79409.0,78057.0,78520.0,54627931930,661138,674,80468.0,78057.0
2025-05-11,77575.0,80165.0,76166.0,76573.0,121603975870,1501298,3845,78520.0,76270.0
2025-05-12,78870.0,78870.0,77565.0,78681.0,171481305010,2060250,3411,76573.0,78180.0
2025-05-13,78274.0,79078.0,77272.0,77849.0,107365583750,1303844,7850,78681.0,77906.0
2025-05-14,77395.0,78738.0,77140.0,77972.0,159573363760,1934641,3640,77849.0,77868.0
2025-05-17,77802.0,78057.0,75646.0,76478.0,137006362280,1693606,4040,77972.0,77518.0
2025-05-18,77518.0,78766.0,76658.0,78151.0,101702183490,1230195,3049,76478.0,78766.0
2025-05-19,78690.0,79456.0,76157.0,77773.0,116322404900,1413974,3611,78151.0,76686.0
2025-05-20,75448.0,80099.0,75448.0,78057.0,368187690990,4459339,2898,77773.0,80099.0
2025-05-21,80392.0,80392.0,80392.0,80392.0,280667886880,3300422,3411,78057.0,80392.0
2025-05-24,82803.0,82803.0,82803.0,82803.0,153207873320,1749148,1417,80392.0,82803.0
2025-05-25,85279.0,85279.0,80420.0,84296.0,825582791760,9258774,5685,82803.0,83634.0
2025-05-26,85260.0,86820.0,83757.0,85998.0,305063423310,3353590,3697,84296.0,86499.0
2025-05-27,86971.0,87907.0,84069.0,85242.0,267433080520,2965810,4704,85998.0,84854.0
2025-05-28,84013.0,85242.0,83521.0,84580.0,115841255510,1294689,2755,85242.0,84703.0
2025-05-31,87113.0,87113.0,87113.0,87113.0,194400745800,2109612,1355,84580.0,87113.0
2025-06-01,89722.0,89722.0,89722.0,89722.0,115355796930,1215423,1422,87113.0,89722.0
2025-06-02,92407.0,92407.0,92407.0,92407.0,165548813500,1693594,1621,89722.0,92407.0
2025-06-03,95177.0,95177.0,95177.0,95177.0,129344401440,1284708,1904,92407.0,95177.0
2025-06-07,98032.0,98032.0,92322.0,97124.0,2542258230270,24744539,12195,95177.0,98032.0
2025-06-08,99611.0,100036.0,98145.0,99734.0,325220169590,3082729,3138,97124.0,100036.0
2025-06-09,102721.0,102721.0,102721.0,102721.0,188187384720,1731892,1694,99734.0,102721.0
2025-06-10,105793.0,105793.0,105793.0,105793.0,159355027870,1423957,1165,102721.0,105793.0
2025-06-11,108960.0,108960.0,106247.0,108232.0,1227105721340,10718113,5915,105793.0,106786.0
2025-06-28,104990.0,104990.0,104990.0,104990.0,143047612260,1288021,283,108232.0,104990.0
2025-06-29,101842.0,101842.0,101842.0,101842.0,156789164700,1455390,242,104990.0,101842.0
2025-06-30,98788.0,98788.0,98788.0,98788.0,175466054500,1679101,266,101842.0,98788.0
2025-07-01,95829.0,95829.0,95829.0,95829.0,90465933210,892433,268,98788.0,95829.0
2025-07-02,92956.0,98703.0,92956.0,94052.0,1343151591370,13500143,8920,95829.0,98703.0
2025-07-07,96869.0,96869.0,96869.0,95706.0,48251381010,470883,1801,94052.0,96869.0
2025-07-08,98571.0,98571.0,98571.0,98571.0,483213143230,4634249,1661,95706.0,98571.0
2025-07-09,101520.0,101520.0,98836.0,101388.0,1154018052020,10759688,4962,98571.0,101520.0
2025-07-12,104423.0,104423.0,104423.0,102749.0,39548435640,358034,1360,101388.0,104423.0
2025-07-13,105831.0,105831.0,105831.0,105831.0,198140864750,1769905,1100,102749.0,105831.0
2025-07-14,108998.0,108998.0,108951.0,108998.0,822171046790,7130713,2842,105831.0,108998.0
2025-07-15,110132.0,112259.0,106729.0,111030.0,809554524550,6892741,6199,108998.0,112259.0
2025-07-16,114358.0,114358.0,113441.0,114358.0,634328329520,5243843,2730,111030.0,114358.0
2025-07-19,117695.0,117780.0,115341.0,117723.0,463105381900,3718861,2554,114358.0,117780.0
2025-07-20,121212.0,121250.0,119690.0,121070.0,345666160760,2698956,2644,117723.0,121250.0
2025-07-26,107000.0,107400.0,103790.0,105170.0,179413648050,1705982,1077,121070.0,103790.0
2025-07-27,102020.0,108320.0,102020.0,106300.0,2044053010590,19228507,6829,105170.0,107010.0
2025-07-28,106310.0,109000.0,103120.0,104130.0,519643839580,4990236,3256,106300.0,103120.0
2025-07-29,101010.0,101010.0,101010.0,103370.0,19559980440,193644,373,104130.0,101010.0
2025-07-30,100270.0,100270.0,100270.0,100270.0,86497614690,862647,656,103370.0,100270.0
