date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-10-17,870.0,870.0,870.0,870.0,825517440000,82560000,1384,87.0,870.0
2016-10-18,914.0,914.0,914.0,914.0,20517490662,1954419,419,870.0,914.0
2016-10-19,959.0,959.0,959.0,950.0,3470563272,314876,282,914.0,959.0
2016-10-22,997.0,997.0,997.0,997.0,70183776960,6126912,406,950.0,997.0
2016-10-23,1047.0,1047.0,1047.0,1047.0,162206140491,13486833,2465,997.0,1047.0
2016-10-24,1099.0,1099.0,1099.0,1099.0,17624381852,1395659,1614,1047.0,1099.0
2016-10-25,1154.0,1154.0,1154.0,1154.0,5881175299,443561,448,1099.0,1154.0
2016-10-26,1212.0,1212.0,1212.0,1212.0,237843361541,17085221,13368,1154.0,1212.0
2016-10-29,1272.0,1272.0,1272.0,1272.0,27474464008,1879624,2017,1212.0,1272.0
2016-10-30,1336.0,1336.0,1336.0,1336.0,8670042098,564934,879,1272.0,1336.0
2016-10-31,1403.0,1403.0,1349.0,1381.0,503204961486,31708781,22714,1336.0,1352.0
2016-11-01,1359.0,1390.0,1327.0,1361.0,193394216641,12365860,14682,1381.0,1342.0
2016-11-02,1345.0,1411.0,1345.0,1388.0,108492435176,6803752,6163,1361.0,1385.0
2016-11-05,1393.0,1457.0,1376.0,1430.0,159305449384,9699634,6677,1388.0,1457.0
2016-11-06,1479.0,1501.0,1455.0,1487.0,158224606304,9264897,5426,1430.0,1480.0
2016-11-07,1497.0,1519.0,1458.0,1483.0,67571317366,3965995,3262,1487.0,1463.0
2016-11-08,1455.0,1480.0,1419.0,1451.0,81397130620,4884195,3167,1483.0,1445.0
2016-11-09,1385.0,1407.0,1378.0,1382.0,154968491437,9761980,3809,1451.0,1388.0
2016-11-12,1414.0,1418.0,1358.0,1384.0,41448847624,2607534,1605,1382.0,1370.0
2016-11-13,1381.0,1413.0,1370.0,1393.0,33079892681,2066467,1728,1384.0,1390.0
2016-11-14,1400.0,1418.0,1382.0,1393.0,24490599665,1530032,1168,1393.0,1384.0
2016-11-15,1401.0,1401.0,1366.0,1380.0,29335666800,1850282,1210,1393.0,1384.0
2016-11-16,1375.0,1392.0,1354.0,1372.0,28185080217,1787763,1295,1380.0,1375.0
2016-11-19,1358.0,1392.0,1358.0,1379.0,20449599520,1291132,1176,1372.0,1379.0
2016-11-21,1371.0,1393.0,1357.0,1368.0,12215567864,777387,662,1379.0,1358.0
2016-11-22,1375.0,1386.0,1340.0,1365.0,36992174083,2358784,1527,1368.0,1383.0
2016-11-23,1383.0,1383.0,1349.0,1358.0,14641420887,938336,632,1365.0,1363.0
2016-11-26,1325.0,1357.0,1308.0,1328.0,25057657486,1642250,1179,1358.0,1315.0
2016-11-27,1340.0,1382.0,1332.0,1354.0,24389763670,1568345,913,1328.0,1351.0
2016-11-29,1365.0,1367.0,1333.0,1350.0,19026943065,1226676,698,1354.0,1347.0
