date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-01-18,3465.0,3465.0,3465.0,3465.0,1702393290000,170239329,1135829,347.0,3465.0
2023-01-21,3638.0,3638.0,3638.0,3468.0,3424102500,326105,2201,3465.0,3638.0
2023-01-22,3640.0,3640.0,3640.0,3640.0,17214565850,1622485,2879,3468.0,3640.0
2023-01-23,3822.0,3822.0,3822.0,3822.0,19224064060,1725679,3574,3640.0,3822.0
2023-01-24,4011.0,4011.0,4011.0,4011.0,52317051920,4475368,13732,3822.0,4011.0
2023-01-25,4210.0,4210.0,4210.0,4210.0,51759927510,4218413,14759,4011.0,4210.0
2023-01-28,4419.0,4419.0,4419.0,4419.0,87763019120,6813899,22110,4210.0,4419.0
2023-01-29,4638.0,4638.0,4638.0,4638.0,103642035120,7665831,34154,4419.0,4638.0
2023-01-30,4868.0,4868.0,4868.0,4868.0,108444563370,7642323,24448,4638.0,4868.0
2023-01-31,5108.0,5108.0,5108.0,5108.0,182706806930,12270437,42426,4868.0,5108.0
2023-02-01,5362.0,5362.0,5362.0,5362.0,106200879660,6794682,24343,5108.0,5362.0
2023-02-06,5630.0,5630.0,5630.0,5630.0,534704785620,32584082,74562,5362.0,5630.0
2023-02-07,5911.0,5911.0,5911.0,5911.0,556399775000,32292500,67340,5630.0,5911.0
2023-02-08,6206.0,6206.0,5863.0,6162.0,3072633490410,171048951,320856,5911.0,6206.0
2023-02-12,6268.0,6278.0,5901.0,6107.0,678646259330,38136680,88682,6162.0,6175.0
2023-02-13,6175.0,6275.0,5987.0,6090.0,325423959260,18334430,44388,6107.0,6038.0
2023-02-14,6055.0,6055.0,5788.0,5846.0,424149963240,24893710,36774,6090.0,5791.0
2023-02-15,5668.0,6014.0,5599.0,5819.0,275791847290,16257666,23173,5846.0,5897.0
2023-02-19,5870.0,6035.0,5688.0,5784.0,173287307680,10279688,21268,5819.0,5709.0
2023-02-20,5726.0,6072.0,5726.0,6021.0,252270641620,14370814,10247,5784.0,6072.0
2023-02-21,6319.0,6319.0,6120.0,6292.0,578058484790,31520279,10599,6021.0,6162.0
2023-02-22,6175.0,6206.0,6035.0,6141.0,179887223510,10051852,9061,6292.0,6151.0
2023-02-25,6278.0,6446.0,6278.0,6436.0,258027086560,13755902,6823,6141.0,6446.0
2023-02-26,6748.0,6755.0,6508.0,6693.0,467873570570,23980412,10904,6436.0,6755.0
2023-02-27,6776.0,6892.0,6488.0,6714.0,182560813050,9329690,7863,6693.0,6680.0
2023-02-28,6776.0,6776.0,6518.0,6666.0,109080242970,5613187,7000,6714.0,6663.0
2023-03-01,6659.0,6663.0,6354.0,6498.0,175487564720,9263687,6067,6666.0,6415.0
2023-03-04,6361.0,6549.0,6361.0,6512.0,71466757650,3765662,4597,6498.0,6494.0
2023-03-05,6453.0,6604.0,6453.0,6512.0,82466267280,4346024,4013,6512.0,6505.0
2023-03-06,6587.0,6834.0,6587.0,6810.0,143111441260,7208145,2866,6512.0,6834.0
2023-03-07,7150.0,7150.0,7016.0,7150.0,336906499400,16166936,2835,6810.0,7150.0
2023-03-11,7506.0,7506.0,7249.0,7452.0,330422530660,15212853,6084,7150.0,7331.0
2023-03-12,7225.0,7266.0,7084.0,7146.0,153254402770,7355908,8946,7452.0,7198.0
2023-03-13,7205.0,7472.0,7084.0,7235.0,96568922540,4578432,13926,7146.0,7177.0
2023-03-14,7064.0,7273.0,7064.0,7153.0,176546208220,8468813,30209,7235.0,7239.0
2023-03-15,7331.0,7510.0,7273.0,7486.0,141113525490,6468590,3445,7153.0,7510.0
2023-03-18,7685.0,7860.0,7668.0,7836.0,248604249970,10886853,4138,7486.0,7860.0
2023-03-19,8203.0,8227.0,7898.0,8175.0,117219944770,4919652,4079,7836.0,8227.0
2023-03-25,8474.0,8508.0,7843.0,8069.0,207561053080,8825932,5598,8175.0,7973.0
2023-03-26,7853.0,8097.0,7668.0,7826.0,151947582290,6660144,5451,8069.0,7699.0
2023-03-28,8037.0,8217.0,7857.0,8109.0,224341326080,9574227,3945,7826.0,8213.0
2023-03-29,8224.0,8514.0,8224.0,8417.0,156672921810,6441212,3907,8109.0,8511.0
2023-04-03,8532.0,8532.0,8064.0,8352.0,126550231070,5245273,5916,8417.0,8307.0
2023-04-04,8307.0,8511.0,8120.0,8255.0,212025907070,8890429,6069,8352.0,8192.0
2023-04-05,8192.0,8359.0,8099.0,8279.0,156835841240,6555968,7127,8255.0,8341.0
2023-04-08,8445.0,8691.0,8352.0,8642.0,212755920000,8520511,3510,8279.0,8649.0
2023-04-09,8656.0,8802.0,8487.0,8660.0,152891756160,6111745,3444,8642.0,8584.0
2023-04-10,8594.0,8777.0,8265.0,8424.0,239439930910,9839050,4065,8660.0,8324.0
2023-04-11,8341.0,8604.0,8220.0,8442.0,83447303920,3421792,2834,8424.0,8549.0
2023-04-15,8722.0,8860.0,8584.0,8808.0,163399651200,6420021,2812,8442.0,8860.0
2023-04-16,9051.0,9248.0,8833.0,9162.0,81511194790,3079108,1686,8808.0,9248.0
2023-04-17,9501.0,9618.0,9162.0,9563.0,235382645060,8518709,2715,9162.0,9618.0
2023-04-18,9764.0,10041.0,9525.0,9719.0,279402032830,9950643,4185,9563.0,9535.0
2023-04-19,9518.0,9591.0,9359.0,9438.0,185035555000,6786295,4851,9719.0,9445.0
2023-04-24,9580.0,9684.0,9341.0,9435.0,80727700110,2961225,2573,9438.0,9504.0
2023-04-25,9553.0,9791.0,9224.0,9483.0,147617528370,5386707,2735,9435.0,9241.0
2023-04-26,9345.0,9570.0,9172.0,9369.0,113393421060,4188544,2532,9483.0,9276.0
2023-04-29,9279.0,9428.0,9068.0,9341.0,179657295260,6656512,3261,9369.0,9428.0
2023-04-30,9369.0,9691.0,9369.0,9594.0,108257423290,3905440,2528,9341.0,9667.0
2023-05-01,9757.0,9760.0,9276.0,9598.0,131770662310,4751867,2518,9594.0,9504.0
2023-05-02,9691.0,9726.0,9449.0,9573.0,127730127240,4618369,2888,9598.0,9515.0
2023-05-03,9535.0,9691.0,9286.0,9397.0,138910766290,5117226,3386,9573.0,9352.0
2023-05-06,9362.0,9688.0,9362.0,9521.0,103199393450,3751330,2710,9397.0,9449.0
2023-05-07,9380.0,9691.0,9047.0,9193.0,312005983020,11747253,4259,9521.0,9047.0
2023-05-08,8739.0,8947.0,8736.0,8757.0,82930955310,3277833,1346,9193.0,8736.0
2023-05-09,8324.0,9172.0,8324.0,8843.0,128585095740,5032115,3253,8757.0,9168.0
2023-05-10,9272.0,9276.0,8469.0,8864.0,74795383480,2920842,2159,8843.0,8860.0
