date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-06-28,26411.0,27731.0,26411.0,27053.0,326003480500,1768153,1938,147.0,27731.0
2020-06-29,28405.0,28405.0,28405.0,28405.0,169598004120,876068,1332,27053.0,28405.0
2020-06-30,29824.0,29824.0,29824.0,29149.0,28894628560,142156,266,28405.0,29824.0
2020-07-01,30606.0,30606.0,30606.0,30096.0,36795276000,176400,329,29149.0,30606.0
2020-07-04,31600.0,31600.0,31600.0,31600.0,99761106960,463208,627,30096.0,31600.0
2020-07-05,33179.0,33179.0,33179.0,33179.0,73270416470,324019,370,31600.0,33179.0
2020-07-06,34837.0,34837.0,34837.0,34101.0,32150396300,135410,268,33179.0,34837.0
2020-07-07,35806.0,35806.0,35806.0,35751.0,57601085230,236041,305,34101.0,35806.0
2020-07-08,37538.0,37538.0,34343.0,36844.0,567725424390,2260901,5007,35751.0,36535.0
2020-07-11,37122.0,38686.0,35654.0,37260.0,463122407150,1823734,5018,36844.0,38686.0
2020-07-12,39122.0,39122.0,39122.0,38287.0,35305278190,132413,302,37260.0,39122.0
2020-07-13,40200.0,40200.0,40200.0,39945.0,56972223140,207943,391,38287.0,40200.0
2020-07-14,41942.0,41942.0,41942.0,41942.0,223447229900,781694,1608,39945.0,41942.0
2020-07-15,44038.0,44038.0,42565.0,44032.0,877812504630,2925023,7781,41942.0,44038.0
2020-07-18,44018.0,46233.0,41832.0,44916.0,734481396790,2399349,7800,44032.0,46233.0
2020-07-22,47161.0,47161.0,47161.0,47161.0,118303452300,368065,850,44916.0,47161.0
2020-07-25,49519.0,49519.0,49519.0,49519.0,88642423480,262652,350,47161.0,49519.0
2020-07-26,51994.0,51994.0,51994.0,51838.0,79681035240,224859,335,49519.0,51994.0
2020-07-27,54430.0,54430.0,54430.0,52958.0,38443326720,103632,314,51838.0,54430.0
2020-07-28,55605.0,55605.0,55605.0,54482.0,52374411940,138202,356,52958.0,55605.0
2020-07-29,57206.0,57206.0,57206.0,56132.0,56655022320,145314,466,54482.0,57206.0
2020-08-01,58937.0,58937.0,58937.0,58013.0,64624688480,160886,344,56132.0,58937.0
2020-08-02,55113.0,60912.0,55113.0,59738.0,59344560560,142957,380,58013.0,60912.0
2020-08-03,62724.0,62724.0,62724.0,62351.0,89805816730,210077,417,59738.0,62724.0
2020-08-04,65468.0,65468.0,65468.0,65394.0,104580689340,234386,363,62351.0,65468.0
2020-08-05,68663.0,68663.0,62131.0,68163.0,1585962179360,3413918,12804,65394.0,68663.0
2020-09-16,64756.0,64756.0,64756.0,64756.0,542865412260,1230039,5070,68163.0,64756.0
2020-09-19,61519.0,61519.0,61519.0,61519.0,146101050960,348457,1895,64756.0,61519.0
2020-09-20,58444.0,58444.0,58444.0,60607.0,26765909040,67197,622,61519.0,58444.0
2020-09-21,57577.0,57577.0,57577.0,60098.0,14946504490,38089,417,60607.0,57577.0
2020-09-22,57094.0,57094.0,57094.0,59057.0,30556815360,78528,523,60098.0,57094.0
2020-09-23,56105.0,56105.0,56105.0,57631.0,41853785280,109456,792,59057.0,56105.0
2020-09-26,54751.0,54751.0,54751.0,57082.0,17047357750,45685,361,57631.0,54751.0
2020-09-27,54228.0,54228.0,54228.0,56887.0,6083081810,16459,174,57082.0,54228.0
2020-09-28,54044.0,54044.0,54044.0,56754.0,4132662600,11220,127,56887.0,54044.0
2020-09-29,53916.0,53916.0,53916.0,56379.0,11648114540,31699,308,56754.0,53916.0
2020-09-30,53561.0,53561.0,53561.0,55543.0,26008004880,71247,458,56379.0,53561.0
2020-10-03,52767.0,52767.0,52767.0,53978.0,48666570120,135324,792,55543.0,52767.0
2020-10-04,51279.0,51279.0,51279.0,53222.0,23480835140,67186,517,53978.0,51279.0
