date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-08,8418.0,8418.0,8418.0,8418.0,1200000000,300000,1,2104.0,8418.0
2014-03-11,2104.0,2104.0,2104.0,2104.0,250000000,250000,1,8418.0,2104.0
2014-04-16,41037.0,41037.0,41037.0,41037.0,39000000,2000,1,2104.0,41037.0
2014-05-26,41037.0,41037.0,41037.0,41037.0,594750000,30500,2,41037.0,41037.0
2014-06-18,41037.0,41037.0,41037.0,41037.0,19500000,1000,1,41037.0,41037.0
2014-10-01,45450.0,45450.0,45450.0,45450.0,1777500000,225000,1,41037.0,45450.0
2015-04-18,57531.0,57531.0,57531.0,57531.0,6260000000,626000,2,45450.0,57531.0
2015-05-17,86297.0,86297.0,86297.0,86297.0,18780000000,1252000,2,57531.0,86297.0
2015-10-07,86297.0,86297.0,86297.0,86297.0,1490000000,100000,1,86297.0,86297.0
2015-11-01,86297.0,86297.0,86297.0,86297.0,745000000,50000,1,86297.0,86297.0
2016-03-16,44596.0,44596.0,44596.0,44596.0,4458300000,579000,1,86297.0,44596.0
2016-08-15,44596.0,44596.0,44596.0,44596.0,5700000000,750000,1,44596.0,44596.0
2018-04-10,41903.0,41903.0,41903.0,41903.0,5250000000,750000,15,44596.0,41903.0
2018-05-06,40137.0,40137.0,40137.0,40137.0,27718470000,4134000,84,41903.0,40137.0
2020-11-21,41418.0,41418.0,41418.0,40137.0,290000,1,1,40137.0,41418.0
2020-11-21,41418.0,41418.0,41418.0,40137.0,290000,1,1,40137.0,41418.0
2021-02-01,40137.0,40137.0,40137.0,40137.0,5120250,15,1,40137.0,40137.0
2021-02-01,40137.0,40137.0,40137.0,40137.0,5120250,15,1,40137.0,40137.0
2021-05-11,39135.0,39135.0,39135.0,40132.0,247091600,1015,1,40137.0,39135.0
2021-05-11,39130.0,39130.0,39130.0,40128.0,247091600,1015,1,40132.0,39130.0
2022-01-23,38122.0,38122.0,38122.0,40128.0,5172250,85,1,40128.0,38122.0
2022-01-23,38122.0,38122.0,38122.0,40128.0,5172250,85,1,40128.0,38122.0
2022-03-28,38566.0,38566.0,38566.0,40128.0,20592390,397,2,40128.0,38566.0
2022-03-28,38566.0,38566.0,38566.0,40128.0,20592390,397,2,40128.0,38566.0
2022-12-19,38122.0,38122.0,38122.0,39862.0,3676328000,106870,3,40128.0,38122.0
2022-12-19,37868.0,37868.0,37868.0,39598.0,3676328000,106870,3,39862.0,37868.0
2022-12-20,37626.0,37626.0,37626.0,39454.0,1992621120,58332,1,39598.0,37626.0
2022-12-20,37490.0,37490.0,37490.0,39311.0,1992621120,58332,1,39454.0,37490.0
2022-12-24,37348.0,37348.0,37348.0,38937.0,4627815500,136675,4,39311.0,37348.0
2022-12-24,36992.0,36992.0,36992.0,38565.0,4627815500,136675,4,38937.0,36992.0
2022-12-25,36641.0,36641.0,36641.0,38203.0,4757327820,134274,3,38565.0,36641.0
2022-12-25,36297.0,36297.0,36297.0,37845.0,4757327820,134274,3,38203.0,36297.0
2022-12-28,35961.0,35961.0,35961.0,37845.0,9872500,275,1,37845.0,35961.0
2022-12-28,35961.0,35961.0,35961.0,37845.0,9872500,275,1,37845.0,35961.0
2023-01-01,35962.0,35962.0,35962.0,37415.0,5770434900,164166,3,37845.0,35962.0
2023-01-01,35554.0,35554.0,35554.0,36990.0,5770434900,164166,3,37415.0,35554.0
