date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-11,40.0,40.0,40.0,40.0,154980,140,2,0.0,40.0
2001-05-30,72.0,72.0,72.0,72.0,23800000,11900,2,40.0,72.0
2001-08-01,76.0,76.0,76.0,76.0,2954700,1407,2,72.0,76.0
2001-08-27,163.0,290.0,145.0,145.0,2149702400,345500,112,76.0,145.0
2001-08-29,152.0,152.0,152.0,152.0,4200000,1000,1,145.0,152.0
2001-09-01,160.0,160.0,160.0,160.0,4410000,1000,1,152.0,160.0
2001-09-02,168.0,168.0,168.0,168.0,4630000,1000,1,160.0,168.0
2001-09-03,176.0,176.0,176.0,176.0,4861000,1000,4,168.0,176.0
2001-09-10,185.0,185.0,185.0,185.0,3246144,636,1,176.0,185.0
2001-09-12,194.0,194.0,194.0,194.0,5359000,1000,5,185.0,194.0
2001-09-16,204.0,204.0,204.0,204.0,6188600,1100,5,194.0,204.0
2001-09-17,214.0,214.0,214.0,214.0,5907000,1000,1,204.0,214.0
2001-09-19,225.0,225.0,225.0,225.0,6202000,1000,1,214.0,225.0
2001-09-24,236.0,236.0,236.0,236.0,6512000,1000,2,225.0,236.0
2001-09-30,242.0,242.0,242.0,242.0,3337000,500,2,236.0,242.0
2001-10-02,248.0,248.0,248.0,248.0,172190160,25174,33,242.0,248.0
2001-10-08,254.0,254.0,254.0,254.0,11098413,1583,1,248.0,254.0
2001-10-10,260.0,260.0,260.0,260.0,9528636,1326,5,254.0,260.0
2001-10-13,260.0,260.0,254.0,260.0,356550180,49680,35,260.0,260.0
2001-10-14,260.0,261.0,254.0,261.0,25668870,3585,15,260.0,261.0
2001-10-16,261.0,261.0,261.0,261.0,7192000,1000,2,261.0,261.0
2001-10-17,267.0,267.0,267.0,267.0,14520870,1970,5,261.0,267.0
2001-10-21,274.0,274.0,274.0,274.0,12072890,1598,2,267.0,274.0
2001-10-22,277.0,277.0,277.0,277.0,8560860,1122,2,274.0,277.0
2001-10-23,279.0,279.0,279.0,279.0,7701000,1000,1,277.0,279.0
2001-10-28,279.0,279.0,279.0,279.0,2773080,360,2,279.0,279.0
2001-10-29,282.0,282.0,279.0,279.0,180110886,23162,11,279.0,279.0
2001-10-31,279.0,279.0,279.0,279.0,2310900,300,1,279.0,279.0
2001-11-05,279.0,279.0,279.0,279.0,23120000,3000,2,279.0,279.0
2001-11-06,279.0,279.0,279.0,279.0,11790180,1530,1,279.0,279.0
2001-11-07,279.0,279.0,279.0,279.0,16722020,2170,2,279.0,279.0
2001-11-10,277.0,277.0,277.0,277.0,104244875,13625,30,279.0,277.0
2001-11-11,279.0,280.0,279.0,280.0,114468340,14840,2,277.0,280.0
