date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-12,1771.0,1771.0,1771.0,1771.0,79664812500,53287500,5500,1185.0,1771.0
2023-03-13,1719.0,1719.0,1719.0,1719.0,28932980628,19940028,457,1771.0,1719.0
2023-03-14,1668.0,1668.0,1668.0,1683.0,12955682432,9201479,225,1719.0,1668.0
2023-03-15,1634.0,1634.0,1634.0,1637.0,17255334607,12512933,314,1683.0,1634.0
2023-03-18,1589.0,1589.0,1589.0,1589.0,19664440092,14664012,404,1637.0,1589.0
2023-03-19,1544.0,1597.0,1541.0,1549.0,662279172863,506168837,18807,1589.0,1557.0
2023-03-25,1540.0,1596.0,1507.0,1567.0,211347194136,159715736,5945,1549.0,1549.0
2023-03-26,1541.0,1613.0,1521.0,1592.0,81456924877,60606463,1530,1567.0,1613.0
2023-03-27,1592.0,1640.0,1579.0,1615.0,82783474628,60723720,2216,1592.0,1640.0
2023-03-28,1662.0,1662.0,1662.0,1662.0,30804377434,21956078,706,1615.0,1662.0
2023-03-29,1712.0,1712.0,1662.0,1711.0,168496471004,116726283,2899,1662.0,1712.0
2023-04-03,1762.0,1762.0,1712.0,1762.0,121146899307,81486563,2000,1711.0,1762.0
2023-04-04,1814.0,1814.0,1814.0,1814.0,118276334831,77254301,1385,1762.0,1814.0
2023-04-05,1867.0,1867.0,1867.0,1867.0,21994731648,13956048,611,1814.0,1867.0
2023-04-08,1923.0,1923.0,1815.0,1911.0,655302127177,406143925,10083,1867.0,1873.0
2023-04-09,1869.0,1968.0,1867.0,1962.0,171420868546,103486959,2781,1911.0,1968.0
2023-04-10,2020.0,2020.0,1924.0,2009.0,278515409471,164266700,4485,1962.0,1990.0
2023-04-11,1972.0,2068.0,1972.0,2065.0,125696806269,72105915,1824,2009.0,2068.0
2023-04-15,2126.0,2126.0,2003.0,2072.0,318912514821,182310514,4744,2065.0,2035.0
2023-04-16,2061.0,2134.0,2010.0,2051.0,431238805540,249098745,6495,2072.0,2134.0
2023-04-17,2111.0,2111.0,2111.0,2109.0,19796706666,11109263,370,2051.0,2111.0
2023-04-18,2171.0,2171.0,2162.0,2171.0,164016831856,89480432,2011,2109.0,2171.0
