date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-08-26,27.0,27.0,27.0,27.0,301000,1000,1,0.0,27.0
2003-09-03,29.0,29.0,29.0,29.0,3310000,10000,4,27.0,29.0
2003-09-06,32.0,32.0,32.0,32.0,3640000,10000,1,29.0,32.0
2003-09-08,35.0,35.0,35.0,35.0,4000000,10000,1,32.0,35.0
2003-09-09,39.0,39.0,39.0,39.0,4400000,10000,1,35.0,39.0
2003-09-13,43.0,43.0,43.0,43.0,4840000,10000,1,39.0,43.0
2003-09-21,47.0,53.0,47.0,47.0,1317174608,2198441,17,43.0,47.0
2003-10-08,52.0,52.0,52.0,52.0,4680000,8000,8,47.0,52.0
2003-10-22,57.0,57.0,52.0,52.0,456020,710,4,52.0,52.0
2003-10-27,57.0,57.0,57.0,57.0,3515400,5400,1,52.0,57.0
2003-10-28,60.0,60.0,58.0,58.0,348030,510,2,57.0,58.0
2003-10-29,60.0,60.0,60.0,60.0,3699000,5400,4,58.0,60.0
2003-11-01,63.0,63.0,61.0,61.0,366380,510,2,60.0,61.0
2003-11-04,64.0,64.0,61.0,61.0,1176620,1630,2,61.0,61.0
2003-11-05,64.0,64.0,61.0,61.0,80180,110,2,61.0,61.0
2003-11-09,64.0,64.0,63.0,63.0,2203160,3010,4,61.0,63.0
2003-11-15,95.0,95.0,63.0,63.0,2344305920,2170657,2,63.0,63.0
2003-11-17,66.0,66.0,64.0,64.0,908430,1210,3,63.0,64.0
2003-11-18,67.0,167.0,64.0,64.0,2060353830,1084463,3,64.0,64.0
2003-11-23,67.0,67.0,67.0,67.0,4554000,6000,7,64.0,67.0
2003-12-03,70.0,70.0,67.0,67.0,87190,110,2,67.0,67.0
2003-12-08,70.0,70.0,67.0,67.0,803650,1010,2,67.0,67.0
2003-12-13,71.0,71.0,68.0,68.0,930377,1159,3,67.0,68.0
2004-06-16,75.0,75.0,75.0,75.0,1497960,1760,3,68.0,75.0
2004-06-20,79.0,79.0,79.0,79.0,6429600,7200,3,75.0,79.0
2004-06-21,83.0,83.0,82.0,82.0,5631290,6010,4,79.0,82.0
2004-06-22,86.0,86.0,86.0,86.0,7020000,7200,3,82.0,86.0
2004-06-23,90.0,90.0,86.0,86.0,292108,286,2,86.0,86.0
2004-06-26,90.0,90.0,86.0,86.0,55840,55,2,86.0,86.0
2004-06-27,90.0,90.0,90.0,90.0,7178220,7010,3,86.0,90.0
2004-06-28,94.0,94.0,94.0,94.0,7521710,7010,2,90.0,94.0
2004-06-29,99.0,99.0,95.0,95.0,516540,460,2,94.0,95.0
2004-06-30,99.0,99.0,99.0,99.0,7900250,7010,3,95.0,99.0
2004-07-03,104.0,104.0,104.0,104.0,8278790,7010,3,99.0,104.0
2004-07-05,109.0,109.0,109.0,109.0,8671350,7010,3,104.0,109.0
2004-07-06,114.0,114.0,114.0,114.0,9084940,7010,3,109.0,114.0
2004-07-07,120.0,120.0,120.0,120.0,10703756,7882,4,114.0,120.0
2004-07-11,125.0,125.0,120.0,120.0,1438670,1010,2,120.0,120.0
2004-07-14,126.0,126.0,121.0,121.0,599180,418,2,120.0,121.0
2004-07-18,127.0,127.0,126.0,126.0,10150822,7059,5,121.0,126.0
2004-07-19,133.0,133.0,133.0,133.0,10850400,7200,2,126.0,133.0
2004-07-24,134.0,326.0,134.0,326.0,17125197170,4629010,6,133.0,326.0
2004-07-25,140.0,140.0,137.0,137.0,6289652,3951,3,326.0,137.0
2004-07-27,144.0,144.0,143.0,143.0,9826220,6010,5,137.0,143.0
2004-08-02,150.0,150.0,150.0,150.0,12261600,7200,3,143.0,150.0
2004-08-03,157.0,157.0,157.0,157.0,182456460,102045,40,150.0,157.0
2004-08-04,165.0,165.0,165.0,165.0,15016000,8000,1,157.0,165.0
2004-08-08,173.0,173.0,173.0,173.0,20391470,10351,9,165.0,173.0
2004-08-11,173.0,173.0,173.0,173.0,1548420,786,1,173.0,173.0
2004-10-02,176.0,176.0,176.0,176.0,15608000,7804,6,173.0,176.0
2004-10-03,185.0,185.0,185.0,185.0,85564080,40775,11,176.0,185.0
2004-10-04,194.0,194.0,187.0,187.0,3520178,1599,3,185.0,187.0
2004-10-05,196.0,196.0,188.0,188.0,2247340,1010,2,187.0,188.0
2004-10-10,197.0,197.0,197.0,197.0,15478350,6910,9,188.0,197.0
2004-10-13,207.0,207.0,199.0,199.0,3750384,1599,2,197.0,199.0
2004-10-17,209.0,209.0,207.0,207.0,13742096,5796,2,199.0,207.0
2004-10-18,217.0,217.0,216.0,216.0,15560310,6310,3,207.0,216.0
2004-10-19,227.0,227.0,227.0,227.0,77892429,30273,14,216.0,227.0
2004-10-23,238.0,238.0,227.0,227.0,390385,145,2,227.0,227.0
2004-10-24,238.0,238.0,232.0,232.0,8986775,3325,5,227.0,232.0
2004-10-25,243.0,243.0,233.0,233.0,1690358,612,3,232.0,233.0
