date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-03-15,231.0,231.0,231.0,231.0,246200000000,492400000,5036,463.0,231.0
2017-09-13,162.0,162.0,162.0,162.0,2128000000,3040000,307,231.0,162.0
2017-09-16,162.0,162.0,162.0,162.0,651721000,931030,174,162.0,162.0
2017-09-18,139.0,139.0,139.0,139.0,411649800,686083,29,162.0,139.0
2017-09-20,155.0,155.0,155.0,155.0,218719490,326447,28,139.0,155.0
2017-09-23,141.0,141.0,141.0,141.0,189100000,310000,23,155.0,141.0
2017-09-25,150.0,150.0,141.0,142.0,1473431041,2399809,116,141.0,141.0
2017-09-27,144.0,144.0,141.0,144.0,290331700,467700,28,142.0,141.0
2017-10-02,144.0,144.0,139.0,139.0,236694000,394000,13,144.0,139.0
2017-10-04,139.0,139.0,139.0,139.0,37111750,61750,5,139.0,139.0
2017-10-07,139.0,139.0,139.0,139.0,11297000,18800,7,139.0,139.0
2017-10-09,139.0,139.0,139.0,139.0,178644245,297245,24,139.0,139.0
2017-10-11,139.0,139.0,139.0,139.0,357166686,595086,32,139.0,139.0
2017-10-14,139.0,139.0,139.0,139.0,43920000,73200,4,139.0,139.0
2017-10-16,139.0,139.0,139.0,139.0,214200000,357000,18,139.0,139.0
2017-10-18,139.0,139.0,132.0,132.0,2953200000,5180000,179,139.0,132.0
2017-10-21,130.0,130.0,130.0,130.0,174301120,311252,10,132.0,130.0
2017-10-23,130.0,130.0,130.0,130.0,122349920,218482,11,130.0,130.0
2017-10-25,127.0,127.0,127.0,127.0,264888750,480868,32,130.0,127.0
2017-10-28,127.0,127.0,127.0,127.0,440782368,799968,54,127.0,127.0
2017-10-30,127.0,127.0,127.0,127.0,40589966,73666,9,127.0,127.0
2017-11-01,127.0,127.0,123.0,127.0,472374900,862318,39,127.0,123.0
2017-11-04,127.0,127.0,127.0,127.0,23290000,42500,4,127.0,127.0
2017-11-06,127.0,127.0,127.0,127.0,88000000,160000,11,127.0,127.0
2017-11-08,137.0,142.0,137.0,139.0,8791490778,14597737,509,127.0,142.0
2017-11-11,155.0,155.0,155.0,155.0,8227833640,12279692,654,139.0,155.0
2017-11-13,156.0,159.0,156.0,157.0,3363944710,4967263,293,155.0,159.0
2017-11-15,161.0,169.0,161.0,162.0,6537316420,9317690,439,157.0,169.0
2017-11-18,167.0,167.0,157.0,165.0,3093319341,4334820,250,162.0,157.0
2017-11-20,161.0,161.0,152.0,156.0,879774101,1304467,71,165.0,152.0
2017-11-22,156.0,156.0,143.0,151.0,892798580,1364767,73,156.0,143.0
2017-11-25,144.0,146.0,144.0,144.0,2621151972,4220132,234,151.0,146.0
2017-11-29,147.0,147.0,140.0,142.0,956698491,1556439,74,144.0,140.0
2017-12-02,134.0,143.0,134.0,138.0,405597340,679323,46,142.0,143.0
2017-12-04,141.0,141.0,141.0,141.0,1398520770,2292657,156,138.0,141.0
2017-12-09,141.0,141.0,141.0,141.0,562596900,922290,73,141.0,141.0
2017-12-11,145.0,145.0,143.0,145.0,440908312,703328,55,141.0,143.0
2017-12-13,144.0,144.0,136.0,138.0,522421342,878194,30,145.0,136.0
2017-12-16,142.0,142.0,139.0,139.0,833717265,1386271,49,138.0,139.0
2017-12-18,139.0,139.0,139.0,139.0,680104822,1131622,67,139.0,139.0
2017-12-20,139.0,139.0,138.0,139.0,309501571,515896,44,139.0,138.0
2017-12-23,137.0,139.0,137.0,137.0,563390110,951729,56,139.0,139.0
2017-12-25,137.0,139.0,137.0,137.0,636424576,1073528,63,137.0,139.0
2017-12-27,147.0,147.0,139.0,140.0,723713310,1199346,40,137.0,139.0
2017-12-30,135.0,135.0,135.0,135.0,18980000,32500,4,140.0,135.0
2018-01-01,135.0,139.0,135.0,135.0,688539966,1182913,79,135.0,139.0
2018-01-03,134.0,134.0,134.0,134.0,429206380,740011,56,135.0,134.0
2018-01-06,134.0,134.0,134.0,134.0,154070040,265638,19,134.0,134.0
2018-01-08,143.0,143.0,138.0,143.0,14775392,23994,6,134.0,138.0
2018-01-10,134.0,134.0,134.0,134.0,17370000,30000,6,143.0,134.0
2018-01-13,134.0,134.0,134.0,134.0,98892161,170559,9,134.0,134.0
2018-01-15,134.0,137.0,134.0,134.0,382243940,658973,41,134.0,137.0
2018-01-17,138.0,138.0,138.0,138.0,430135605,718395,49,134.0,138.0
2018-01-20,138.0,138.0,137.0,138.0,175833030,295674,25,138.0,137.0
2018-01-22,134.0,134.0,134.0,134.0,217500000,375000,12,138.0,134.0
2018-01-24,134.0,134.0,132.0,134.0,309036240,533228,47,134.0,132.0
2018-01-27,133.0,133.0,133.0,133.0,78099835,135355,7,134.0,133.0
2018-01-29,133.0,133.0,118.0,121.0,132524949,253437,21,133.0,118.0
2018-01-31,121.0,129.0,121.0,122.0,214883831,408809,26,121.0,129.0
2018-02-03,133.0,133.0,133.0,133.0,84749183,146879,15,122.0,133.0
2018-02-05,133.0,133.0,133.0,133.0,53155270,92605,11,133.0,133.0
2018-02-07,130.0,130.0,130.0,130.0,187809440,335374,15,133.0,130.0
2018-02-10,130.0,130.0,127.0,129.0,266404000,476525,34,130.0,127.0
2018-02-12,133.0,133.0,125.0,128.0,162731100,292700,14,129.0,125.0
2018-02-14,128.0,128.0,127.0,127.0,220301300,400526,19,128.0,127.0
2018-02-17,127.0,128.0,127.0,127.0,56146368,102084,12,127.0,128.0
2018-02-19,127.0,127.0,127.0,127.0,12650000,23000,4,127.0,127.0
2018-02-21,127.0,127.0,127.0,127.0,410198800,745816,51,127.0,127.0
2018-02-24,127.0,132.0,127.0,127.0,99896950,181249,13,127.0,132.0
2018-02-26,127.0,133.0,127.0,131.0,170271952,300648,17,127.0,133.0
2018-02-28,131.0,131.0,130.0,131.0,69784214,123329,11,131.0,130.0
2018-03-03,131.0,131.0,131.0,131.0,97908378,172983,11,131.0,131.0
2018-03-05,131.0,131.0,131.0,131.0,104766034,185099,17,131.0,131.0
2018-03-07,131.0,131.0,131.0,131.0,510012412,901082,74,131.0,131.0
2018-03-10,131.0,131.0,131.0,131.0,367648130,649555,45,131.0,131.0
2018-03-12,131.0,131.0,131.0,131.0,174627980,308530,26,131.0,131.0
2018-03-14,123.0,125.0,123.0,124.0,107200000,200000,9,131.0,125.0
2018-03-17,125.0,125.0,125.0,125.0,75852358,139949,5,124.0,125.0
2018-03-19,124.0,124.0,124.0,124.0,91656000,171000,7,125.0,124.0
2018-03-26,132.0,139.0,132.0,135.0,325069761,557798,36,124.0,139.0
2018-03-28,139.0,141.0,139.0,139.0,257468196,428957,31,135.0,141.0
2018-04-04,141.0,141.0,141.0,141.0,407998941,669949,70,139.0,141.0
2018-04-07,141.0,141.0,138.0,141.0,258326652,424428,30,141.0,138.0
2018-04-09,140.0,140.0,132.0,135.0,237100937,407191,21,141.0,132.0
2018-04-11,135.0,135.0,135.0,135.0,43250748,74314,7,135.0,135.0
2018-04-16,135.0,135.0,135.0,135.0,437536542,751781,37,135.0,135.0
2018-04-18,135.0,135.0,135.0,135.0,217668000,374000,21,135.0,135.0
2018-04-21,139.0,139.0,139.0,139.0,161212200,268687,22,135.0,139.0
2018-04-23,138.0,138.0,130.0,138.0,463431720,776280,39,139.0,130.0
2018-04-25,138.0,138.0,130.0,130.0,6351941763,11320437,242,138.0,130.0
2018-04-28,136.0,136.0,126.0,129.0,542075680,971615,46,130.0,126.0
2018-04-30,127.0,127.0,123.0,123.0,5997925750,11310675,390,129.0,123.0
2018-05-05,123.0,123.0,123.0,123.0,8025116900,15141730,564,123.0,123.0
2018-05-07,123.0,123.0,123.0,123.0,78021830,147211,16,123.0,123.0
2018-05-09,123.0,123.0,123.0,123.0,408845710,771407,54,123.0,123.0
2018-05-12,123.0,123.0,123.0,123.0,7002360,13212,3,123.0,123.0
2018-05-14,123.0,127.0,123.0,125.0,898795790,1654143,54,123.0,127.0
2018-05-19,125.0,125.0,125.0,125.0,282497379,520253,39,125.0,125.0
2018-05-21,125.0,125.0,125.0,125.0,720460545,1326815,60,125.0,125.0
2018-05-23,125.0,125.0,125.0,125.0,172457886,317602,20,125.0,125.0
2018-05-26,125.0,125.0,125.0,125.0,153553884,282788,18,125.0,125.0
2018-05-28,125.0,125.0,121.0,123.0,44581788,84000,13,125.0,121.0
2018-05-30,123.0,123.0,123.0,123.0,613129770,1154670,68,123.0,123.0
2018-06-02,123.0,123.0,123.0,123.0,395028954,743934,32,123.0,123.0
2018-06-09,123.0,123.0,120.0,122.0,87363875,165625,15,123.0,120.0
2018-06-11,120.0,120.0,120.0,120.0,1040302036,2000625,155,122.0,120.0
2018-06-13,120.0,123.0,120.0,121.0,554495540,1062422,88,120.0,123.0
2018-06-18,123.0,131.0,123.0,124.0,371497447,691147,44,121.0,131.0
2018-06-27,140.0,140.0,140.0,140.0,13090000,23800,2,124.0,140.0
2018-06-30,140.0,140.0,133.0,135.0,9899480,18749,5,140.0,133.0
2018-07-02,135.0,135.0,135.0,135.0,762847536,1444787,65,135.0,135.0
2018-07-04,143.0,143.0,143.0,143.0,495877760,885496,49,135.0,143.0
2018-07-07,143.0,143.0,140.0,143.0,1753908000,3132550,139,143.0,140.0
2018-07-11,143.0,143.0,143.0,143.0,9178400,16390,2,143.0,143.0
2018-07-14,133.0,133.0,133.0,133.0,49452000,95100,10,143.0,133.0
2018-07-16,133.0,133.0,133.0,133.0,4451439720,8560461,356,133.0,133.0
2018-07-18,133.0,133.0,130.0,133.0,225661720,434311,39,133.0,130.0
2018-07-21,132.0,132.0,131.0,131.0,86161647,167113,17,133.0,131.0
2018-07-23,132.0,132.0,127.0,132.0,1763816000,3412000,128,131.0,127.0
2018-07-25,127.0,127.0,127.0,127.0,4116150000,8232300,172,132.0,127.0
2018-07-28,127.0,127.0,127.0,127.0,711704000,1423408,59,127.0,127.0
2018-07-30,127.0,127.0,127.0,127.0,46463400,93300,10,127.0,127.0
2018-08-01,127.0,127.0,127.0,127.0,4272954465,8563035,357,127.0,127.0
2018-08-04,127.0,127.0,120.0,125.0,9770600,19900,5,127.0,120.0
2018-08-06,125.0,125.0,125.0,125.0,322243791,656301,27,125.0,125.0
2018-08-08,125.0,125.0,125.0,125.0,204044052,417268,13,125.0,125.0
2018-08-11,125.0,125.0,125.0,125.0,209459727,428343,25,125.0,125.0
2018-08-13,122.0,122.0,122.0,122.0,1213763487,2533953,59,125.0,122.0
2018-08-15,122.0,125.0,122.0,123.0,118115687,245753,24,122.0,125.0
2018-08-18,123.0,123.0,123.0,123.0,181809823,377983,33,123.0,123.0
2018-08-20,120.0,120.0,120.0,120.0,14484460,30818,7,123.0,120.0
2018-08-25,125.0,153.0,125.0,138.0,1062658359,1968831,104,120.0,153.0
2018-08-27,153.0,155.0,153.0,153.0,2550468920,4246340,235,138.0,155.0
2018-08-29,166.0,166.0,166.0,155.0,113226750,174195,8,153.0,166.0
2018-09-01,171.0,171.0,156.0,163.0,2258674727,3520952,250,155.0,158.0
2018-09-02,158.0,163.0,147.0,150.0,1046398628,1772060,126,163.0,152.0
2018-09-03,152.0,155.0,138.0,142.0,1047274284,1876190,127,150.0,141.0
2018-09-04,141.0,156.0,136.0,154.0,1724730545,2848121,187,142.0,156.0
2018-09-05,153.0,170.0,153.0,168.0,10208482249,15472057,999,154.0,170.0
2018-09-08,185.0,185.0,184.0,185.0,24876899246,34289497,1724,168.0,185.0
2018-09-09,196.0,203.0,190.0,198.0,17434335034,22471966,1575,185.0,194.0
2018-09-10,202.0,202.0,184.0,192.0,10394504231,13771706,1072,198.0,192.0
2018-09-11,198.0,212.0,191.0,203.0,13347403981,16721805,1366,192.0,212.0
2018-09-12,223.0,223.0,219.0,223.0,14643580589,16705554,1116,203.0,223.0
2018-09-15,246.0,246.0,224.0,243.0,22765972164,23883451,1616,223.0,229.0
2018-09-16,237.0,237.0,219.0,223.0,15463674297,17719485,1003,243.0,230.0
2018-09-17,233.0,244.0,225.0,236.0,7670683047,8292177,692,223.0,232.0
2018-09-18,240.0,242.0,226.0,236.0,9217463452,9958025,794,236.0,236.0
2018-09-22,240.0,242.0,231.0,237.0,9611577464,10343252,833,236.0,235.0
2018-09-23,237.0,242.0,228.0,232.0,13401203641,14762258,1087,237.0,229.0
2018-09-24,230.0,232.0,220.0,225.0,9984120535,11337081,926,232.0,225.0
2018-09-25,226.0,242.0,226.0,235.0,16810636268,18224411,1269,225.0,239.0
2018-09-26,245.0,259.0,242.0,255.0,21247284590,21225143,1563,235.0,259.0
2018-09-29,281.0,281.0,281.0,281.0,5168831670,4694670,223,255.0,281.0
2018-09-30,309.0,309.0,309.0,309.0,1001533330,827030,35,281.0,309.0
2018-10-02,278.0,278.0,250.0,250.0,3381575928,3443576,154,309.0,250.0
2018-10-03,242.0,275.0,242.0,268.0,23838257925,22669496,1584,250.0,275.0
2018-10-06,295.0,295.0,242.0,267.0,22713639469,21665777,1474,268.0,247.0
2018-10-07,242.0,268.0,241.0,250.0,15264703159,15597026,966,267.0,241.0
2018-10-08,231.0,242.0,225.0,231.0,11606997398,12826864,818,250.0,233.0
2018-10-09,231.0,254.0,231.0,249.0,15714510481,16062883,1004,231.0,235.0
2018-10-10,252.0,252.0,225.0,229.0,7119522626,7936983,538,249.0,225.0
2018-10-13,217.0,228.0,206.0,207.0,2273655200,2800284,210,229.0,206.0
2018-10-14,186.0,214.0,186.0,195.0,5419357368,7105176,532,207.0,196.0
2018-10-15,213.0,214.0,204.0,214.0,5940961945,7088045,415,195.0,214.0
2018-10-16,227.0,235.0,219.0,232.0,12238423117,13428587,972,214.0,235.0
2018-10-17,226.0,245.0,217.0,234.0,6955985047,7584032,403,232.0,227.0
2018-10-20,234.0,250.0,234.0,245.0,8463077343,8800674,704,234.0,245.0
