date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-01-09,233.0,233.0,232.0,233.0,3103122500,2387305,928,179.0,233.0
2013-01-13,238.0,242.0,233.0,237.0,5177135528,3910580,5514,233.0,238.0
2013-01-14,237.0,249.0,236.0,242.0,3931119749,2914653,1917,237.0,242.0
2013-01-15,243.0,253.0,242.0,244.0,2924323150,2146147,519,242.0,242.0
2013-01-16,241.0,244.0,236.0,243.0,1085758000,801720,231,244.0,244.0
2013-01-19,233.0,233.0,233.0,233.0,51960000,40000,4,243.0,233.0
2013-01-20,224.0,224.0,221.0,223.0,57252000,46000,17,233.0,221.0
2013-01-21,212.0,212.0,212.0,212.0,311555551,263299,63,223.0,212.0
2013-01-22,210.0,215.0,201.0,209.0,239861664,205969,55,212.0,215.0
2013-01-23,202.0,219.0,202.0,210.0,9361000,8000,4,209.0,219.0
2013-01-26,204.0,205.0,204.0,204.0,39904480,34960,10,210.0,205.0
2013-01-27,204.0,213.0,204.0,204.0,396785000,348040,78,204.0,213.0
2013-01-28,204.0,204.0,204.0,204.0,3420000,3000,1,204.0,204.0
2013-01-30,204.0,204.0,195.0,202.0,55939692,49612,13,204.0,195.0
2013-02-02,206.0,206.0,206.0,206.0,5799450,5043,2,202.0,206.0
2013-02-03,209.0,209.0,201.0,206.0,279740348,243677,73,206.0,206.0
2013-02-04,206.0,215.0,206.0,206.0,511694900,445100,602,206.0,215.0
2013-02-05,206.0,206.0,206.0,206.0,4427500,3850,3,206.0,206.0
2013-02-06,213.0,213.0,210.0,213.0,60064229,50561,28,206.0,210.0
2013-02-09,206.0,212.0,206.0,206.0,263697196,229300,411,213.0,206.0
2013-02-11,203.0,206.0,203.0,206.0,154004501,134000,30,206.0,203.0
2013-02-12,201.0,201.0,196.0,196.0,24326400,22220,8,206.0,196.0
2013-02-13,186.0,199.0,186.0,187.0,83394609,80000,45,196.0,186.0
2013-02-16,186.0,188.0,186.0,186.0,67970357,65277,16,187.0,186.0
2013-02-17,181.0,181.0,180.0,180.0,72939385,72477,15,186.0,180.0
2013-02-18,189.0,189.0,181.0,181.0,10018460,9910,6,180.0,181.0
2013-02-19,181.0,181.0,179.0,180.0,128587046,128100,33,181.0,179.0
2013-02-20,179.0,181.0,179.0,180.0,89586600,89233,17,180.0,179.0
2013-02-24,172.0,172.0,171.0,172.0,81817790,85330,16,180.0,171.0
2013-02-25,163.0,163.0,163.0,163.0,1824000,2000,1,172.0,163.0
2013-02-26,156.0,156.0,155.0,155.0,64957551,74853,15,163.0,155.0
2013-02-27,155.0,155.0,155.0,155.0,86800000,100000,100,155.0,155.0
2013-03-02,163.0,163.0,163.0,163.0,163160100,179100,21,155.0,163.0
2013-03-03,171.0,171.0,155.0,158.0,220150000,250000,32,163.0,155.0
2013-03-04,150.0,150.0,150.0,150.0,902286000,1078000,154,158.0,150.0
2013-03-05,143.0,157.0,143.0,143.0,567688551,710890,429,150.0,143.0
2013-03-06,139.0,150.0,136.0,138.0,1003376655,1301259,2537,143.0,150.0
2013-03-09,145.0,145.0,145.0,145.0,2766780,3420,2,138.0,145.0
2013-03-10,152.0,152.0,146.0,150.0,24874583,29657,6,145.0,147.0
2013-03-12,158.0,158.0,150.0,153.0,12612500,14800,4,150.0,157.0
2013-03-13,153.0,160.0,153.0,153.0,4796400,5600,3,153.0,160.0
2013-03-16,161.0,161.0,161.0,161.0,34034200,37900,7,153.0,161.0
2013-03-17,169.0,169.0,169.0,169.0,94200,100,1,161.0,169.0
2013-03-18,177.0,177.0,161.0,169.0,188500,200,2,169.0,161.0
2013-03-25,177.0,177.0,177.0,177.0,9988700,10100,2,169.0,177.0
2013-03-26,186.0,186.0,177.0,182.0,14253967,14001,7,177.0,184.0
2013-03-27,173.0,173.0,173.0,173.0,116160,120,2,182.0,173.0
2013-03-30,165.0,165.0,165.0,165.0,92000,100,1,173.0,165.0
2013-03-31,157.0,165.0,157.0,157.0,103339763,117719,45,165.0,158.0
2013-04-06,157.0,165.0,157.0,157.0,26613520,30311,6,157.0,157.0
2013-04-07,157.0,157.0,157.0,157.0,90431000,103000,22,157.0,157.0
2013-04-08,165.0,165.0,165.0,165.0,194385880,211289,45,157.0,165.0
2013-04-09,173.0,173.0,173.0,173.0,9660000,10000,2,165.0,173.0
2013-04-10,165.0,165.0,165.0,165.0,18587959,20161,7,173.0,165.0
2013-04-13,165.0,173.0,165.0,171.0,40119200,41900,12,165.0,173.0
2013-04-15,177.0,177.0,172.0,175.0,3726680,3822,3,171.0,172.0
2013-04-16,172.0,175.0,172.0,173.0,17430000,18000,7,175.0,175.0
2013-04-17,165.0,182.0,165.0,172.0,205706000,214700,257,173.0,182.0
2013-04-20,163.0,179.0,163.0,164.0,124040000,135500,45,172.0,179.0
2013-04-21,172.0,172.0,172.0,172.0,21120000,22000,7,164.0,172.0
2013-04-23,181.0,181.0,172.0,179.0,138288000,138500,159,172.0,172.0
2013-04-24,179.0,188.0,179.0,183.0,45992000,45000,15,179.0,188.0
2013-04-27,192.0,192.0,192.0,192.0,1600964010,1493443,14901,183.0,192.0
2013-04-28,189.0,189.0,183.0,189.0,11851488,11252,5,192.0,183.0
2013-04-29,179.0,179.0,179.0,179.0,20020000,20000,3,189.0,179.0
2013-05-04,170.0,170.0,170.0,170.0,4755000,5000,1,179.0,170.0
2013-05-05,162.0,162.0,162.0,162.0,56002800,61950,19,170.0,162.0
2013-05-06,154.0,154.0,154.0,154.0,157335700,183000,60,162.0,154.0
2013-05-07,147.0,147.0,147.0,147.0,2126800,2600,1,154.0,147.0
2013-05-11,147.0,147.0,147.0,147.0,1640000,2000,2,147.0,147.0
2013-05-13,142.0,142.0,142.0,142.0,45639800,57600,12,147.0,142.0
2013-05-14,143.0,143.0,143.0,143.0,48000000,60000,13,142.0,143.0
2013-05-18,144.0,144.0,144.0,144.0,8030000,10000,1,143.0,144.0
2013-05-20,151.0,151.0,151.0,151.0,843000,1000,2,144.0,151.0
2013-05-21,159.0,159.0,159.0,159.0,88500,100,1,151.0,159.0
2013-05-22,166.0,166.0,166.0,166.0,92700,100,1,159.0,166.0
2013-05-25,166.0,166.0,166.0,166.0,185400,200,2,166.0,166.0
2013-05-26,158.0,158.0,158.0,158.0,47662100,54100,31,166.0,158.0
2013-05-28,150.0,164.0,150.0,150.0,50769000,60600,22,158.0,164.0
2013-06-02,150.0,150.0,143.0,143.0,9592780,12020,6,150.0,143.0
2013-06-09,143.0,143.0,143.0,143.0,798000,1000,1,143.0,143.0
2013-06-10,143.0,143.0,143.0,143.0,27940000,35000,8,143.0,143.0
2013-06-11,143.0,143.0,143.0,143.0,20020000,25000,9,143.0,143.0
2013-06-16,138.0,138.0,138.0,138.0,11545000,15000,2,143.0,138.0
2013-06-17,145.0,145.0,145.0,145.0,4040000,5000,1,138.0,145.0
2013-06-18,145.0,152.0,145.0,146.0,113880000,140000,50,145.0,152.0
