date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-10-02,122.0,122.0,114.0,118.0,53040000,100000,3,222.0,114.0
2016-10-05,115.0,115.0,115.0,115.0,56760000,110000,2,118.0,115.0
2016-10-08,115.0,115.0,115.0,115.0,25900000,50000,1,115.0,115.0
2016-10-15,133.0,133.0,123.0,129.0,110956024,191587,4,115.0,123.0
2016-10-16,140.0,144.0,125.0,133.0,263427022,439097,11,129.0,142.0
2016-10-18,145.0,145.0,144.0,144.0,201255300,309900,5,133.0,145.0
2016-10-22,134.0,134.0,134.0,134.0,20804216,34616,1,144.0,134.0
2016-10-24,145.0,145.0,144.0,145.0,14299000,22000,3,134.0,144.0
2016-10-26,134.0,134.0,133.0,133.0,60090100,100100,6,145.0,134.0
2016-10-29,131.0,134.0,130.0,132.0,62724152,106000,5,133.0,130.0
2016-10-31,133.0,133.0,133.0,133.0,18000000,30000,1,132.0,133.0
2016-11-01,133.0,133.0,129.0,130.0,27045840,46148,3,133.0,129.0
2016-11-05,133.0,142.0,133.0,137.0,81768640,132451,4,130.0,142.0
2016-11-07,140.0,140.0,133.0,134.0,76547000,127000,7,137.0,133.0
2016-11-08,133.0,133.0,133.0,133.0,10200000,17000,1,134.0,133.0
2016-11-09,130.0,133.0,127.0,129.0,196017000,337000,8,133.0,129.0
2016-11-12,129.0,130.0,129.0,130.0,116750000,200000,5,129.0,130.0
2016-11-13,133.0,133.0,127.0,130.0,45058000,77000,3,130.0,130.0
2016-11-14,132.0,133.0,132.0,133.0,188897000,316000,6,130.0,133.0
2016-11-15,136.0,140.0,133.0,135.0,126760000,209000,11,133.0,133.0
2016-11-16,133.0,136.0,133.0,134.0,104510000,174000,6,135.0,133.0
2016-11-19,133.0,139.0,133.0,134.0,90575000,150000,6,134.0,133.0
2016-11-21,133.0,133.0,127.0,129.0,130300000,225000,4,134.0,127.0
2016-11-23,129.0,129.0,129.0,129.0,6391000,11000,1,129.0,129.0
2016-11-26,133.0,138.0,133.0,135.0,167583000,275000,4,129.0,138.0
2016-11-27,138.0,138.0,138.0,138.0,12380000,20000,1,135.0,138.0
2016-12-06,133.0,140.0,133.0,136.0,191236000,312000,6,138.0,140.0
2016-12-07,133.0,133.0,133.0,133.0,17400000,29000,1,136.0,133.0
2016-12-11,133.0,133.0,133.0,133.0,300000,500,1,133.0,133.0
2016-12-12,133.0,133.0,133.0,133.0,12600000,21000,1,133.0,133.0
2016-12-13,131.0,131.0,131.0,131.0,12033500,20500,1,133.0,131.0
2016-12-18,130.0,130.0,130.0,130.0,117200000,200000,2,131.0,130.0
2016-12-19,130.0,130.0,130.0,130.0,26117910,44646,1,130.0,130.0
