date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-12-21,272.0,278.0,260.0,265.0,13934527478,2377897,822,45.0,261.0
2016-12-24,262.0,262.0,252.0,255.0,5011904446,891084,279,265.0,252.0
2016-12-25,242.0,242.0,242.0,251.0,741944928,138837,48,255.0,242.0
2016-12-26,239.0,239.0,239.0,239.0,6915626010,1312263,105,251.0,239.0
2016-12-27,231.0,237.0,227.0,230.0,12701260266,2498749,607,239.0,227.0
2016-12-28,230.0,230.0,219.0,220.0,6274836260,1291084,330,230.0,219.0
2016-12-31,213.0,217.0,210.0,214.0,4366259223,924362,235,220.0,217.0
2017-01-01,217.0,217.0,212.0,214.0,1659019205,351611,113,214.0,215.0
2017-01-02,215.0,224.0,215.0,221.0,1986012057,403221,98,214.0,224.0
2017-01-03,230.0,232.0,226.0,232.0,8979885679,1755410,341,221.0,232.0
2017-01-04,231.0,235.0,230.0,232.0,3498153911,682740,224,232.0,231.0
2017-01-07,232.0,240.0,229.0,232.0,4226712426,824115,194,232.0,232.0
2017-01-08,231.0,237.0,231.0,235.0,2162945124,415809,143,232.0,236.0
2017-01-09,235.0,237.0,232.0,234.0,1350069615,261694,80,235.0,235.0
2017-01-11,238.0,238.0,234.0,236.0,2450807864,470898,145,234.0,234.0
2017-01-14,233.0,238.0,232.0,235.0,1821245093,351245,168,236.0,232.0
2017-01-15,232.0,233.0,228.0,232.0,1393325999,275732,163,235.0,228.0
2017-01-16,229.0,229.0,225.0,227.0,2879511985,573903,190,232.0,226.0
2017-01-17,226.0,229.0,226.0,227.0,433676339,86554,71,227.0,227.0
2017-01-18,226.0,228.0,226.0,227.0,2539540143,507105,108,227.0,226.0
2017-01-21,226.0,228.0,224.0,227.0,3281335793,655681,120,227.0,226.0
2017-01-22,225.0,227.0,224.0,226.0,866035817,173343,46,227.0,226.0
2017-01-23,226.0,227.0,223.0,226.0,2550797507,511666,82,226.0,226.0
2017-01-24,225.0,228.0,224.0,226.0,1444727100,288765,110,226.0,228.0
2017-01-25,227.0,228.0,226.0,227.0,1899534792,378938,82,226.0,228.0
2017-01-28,228.0,229.0,226.0,228.0,2649526619,526913,93,227.0,228.0
2017-01-29,228.0,229.0,226.0,228.0,2669170156,530531,106,228.0,229.0
2017-01-30,228.0,231.0,228.0,229.0,2609630541,514771,120,228.0,229.0
2017-01-31,230.0,230.0,224.0,229.0,1087592094,216169,73,229.0,224.0
2017-02-01,229.0,229.0,223.0,228.0,335300496,67390,63,229.0,225.0
2017-02-04,224.0,224.0,220.0,227.0,382232193,78349,86,228.0,220.0
2017-02-05,219.0,222.0,217.0,226.0,439657771,90310,73,227.0,220.0
2017-02-06,219.0,219.0,217.0,221.0,1299283607,270213,117,226.0,217.0
2017-02-07,219.0,220.0,217.0,220.0,1000698956,208084,83,221.0,217.0
2017-02-08,216.0,218.0,212.0,217.0,1158494410,244818,149,220.0,214.0
2017-02-11,215.0,215.0,213.0,216.0,661278930,139876,84,217.0,213.0
2017-02-12,215.0,216.0,209.0,214.0,1120464744,239901,105,216.0,209.0
