date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-12-09,5711.0,5711.0,5711.0,5711.0,14168872032090,341995463,4519898,138.0,5711.0
2020-12-12,5996.0,5996.0,5996.0,5858.0,31565122500,725635,10094,5711.0,5996.0
2020-12-13,6150.0,6150.0,6150.0,6000.0,30347980660,680143,9494,5858.0,6150.0
2020-12-14,6299.0,6299.0,6299.0,6299.0,103881675400,2273122,10887,6000.0,6299.0
2020-12-15,6614.0,6614.0,6614.0,6614.0,127954551380,2666831,16318,6299.0,6614.0
2020-12-16,6943.0,6943.0,6943.0,6943.0,89775962100,1782330,17291,6614.0,6943.0
2020-12-19,7289.0,7289.0,7289.0,7289.0,118731516880,2245301,17189,6943.0,7289.0
2020-12-20,7653.0,7653.0,7653.0,7653.0,316784961120,5705781,29029,7289.0,7653.0
2020-12-21,8035.0,8035.0,8035.0,8035.0,219297472200,3762180,30369,7653.0,8035.0
2020-12-22,8436.0,8436.0,8436.0,8436.0,799783020000,13068350,70051,8035.0,8436.0
2020-12-23,8858.0,8858.0,8858.0,8858.0,419413453200,6526820,53845,8436.0,8858.0
2020-12-26,9300.0,9300.0,9240.0,9300.0,7295672842810,108133476,579968,8858.0,9300.0
2020-12-27,9365.0,9649.0,9070.0,9322.0,3118787665800,46113231,375224,9300.0,9324.0
2020-12-28,9208.0,9208.0,8856.0,8907.0,475410362290,7357217,19405,9322.0,8856.0
2020-12-29,8462.0,8462.0,8462.0,8462.0,202825315980,3303882,3252,8907.0,8462.0
2020-12-30,8040.0,8415.0,8040.0,8087.0,5042767599160,85944794,507703,8462.0,8040.0
2021-01-02,7871.0,7967.0,7683.0,7714.0,1050870879000,18778812,63412,8087.0,7683.0
2021-01-03,7533.0,8098.0,7512.0,8024.0,3414317611800,58655954,199725,7714.0,8098.0
2021-01-04,8185.0,8339.0,7623.0,7759.0,2332894454340,41445964,111866,8024.0,7623.0
