date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-02-13,1440.0,1440.0,1440.0,1440.0,133682257440,92834901,4110,1000.0,1440.0
2024-02-14,1400.0,1483.0,1397.0,1415.0,431396163623,304948072,23302,1440.0,1483.0
2024-02-17,1457.0,1457.0,1457.0,1457.0,22008857743,15105599,959,1415.0,1457.0
2024-02-18,1500.0,1500.0,1500.0,1491.0,16629169500,11086113,519,1457.0,1500.0
2024-02-19,1535.0,1535.0,1535.0,1503.0,6061257570,3948702,200,1491.0,1535.0
2024-02-20,1548.0,1548.0,1548.0,1548.0,90682251768,58580266,2429,1503.0,1548.0
2024-02-21,1594.0,1594.0,1594.0,1561.0,6289281618,3945597,198,1548.0,1594.0
2024-02-24,1607.0,1607.0,1607.0,1589.0,12684687372,7893396,359,1561.0,1607.0
2024-02-26,1636.0,1636.0,1636.0,1601.0,5464500124,3340159,193,1589.0,1636.0
2024-02-27,1649.0,1649.0,1649.0,1614.0,5608722263,3401287,183,1601.0,1649.0
2024-02-28,1662.0,1662.0,1662.0,1627.0,5622012498,3382679,170,1614.0,1662.0
2024-03-02,1675.0,1675.0,1675.0,1631.0,1916514900,1144188,75,1627.0,1675.0
2024-03-03,1679.0,1679.0,1679.0,1642.0,4614472934,2748346,149,1631.0,1679.0
2024-03-04,1691.0,1691.0,1691.0,1655.0,5415818121,3202731,179,1642.0,1691.0
2024-03-13,1704.0,1704.0,1704.0,1702.0,19610422656,11508464,496,1655.0,1704.0
2024-03-16,1651.0,1753.0,1651.0,1689.0,235805023469,139614025,5824,1702.0,1753.0
2024-03-17,1739.0,1739.0,1739.0,1693.0,1619796767,931453,54,1689.0,1739.0
2024-03-18,1743.0,1743.0,1743.0,1743.0,32886505680,18867760,788,1693.0,1743.0
2024-03-26,1795.0,1795.0,1795.0,1752.0,3494030325,1946535,84,1743.0,1795.0
2024-03-27,1804.0,1804.0,1792.0,1804.0,44691908643,24774493,1045,1752.0,1804.0
2024-03-30,1858.0,1858.0,1763.0,1849.0,155133072451,83888604,3455,1804.0,1817.0
2024-04-02,1794.0,1830.0,1794.0,1797.0,123972009288,69001107,2842,1849.0,1794.0
2024-04-03,1744.0,1820.0,1744.0,1762.0,57639727853,32717770,1420,1797.0,1757.0
2024-04-06,1730.0,1790.0,1710.0,1717.0,35794306213,20842427,913,1762.0,1710.0
2024-04-07,1666.0,1768.0,1666.0,1675.0,51803201908,30921215,1267,1717.0,1739.0
2024-04-08,1700.0,1725.0,1700.0,1693.0,7085585475,4107751,213,1675.0,1725.0
2024-04-09,1743.0,1743.0,1694.0,1739.0,19544537424,11234002,452,1693.0,1743.0
2024-04-13,1743.0,1743.0,1687.0,1692.0,25287050492,14946316,626,1739.0,1687.0
2024-04-14,1676.0,1679.0,1676.0,1681.0,13260394446,7911548,334,1692.0,1677.0
2024-04-15,1681.0,1697.0,1670.0,1684.0,4980431861,2944713,138,1681.0,1695.0
2024-04-16,1668.0,1697.0,1668.0,1676.0,9684735440,5805683,240,1684.0,1668.0
2024-04-17,1660.0,1690.0,1660.0,1666.0,12325195229,7419577,458,1676.0,1660.0
2024-04-20,1700.0,1715.0,1666.0,1674.0,8127199953,4821834,221,1666.0,1672.0
2024-04-21,1625.0,1695.0,1624.0,1672.0,6237961180,3738053,184,1674.0,1680.0
2024-04-22,1623.0,1722.0,1623.0,1683.0,7974415766,4693809,195,1672.0,1700.0
2024-04-23,1665.0,1720.0,1664.0,1683.0,4232459600,2515743,105,1683.0,1683.0
2024-04-24,1719.0,1719.0,1634.0,1668.0,19906466270,11934258,434,1683.0,1640.0
2024-04-27,1619.0,1630.0,1618.0,1648.0,8077623010,4984299,231,1668.0,1625.0
2024-04-28,1599.0,1620.0,1599.0,1631.0,6683063060,4178000,166,1648.0,1599.0
2024-04-29,1610.0,1610.0,1583.0,1584.0,20626866988,13024212,550,1631.0,1583.0
2024-04-30,1539.0,1539.0,1537.0,1569.0,5739691472,3734256,171,1584.0,1537.0
2024-05-01,1522.0,1526.0,1522.0,1563.0,2393043668,1570394,57,1569.0,1522.0
2024-05-05,1517.0,1521.0,1517.0,1548.0,6334606566,4175270,181,1563.0,1517.0
2024-05-06,1502.0,1589.0,1502.0,1530.0,7920921162,5262331,207,1548.0,1502.0
2024-05-07,1485.0,1505.0,1485.0,1512.0,8619540621,5784129,216,1530.0,1494.0
2024-05-08,1467.0,1504.0,1467.0,1499.0,5511778070,3754326,155,1512.0,1467.0
2024-05-11,1455.0,1536.0,1455.0,1474.0,11402931040,7828488,281,1499.0,1455.0
2024-05-12,1430.0,1500.0,1430.0,1458.0,17111722810,11754133,328,1474.0,1430.0
2024-05-13,1500.0,1500.0,1415.0,1416.0,26425296107,18667813,658,1458.0,1415.0
2024-05-14,1374.0,1454.0,1374.0,1412.0,2524107200,1822891,84,1416.0,1406.0
2024-05-15,1370.0,1435.0,1370.0,1410.0,2277222088,1630851,97,1412.0,1385.0
2024-05-18,1368.0,1374.0,1368.0,1404.0,2677402195,1956888,97,1410.0,1368.0
2024-05-19,1362.0,1362.0,1362.0,1398.0,2659206936,1952428,84,1404.0,1362.0
2024-05-21,1371.0,1380.0,1371.0,1396.0,1353262989,986821,41,1398.0,1371.0
2024-05-25,1369.0,1370.0,1369.0,1393.0,2107841000,1539000,54,1396.0,1369.0
2024-05-26,1393.0,1393.0,1393.0,1393.0,69650000,50000,1,1393.0,1393.0
2024-05-27,1366.0,1366.0,1366.0,1393.0,204900000,150000,3,1393.0,1366.0
2024-05-28,1366.0,1400.0,1366.0,1389.0,3373314385,2467777,106,1393.0,1366.0
2024-05-29,1362.0,1416.0,1362.0,1383.0,8955388501,6511682,254,1389.0,1403.0
2024-06-01,1356.0,1357.0,1356.0,1376.0,5252166814,3873178,165,1383.0,1356.0
2024-06-02,1349.0,1349.0,1349.0,1372.0,2900350000,2150000,82,1376.0,1349.0
2024-06-05,1397.0,1397.0,1345.0,1370.0,1576657535,1170303,50,1372.0,1345.0
2024-06-10,1343.0,1343.0,1343.0,1370.0,122163309,90963,4,1370.0,1343.0
2024-06-12,1343.0,1343.0,1343.0,1370.0,67150000,50000,2,1370.0,1343.0
2024-06-19,1343.0,1343.0,1343.0,1370.0,103641996,77172,4,1370.0,1343.0
2024-06-22,1343.0,1343.0,1343.0,1370.0,103541271,77097,3,1370.0,1343.0
2024-06-24,1343.0,1343.0,1343.0,1370.0,67150000,50000,2,1370.0,1343.0
2024-06-26,1343.0,1343.0,1343.0,1357.0,9602483575,7150025,294,1370.0,1343.0
2024-06-29,1397.0,1397.0,1317.0,1356.0,852256490,637970,20,1357.0,1317.0
2024-07-01,1316.0,1316.0,1316.0,1356.0,103454708,78613,3,1356.0,1316.0
2024-07-02,1316.0,1316.0,1316.0,1353.0,1434440000,1090000,48,1356.0,1316.0
2024-07-03,1313.0,1313.0,1313.0,1352.0,459550000,350000,12,1353.0,1313.0
2024-07-06,1315.0,1349.0,1312.0,1336.0,8195885893,6239262,222,1352.0,1312.0
2024-07-07,1296.0,1296.0,1296.0,1335.0,259200000,200000,4,1336.0,1296.0
2024-07-08,1295.0,1316.0,1295.0,1309.0,12717664842,9819084,346,1335.0,1295.0
2024-07-09,1270.0,1272.0,1270.0,1270.0,18890386128,14874172,618,1309.0,1270.0
2024-07-10,1232.0,1307.0,1232.0,1266.0,2333570444,1889421,87,1270.0,1233.0
2024-07-13,1229.0,1250.0,1229.0,1263.0,1416763630,1151957,55,1266.0,1250.0
2024-07-14,1226.0,1227.0,1226.0,1260.0,1683482363,1373147,65,1263.0,1226.0
2024-07-17,1223.0,1224.0,1223.0,1257.0,1752239762,1432694,60,1260.0,1224.0
2024-07-30,1210.0,1220.0,1210.0,1241.0,3107977402,2567274,111,1247.0,1210.0
2024-07-31,1204.0,1205.0,1204.0,1204.0,19615967228,16292207,604,1241.0,1204.0
2024-08-03,1168.0,1168.0,1168.0,1196.0,4282172992,3666244,158,1204.0,1168.0
2024-08-04,1185.0,1188.0,1185.0,1190.0,11071151075,9342195,378,1196.0,1185.0
2024-08-05,1179.0,1180.0,1179.0,1188.0,3514562308,2980838,124,1190.0,1179.0
2024-08-06,1177.0,1177.0,1177.0,1185.0,5774981102,4906526,188,1188.0,1177.0
2024-08-10,1174.0,1175.0,1174.0,1184.0,1360028456,1158244,50,1185.0,1174.0
2024-08-11,1173.0,1180.0,1173.0,1179.0,8427909400,7182800,587,1184.0,1173.0
2024-08-14,1168.0,1190.0,1168.0,1179.0,1189752300,1006034,34,1179.0,1190.0
2024-08-17,1160.0,1202.0,1157.0,1179.0,6862000564,5815600,218,1179.0,1157.0
2024-08-18,1156.0,1195.0,1156.0,1170.0,7742368441,6697118,274,1179.0,1195.0
2024-08-19,1147.0,1147.0,1147.0,1168.0,1548450000,1350000,56,1170.0,1147.0
2024-08-20,1145.0,1145.0,1145.0,1167.0,1145000000,1000000,35,1168.0,1145.0
2024-08-21,1144.0,1144.0,1144.0,1166.0,1144000000,1000000,37,1167.0,1144.0
2024-08-24,1143.0,1143.0,1143.0,1164.0,1918293471,1678297,65,1166.0,1143.0
2024-08-27,1141.0,1141.0,1141.0,1163.0,1141000000,1000000,39,1164.0,1141.0
2024-08-28,1140.0,1151.0,1140.0,1156.0,6378809885,5590716,176,1163.0,1140.0
2024-08-31,1133.0,1160.0,1133.0,1155.0,2814803043,2448578,84,1156.0,1150.0
2024-09-01,1132.0,1155.0,1132.0,1154.0,2512253430,2189970,86,1155.0,1132.0
2024-09-03,1131.0,1154.0,1131.0,1152.0,3422900000,3000000,84,1154.0,1131.0
2024-09-07,1118.0,1147.0,1118.0,1151.0,899138970,800382,30,1152.0,1147.0
2024-09-08,1117.0,1120.0,1117.0,1146.0,2940082035,2631855,111,1151.0,1117.0
2024-09-09,1112.0,1115.0,1112.0,1145.0,451384472,405781,20,1146.0,1112.0
2024-09-10,1111.0,1145.0,1111.0,1144.0,340291711,305286,14,1145.0,1145.0
2024-09-11,1178.0,1178.0,1176.0,1144.0,227424386,193137,10,1144.0,1178.0
2024-09-14,1110.0,1111.0,1110.0,1142.0,1069442650,963457,40,1144.0,1110.0
2024-09-15,1176.0,1176.0,1108.0,1142.0,3634412488,3180986,99,1142.0,1108.0
2024-09-16,1108.0,1120.0,1108.0,1142.0,267229080,239834,14,1142.0,1120.0
2024-09-17,1120.0,1165.0,1120.0,1142.0,250996550,218300,10,1142.0,1141.0
2024-09-18,1108.0,1176.0,1108.0,1142.0,1612592116,1410958,57,1142.0,1176.0
2024-09-22,1142.0,1176.0,1130.0,1142.0,589642036,514891,19,1142.0,1145.0
2024-09-23,1108.0,1149.0,1108.0,1141.0,2026925320,1793137,46,1142.0,1108.0
2024-09-24,1149.0,1149.0,1109.0,1137.0,3087386490,2764158,100,1141.0,1123.0
2024-09-25,1108.0,1135.0,1108.0,1136.0,1107161478,984731,42,1137.0,1135.0
2024-09-28,1125.0,1126.0,1125.0,1136.0,412294500,366444,19,1136.0,1125.0
2024-09-29,1125.0,1125.0,1125.0,1135.0,2377987875,2113767,85,1136.0,1125.0
2024-09-30,1124.0,1124.0,1124.0,1133.0,2973220536,2645214,77,1135.0,1124.0
