date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-14,6013.0,6013.0,3823.0,4208.0,1553264570000,81900000,785,222.0,3823.0
2023-03-15,4417.0,4417.0,4417.0,4406.0,14841431660,745426,53,4208.0,4417.0
2023-03-18,4626.0,4626.0,4626.0,4626.0,19703250000,945000,60,4406.0,4626.0
2023-03-19,4857.0,4857.0,4857.0,4857.0,21671100000,990000,61,4626.0,4857.0
2023-03-25,5092.0,5092.0,5092.0,5092.0,369900365850,16117663,1848,4857.0,5092.0
2023-03-26,5336.0,5336.0,4848.0,5325.0,474303567300,19770034,2633,5092.0,5336.0
2023-03-27,5347.0,5591.0,5125.0,5469.0,252192586150,10235496,2523,5325.0,5458.0
2023-03-28,5569.0,5658.0,5280.0,5425.0,118112711150,4832701,1700,5469.0,5502.0
2023-03-29,5480.0,5591.0,5369.0,5491.0,118486950050,4789590,1054,5425.0,5491.0
2023-04-03,5491.0,5491.0,5303.0,5358.0,116815040550,4835148,1472,5491.0,5314.0
2023-04-04,5358.0,5436.0,5203.0,5303.0,86748123950,3628262,855,5358.0,5314.0
2023-04-05,5325.0,5369.0,5169.0,5291.0,138521674050,5807568,1080,5303.0,5325.0
2023-04-08,5369.0,5547.0,5369.0,5547.0,338599512250,13552717,1419,5291.0,5547.0
2023-04-09,5658.0,5824.0,5569.0,5813.0,248417855700,9472972,1469,5547.0,5824.0
2023-04-10,6101.0,6101.0,6090.0,6101.0,117316339650,4266128,587,5813.0,6101.0
2023-04-11,6401.0,6401.0,6212.0,6401.0,74609223900,2587969,267,6101.0,6401.0
2023-04-15,6711.0,6711.0,6711.0,6711.0,24832799750,820919,86,6401.0,6711.0
2023-04-16,7044.0,7044.0,7044.0,7044.0,39725282500,1251190,134,6711.0,7044.0
2023-04-17,7388.0,7388.0,7100.0,7355.0,809224852100,24393873,4536,7044.0,7388.0
2023-04-18,7510.0,7510.0,6989.0,7200.0,468705017850,14453264,3727,7355.0,7322.0
2023-04-19,7277.0,7410.0,7155.0,7266.0,130032796100,3968826,1244,7200.0,7211.0
2023-04-24,7366.0,7621.0,7366.0,7599.0,224357868950,6546636,1692,7266.0,7621.0
2023-04-25,7754.0,7976.0,7222.0,7654.0,213010160200,6172381,2129,7599.0,7510.0
2023-04-26,7543.0,7643.0,7277.0,7477.0,85400068150,2535147,1239,7654.0,7433.0
2023-04-29,7433.0,7577.0,7166.0,7333.0,142772260850,4318107,1648,7477.0,7299.0
2023-04-30,7388.0,7499.0,7177.0,7344.0,123324078850,3726453,1468,7333.0,7399.0
2023-05-01,7477.0,7532.0,7211.0,7366.0,84468504250,2545329,899,7344.0,7510.0
2023-05-02,7543.0,7732.0,7532.0,7721.0,146537111800,4208635,1011,7366.0,7732.0
2023-05-03,8032.0,8043.0,7344.0,7466.0,295321366750,8777623,2810,7721.0,7344.0
2023-05-06,7466.0,7743.0,7211.0,7421.0,137515675600,4111489,1519,7466.0,7433.0
2023-05-07,7610.0,7610.0,7055.0,7089.0,116149585800,3636270,795,7421.0,7055.0
2023-05-08,6745.0,6745.0,6745.0,6745.0,32962720000,1084300,136,7089.0,6745.0
2023-05-09,6412.0,6656.0,6412.0,6423.0,244231238650,8431255,1791,6745.0,6412.0
2023-05-13,6212.0,6523.0,6101.0,6223.0,64633629600,2305123,560,6423.0,6212.0
2023-05-14,6135.0,6534.0,6135.0,6501.0,166237058050,5669221,1593,6223.0,6534.0
2023-05-15,6667.0,6667.0,6334.0,6534.0,77604879000,2634683,1177,6501.0,6501.0
2023-05-17,6545.0,6767.0,6345.0,6634.0,58198573100,1947523,647,6534.0,6589.0
2023-05-20,6678.0,6822.0,6445.0,6578.0,76025714050,2563323,1089,6634.0,6545.0
2023-05-21,6423.0,6645.0,6356.0,6434.0,55908526850,1926540,671,6578.0,6589.0
2023-05-22,6656.0,6756.0,6567.0,6723.0,93494560450,3084251,754,6434.0,6745.0
2023-05-23,6745.0,6978.0,6634.0,6811.0,94948314100,3091931,836,6723.0,6811.0
2023-05-24,6656.0,6944.0,6634.0,6800.0,39332007300,1282298,475,6811.0,6745.0
2023-05-27,6845.0,6856.0,6623.0,6667.0,78751118350,2619924,734,6800.0,6678.0
2023-05-28,6601.0,6601.0,6334.0,6345.0,138398317550,4838508,915,6667.0,6334.0
2023-05-29,6401.0,6523.0,6112.0,6334.0,42151016400,1476958,448,6345.0,6356.0
2023-05-30,6323.0,6412.0,6168.0,6268.0,61486708900,2178403,627,6334.0,6223.0
2023-05-31,6146.0,6279.0,6046.0,6179.0,27215122250,977099,292,6268.0,6212.0
2023-06-03,6190.0,6356.0,6179.0,6212.0,28582229200,1020167,410,6179.0,6345.0
2023-06-06,6379.0,6390.0,6212.0,6279.0,28855681350,1019641,367,6212.0,6279.0
2023-06-07,6368.0,6589.0,6179.0,6490.0,68054247000,2328204,723,6279.0,6323.0
2023-06-10,6356.0,6356.0,6168.0,6179.0,44406329350,1593926,471,6490.0,6168.0
2023-06-11,6057.0,6190.0,5902.0,5968.0,38363790650,1425254,592,6179.0,5990.0
2023-06-12,5713.0,5979.0,5680.0,5702.0,50198465800,1953687,563,5968.0,5769.0
2023-06-13,5613.0,5979.0,5613.0,5813.0,29663198050,1132456,341,5702.0,5913.0
2023-06-14,6101.0,6101.0,5857.0,5968.0,19124582900,710709,275,5813.0,5857.0
2023-06-17,5868.0,6101.0,5868.0,5957.0,22142238200,824148,275,5968.0,5924.0
2023-06-18,5902.0,5902.0,5669.0,5713.0,43549397500,1691634,496,5957.0,5713.0
2023-06-19,5746.0,5879.0,5447.0,5591.0,31329124050,1244193,471,5713.0,5613.0
2023-06-20,5458.0,5658.0,5314.0,5425.0,63189198900,2585520,726,5591.0,5469.0
2023-06-21,5480.0,5635.0,5436.0,5502.0,28238489550,1138705,394,5425.0,5491.0
2023-06-24,5513.0,5646.0,5391.0,5536.0,31774737250,1273081,474,5502.0,5524.0
2023-06-25,5469.0,5746.0,5358.0,5458.0,58972554150,2394974,622,5536.0,5447.0
2023-06-26,5569.0,5724.0,5502.0,5680.0,83056807750,3244344,718,5458.0,5724.0
2023-06-27,5724.0,5957.0,5724.0,5946.0,197846458350,7384535,863,5680.0,5957.0
2023-06-28,6123.0,6234.0,5924.0,6146.0,175584953450,6343275,1095,5946.0,6234.0
2023-07-01,6445.0,6445.0,6234.0,6412.0,160375069700,5546868,1330,6146.0,6445.0
2023-07-02,6723.0,6723.0,6412.0,6634.0,63536484350,2123867,817,6412.0,6412.0
2023-07-03,6512.0,6512.0,6312.0,6345.0,106450933750,3720899,1145,6634.0,6390.0
2023-07-04,6390.0,6434.0,6101.0,6234.0,46813195800,1666115,707,6345.0,6146.0
2023-07-05,6223.0,6545.0,6123.0,6523.0,111772040350,3802862,848,6234.0,6545.0
2023-07-08,6689.0,6723.0,6257.0,6490.0,53775016550,1839743,659,6523.0,6478.0
2023-07-09,6512.0,6545.0,6323.0,6423.0,47480983950,1640596,398,6490.0,6434.0
2023-07-10,6478.0,6734.0,6434.0,6612.0,86088348500,2890932,602,6423.0,6601.0
2023-07-11,6667.0,6678.0,6290.0,6401.0,53343962600,1849599,466,6612.0,6301.0
2023-07-12,6323.0,6412.0,6090.0,6135.0,80473756350,2911453,448,6401.0,6257.0
2023-07-15,6168.0,6412.0,6046.0,6157.0,48885019000,1762225,291,6135.0,6179.0
2023-07-16,6246.0,6257.0,5990.0,6135.0,28143759750,1017455,330,6157.0,6179.0
2023-07-17,6323.0,6434.0,5990.0,6212.0,59723414000,2132122,520,6135.0,6368.0
2023-07-25,6504.0,6515.0,6375.0,6504.0,50039143550,1794064,178,6212.0,6515.0
2023-07-26,6772.0,6818.0,6667.0,6795.0,71811263350,2462872,515,6504.0,6818.0
2023-07-29,6818.0,7133.0,6643.0,6923.0,57382845100,1931649,638,6795.0,6877.0
2023-07-30,6900.0,6935.0,6585.0,6620.0,63611214000,2239351,490,6923.0,6585.0
2023-07-31,6492.0,6923.0,6492.0,6690.0,9598571400,334453,193,6620.0,6760.0
2023-08-01,6690.0,6912.0,6574.0,6783.0,60752169950,2086448,279,6690.0,6783.0
2023-08-05,6713.0,7121.0,6713.0,7005.0,16567963600,551519,260,6783.0,6981.0
2023-08-06,6947.0,7051.0,6795.0,6865.0,31568461850,1072130,437,7005.0,6795.0
2023-08-07,6772.0,6888.0,6643.0,6737.0,49232715150,1702776,553,6865.0,6690.0
2023-08-08,6748.0,6760.0,6620.0,6702.0,5069379850,176465,109,6737.0,6702.0
2023-08-09,6760.0,6760.0,6632.0,6655.0,11599611650,406059,196,6702.0,6667.0
2023-08-12,6690.0,6818.0,6597.0,6667.0,19566386050,683549,294,6655.0,6678.0
2023-08-13,6643.0,6853.0,6562.0,6713.0,20900017000,725218,159,6667.0,6678.0
2023-08-14,6853.0,6853.0,6550.0,6643.0,97597039800,3426449,607,6713.0,6702.0
2023-08-15,6643.0,6643.0,6457.0,6527.0,30109674500,1076068,269,6643.0,6492.0
2023-08-16,6527.0,6574.0,6201.0,6282.0,63025744100,2339663,333,6527.0,6305.0
2023-08-19,6329.0,6375.0,6084.0,6166.0,28172802850,1065824,264,6282.0,6107.0
2023-08-20,6166.0,6166.0,5909.0,6002.0,44870669650,1741091,674,6166.0,6049.0
2023-08-21,6014.0,6189.0,5816.0,6084.0,27792203100,1064567,228,6002.0,6107.0
2023-08-22,6352.0,6352.0,5839.0,5921.0,33646337450,1325939,283,6084.0,5933.0
2023-08-23,5979.0,6189.0,5909.0,5956.0,28893239600,1131676,154,5921.0,6189.0
2023-08-26,5967.0,6247.0,5967.0,6084.0,27690793250,1061107,238,5956.0,6166.0
2023-08-27,6247.0,6387.0,6061.0,6212.0,104644278400,3929749,420,6084.0,6340.0
2023-08-28,6445.0,6515.0,6364.0,6504.0,109897192500,3940199,451,6212.0,6515.0
2023-08-29,6737.0,6818.0,6667.0,6818.0,255657574100,8743123,548,6504.0,6818.0
2023-08-30,7005.0,7156.0,6853.0,7016.0,207261280950,6880586,959,6818.0,6993.0
2023-09-02,7343.0,7366.0,6877.0,7086.0,132476329450,4360220,484,7016.0,7016.0
2023-09-03,7063.0,7145.0,6993.0,7051.0,72758388250,2406993,447,7086.0,7098.0
2023-09-04,7145.0,7319.0,7005.0,7203.0,91606691450,2966073,425,7051.0,7203.0
2023-09-05,7226.0,7529.0,7168.0,7285.0,116524794400,3731367,674,7203.0,7378.0
2023-09-09,7296.0,7564.0,7215.0,7319.0,106063736500,3378815,587,7285.0,7319.0
2023-09-10,7319.0,7529.0,7296.0,7389.0,60965595950,1924350,387,7319.0,7413.0
2023-09-11,7424.0,7459.0,7308.0,7389.0,56334417450,1777896,302,7389.0,7308.0
2023-09-12,7436.0,7436.0,7145.0,7250.0,66816119800,2148549,490,7389.0,7238.0
2023-09-13,7319.0,7553.0,7261.0,7343.0,53303047500,1691832,340,7250.0,7273.0
2023-09-17,7366.0,7529.0,7250.0,7343.0,79433912100,2521205,237,7343.0,7389.0
2023-09-18,7366.0,7424.0,7121.0,7226.0,60145218800,1939644,281,7343.0,7145.0
2023-09-19,7086.0,7319.0,7086.0,7226.0,29109343500,939031,217,7226.0,7226.0
2023-09-20,7226.0,7413.0,7180.0,7343.0,69939339800,2222032,281,7226.0,7319.0
2023-09-23,7448.0,7599.0,7308.0,7483.0,171761804300,5347525,569,7343.0,7518.0
2023-09-25,7646.0,7704.0,7448.0,7553.0,90037141700,2780161,406,7483.0,7506.0
2023-09-26,7692.0,7926.0,7494.0,7809.0,424918762250,12684416,1383,7553.0,7926.0
2023-09-27,7961.0,8194.0,7961.0,8124.0,231883701300,6653245,1160,7809.0,8135.0
2023-09-30,8462.0,8462.0,7902.0,8054.0,79837309900,2312054,685,8124.0,8030.0
2023-10-01,8147.0,8345.0,7879.0,8159.0,85637354600,2448041,546,8054.0,8054.0
2023-10-02,8252.0,8520.0,7972.0,8287.0,512042762200,14404428,1422,8159.0,8415.0
2023-10-04,8287.0,8660.0,8287.0,8532.0,225625452550,6163646,980,8287.0,8532.0
2023-10-07,8648.0,8788.0,8357.0,8520.0,152356980850,4168318,742,8532.0,8368.0
2023-10-08,8415.0,8415.0,8100.0,8170.0,238123173000,6795362,603,8520.0,8100.0
2023-10-09,8019.0,8357.0,7972.0,8112.0,54427710300,1563080,413,8170.0,8147.0
2023-10-10,8089.0,8322.0,8042.0,8147.0,78285049250,2240652,452,8112.0,8240.0
2023-10-11,8357.0,8485.0,8089.0,8229.0,82918707550,2347366,551,8147.0,8345.0
2023-10-14,8345.0,8345.0,7926.0,8124.0,63273735000,1814493,459,8229.0,8159.0
2023-10-15,8147.0,8275.0,7926.0,8030.0,34778494950,1009038,314,8124.0,8147.0
2023-10-16,8205.0,8345.0,8042.0,8182.0,94311161450,2687469,292,8030.0,8182.0
2023-10-17,8357.0,8590.0,8065.0,8322.0,131650674150,3686736,571,8182.0,8345.0
2023-10-18,8194.0,8380.0,8159.0,8275.0,52484783000,1477644,276,8322.0,8252.0
2023-10-21,8392.0,8625.0,8229.0,8403.0,33219351950,921659,277,8275.0,8322.0
2023-10-22,8427.0,8508.0,7984.0,8205.0,77266403850,2194275,900,8403.0,8147.0
2023-10-23,8065.0,8065.0,7797.0,7809.0,137696288450,4113208,274,8205.0,7797.0
2023-10-24,7471.0,7797.0,7424.0,7459.0,93176605450,2910776,342,7809.0,7424.0
2023-10-25,7145.0,7541.0,7086.0,7191.0,81790138300,2651024,690,7459.0,7191.0
2023-10-28,7075.0,7075.0,6842.0,6842.0,22717638150,773533,88,7191.0,6842.0
2023-10-29,6550.0,6912.0,6539.0,6713.0,37416197700,1299989,349,6842.0,6760.0
2023-10-30,7016.0,7040.0,6830.0,6970.0,50942611200,1703235,360,6713.0,6993.0
2023-10-31,7203.0,7296.0,6632.0,6783.0,124050603950,4262555,682,6970.0,6632.0
2023-11-01,6760.0,6830.0,6457.0,6620.0,31190113750,1098551,305,6783.0,6609.0
2023-11-04,6935.0,6947.0,6609.0,6713.0,24766388900,859734,357,6620.0,6690.0
2023-11-05,6760.0,6807.0,6574.0,6655.0,36377856850,1274516,345,6713.0,6678.0
2023-11-06,6807.0,6970.0,6678.0,6877.0,40444992500,1370728,305,6655.0,6923.0
2023-11-07,7121.0,7191.0,6877.0,6993.0,42130339100,1403355,368,6877.0,6900.0
2023-11-08,7261.0,7273.0,6760.0,6981.0,59045882000,1970648,500,6993.0,6958.0
2023-11-11,6783.0,6947.0,6643.0,6772.0,79394712850,2733726,616,6981.0,6830.0
2023-11-12,6947.0,7016.0,6585.0,6737.0,47572978500,1646001,608,6772.0,6643.0
2023-11-13,6597.0,6830.0,6527.0,6667.0,38409841700,1343089,420,6737.0,6678.0
2023-11-14,6807.0,6807.0,6643.0,6690.0,12402399300,432490,177,6667.0,6725.0
2023-11-15,6772.0,6772.0,6492.0,6597.0,30255782600,1069711,307,6690.0,6527.0
2023-11-18,6737.0,6737.0,6585.0,6690.0,16322983350,569045,240,6597.0,6725.0
2023-11-19,6877.0,6900.0,6609.0,6737.0,55875618550,1933877,638,6690.0,6713.0
2023-11-20,6795.0,6795.0,6410.0,6480.0,97023803050,3490619,891,6737.0,6410.0
