date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-07-01,10.0,10.0,10.0,10.0,700000,700,1,0.0,10.0
2002-08-03,11.0,11.0,11.0,11.0,770000,700,1,10.0,11.0
2002-08-07,11.0,11.0,11.0,11.0,11550000,10000,3,11.0,11.0
2002-08-10,12.0,12.0,12.0,12.0,24240000,20000,5,11.0,12.0
2002-08-11,12.0,12.0,12.0,12.0,12720000,10000,1,12.0,12.0
2002-08-13,13.0,13.0,13.0,13.0,80100000,60000,31,12.0,13.0
2002-08-14,14.0,14.0,14.0,14.0,280200000,200000,78,13.0,14.0
2002-08-17,14.0,14.0,14.0,14.0,147100000,100000,40,14.0,14.0
2002-08-19,15.0,15.0,15.0,15.0,301400000,200000,82,14.0,15.0
2002-08-20,15.0,15.0,15.0,15.0,386000000,250000,94,15.0,15.0
2002-08-21,16.0,16.0,16.0,16.0,449288000,284000,61,15.0,16.0
2002-08-26,16.0,16.0,16.0,16.0,36375900,21900,14,16.0,16.0
2002-08-27,17.0,17.0,17.0,17.0,976465600,559900,95,16.0,17.0
2002-08-28,18.0,18.0,18.0,18.0,1179343710,644230,182,17.0,18.0
2002-08-31,18.0,18.0,18.0,18.0,193540813,107238,42,18.0,18.0
2002-09-01,18.0,18.0,18.0,18.0,405446055,225510,50,18.0,18.0
2002-09-02,18.0,18.0,17.0,17.0,100621415,56097,19,18.0,17.0
2002-09-03,17.0,17.0,16.0,16.0,74890750,44689,12,17.0,16.0
2002-09-04,16.0,16.0,16.0,16.0,128783000,80000,20,16.0,16.0
2002-09-08,15.0,15.0,15.0,15.0,9558400,6280,3,16.0,15.0
2002-09-10,15.0,15.0,15.0,15.0,77932462,51618,8,15.0,15.0
2002-09-17,15.0,15.0,15.0,15.0,38725560,25695,10,15.0,15.0
2002-09-18,15.0,16.0,15.0,16.0,51054210,32731,13,15.0,16.0
2002-09-22,16.0,16.0,16.0,16.0,24469500,15000,8,16.0,16.0
2002-09-23,17.0,17.0,17.0,17.0,759470200,440900,59,16.0,17.0
2002-09-24,17.0,17.0,16.0,17.0,309489802,179260,53,17.0,17.0
2002-09-29,17.0,17.0,17.0,17.0,53291500,31000,6,17.0,17.0
2002-10-01,16.0,16.0,16.0,16.0,9325610,5583,3,17.0,16.0
2002-10-02,16.0,16.0,16.0,16.0,26255740,16420,11,16.0,16.0
2002-10-06,16.0,16.0,16.0,16.0,26350500,16500,5,16.0,16.0
2002-10-07,16.0,16.0,16.0,16.0,11975000,7500,4,16.0,16.0
2002-10-08,16.0,16.0,16.0,16.0,79800,50,1,16.0,16.0
2002-10-09,16.0,16.0,16.0,16.0,1984530,1245,2,16.0,16.0
2002-10-12,16.0,16.0,16.0,16.0,2976270,1866,2,16.0,16.0
