date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-01-22,698.0,698.0,698.0,698.0,386690268864,385918432,4539,697.0,698.0
2022-01-23,697.0,733.0,697.0,729.0,2334198236700,2231538262,31180,698.0,733.0
2022-01-24,759.0,759.0,720.0,744.0,1445393841781,1353852600,33626,729.0,736.0
2022-01-25,733.0,746.0,717.0,734.0,671954605749,637336649,14388,744.0,733.0
2022-01-26,747.0,752.0,732.0,737.0,355387155349,335886198,7945,734.0,740.0
2022-01-29,740.0,770.0,737.0,760.0,454186383162,416443252,11070,737.0,763.0
2022-01-30,766.0,790.0,760.0,764.0,382292951031,348368185,8553,760.0,763.0
2022-01-31,765.0,786.0,764.0,773.0,207615534251,186981339,7049,764.0,779.0
2022-02-01,794.0,811.0,788.0,802.0,189601592955,164589775,4561,773.0,811.0
2022-02-02,842.0,842.0,812.0,841.0,863374082875,715462252,15054,802.0,842.0
2022-02-05,878.0,883.0,834.0,867.0,1390322487388,1118023822,26555,841.0,847.0
2022-02-06,867.0,891.0,846.0,871.0,887170204416,709017506,17576,867.0,877.0
2022-02-07,880.0,915.0,872.0,912.0,588529769035,449530362,10655,871.0,915.0
2022-02-08,957.0,957.0,935.0,957.0,1931856708851,1406450701,23821,912.0,957.0
2022-02-09,957.0,1004.0,926.0,991.0,702819255564,494072704,20823,957.0,1004.0
2022-02-12,1031.0,1066.0,997.0,1030.0,1033524337967,698669728,21101,991.0,1017.0
2022-02-13,997.0,1025.0,979.0,986.0,1672752218002,1181745948,30263,1030.0,1017.0
2022-02-14,1024.0,1034.0,1007.0,1034.0,966403338121,651006768,12510,986.0,1034.0
2022-02-16,1058.0,1085.0,1046.0,1075.0,948658665477,614766428,19136,1034.0,1080.0
2022-02-19,1048.0,1075.0,1021.0,1031.0,832300888694,562432265,18842,1075.0,1021.0
2022-02-20,1024.0,1065.0,984.0,1038.0,525775026179,352971089,12303,1031.0,1052.0
2022-02-21,1059.0,1073.0,1008.0,1038.0,506931034003,340153086,10588,1038.0,1020.0
2022-02-22,1021.0,1059.0,993.0,1030.0,568937633208,384922159,10881,1038.0,1038.0
2022-02-23,1034.0,1066.0,1030.0,1043.0,273642505692,182839250,6071,1030.0,1033.0
2022-02-26,1043.0,1059.0,1017.0,1043.0,588290745532,392601653,8706,1043.0,1044.0
2022-02-27,1045.0,1089.0,1027.0,1065.0,280731003645,183564271,6184,1043.0,1066.0
2022-02-28,1073.0,1079.0,1031.0,1042.0,333510397317,222994230,7467,1065.0,1038.0
2022-03-02,1028.0,1047.0,1018.0,1036.0,366540780886,246466916,6431,1042.0,1023.0
2022-03-05,1028.0,1059.0,996.0,1034.0,605790000851,407835376,9485,1036.0,1059.0
2022-03-06,1050.0,1086.0,1036.0,1066.0,450779624844,294419018,9270,1034.0,1086.0
2022-03-07,1119.0,1119.0,1101.0,1119.0,710160270680,442071595,6584,1066.0,1119.0
2022-03-08,1123.0,1174.0,1101.0,1170.0,896962725033,533958942,11010,1119.0,1174.0
2022-03-09,1191.0,1215.0,1149.0,1186.0,420623311706,246959567,8799,1170.0,1186.0
2022-03-12,1164.0,1198.0,1149.0,1171.0,275536055217,163944189,5948,1186.0,1156.0
2022-03-13,1151.0,1179.0,1124.0,1150.0,216095601182,130913926,5351,1171.0,1129.0
2022-03-14,1136.0,1156.0,1093.0,1109.0,411206858433,258215387,7142,1150.0,1101.0
2022-03-15,1090.0,1118.0,1058.0,1076.0,349658700093,226360215,7913,1109.0,1089.0
2022-03-16,1059.0,1107.0,1045.0,1078.0,313523676611,202499723,5442,1076.0,1087.0
2022-03-19,1094.0,1099.0,1052.0,1069.0,329287549654,214495309,6630,1078.0,1077.0
2022-03-26,1079.0,1108.0,1059.0,1076.0,236719980677,153193533,4547,1069.0,1080.0
2022-03-27,1086.0,1090.0,1058.0,1067.0,316036765973,206304591,6096,1076.0,1075.0
2022-03-29,1073.0,1073.0,1025.0,1045.0,373956840335,249348308,7504,1067.0,1044.0
2022-03-30,1038.0,1097.0,1023.0,1080.0,230576602598,148666797,3967,1045.0,1097.0
2022-04-03,1114.0,1134.0,1095.0,1116.0,323171942839,201761059,5460,1080.0,1134.0
2022-04-04,1147.0,1163.0,1094.0,1124.0,277687991159,172146472,5637,1116.0,1100.0
2022-04-05,1096.0,1153.0,1081.0,1112.0,455370477026,285091270,6789,1124.0,1142.0
2022-04-06,1139.0,1167.0,1121.0,1158.0,522365777088,314077053,7623,1112.0,1135.0
2022-04-09,1142.0,1184.0,1128.0,1148.0,225551630800,136834737,4226,1158.0,1141.0
2022-04-10,1176.0,1183.0,1142.0,1158.0,176267902191,106031181,3377,1148.0,1148.0
2022-04-11,1149.0,1167.0,1119.0,1136.0,225241991117,138080372,4844,1158.0,1125.0
2022-04-12,1114.0,1114.0,1080.0,1080.0,1034448382207,666903534,10866,1136.0,1080.0
2022-04-13,1073.0,1108.0,1054.0,1089.0,121228128606,77500800,2866,1080.0,1084.0
2022-04-16,1114.0,1114.0,1073.0,1093.0,175540846544,111873036,3690,1089.0,1087.0
2022-04-17,1093.0,1096.0,1056.0,1075.0,255000784493,165221807,5272,1093.0,1094.0
2022-04-18,1101.0,1101.0,1059.0,1076.0,187789753182,121529679,4450,1075.0,1063.0
2022-04-19,1059.0,1084.0,1048.0,1062.0,161453555601,105838350,4125,1076.0,1059.0
2022-04-20,1046.0,1059.0,1031.0,1040.0,243119865384,162806788,5606,1062.0,1039.0
2022-04-24,1055.0,1091.0,1034.0,1080.0,299289377362,192952731,5954,1040.0,1087.0
2022-04-25,1087.0,1087.0,1055.0,1070.0,223756525570,145698538,5010,1080.0,1087.0
2022-04-26,1089.0,1091.0,1066.0,1076.0,144211651380,93340899,3766,1070.0,1069.0
2022-04-27,1077.0,1081.0,1052.0,1064.0,201124345281,131677357,6171,1076.0,1076.0
2022-04-30,1066.0,1083.0,1052.0,1065.0,166103888701,108656831,3444,1064.0,1056.0
2022-05-01,1057.0,1070.0,1038.0,1050.0,260601343362,172960318,5187,1065.0,1048.0
2022-05-02,1045.0,1066.0,1038.0,1050.0,130236142884,86365571,3575,1050.0,1053.0
2022-05-07,1054.0,1064.0,1041.0,1051.0,183582949830,121689216,4061,1050.0,1045.0
2022-05-08,1052.0,1054.0,1039.0,1043.0,155742104082,103971148,3724,1051.0,1046.0
