date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-07-14,894.0,894.0,894.0,894.0,1560000000,104000,38,0.0,894.0
2002-07-15,924.0,924.0,894.0,895.0,2946506000,196000,43,894.0,895.0
2002-07-27,835.0,835.0,835.0,835.0,14000000,1000,1,895.0,835.0
2002-08-05,835.0,835.0,835.0,835.0,1050000,75,2,835.0,835.0
2002-08-07,835.0,835.0,835.0,835.0,12950000,925,1,835.0,835.0
2002-08-10,835.0,835.0,835.0,835.0,14000000,1000,6,835.0,835.0
2002-08-13,835.0,835.0,835.0,835.0,1050000,75,1,835.0,835.0
2002-08-17,793.0,793.0,793.0,793.0,14962500,1125,1,835.0,793.0
2002-08-21,805.0,833.0,805.0,833.0,424866000,31444,8,793.0,833.0
2002-09-04,833.0,833.0,833.0,833.0,55860000,4000,1,833.0,833.0
2002-09-10,833.0,833.0,833.0,833.0,7401450,530,1,833.0,833.0
2002-09-24,791.0,791.0,791.0,791.0,69466012,5236,7,833.0,791.0
2002-09-30,791.0,791.0,791.0,791.0,49923932,3764,5,791.0,791.0
2002-11-18,791.0,791.0,791.0,791.0,21660112,1633,2,791.0,791.0
2002-11-19,791.0,791.0,791.0,791.0,29180800,2200,2,791.0,791.0
2002-11-20,791.0,791.0,791.0,791.0,19896000,1500,3,791.0,791.0
2002-11-23,791.0,791.0,791.0,791.0,11937600,900,1,791.0,791.0
2002-11-30,791.0,791.0,791.0,791.0,1326400,100,1,791.0,791.0
2002-12-01,791.0,791.0,791.0,791.0,60631315,4571,4,791.0,791.0
2002-12-09,791.0,791.0,791.0,791.0,23371168,1762,2,791.0,791.0
2002-12-11,775.0,775.0,775.0,775.0,15600000,1200,2,791.0,775.0
2002-12-15,763.0,763.0,763.0,763.0,23846400,1863,1,775.0,763.0
2002-12-22,763.0,763.0,763.0,763.0,8960000,700,1,763.0,763.0
2003-01-12,763.0,763.0,763.0,763.0,12800000,1000,1,763.0,763.0
2003-01-13,763.0,763.0,763.0,763.0,30720000,2400,2,763.0,763.0
2003-01-21,757.0,757.0,757.0,757.0,12700000,1000,1,763.0,757.0
2003-01-22,757.0,757.0,757.0,757.0,1651000,130,1,757.0,757.0
2003-01-25,757.0,757.0,757.0,757.0,16129000,1270,1,757.0,757.0
2003-02-03,722.0,722.0,722.0,722.0,29040000,2400,1,757.0,722.0
2003-02-05,686.0,686.0,686.0,686.0,27600000,2400,2,722.0,686.0
2003-02-10,686.0,686.0,686.0,686.0,31055400,2700,2,686.0,686.0
2003-02-22,686.0,686.0,686.0,686.0,3450600,300,1,686.0,686.0
2003-02-25,686.0,686.0,686.0,686.0,115020,10,1,686.0,686.0
2003-02-26,686.0,686.0,686.0,686.0,2288898,199,1,686.0,686.0
2003-03-03,686.0,686.0,686.0,686.0,127396152,11076,4,686.0,686.0
2003-03-09,686.0,686.0,686.0,686.0,287550,25,1,686.0,686.0
2003-03-12,686.0,686.0,686.0,686.0,12721212,1106,3,686.0,686.0
2003-03-15,686.0,686.0,686.0,686.0,115020000,10000,2,686.0,686.0
2003-03-19,686.0,686.0,686.0,686.0,3450300,300,2,686.0,686.0
2003-04-08,674.0,674.0,674.0,674.0,11300000,1000,1,686.0,674.0
2003-04-09,686.0,686.0,674.0,674.0,39847525,3525,3,674.0,674.0
2003-06-25,86.0,86.0,86.0,86.0,725000,500,1,674.0,86.0
2003-06-29,87.0,87.0,87.0,87.0,2386320,1630,2,86.0,87.0
2003-07-16,92.0,92.0,92.0,92.0,153700,100,1,87.0,92.0
2003-07-19,96.0,96.0,96.0,96.0,108753299,67423,15,92.0,96.0
2003-07-20,101.0,101.0,101.0,101.0,192197825,113525,31,96.0,101.0
2003-07-21,103.0,106.0,103.0,106.0,138339354,78777,35,101.0,106.0
2003-07-22,111.0,111.0,111.0,111.0,111340500,59700,17,106.0,111.0
2003-07-23,117.0,117.0,117.0,117.0,277526920,141740,46,111.0,117.0
2003-07-26,123.0,123.0,123.0,123.0,872232420,424444,77,117.0,123.0
2003-07-27,129.0,129.0,94.0,129.0,873832337,485217,182,123.0,129.0
2003-07-28,135.0,135.0,135.0,135.0,788940608,348472,71,129.0,135.0
2003-07-29,142.0,142.0,142.0,142.0,2377000000,1000000,216,135.0,142.0
2003-07-30,167.0,179.0,149.0,167.0,746048337,272933,90,142.0,167.0
2003-08-03,170.0,192.0,170.0,191.0,335318637,107426,46,167.0,191.0
2003-08-04,191.0,203.0,179.0,200.0,648712363,199009,87,191.0,200.0
2003-08-05,191.0,200.0,137.0,167.0,852944040,283543,97,200.0,167.0
2003-08-06,179.0,188.0,161.0,187.0,245787278,83436,34,167.0,187.0
2003-08-09,176.0,179.0,170.0,178.0,269196787,90026,46,187.0,178.0
2003-08-10,176.0,179.0,158.0,179.0,704836078,243362,82,178.0,179.0
2003-08-11,179.0,179.0,177.0,179.0,226621670,75724,37,179.0,179.0
2003-08-12,179.0,179.0,178.0,178.0,270554624,90378,49,179.0,178.0
2003-08-13,178.0,179.0,178.0,179.0,413845738,138632,54,178.0,179.0
2003-08-16,178.0,179.0,172.0,172.0,327275613,110126,40,179.0,172.0
2003-08-17,177.0,178.0,173.0,173.0,260712690,88960,51,172.0,173.0
