date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-06-14,4929.0,4929.0,4929.0,4929.0,550254000000,58600000,293,525.0,4929.0
2022-10-08,5175.0,5175.0,5175.0,5134.0,13097500000,2500000,40,4929.0,5175.0
2022-10-09,5390.0,5390.0,5390.0,5322.0,12003200000,2200000,29,5134.0,5390.0
2022-10-10,5587.0,5587.0,5587.0,5498.0,11312000000,2000000,23,5322.0,5587.0
2022-10-11,5773.0,5773.0,5773.0,5773.0,20678994000,3538500,75,5498.0,5773.0
2022-10-12,6062.0,6062.0,6062.0,6062.0,18414136000,3001000,73,5773.0,6062.0
2022-10-15,6362.0,6362.0,6283.0,6362.0,281708289640,43745754,971,6062.0,6362.0
2022-10-16,6233.0,6382.0,6046.0,6056.0,135428859740,22090302,650,6362.0,6046.0
2022-10-17,5977.0,6322.0,5977.0,6125.0,9951848420,1595177,128,6056.0,6125.0
2022-10-18,6006.0,6154.0,5888.0,6026.0,21599376820,3541870,184,6125.0,6026.0
2022-10-19,6164.0,6164.0,5937.0,6026.0,6190419830,1016137,61,6026.0,5937.0
2022-10-22,6036.0,6095.0,5730.0,5789.0,16834081990,2871654,134,6026.0,5740.0
2022-10-23,5670.0,5947.0,5542.0,5858.0,25492810550,4302138,308,5789.0,5907.0
2022-10-24,5917.0,5917.0,5581.0,5621.0,8812689340,1548296,59,5858.0,5601.0
2022-10-25,5621.0,5740.0,5532.0,5591.0,3960574670,699413,32,5621.0,5532.0
2022-10-26,5334.0,5473.0,5315.0,5315.0,13895925640,2581539,90,5591.0,5315.0
2022-10-29,5206.0,5572.0,5206.0,5562.0,27859486620,4948445,132,5315.0,5572.0
2022-10-30,5621.0,5641.0,5483.0,5562.0,5005365270,889625,26,5562.0,5641.0
2022-10-31,5443.0,5631.0,5443.0,5522.0,4305299010,770059,31,5562.0,5542.0
2022-11-01,5404.0,5789.0,5404.0,5641.0,6512421070,1139676,58,5522.0,5700.0
2022-11-02,5779.0,5779.0,5631.0,5680.0,3617436320,628936,27,5641.0,5631.0
2022-11-05,5700.0,5779.0,5591.0,5680.0,5699394670,991310,43,5680.0,5631.0
2022-11-06,5720.0,5848.0,5591.0,5680.0,11861260260,2062664,68,5680.0,5848.0
2022-11-07,5740.0,5769.0,5631.0,5690.0,8634554770,1499146,56,5680.0,5769.0
2022-11-08,5749.0,5749.0,5552.0,5670.0,8116350710,1414222,51,5690.0,5720.0
2022-11-09,5591.0,5710.0,5562.0,5631.0,9150396340,1606257,57,5670.0,5700.0
2022-11-12,5641.0,5641.0,5631.0,5631.0,4988576500,875145,28,5631.0,5631.0
2022-11-13,5680.0,5680.0,5631.0,5631.0,3547530500,622365,25,5631.0,5631.0
2022-11-14,5631.0,5730.0,5631.0,5660.0,2499243800,436534,18,5631.0,5730.0
2022-11-15,5660.0,5730.0,5631.0,5670.0,1712640300,298629,21,5660.0,5660.0
2022-11-16,5680.0,5680.0,5631.0,5670.0,4211707820,734306,18,5670.0,5670.0
2022-11-19,5394.0,5394.0,5394.0,5394.0,8615503260,1577931,42,5670.0,5394.0
2022-11-20,5127.0,5127.0,5127.0,5127.0,7852470000,1513000,39,5394.0,5127.0
2022-11-21,4880.0,4880.0,4880.0,4880.0,7666884940,1552001,41,5127.0,4880.0
2022-11-22,4643.0,4643.0,4643.0,4643.0,63796197300,13573659,344,4880.0,4643.0
2022-11-23,4416.0,4544.0,4416.0,4426.0,373423659330,83362598,1837,4643.0,4455.0
2022-11-26,4417.0,4584.0,4347.0,4423.0,36778456588,8214776,327,4426.0,4439.0
2022-11-29,4534.0,4534.0,4269.0,4407.0,10054841842,2253994,92,4423.0,4426.0
2022-11-30,4307.0,4444.0,4254.0,4315.0,14721888283,3370596,116,4407.0,4297.0
2022-12-03,4395.0,4395.0,4202.0,4252.0,7349935800,1707836,65,4315.0,4244.0
2022-12-04,4159.0,4336.0,4159.0,4193.0,23378841857,5507200,154,4252.0,4245.0
2022-12-05,4170.0,4170.0,3984.0,4032.0,33286487449,8154442,237,4193.0,3984.0
2022-12-06,3913.0,4039.0,3832.0,3949.0,27311392243,6833765,230,4032.0,4021.0
2022-12-07,4031.0,4119.0,3951.0,4001.0,17531806239,4329037,130,3949.0,3965.0
2022-12-11,4200.0,4200.0,4200.0,4200.0,24721030204,5813977,134,4001.0,4200.0
2022-12-12,4337.0,4337.0,4121.0,4221.0,25726390480,6020037,161,4200.0,4208.0
2022-12-13,4131.0,4396.0,4130.0,4263.0,21509769651,4984444,159,4221.0,4245.0
2022-12-14,4275.0,4287.0,4188.0,4233.0,17263753767,4029227,129,4263.0,4231.0
2022-12-17,4170.0,4194.0,4132.0,4159.0,7413840020,1761116,61,4233.0,4132.0
2022-12-18,4132.0,4132.0,4014.0,4064.0,59507117960,14464830,442,4159.0,4022.0
2022-12-19,4070.0,4070.0,3862.0,3927.0,6435048062,1618730,86,4064.0,3892.0
2022-12-20,3865.0,4016.0,3865.0,3933.0,7969465060,2002011,73,3927.0,3949.0
2022-12-21,3889.0,3970.0,3862.0,3929.0,20707776473,5206885,117,3933.0,3873.0
2022-12-24,3853.0,3963.0,3853.0,3937.0,24443698190,6134625,146,3929.0,3911.0
2022-12-25,3937.0,3937.0,3740.0,3829.0,37245980514,9608693,271,3937.0,3835.0
2022-12-26,3829.0,4015.0,3828.0,3843.0,23528492706,6048917,166,3829.0,3882.0
2022-12-28,3757.0,3978.0,3757.0,3891.0,47790410486,12131461,299,3843.0,3881.0
2022-12-31,3842.0,3842.0,3734.0,3754.0,6981820696,1837511,57,3891.0,3744.0
2023-01-01,3695.0,3784.0,3695.0,3724.0,5896309574,1564044,51,3754.0,3759.0
2023-01-02,3734.0,3874.0,3724.0,3779.0,7992376729,2089567,98,3724.0,3724.0
2023-01-03,3692.0,3783.0,3590.0,3629.0,18493768205,5033139,264,3779.0,3642.0
2023-01-04,3576.0,3714.0,3512.0,3620.0,10720176324,2925546,133,3629.0,3655.0
2023-01-07,3586.0,3667.0,3581.0,3619.0,7879603752,2151145,185,3620.0,3606.0
2023-01-08,3587.0,3799.0,3587.0,3755.0,45474401639,11962378,377,3619.0,3799.0
2023-01-09,3921.0,3943.0,3833.0,3941.0,24227854811,6074171,155,3755.0,3943.0
2023-01-10,4137.0,4137.0,4137.0,4137.0,11642640000,2780000,60,3941.0,4137.0
2023-01-14,4344.0,4344.0,4344.0,4344.0,27235954561,6194213,125,4137.0,4344.0
2023-01-16,4560.0,4560.0,4560.0,4560.0,76459904064,16564104,372,4344.0,4560.0
2023-01-17,4787.0,4787.0,4787.0,4787.0,25405130770,5242495,120,4560.0,4787.0
2023-01-18,4989.0,5026.0,4742.0,4980.0,493730033093,97936569,3333,4787.0,5026.0
2023-01-21,5226.0,5226.0,4850.0,5088.0,177654322880,34517786,1925,4980.0,5018.0
2023-01-22,5078.0,5078.0,4841.0,4890.0,108672604290,21975206,1128,5088.0,4860.0
2023-01-23,4900.0,5008.0,4702.0,4850.0,62593343830,12737385,671,4890.0,4910.0
2023-01-24,4841.0,5088.0,4841.0,5058.0,42212706740,8246730,369,4850.0,5088.0
2023-01-25,5226.0,5305.0,5107.0,5295.0,277019995510,51687561,2146,5058.0,5305.0
2023-01-29,5038.0,5038.0,5038.0,5038.0,9930658800,1947188,83,5295.0,5038.0
2023-01-30,4791.0,4999.0,4791.0,4791.0,149116799870,30723491,1122,5038.0,4791.0
2023-01-31,4732.0,4890.0,4594.0,4752.0,48929363910,10164943,778,4791.0,4722.0
2023-02-01,4692.0,4890.0,4554.0,4791.0,20698723080,4264016,393,4752.0,4801.0
2023-02-05,4858.0,4858.0,4552.0,4615.0,28516680624,6104255,452,4791.0,4570.0
2023-02-06,4416.0,4731.0,4416.0,4562.0,62600121321,13554690,450,4615.0,4544.0
2023-02-07,4534.0,4781.0,4534.0,4725.0,19115114068,3996847,272,4562.0,4693.0
2023-02-08,4789.0,4961.0,4580.0,4926.0,144950459830,29070053,1018,4725.0,4961.0
2023-02-12,4841.0,5171.0,4841.0,5114.0,64837365265,12523730,509,4926.0,5171.0
2023-02-13,5368.0,5369.0,5089.0,5330.0,199213310997,36927482,1634,5114.0,5127.0
2023-02-14,5068.0,5300.0,5064.0,5132.0,90084642444,17341190,948,5330.0,5064.0
2023-02-15,4939.0,5088.0,4892.0,4943.0,30221410342,6039164,354,5132.0,5038.0
2023-02-19,5038.0,5186.0,5018.0,5147.0,62032756590,11908835,654,4943.0,5157.0
2023-02-20,5137.0,5295.0,4890.0,5167.0,80592152450,15404751,849,5147.0,5127.0
2023-02-21,5137.0,5275.0,4929.0,5038.0,93929139870,18412865,1070,5167.0,4939.0
2023-02-26,5206.0,5206.0,5048.0,5127.0,14490703140,2789504,131,5038.0,5186.0
2023-02-27,5137.0,5275.0,4880.0,4959.0,63373702590,12632696,833,5127.0,4920.0
2023-02-28,4939.0,5078.0,4841.0,4949.0,33217701940,6629533,685,4959.0,5008.0
2023-03-01,4979.0,5196.0,4939.0,5107.0,101620758190,19664333,895,4949.0,5147.0
2023-03-04,5147.0,5354.0,5107.0,5265.0,59464638470,11158444,784,5107.0,5117.0
2023-03-05,5088.0,5325.0,5088.0,5206.0,40345867700,7652051,952,5265.0,5176.0
2023-03-06,5068.0,5344.0,5068.0,5216.0,67177736000,12718296,527,5206.0,5255.0
2023-03-07,5315.0,5473.0,5147.0,5394.0,58481000420,10706745,539,5216.0,5473.0
2023-03-11,5660.0,5660.0,5660.0,5660.0,75305613930,13142341,335,5394.0,5660.0
2023-03-12,5937.0,5937.0,5710.0,5907.0,376634696860,63016205,3281,5660.0,5937.0
2023-03-13,5996.0,6194.0,5927.0,6164.0,156527058280,25084577,1348,5907.0,6194.0
2023-03-14,6382.0,6471.0,6026.0,6332.0,138365401430,21594175,1627,6164.0,6293.0
2023-03-15,6263.0,6648.0,6224.0,6629.0,127041089100,18937801,1173,6332.0,6648.0
2023-03-18,6885.0,6955.0,6668.0,6935.0,130130594760,18525706,939,6629.0,6945.0
2023-03-19,6955.0,7162.0,6589.0,6787.0,147663645050,21478881,1806,6935.0,6816.0
2023-03-25,7014.0,7123.0,6876.0,7103.0,90198085790,12551765,908,6787.0,7123.0
2023-03-26,7389.0,7449.0,6826.0,7004.0,47175787460,6654140,679,7103.0,6866.0
2023-03-28,7264.0,7264.0,6927.0,7052.0,65212836910,8900108,755,7004.0,7139.0
2023-03-29,7158.0,7158.0,6706.0,6754.0,158556822280,22595201,2066,7052.0,6850.0
2023-04-03,6850.0,6889.0,6494.0,6648.0,102578860970,14851940,1473,6754.0,6638.0
2023-04-04,6696.0,6831.0,6417.0,6571.0,72377676750,10598128,1252,6648.0,6436.0
2023-04-05,6436.0,6792.0,6369.0,6638.0,90704655690,13154271,1096,6571.0,6735.0
2023-04-08,6792.0,6966.0,6735.0,6956.0,101830799210,14092591,743,6638.0,6966.0
2023-04-09,6994.0,7302.0,6994.0,7273.0,204609987020,27053432,1589,6956.0,7302.0
2023-04-10,7398.0,7620.0,6917.0,7168.0,239685798640,32152295,1805,7273.0,7014.0
2023-04-11,7023.0,7119.0,6812.0,6840.0,155746362730,21897015,1580,7168.0,6879.0
2023-04-15,6966.0,7168.0,6850.0,7081.0,73806696190,10033876,972,6840.0,7139.0
2023-04-16,7129.0,7408.0,6831.0,7100.0,114719507370,15552938,1320,7081.0,7081.0
2023-04-17,7071.0,7158.0,6917.0,7042.0,98983361490,13515149,1146,7100.0,7110.0
2023-04-18,7196.0,7293.0,7062.0,7187.0,68624935830,9187852,584,7042.0,7148.0
2023-04-19,7168.0,7360.0,6917.0,7129.0,92316312690,12454455,1119,7187.0,7081.0
2023-04-24,7119.0,7293.0,6956.0,7052.0,75228484950,10260099,1275,7129.0,7023.0
2023-04-25,7014.0,7398.0,6946.0,7283.0,261084637860,34503281,2345,7052.0,7398.0
2023-04-26,7581.0,7639.0,7408.0,7629.0,280457270720,35368521,1825,7283.0,7639.0
2023-04-29,7889.0,8005.0,7524.0,7889.0,311321788420,37986750,2372,7629.0,7918.0
2023-04-30,8216.0,8216.0,7639.0,7783.0,152562316020,18853263,1824,7889.0,7764.0
2023-05-01,7543.0,7841.0,7398.0,7524.0,203321952970,25985580,2009,7783.0,7639.0
2023-05-02,7783.0,7793.0,7418.0,7562.0,118635528270,15092053,1641,7524.0,7485.0
2023-05-03,7418.0,7928.0,7187.0,7716.0,460902974310,57447125,5933,7562.0,7889.0
2023-05-06,7985.0,7985.0,7379.0,7562.0,226346399920,28783182,3261,7716.0,7456.0
2023-05-13,7187.0,7187.0,7187.0,7187.0,18787020120,2514996,101,7562.0,7187.0
2023-05-14,6831.0,7081.0,6831.0,6850.0,206467111420,29011671,2154,7187.0,6850.0
2023-05-15,6850.0,6975.0,6523.0,6686.0,66912141150,9621752,1044,6850.0,6590.0
2023-05-17,6523.0,6917.0,6523.0,6783.0,49133870840,6964908,801,6686.0,6792.0
2023-05-20,6840.0,7004.0,6552.0,6735.0,54702388960,7819117,893,6783.0,6648.0
2023-05-21,6667.0,6898.0,6465.0,6667.0,48857457630,7047722,831,6735.0,6667.0
2023-05-22,6667.0,6860.0,6610.0,6725.0,90161252750,12902203,887,6667.0,6831.0
2023-05-23,6831.0,6946.0,6638.0,6802.0,49755184400,7037616,1008,6725.0,6686.0
2023-05-24,6898.0,6927.0,6629.0,6715.0,62457140680,8953453,838,6802.0,6667.0
2023-05-27,6715.0,6869.0,6494.0,6677.0,55665943700,8018589,840,6715.0,6533.0
2023-05-28,6658.0,6667.0,6350.0,6359.0,92738130810,14038571,747,6677.0,6369.0
2023-05-29,6350.0,6542.0,6340.0,6427.0,52020193820,7784538,484,6359.0,6446.0
2023-05-30,6561.0,6744.0,6542.0,6715.0,99240611350,14216894,1367,6427.0,6744.0
2023-05-31,6869.0,6966.0,6475.0,6812.0,66218184650,9358528,1310,6715.0,6831.0
2023-06-03,6802.0,6802.0,6504.0,6610.0,61495468760,8956315,901,6812.0,6735.0
2023-06-06,6629.0,6840.0,6494.0,6610.0,36544496270,5321216,659,6610.0,6552.0
2023-06-07,6715.0,6763.0,6552.0,6667.0,24523340850,3536175,596,6610.0,6619.0
2023-06-10,6561.0,6561.0,6340.0,6388.0,38942791780,5868124,755,6667.0,6340.0
2023-06-11,6446.0,6561.0,6263.0,6388.0,18942567930,2854661,506,6388.0,6475.0
2023-06-12,6446.0,6446.0,6071.0,6100.0,53144828950,8383978,631,6388.0,6100.0
2023-06-13,5888.0,6244.0,5821.0,6042.0,28372591670,4520411,532,6100.0,6234.0
2023-06-14,6331.0,6331.0,5821.0,6205.0,15865153580,2458082,321,6042.0,6186.0
2023-06-17,6023.0,6513.0,6023.0,6436.0,36077887190,5395346,494,6205.0,6465.0
2023-06-18,6610.0,6610.0,6254.0,6350.0,15681647270,2376922,222,6436.0,6369.0
2023-06-19,6186.0,6427.0,6090.0,6215.0,29416149890,4556616,492,6350.0,6128.0
2023-06-20,6109.0,6263.0,6061.0,6186.0,17463619780,2716803,326,6215.0,6225.0
2023-06-21,6225.0,6494.0,6196.0,6494.0,95337175280,14133577,834,6186.0,6494.0
2023-06-24,6812.0,6812.0,6629.0,6802.0,96242502430,13616312,854,6494.0,6812.0
2023-06-25,7110.0,7110.0,6571.0,6821.0,63476247510,8949435,1088,6802.0,6667.0
2023-06-26,6590.0,6812.0,6484.0,6590.0,37854795870,5529853,736,6821.0,6542.0
2023-06-27,6484.0,6542.0,6263.0,6359.0,35258587700,5335636,620,6590.0,6321.0
2023-06-28,6205.0,6350.0,6119.0,6273.0,18004335940,2762797,326,6359.0,6273.0
