date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-09-07,1368.0,1368.0,1368.0,1368.0,140000000,100000,3,977.0,1368.0
2015-09-08,1368.0,1368.0,1368.0,1368.0,11099200,7928,1,1368.0,1368.0
2015-09-15,1368.0,1368.0,1368.0,1368.0,2592800,1852,1,1368.0,1368.0
2015-09-20,1368.0,1368.0,1368.0,1368.0,6846000,4890,1,1368.0,1368.0
2015-09-22,1368.0,1368.0,1368.0,1368.0,70310800,50222,2,1368.0,1368.0
2015-09-27,1368.0,1368.0,1368.0,1368.0,140000000,100000,1,1368.0,1368.0
2015-09-30,1368.0,1368.0,1368.0,1368.0,140000,100,1,1368.0,1368.0
2015-10-13,1368.0,1368.0,1368.0,1368.0,56000000,40000,1,1368.0,1368.0
2015-10-17,1368.0,1368.0,1368.0,1368.0,56000000,40000,1,1368.0,1368.0
2015-10-20,1368.0,1368.0,1368.0,1368.0,98000000,70000,1,1368.0,1368.0
2015-11-02,1368.0,1368.0,1368.0,1368.0,621600,444,1,1368.0,1368.0
2015-11-07,1368.0,1368.0,1368.0,1368.0,1622600,1159,1,1368.0,1368.0
2015-11-17,1368.0,1368.0,1368.0,1368.0,8194200,5853,1,1368.0,1368.0
2015-12-13,1368.0,1368.0,1368.0,1368.0,1348200,963,1,1368.0,1368.0
2015-12-26,1318.0,1319.0,1318.0,1318.0,3968794,2941,2,1368.0,1319.0
2015-12-30,1271.0,1271.0,1271.0,1271.0,577200,444,1,1318.0,1271.0
2016-01-02,1271.0,1271.0,1250.0,1256.0,14849684,11557,5,1271.0,1271.0
2016-01-18,1271.0,1271.0,1271.0,1271.0,1348100,1037,1,1256.0,1271.0
2016-01-24,1319.0,1319.0,1271.0,1314.0,11947440,8890,3,1271.0,1271.0
2016-01-26,1271.0,1271.0,1271.0,1271.0,481000,370,1,1314.0,1271.0
2016-01-30,1271.0,1271.0,1271.0,1271.0,5682300,4371,2,1271.0,1271.0
2016-02-01,1271.0,1271.0,1271.0,1271.0,1155700,889,1,1271.0,1271.0
2016-02-03,1271.0,1271.0,1271.0,1271.0,288600,222,1,1271.0,1271.0
2016-02-06,1271.0,1271.0,1271.0,1271.0,577200,444,1,1271.0,1271.0
2016-02-07,1271.0,1271.0,1271.0,1271.0,673400,518,1,1271.0,1271.0
2016-02-09,1271.0,1271.0,1271.0,1271.0,6743100,5187,1,1271.0,1271.0
2016-02-10,1271.0,1271.0,1271.0,1271.0,3112200,2394,3,1271.0,1271.0
2016-02-13,1271.0,1271.0,1271.0,1271.0,2923700,2249,1,1271.0,1271.0
2016-02-14,1271.0,1271.0,1271.0,1271.0,4651400,3578,1,1271.0,1271.0
2016-02-15,1271.0,1368.0,1271.0,1358.0,56148600,40422,47,1271.0,1368.0
2016-02-21,1271.0,1271.0,1271.0,1271.0,3403400,2618,2,1358.0,1271.0
2016-03-16,1271.0,1387.0,1271.0,1377.0,7672200,5444,4,1271.0,1387.0
2016-04-20,1173.0,1173.0,1173.0,1173.0,1509600,1258,3,1377.0,1173.0
2016-04-23,1173.0,1173.0,1173.0,1173.0,10490400,8742,3,1173.0,1173.0
2016-05-17,1173.0,1173.0,1173.0,1173.0,7999200,6666,7,1173.0,1173.0
2016-05-21,1173.0,1173.0,1173.0,1173.0,621600,518,1,1173.0,1173.0
2016-06-20,1143.0,1368.0,1143.0,1363.0,217919662,156260,13,1173.0,1143.0
2016-08-22,1286.0,1286.0,1286.0,1286.0,6435000,5000,1,1363.0,1286.0
2016-09-14,1229.0,1229.0,1229.0,1229.0,1639590,1333,1,1286.0,1229.0
2016-09-18,1229.0,1229.0,1229.0,1229.0,820410,667,1,1229.0,1229.0
2016-10-24,1229.0,1229.0,1159.0,1222.0,21898620,17907,14,1229.0,1199.0
2016-10-31,1199.0,1199.0,1199.0,1199.0,36000000,30000,1,1222.0,1199.0
2016-12-26,1178.0,1178.0,1178.0,1178.0,53466471,45349,5,1199.0,1178.0
2017-02-04,1177.0,1177.0,1177.0,1177.0,174344,148,1,1178.0,1177.0
2017-02-13,1089.0,1089.0,1089.0,1089.0,4800360,4404,3,1177.0,1089.0
2017-02-14,1029.0,1048.0,1029.0,1040.0,5504742,5288,6,1089.0,1048.0
2017-02-25,1044.0,1049.0,1044.0,1048.0,9871832,9410,3,1040.0,1049.0
2017-03-14,999.0,999.0,999.0,999.0,445000,445,1,1048.0,999.0
2017-03-18,1099.0,1099.0,1099.0,1099.0,2602600,2366,4,999.0,1099.0
2017-03-26,1124.0,1124.0,1124.0,1124.0,101250,90,1,1099.0,1124.0
2017-03-28,1124.0,1236.0,1124.0,1214.0,12147274,10000,6,1124.0,1236.0
