date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-03-13,59421.0,59421.0,59421.0,59421.0,13948200000,1800000,18,62543.0,59421.0
2019-03-13,56456.0,56456.0,56456.0,56456.0,13948200000,1800000,18,59421.0,56456.0
2019-03-18,53638.0,53638.0,53638.0,53638.0,19875523226,2552398,28,56456.0,53638.0
2019-03-18,50962.0,50962.0,50962.0,50962.0,19875523226,2552398,28,53638.0,50962.0
2019-04-30,48416.0,48416.0,48416.0,50962.0,1215524,86,1,50962.0,48416.0
2019-04-30,48416.0,48416.0,48416.0,50962.0,1215524,86,1,50962.0,48416.0
2019-05-06,48416.0,48416.0,48416.0,48416.0,8457873000,601000,7,50962.0,48416.0
2019-05-06,45998.0,45998.0,45998.0,45998.0,8457873000,601000,7,48416.0,45998.0
2019-05-12,43699.0,43699.0,43699.0,43699.0,8032832000,626000,13,45998.0,43699.0
2019-05-12,41515.0,41515.0,41515.0,41515.0,8032832000,626000,13,43699.0,41515.0
2019-05-18,39442.0,39442.0,39442.0,39442.0,9405501600,661800,7,41515.0,39442.0
2019-05-18,37473.0,37473.0,37473.0,37473.0,9405501600,661800,7,39442.0,37473.0
2019-05-20,35601.0,35601.0,35601.0,35601.0,14928935360,953560,10,37473.0,35601.0
2019-05-20,33823.0,33823.0,33823.0,33823.0,14928935360,953560,10,35601.0,33823.0
2019-05-21,32132.0,32132.0,32132.0,32132.0,8960733320,548930,6,33823.0,32132.0
2019-05-21,30526.0,30526.0,30526.0,30526.0,8960733320,548930,6,32132.0,30526.0
2019-05-25,28999.0,28999.0,28999.0,28999.0,9944385000,605000,7,30526.0,28999.0
2019-05-25,27550.0,27550.0,27550.0,27550.0,9944385000,605000,7,28999.0,27550.0
2019-05-28,27550.0,27550.0,27550.0,27550.0,11863404750,721750,8,27550.0,27550.0
2019-05-28,27550.0,27550.0,27550.0,27550.0,11863404750,721750,8,27550.0,27550.0
2019-06-01,26173.0,26173.0,26173.0,26173.0,9088370000,554000,6,27550.0,26173.0
2019-06-01,24865.0,24865.0,24865.0,24865.0,9088370000,554000,6,26173.0,24865.0
2019-06-08,23622.0,23622.0,23622.0,23622.0,8959209000,578200,7,24865.0,23622.0
2019-06-08,22442.0,22442.0,22442.0,22442.0,8959209000,578200,7,23622.0,22442.0
2019-06-11,21320.0,21320.0,21320.0,21736.0,5151909997,312559,4,22442.0,21320.0
2019-06-11,20649.0,20649.0,20649.0,21051.0,5151909997,312559,4,21736.0,20649.0
2019-06-19,19999.0,19999.0,19999.0,19999.0,9099000000,600000,6,21051.0,19999.0
2019-06-19,18999.0,18999.0,18999.0,18999.0,9099000000,600000,6,19999.0,18999.0
2019-06-22,18758.0,18758.0,18758.0,18975.0,755000000,50000,1,18999.0,18758.0
2019-06-22,18734.0,18734.0,18734.0,18950.0,755000000,50000,1,18975.0,18734.0
2019-07-03,18939.0,18939.0,18939.0,18939.0,8928277560,855199,25,18950.0,18939.0
2019-07-03,18928.0,18928.0,18928.0,18928.0,8928277560,855199,25,18939.0,18928.0
2019-07-09,19185.0,19187.0,19185.0,19187.0,9059023007,855199,9,18928.0,19187.0
2019-07-09,19448.0,19449.0,19448.0,19449.0,9059023007,855199,9,19187.0,19449.0
2019-09-07,19449.0,19449.0,19449.0,19449.0,471618,38,1,19449.0,19449.0
2019-09-07,19449.0,19449.0,19449.0,19449.0,471618,38,1,19449.0,19449.0
2019-10-06,18477.0,18477.0,18477.0,18878.0,5339856312,427599,24,19449.0,18477.0
2019-10-06,17935.0,17935.0,17935.0,18324.0,5339856312,427599,24,18878.0,17935.0
2020-01-13,19125.0,19240.0,19125.0,19240.0,81056819358,4028474,51,18324.0,19240.0
2020-01-13,20081.0,20202.0,20081.0,20202.0,81056819358,4028474,51,19240.0,20202.0
2020-02-19,19192.0,19192.0,19192.0,20200.0,22312375,515,2,20202.0,19192.0
2020-02-19,19190.0,19190.0,19190.0,20198.0,22312375,515,2,20200.0,19190.0
2020-05-19,20196.0,20196.0,20196.0,20196.0,150582012802,1711198,20,20198.0,20196.0
2020-05-19,20194.0,20194.0,20194.0,20194.0,150582012802,1711198,20,20196.0,20194.0
2021-01-19,20194.0,20194.0,20194.0,20194.0,1526400,36,1,20194.0,20194.0
2021-01-19,20194.0,20194.0,20194.0,20194.0,1526400,36,1,20194.0,20194.0
2022-03-09,20142.0,20142.0,20142.0,20142.0,97500000000,5000000,50,20194.0,20142.0
2022-03-09,20090.0,20090.0,20090.0,20090.0,97500000000,5000000,50,20142.0,20090.0
2022-06-01,20090.0,20090.0,20090.0,20090.0,13425000000,500000,5,20090.0,20090.0
2022-06-01,20090.0,20090.0,20090.0,20090.0,13425000000,500000,5,20090.0,20090.0
2022-06-06,20090.0,20090.0,20090.0,20090.0,26530000000,1000000,10,20090.0,20090.0
2022-06-06,20090.0,20090.0,20090.0,20090.0,26530000000,1000000,10,20090.0,20090.0
2022-06-07,20090.0,20090.0,20090.0,20090.0,25080000000,1000000,10,20090.0,20090.0
2022-06-07,20090.0,20090.0,20090.0,20090.0,25080000000,1000000,10,20090.0,20090.0
2022-06-08,20090.0,20090.0,20090.0,20090.0,24940000000,1000000,10,20090.0,20090.0
2022-06-08,20090.0,20090.0,20090.0,20090.0,24940000000,1000000,10,20090.0,20090.0
2022-06-11,20090.0,20090.0,20090.0,20090.0,24820000000,1000000,10,20090.0,20090.0
2022-06-11,20090.0,20090.0,20090.0,20090.0,24820000000,1000000,10,20090.0,20090.0
2022-06-12,20090.0,20090.0,20090.0,20090.0,23820000000,1000000,10,20090.0,20090.0
2022-06-12,20090.0,20090.0,20090.0,20090.0,23820000000,1000000,10,20090.0,20090.0
2022-06-13,20090.0,20090.0,20090.0,20090.0,23690000000,1000000,10,20090.0,20090.0
2022-06-13,20090.0,20090.0,20090.0,20090.0,23690000000,1000000,10,20090.0,20090.0
2022-06-14,20090.0,20090.0,20090.0,20090.0,24360000000,1000000,10,20090.0,20090.0
2022-06-14,20090.0,20090.0,20090.0,20090.0,24360000000,1000000,10,20090.0,20090.0
2022-06-19,20090.0,20090.0,20090.0,20090.0,17952310200,776820,8,20090.0,20090.0
2022-06-19,20090.0,20090.0,20090.0,20090.0,17952310200,776820,8,20090.0,20090.0
2023-01-23,20090.0,20090.0,20090.0,20090.0,763420,38,1,20090.0,20090.0
2023-01-23,20090.0,20090.0,20090.0,20090.0,763420,38,1,20090.0,20090.0
