date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-03-13,1075.0,1345.0,1075.0,1172.0,1522576560,1163867,737,896.0,1111.0
2012-03-14,1114.0,1114.0,1114.0,1114.0,68986500,55500,23,1172.0,1114.0
2012-03-24,1058.0,1058.0,1058.0,1058.0,2952500,2500,1,1114.0,1058.0
2012-03-25,1005.0,1005.0,1005.0,1005.0,11220000,10000,4,1058.0,1005.0
2012-03-27,955.0,968.0,955.0,958.0,169381000,158500,107,1005.0,968.0
2012-03-28,1005.0,1005.0,1005.0,1005.0,6844200,6100,3,958.0,1005.0
2012-04-02,1056.0,1056.0,1056.0,1056.0,2945000,2500,1,1005.0,1056.0
2012-04-03,1108.0,1108.0,1108.0,1108.0,211152060,170835,75,1056.0,1108.0
2012-04-04,1162.0,1162.0,1162.0,1162.0,58222330,44890,19,1108.0,1162.0
2012-04-07,1220.0,1220.0,1108.0,1182.0,390465185,296000,134,1162.0,1114.0
2012-04-08,1125.0,1125.0,1124.0,1125.0,16685700,13300,7,1182.0,1124.0
2012-04-09,1069.0,1070.0,1069.0,1069.0,71339470,59790,32,1125.0,1070.0
2012-04-10,1121.0,1122.0,1048.0,1115.0,89543998,72000,41,1069.0,1122.0
2012-04-11,1170.0,1170.0,1169.0,1170.0,83583997,64000,28,1115.0,1170.0
2012-04-14,1228.0,1228.0,1130.0,1212.0,160381000,118500,58,1170.0,1228.0
2012-04-15,1272.0,1272.0,1271.0,1272.0,120680000,85000,34,1212.0,1271.0
2012-04-16,1336.0,1336.0,1336.0,1336.0,2982000,2000,2,1272.0,1336.0
2012-04-18,1272.0,1272.0,1270.0,1270.0,31890000,22500,10,1336.0,1270.0
2012-04-21,1269.0,1269.0,1269.0,1269.0,70800000,50000,62,1270.0,1269.0
2012-05-14,1206.0,1206.0,1206.0,1206.0,13460000,10000,7,1269.0,1206.0
2013-09-08,1814.0,1962.0,1809.0,1824.0,213845000,115000,15,1206.0,1962.0
2013-09-09,1915.0,1915.0,1915.0,1915.0,1953000,1000,1,1824.0,1915.0
2013-09-10,2010.0,2010.0,2010.0,2010.0,2117650,1033,1,1915.0,2010.0
2013-09-11,2110.0,2110.0,2110.0,2110.0,2173520,1010,3,2010.0,2110.0
2013-09-14,2215.0,2215.0,2215.0,2215.0,143446500,63500,7,2110.0,2215.0
2013-09-17,2325.0,2325.0,2325.0,2325.0,239471,101,2,2215.0,2325.0
2013-09-18,2441.0,2441.0,2441.0,2441.0,248900,100,1,2325.0,2441.0
2013-09-21,2562.0,2562.0,2562.0,2562.0,261300000,100000,13,2441.0,2562.0
2013-09-22,2690.0,2690.0,2647.0,2673.0,89960000,33000,9,2562.0,2647.0
2013-09-23,2543.0,2543.0,2543.0,2543.0,38895000,15000,2,2673.0,2543.0
2013-09-25,2647.0,2669.0,2647.0,2665.0,144046000,53000,8,2543.0,2669.0
2013-09-29,2647.0,2745.0,2647.0,2706.0,80035000,29000,7,2665.0,2745.0
2013-10-05,2647.0,2706.0,2599.0,2611.0,399706900,150100,55,2706.0,2599.0
2013-10-06,2500.0,2598.0,2481.0,2511.0,161866610,63210,24,2611.0,2598.0
2013-10-07,2598.0,2637.0,2598.0,2628.0,58440390,21810,6,2511.0,2637.0
2013-10-08,2759.0,2759.0,2697.0,2725.0,174256600,62700,9,2628.0,2697.0
2013-10-09,2744.0,2744.0,2590.0,2595.0,427952892,161712,27,2725.0,2590.0
2013-10-12,2466.0,2466.0,2466.0,2466.0,285168305,113387,12,2595.0,2466.0
2013-10-15,2589.0,2589.0,2589.0,2589.0,124898400,47310,11,2466.0,2589.0
2013-10-22,2695.0,2718.0,2695.0,2715.0,212094920,76610,36,2589.0,2718.0
2013-10-23,2850.0,2850.0,2850.0,2850.0,19912950,6850,1,2715.0,2850.0
2013-10-26,2993.0,2993.0,2993.0,2993.0,30520000,10000,1,2850.0,2993.0
2013-10-27,3142.0,3142.0,3141.0,3142.0,497331900,155225,36,2993.0,3142.0
2013-10-28,3142.0,3299.0,3142.0,3148.0,65485804,20401,7,3142.0,3157.0
2013-10-29,3292.0,3304.0,3292.0,3295.0,344754700,102600,38,3148.0,3304.0
2013-10-30,3142.0,3142.0,3138.0,3138.0,204467240,63896,31,3295.0,3138.0
2013-11-02,3040.0,3295.0,3040.0,3134.0,287652960,90000,48,3138.0,3295.0
2013-11-04,3275.0,3290.0,3275.0,3282.0,312942500,93500,26,3134.0,3290.0
2013-11-05,3446.0,3446.0,3446.0,3446.0,3514000,1000,1,3282.0,3446.0
2013-11-10,3617.0,3617.0,3617.0,3617.0,137507475,37275,12,3446.0,3617.0
2013-11-17,3798.0,3798.0,3798.0,3798.0,38730000,10000,5,3617.0,3798.0
2013-11-18,3987.0,3987.0,3987.0,3987.0,45173260,11110,5,3798.0,3987.0
2013-11-19,4186.0,4186.0,4186.0,4186.0,285382650,66850,12,3987.0,4186.0
2013-11-20,4186.0,4186.0,4186.0,4186.0,30314169,7101,1,4186.0,4186.0
2013-11-23,4391.0,4395.0,4391.0,4393.0,179200000,40000,5,4186.0,4395.0
