date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-05-08,1514.0,1514.0,1513.0,1513.0,171934216,155436,12,0.0,1513.0
2002-05-14,1511.0,1513.0,1511.0,1513.0,67204341,60764,267,1513.0,1513.0
2002-05-15,1513.0,1513.0,1504.0,1504.0,833324,754,2,1513.0,1504.0
2002-05-18,1504.0,1504.0,1500.0,1500.0,4800431,4370,8,1504.0,1500.0
2002-05-19,1502.0,1504.0,1502.0,1504.0,18985576,17268,90,1500.0,1504.0
2002-05-20,1504.0,1504.0,1504.0,1504.0,25305500,23005,117,1504.0,1504.0
2002-05-21,1506.0,1506.0,1504.0,1504.0,42925000,39019,129,1504.0,1504.0
2002-05-22,1506.0,1506.0,1504.0,1504.0,28416750,25833,133,1504.0,1504.0
2002-05-25,1504.0,1504.0,1503.0,1504.0,28395732,25821,134,1504.0,1504.0
2002-05-26,1506.0,1506.0,1504.0,1504.0,25606700,23278,111,1504.0,1504.0
2002-05-27,1504.0,1504.0,1504.0,1504.0,50459200,45872,109,1504.0,1504.0
2002-05-28,1504.0,1504.0,1504.0,1504.0,22324500,20295,74,1504.0,1504.0
2002-05-29,1504.0,1504.0,1504.0,1504.0,15023800,13658,50,1504.0,1504.0
2002-06-01,1504.0,1504.0,1504.0,1504.0,2172500,1975,4,1504.0,1504.0
2002-06-02,1504.0,1504.0,1504.0,1504.0,22740300,20673,117,1504.0,1504.0
2002-06-03,1507.0,1507.0,1502.0,1507.0,44647568,40565,150,1504.0,1507.0
2002-06-08,1506.0,1506.0,1506.0,1506.0,118908,108,3,1507.0,1506.0
2002-06-09,1504.0,1507.0,1504.0,1506.0,23010588,20901,13,1506.0,1506.0
2002-06-11,1500.0,1500.0,1500.0,1500.0,984009,897,2,1506.0,1500.0
2002-06-16,1426.0,1426.0,1426.0,1426.0,4241881,4067,11,1500.0,1426.0
2002-06-18,1368.0,1426.0,1368.0,1426.0,139419000,138989,97,1426.0,1426.0
2002-06-19,1426.0,1426.0,1422.0,1426.0,38784681,37201,139,1426.0,1426.0
2002-06-22,1422.0,1426.0,1422.0,1426.0,23172474,22259,111,1426.0,1426.0
2002-06-23,1426.0,1437.0,1426.0,1437.0,55710343,53173,189,1426.0,1437.0
2002-06-24,1437.0,1440.0,1437.0,1440.0,28300972,26880,105,1437.0,1440.0
2002-06-25,1440.0,1450.0,1440.0,1450.0,52970208,50000,239,1440.0,1450.0
2002-06-26,1457.0,1457.0,1457.0,1457.0,23609985,22169,46,1450.0,1457.0
2002-06-29,1457.0,1457.0,1457.0,1457.0,48548025,45585,225,1457.0,1457.0
2002-06-30,1455.0,1457.0,1455.0,1457.0,1983556,1863,2,1457.0,1457.0
2002-07-01,1455.0,1457.0,1454.0,1457.0,38752408,36402,179,1457.0,1457.0
2002-07-02,1455.0,1457.0,1454.0,1457.0,35752139,33594,88,1457.0,1457.0
2002-07-03,1457.0,1457.0,1457.0,1457.0,10703250,10050,9,1457.0,1457.0
2002-07-06,1457.0,1463.0,1457.0,1463.0,107119852,100164,168,1457.0,1463.0
2002-07-07,1463.0,1463.0,1457.0,1457.0,16359390,15356,8,1463.0,1457.0
2002-07-09,1455.0,1463.0,1455.0,1463.0,41619255,38947,81,1457.0,1463.0
2002-07-10,1463.0,1463.0,1463.0,1463.0,90740280,84804,155,1463.0,1463.0
2002-07-13,1463.0,1463.0,1463.0,1463.0,893450,835,2,1463.0,1463.0
2002-07-15,1459.0,1470.0,1459.0,1463.0,39489165,36920,175,1463.0,1463.0
2002-07-16,1463.0,1470.0,1463.0,1470.0,16554090,15467,46,1463.0,1470.0
2002-07-17,1469.0,1469.0,1466.0,1466.0,4961104,4621,4,1470.0,1466.0
2002-07-20,1462.0,1462.0,1457.0,1457.0,7275167,6823,5,1466.0,1457.0
2002-07-21,1457.0,1457.0,1452.0,1452.0,4614062,4343,3,1457.0,1452.0
2002-07-22,1440.0,1446.0,1440.0,1446.0,22133046,20967,66,1452.0,1446.0
2002-07-23,1443.0,1446.0,1443.0,1446.0,17148266,16232,40,1446.0,1446.0
2002-07-24,1444.0,1472.0,1444.0,1472.0,73806578,69497,39,1446.0,1472.0
2002-07-27,1485.0,1485.0,1485.0,1485.0,14422080,13280,5,1472.0,1485.0
2002-07-28,1487.0,1498.0,1485.0,1498.0,17478724,16032,5,1485.0,1498.0
2002-07-29,1491.0,1504.0,1491.0,1504.0,19150105,17447,10,1498.0,1504.0
2002-07-30,1539.0,1539.0,1539.0,1539.0,1832625,1629,1,1504.0,1539.0
2002-07-31,1547.0,1547.0,1547.0,1547.0,6070077,5367,2,1539.0,1547.0
2002-08-03,1554.0,1554.0,1504.0,1552.0,62941254,55655,54,1547.0,1552.0
2002-08-04,1552.0,1559.0,1552.0,1559.0,20340395,17877,35,1552.0,1559.0
2002-08-05,1567.0,1567.0,1566.0,1566.0,18653905,16289,25,1559.0,1566.0
2002-08-06,1573.0,1573.0,1573.0,1573.0,15539950,13513,9,1566.0,1573.0
2002-08-07,1584.0,1584.0,1580.0,1580.0,17659885,15286,7,1573.0,1580.0
2002-08-10,1588.0,1589.0,1586.0,1586.0,15277761,13152,8,1580.0,1586.0
2002-08-11,1593.0,1593.0,1593.0,1593.0,11650000,10000,2,1586.0,1593.0
2002-08-13,1600.0,1600.0,1600.0,1600.0,33790770,28881,49,1593.0,1600.0
2002-08-14,1607.0,1607.0,1607.0,1607.0,15275000,13000,4,1600.0,1607.0
2002-08-17,1641.0,1641.0,1627.0,1627.0,23797410,19939,11,1607.0,1627.0
2002-08-18,1643.0,1643.0,1641.0,1641.0,32172530,26807,65,1627.0,1641.0
2002-08-19,1627.0,1641.0,1627.0,1641.0,14441800,12044,34,1641.0,1641.0
