date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-06-22,218.0,218.0,218.0,218.0,1205100000,1030000,75,218.0,218.0
2002-06-23,218.0,218.0,218.0,218.0,117000000,100000,175,218.0,218.0
2002-06-24,218.0,218.0,218.0,218.0,124020000,106000,338,218.0,218.0
2002-06-25,218.0,218.0,218.0,218.0,58500000,50000,257,218.0,218.0
2002-06-26,218.0,218.0,218.0,218.0,164659950,140735,249,218.0,218.0
2002-06-29,219.0,219.0,218.0,218.0,43356801,37056,243,218.0,218.0
2002-06-30,218.0,218.0,218.0,218.0,95336280,81484,12,218.0,218.0
2002-07-01,218.0,219.0,218.0,218.0,73386410,62723,282,218.0,218.0
2002-07-02,218.0,218.0,218.0,218.0,112364460,96038,481,218.0,218.0
2002-07-03,218.0,219.0,218.0,219.0,7021000,6000,2,218.0,219.0
2002-07-06,218.0,219.0,218.0,219.0,34150181,29193,17,219.0,219.0
2002-07-07,218.0,219.0,218.0,219.0,15497553,13243,7,219.0,219.0
2002-07-08,219.0,219.0,219.0,219.0,7032000,6000,2,219.0,219.0
2002-07-10,219.0,219.0,218.0,219.0,100121437,85519,16,219.0,219.0
2002-07-13,219.0,219.0,219.0,219.0,1174000,1000,5,219.0,219.0
2002-07-14,219.0,219.0,219.0,219.0,1897348,1615,4,219.0,219.0
2002-07-15,219.0,219.0,219.0,219.0,1175000,1000,1,219.0,219.0
2002-07-16,220.0,220.0,220.0,220.0,1176000,1000,2,219.0,220.0
2002-07-17,220.0,220.0,220.0,220.0,26479136,22512,5,220.0,220.0
2002-07-20,220.0,220.0,220.0,220.0,2836674,2406,2,220.0,220.0
2002-07-21,220.0,220.0,220.0,220.0,14818672,12568,9,220.0,220.0
2002-07-22,221.0,221.0,221.0,221.0,64653845,54745,19,220.0,221.0
2002-07-23,222.0,222.0,221.0,221.0,12806342,10801,3,221.0,221.0
2002-07-24,221.0,221.0,221.0,221.0,3013216,2545,2,221.0,221.0
2002-07-27,221.0,221.0,221.0,221.0,5930000,5000,1,221.0,221.0
2002-07-28,222.0,222.0,222.0,222.0,13057000,11000,2,221.0,222.0
2002-07-29,224.0,224.0,222.0,222.0,35478965,29708,7,222.0,222.0
2002-07-30,222.0,222.0,222.0,222.0,5533704,4658,3,222.0,222.0
2002-07-31,222.0,222.0,222.0,222.0,1117639225,939201,9,222.0,222.0
2002-08-03,224.0,224.0,224.0,224.0,68663572,57172,8,222.0,224.0
2002-08-04,224.0,225.0,224.0,225.0,78732595,65384,20,224.0,225.0
2002-08-05,232.0,232.0,226.0,226.0,16989690,13790,5,225.0,226.0
2002-08-06,228.0,228.0,228.0,228.0,1248683,1021,1,226.0,228.0
2002-08-07,230.0,230.0,230.0,230.0,1276192,1036,3,228.0,230.0
2002-08-10,231.0,231.0,231.0,231.0,18110917,14641,2,230.0,231.0
2002-08-11,234.0,235.0,234.0,235.0,80392830,63947,67,231.0,235.0
2002-08-13,238.0,238.0,238.0,238.0,2094085,1645,3,235.0,238.0
2002-08-14,240.0,240.0,240.0,240.0,6649372,5174,5,238.0,240.0
2002-08-17,252.0,252.0,252.0,252.0,1915650,1419,2,240.0,252.0
2002-08-18,265.0,265.0,265.0,265.0,22504794,15882,8,252.0,265.0
2002-08-19,278.0,278.0,278.0,278.0,4461000,3000,4,265.0,278.0
2002-08-20,278.0,284.0,278.0,283.0,177632834,118944,89,278.0,283.0
2002-08-21,297.0,297.0,297.0,297.0,1919565,1205,3,283.0,297.0
2002-08-24,312.0,312.0,312.0,312.0,2125112,1271,1,297.0,312.0
2002-08-25,328.0,328.0,328.0,328.0,2311335,1317,4,312.0,328.0
2002-08-26,344.0,344.0,328.0,328.0,188327974,104769,67,328.0,328.0
2002-08-31,328.0,328.0,328.0,328.0,3510000,2000,3,328.0,328.0
2002-09-01,328.0,329.0,328.0,328.0,38988351,22205,18,328.0,328.0
2002-09-02,327.0,328.0,311.0,328.0,72327042,42695,29,328.0,328.0
2002-09-03,328.0,328.0,328.0,328.0,8893830,5066,5,328.0,328.0
2002-09-04,328.0,328.0,328.0,328.0,46361334,26400,12,328.0,328.0
2002-09-07,328.0,328.0,328.0,328.0,2674154,1522,4,328.0,328.0
2002-09-08,328.0,328.0,312.0,328.0,21597714,12360,8,328.0,328.0
2002-09-09,328.0,328.0,328.0,328.0,68414609,39000,36,328.0,328.0
2002-09-11,328.0,328.0,328.0,328.0,3336727,1900,4,328.0,328.0
2002-09-14,328.0,328.0,328.0,328.0,19850665,11315,5,328.0,328.0
2002-09-15,327.0,327.0,327.0,327.0,2173720,1240,11,328.0,327.0
2002-09-16,327.0,327.0,327.0,327.0,10222920,5835,2,327.0,327.0
2002-09-17,326.0,327.0,326.0,326.0,26893727,15385,24,327.0,326.0
2002-09-18,325.0,325.0,325.0,325.0,1742000,1000,7,326.0,325.0
2002-09-22,325.0,325.0,325.0,325.0,6205660,3570,3,325.0,325.0
