date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-08-20,511.0,511.0,511.0,511.0,1482950000,780500,1454,0.0,511.0
2005-08-21,536.0,536.0,536.0,536.0,1473307500,738500,403,511.0,536.0
2005-08-22,563.0,563.0,562.0,562.0,9787663124,4674161,1017,536.0,562.0
2005-08-23,590.0,590.0,578.0,589.0,3003714759,1373597,316,562.0,589.0
2005-08-24,589.0,618.0,583.0,613.0,2579902248,1131245,799,589.0,613.0
2005-08-27,631.0,643.0,631.0,642.0,1352817726,565835,240,613.0,642.0
2005-08-28,663.0,672.0,645.0,658.0,7481766048,3055116,933,642.0,658.0
2005-08-29,648.0,666.0,626.0,642.0,4211407174,1762089,511,658.0,642.0
2005-08-30,630.0,637.0,612.0,622.0,2389874848,1032112,452,642.0,622.0
2005-08-31,631.0,657.0,631.0,650.0,1112224853,459262,192,622.0,650.0
2005-09-03,683.0,683.0,640.0,671.0,2786365851,1115339,370,650.0,671.0
2005-09-04,645.0,650.0,638.0,641.0,885014387,371057,159,671.0,641.0
2005-09-05,626.0,634.0,621.0,629.0,812448615,346814,178,641.0,629.0
2005-09-06,613.0,627.0,607.0,616.0,808846284,352966,169,629.0,616.0
2005-09-07,615.0,646.0,615.0,643.0,2748647468,1148374,357,616.0,643.0
2005-09-10,662.0,669.0,634.0,652.0,850862143,350691,121,643.0,652.0
2005-09-11,650.0,656.0,632.0,645.0,498815267,207897,81,652.0,645.0
2005-09-12,636.0,636.0,613.0,615.0,731996152,319749,104,645.0,615.0
2005-09-13,616.0,630.0,606.0,615.0,1109065779,484436,164,615.0,615.0
2005-09-14,639.0,639.0,605.0,609.0,781884151,345174,135,615.0,609.0
2005-09-17,624.0,639.0,618.0,629.0,1573675971,671268,182,609.0,629.0
2005-09-18,618.0,618.0,598.0,599.0,1337707840,600081,189,629.0,599.0
2005-09-19,599.0,623.0,591.0,605.0,1630840476,724384,221,599.0,605.0
2005-09-21,605.0,605.0,592.0,594.0,399313906,180544,73,605.0,594.0
2005-09-24,608.0,624.0,606.0,617.0,855344612,372321,127,594.0,617.0
2005-09-25,592.0,592.0,587.0,587.0,183315090,83890,35,617.0,587.0
2005-09-26,558.0,562.0,558.0,558.0,1398348032,672882,195,587.0,558.0
2005-09-27,531.0,531.0,531.0,531.0,158000000,80000,17,558.0,531.0
2005-09-28,504.0,529.0,504.0,505.0,2262294404,1203425,310,531.0,505.0
2005-10-01,530.0,530.0,484.0,511.0,1092828331,575035,190,505.0,511.0
