date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-05-31,165.0,177.0,146.0,164.0,147250000,355000,7,394.0,177.0
2016-06-05,209.0,213.0,207.0,207.0,103655000,197000,5,164.0,207.0
2016-06-06,217.0,260.0,197.0,219.0,342345000,617000,11,207.0,199.0
2016-06-07,199.0,229.0,197.0,199.0,244775800,485260,6,219.0,201.0
2016-06-08,200.0,200.0,197.0,197.0,12535000,25000,2,199.0,197.0
2016-06-11,199.0,199.0,193.0,195.0,216217526,437000,11,197.0,195.0
2016-06-12,193.0,193.0,193.0,193.0,30870000,63000,1,195.0,193.0
2016-06-13,192.0,192.0,191.0,191.0,97300000,200000,2,193.0,191.0
2016-06-14,181.0,188.0,181.0,184.0,215150000,460000,5,191.0,181.0
2016-06-19,193.0,193.0,146.0,163.0,561265330,1354138,18,184.0,159.0
2016-06-20,138.0,158.0,138.0,148.0,751000000,2000000,2,163.0,158.0
2016-06-21,146.0,151.0,139.0,143.0,152330000,420000,8,148.0,148.0
2016-06-22,172.0,172.0,172.0,172.0,43600000,100000,3,143.0,172.0
2016-06-25,158.0,177.0,158.0,173.0,128175000,292500,8,172.0,177.0
2016-06-26,177.0,177.0,177.0,177.0,25875000,57500,3,173.0,177.0
2016-06-28,177.0,189.0,177.0,181.0,71584500,155500,4,177.0,189.0
2016-06-29,177.0,177.0,177.0,177.0,36000000,80000,2,181.0,177.0
2016-07-02,177.0,177.0,177.0,177.0,22500000,50000,1,177.0,177.0
2016-07-03,169.0,169.0,169.0,169.0,8600000,20000,2,177.0,169.0
2016-07-04,166.0,166.0,162.0,163.0,73915144,178362,6,169.0,162.0
2016-07-10,185.0,185.0,185.0,185.0,3290000,7000,1,163.0,185.0
2016-07-18,185.0,185.0,185.0,185.0,46900,100,1,185.0,185.0
2016-07-23,171.0,178.0,171.0,176.0,31442850,70493,7,185.0,177.0
2016-07-24,177.0,177.0,173.0,173.0,3861510,8776,2,176.0,173.0
2016-07-25,177.0,181.0,177.0,180.0,32000000,70000,3,173.0,181.0
2016-07-26,173.0,173.0,162.0,167.0,42284468,100000,3,180.0,162.0
2016-07-27,177.0,183.0,177.0,183.0,4635105,10000,2,167.0,183.0
2016-07-31,175.0,176.0,175.0,175.0,9577500,21500,2,183.0,176.0
2016-08-01,181.0,181.0,169.0,171.0,10009507,23000,5,175.0,169.0
2016-08-02,169.0,177.0,169.0,172.0,654500,1500,2,171.0,177.0
2016-08-06,169.0,169.0,169.0,169.0,645000,1500,1,172.0,169.0
2016-08-07,165.0,165.0,162.0,162.0,206150000,500000,5,169.0,162.0
2016-08-08,177.0,177.0,162.0,163.0,25057760,60620,3,162.0,162.0
2016-08-13,158.0,158.0,158.0,158.0,80200000,200000,2,163.0,158.0
2016-08-16,162.0,162.0,162.0,162.0,247200,600,1,158.0,162.0
2016-08-17,162.0,162.0,160.0,160.0,20354417,50000,3,162.0,160.0
2016-08-22,160.0,160.0,160.0,160.0,4305555,10631,1,160.0,160.0
