date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-08-10,1536.0,3073.0,1536.0,1571.0,4944571550,3120001,73,21.0,3073.0
2019-09-02,1617.0,1665.0,1617.0,1629.0,23011200000,14000000,289,1571.0,1665.0
2019-09-04,1678.0,1678.0,1678.0,1678.0,45918966427,27122839,900,1629.0,1678.0
2019-09-28,2514.0,2572.0,2439.0,2459.0,48233804236,19435460,926,1678.0,2452.0
2019-09-29,2421.0,2507.0,2386.0,2392.0,13302962427,5510973,449,2459.0,2386.0
2019-09-30,2411.0,2444.0,2321.0,2334.0,18070192493,7672467,558,2392.0,2321.0
2019-10-01,2278.0,2368.0,2264.0,2283.0,11426045005,4959029,386,2334.0,2264.0
2019-10-02,2239.0,2351.0,2239.0,2342.0,7074298165,2994224,207,2283.0,2351.0
2019-10-05,2408.0,2411.0,2272.0,2336.0,10172463390,4315134,291,2342.0,2272.0
2019-10-06,2266.0,2266.0,2266.0,2266.0,1691396590,739570,72,2336.0,2266.0
2019-10-07,2240.0,2299.0,2199.0,2206.0,3487354727,1566873,123,2266.0,2199.0
2019-10-08,2268.0,2271.0,2155.0,2255.0,8733000376,3836840,201,2206.0,2180.0
2019-10-09,2269.0,2319.0,2220.0,2266.0,1364733647,596828,86,2255.0,2302.0
2019-10-12,2332.0,2334.0,2262.0,2332.0,1680062387,713957,63,2266.0,2328.0
2019-10-13,2368.0,2401.0,2328.0,2379.0,3595615712,1497467,166,2332.0,2339.0
2019-10-14,2329.0,2378.0,2308.0,2317.0,665630088,284649,42,2379.0,2308.0
2019-10-15,2375.0,2375.0,2247.0,2280.0,110438752,47996,8,2317.0,2247.0
2019-10-16,2212.0,2212.0,2212.0,2212.0,53045712,23766,13,2280.0,2212.0
2019-10-20,2146.0,2146.0,2146.0,2146.0,4023041760,1857360,57,2212.0,2146.0
2019-10-22,2083.0,2083.0,2020.0,2028.0,910133962,444601,27,2146.0,2071.0
2019-10-23,2002.0,2002.0,1968.0,1972.0,302441070,151990,23,2028.0,1968.0
2019-10-30,2180.0,2230.0,2115.0,2138.0,1726599454,799955,156,1972.0,2167.0
2019-11-02,2197.0,2197.0,2075.0,2081.0,4059021522,1932744,103,2138.0,2075.0
2019-11-03,2020.0,2079.0,2018.0,2018.0,2109617935,1035440,82,2081.0,2018.0
2019-11-04,1959.0,1982.0,1958.0,1959.0,3696356008,1870043,158,2018.0,1958.0
2019-11-05,1982.0,2035.0,1875.0,1968.0,605365578,304745,52,1959.0,2035.0
2019-11-09,2026.0,2026.0,1909.0,1954.0,1094636365,554963,75,1968.0,1909.0
2019-11-13,2002.0,2002.0,1942.0,1982.0,283349320,141646,23,1954.0,1942.0
2019-11-16,1922.0,1922.0,1922.0,1922.0,728033500,375275,32,1982.0,1922.0
2019-11-17,1865.0,1865.0,1865.0,1865.0,21746510,11555,4,1922.0,1865.0
2019-11-18,1809.0,1810.0,1809.0,1809.0,955574364,523314,39,1865.0,1809.0
2019-11-19,1726.0,1900.0,1726.0,1831.0,6733876986,3643635,271,1809.0,1832.0
2019-11-20,1797.0,1886.0,1797.0,1876.0,6243695194,3298546,356,1831.0,1886.0
2019-11-23,1931.0,1931.0,1846.0,1926.0,3340012921,1717941,157,1876.0,1930.0
2019-11-24,1930.0,1930.0,1869.0,1872.0,1669800029,883882,174,1926.0,1869.0
2019-11-25,1903.0,1907.0,1835.0,1862.0,1901089159,1011560,135,1872.0,1835.0
2019-11-30,1982.0,1982.0,1922.0,1926.0,2295519061,1180785,96,1862.0,1922.0
2019-12-01,1927.0,1927.0,1869.0,1869.0,1085261552,575332,34,1926.0,1869.0
2019-12-02,1924.0,1924.0,1867.0,1868.0,4997437804,2651513,158,1869.0,1867.0
2019-12-09,1981.0,1982.0,1922.0,1945.0,1234242314,628874,54,1868.0,1922.0
2019-12-10,1888.0,1998.0,1888.0,1914.0,26879979332,13913424,941,1945.0,1929.0
2019-12-11,1962.0,1971.0,1913.0,1970.0,17310523485,8707853,564,1914.0,1971.0
2019-12-14,2028.0,2028.0,2028.0,2028.0,639724346,312518,29,1970.0,2028.0
2019-12-15,2089.0,2089.0,2089.0,2089.0,330492240,156780,25,2028.0,2089.0
2019-12-16,2193.0,2193.0,2193.0,2193.0,344508775,155675,17,2089.0,2193.0
2019-12-17,2258.0,2258.0,2258.0,2258.0,50509477,22163,12,2193.0,2258.0
2019-12-18,2326.0,2326.0,2326.0,2326.0,100252105,42715,10,2258.0,2326.0
2019-12-21,2395.0,2395.0,2326.0,2394.0,12957999309,5363878,328,2326.0,2395.0
2019-12-22,2513.0,2513.0,2411.0,2503.0,9976443617,3949932,277,2394.0,2513.0
2019-12-23,2577.0,2577.0,2429.0,2563.0,25440221057,9836000,703,2503.0,2577.0
2019-12-24,2639.0,2639.0,2639.0,2639.0,6957673360,2612720,181,2563.0,2639.0
2019-12-25,2717.0,2717.0,2717.0,2717.0,970459608,353924,25,2639.0,2717.0
