date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-17,174.0,174.0,174.0,174.0,16000000,20000,1,208.0,174.0
2014-03-17,261.0,261.0,261.0,261.0,39600000,33000,4,174.0,261.0
2014-03-18,261.0,261.0,261.0,261.0,12000000,10000,1,261.0,261.0
2014-03-25,261.0,261.0,261.0,261.0,24000000,20000,1,261.0,261.0
2014-03-30,261.0,261.0,261.0,261.0,1200000,1000,1,261.0,261.0
2014-04-30,261.0,261.0,261.0,261.0,216000000,180000,1,261.0,261.0
2014-05-05,261.0,261.0,239.0,250.0,230000,200,2,261.0,239.0
2014-05-14,239.0,239.0,239.0,239.0,110000,100,1,250.0,239.0
2014-05-24,174.0,174.0,174.0,174.0,3844800,4800,5,239.0,174.0
2014-05-25,174.0,174.0,174.0,174.0,1477044,1844,1,174.0,174.0
2014-06-21,174.0,174.0,174.0,174.0,14436000,18000,1,174.0,174.0
2014-06-24,239.0,261.0,239.0,240.0,7420000,6700,2,174.0,261.0
2014-06-25,174.0,174.0,174.0,174.0,1602000,2000,1,240.0,174.0
2014-07-05,239.0,239.0,239.0,239.0,19025600,17296,4,174.0,239.0
2014-07-06,195.0,195.0,195.0,195.0,4500000,5000,1,239.0,195.0
2014-07-12,239.0,239.0,239.0,239.0,6257300,5691,2,195.0,239.0
2014-07-15,239.0,239.0,239.0,239.0,1101100,1001,1,239.0,239.0
2014-07-16,239.0,239.0,239.0,239.0,989799,899,1,239.0,239.0
2014-08-11,214.0,214.0,214.0,214.0,2415000,3000,1,239.0,214.0
2014-08-19,213.0,213.0,213.0,213.0,2409000,3000,1,214.0,213.0
2014-08-31,226.0,226.0,226.0,226.0,850000,1000,1,213.0,226.0
2014-09-15,228.0,228.0,228.0,228.0,11180000,13000,1,226.0,228.0
2014-09-30,226.0,226.0,226.0,226.0,2550000,3000,1,228.0,226.0
2014-10-20,292.0,292.0,292.0,292.0,3300000,3000,1,226.0,292.0
2014-10-21,292.0,292.0,292.0,292.0,199098900,180999,2,292.0,292.0
2014-10-22,265.0,265.0,265.0,265.0,990000,990,1,292.0,265.0
2014-10-26,292.0,292.0,292.0,292.0,1645600,1496,3,265.0,292.0
2014-10-28,265.0,265.0,265.0,265.0,910000,910,1,292.0,265.0
2014-11-01,292.0,292.0,292.0,292.0,3300,3,1,265.0,292.0
2014-11-10,318.0,318.0,318.0,318.0,12000000,10000,1,292.0,318.0
2014-12-07,266.0,266.0,227.0,246.0,9282565,10003,2,318.0,227.0
2014-12-08,292.0,292.0,292.0,292.0,550500,500,1,246.0,292.0
2014-12-29,213.0,226.0,213.0,218.0,23037876,27998,3,292.0,226.0
