date,open,high,low,adjClose,value,volume,count,yesterday,close
2010-10-26,1002.0,1002.0,1002.0,1002.0,172187500000,59375000,591,345.0,1002.0
2010-10-27,967.0,1019.0,952.0,1005.0,30601279332,10523710,1211,1002.0,1018.0
2010-10-30,1017.0,1033.0,1002.0,1021.0,4444142277,1503668,162,1005.0,1016.0
2010-10-31,1017.0,1017.0,975.0,1000.0,6335766234,2187716,193,1021.0,998.0
2010-11-01,1004.0,1012.0,1002.0,1003.0,4526723639,1559268,203,1000.0,1003.0
2010-11-02,1003.0,1006.0,1002.0,1003.0,8104358448,2791916,231,1003.0,1003.0
2010-11-03,1004.0,1005.0,1003.0,1003.0,3060382547,1053748,110,1003.0,1003.0
2010-11-06,1005.0,1009.0,1003.0,1003.0,5671070480,1952620,130,1003.0,1003.0
2010-11-07,1002.0,1002.0,968.0,972.0,474627972,168628,21,1003.0,968.0
2010-11-08,972.0,998.0,967.0,972.0,619422988,220040,27,972.0,983.0
2010-11-09,984.0,984.0,967.0,973.0,91512375,32501,7,972.0,967.0
2010-11-10,956.0,970.0,954.0,964.0,888156043,318378,43,973.0,970.0
2010-11-13,955.0,967.0,916.0,953.0,787456995,285358,45,964.0,948.0
2010-11-14,915.0,962.0,906.0,928.0,819286200,305000,25,953.0,947.0
2010-11-15,950.0,960.0,905.0,950.0,700032217,254525,43,928.0,950.0
2010-11-16,953.0,960.0,914.0,951.0,1232280720,447645,73,950.0,953.0
2010-11-20,955.0,967.0,926.0,959.0,994313279,358000,35,951.0,926.0
2010-11-21,967.0,967.0,933.0,961.0,358107000,128700,33,959.0,962.0
2010-11-22,966.0,966.0,950.0,956.0,138575808,50100,9,961.0,963.0
2010-11-23,964.0,964.0,917.0,950.0,609073000,221370,35,956.0,958.0
2010-11-24,950.0,960.0,950.0,951.0,127716547,46411,7,950.0,959.0
2010-11-27,924.0,967.0,924.0,952.0,386226841,140184,30,951.0,943.0
2010-11-28,963.0,964.0,937.0,957.0,39704360,14330,4,952.0,937.0
2010-11-29,937.0,962.0,936.0,954.0,210722520,76309,18,957.0,959.0
2010-11-30,954.0,963.0,928.0,955.0,1441968473,521601,64,954.0,953.0
2010-12-01,947.0,960.0,933.0,956.0,238032602,86029,15,955.0,957.0
2010-12-04,950.0,960.0,929.0,958.0,1951316158,703741,51,956.0,957.0
