date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-20,77.0,77.0,77.0,77.0,208200000,100000,1,37.0,77.0
2014-05-25,77.0,77.0,77.0,77.0,4164000,2000,1,77.0,77.0
2014-08-13,91.0,91.0,91.0,91.0,104100000,50000,1,77.0,91.0
2014-10-25,91.0,91.0,91.0,91.0,78712500,37500,1,91.0,91.0
2015-01-07,91.0,91.0,91.0,91.0,36750000,17500,1,91.0,91.0
2015-05-09,96.0,96.0,96.0,96.0,110000000,50000,3,91.0,96.0
2015-06-02,98.0,98.0,98.0,98.0,67530000,30000,1,96.0,98.0
2015-06-16,131.0,131.0,117.0,124.0,114000000,40000,2,98.0,117.0
2015-06-20,117.0,117.0,117.0,117.0,27000000,10000,1,124.0,117.0
2015-06-22,117.0,117.0,117.0,117.0,27000000,10000,1,117.0,117.0
2015-07-05,120.0,120.0,117.0,118.0,135500000,50000,4,117.0,117.0
2015-07-14,174.0,174.0,174.0,174.0,80000000,20000,2,118.0,174.0
2015-07-15,183.0,183.0,183.0,183.0,42000000,10000,2,174.0,183.0
2015-09-01,203.0,203.0,203.0,203.0,1797400000,418000,1,183.0,203.0
2015-09-08,192.0,203.0,192.0,200.0,1255907000,295300,7,203.0,197.0
2015-09-20,196.0,196.0,196.0,196.0,417000,100,1,200.0,196.0
2015-09-22,196.0,196.0,195.0,196.0,832000,200,2,196.0,195.0
2015-09-28,197.0,197.0,195.0,197.0,457290000,109400,3,196.0,195.0
2015-09-29,212.0,212.0,212.0,212.0,45000000,10000,1,197.0,212.0
2015-10-07,226.0,226.0,226.0,226.0,19104000,3980,1,212.0,226.0
2015-10-10,225.0,240.0,225.0,235.0,137050000,27500,3,226.0,240.0
2015-10-11,254.0,259.0,254.0,258.0,119400000,21800,2,235.0,259.0
2015-10-12,259.0,259.0,259.0,259.0,182600000,33200,1,258.0,259.0
2015-10-17,259.0,259.0,259.0,259.0,990000,180,1,259.0,259.0
2015-10-20,259.0,259.0,259.0,259.0,552062500,100375,3,259.0,259.0
2015-10-31,254.0,254.0,254.0,254.0,27000000,5000,3,259.0,254.0
2015-11-22,230.0,230.0,230.0,230.0,48819200,40000,3,254.0,230.0
2015-12-26,251.0,252.0,251.0,251.0,13332000,10000,2,230.0,252.0
2016-01-04,251.0,251.0,247.0,247.0,26223000,20000,3,251.0,247.0
2016-01-10,247.0,247.0,247.0,247.0,65550000,50000,1,247.0,247.0
2016-02-09,249.0,249.0,249.0,249.0,264000000,200000,1,247.0,249.0
