date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-12-07,562.0,562.0,562.0,562.0,3101000000,1000000,2,178.0,562.0
2016-10-02,543.0,543.0,543.0,543.0,30000000,10000,1,562.0,543.0
2017-01-16,547.0,547.0,543.0,545.0,3199000,1100,3,543.0,543.0
2017-01-17,543.0,543.0,543.0,543.0,290000,100,1,545.0,543.0
2017-02-01,543.0,543.0,543.0,543.0,205900,71,1,543.0,543.0
2017-02-05,562.0,562.0,562.0,562.0,3300000,1100,1,543.0,562.0
2017-02-11,581.0,581.0,581.0,581.0,3100000,1000,1,562.0,581.0
2017-02-27,581.0,581.0,581.0,581.0,3546400,1144,1,581.0,581.0
2017-04-10,581.0,581.0,581.0,581.0,155000,50,1,581.0,581.0
2017-04-15,562.0,562.0,562.0,562.0,756000,252,1,581.0,562.0
2017-04-22,562.0,562.0,562.0,562.0,270000,90,1,562.0,562.0
2017-06-06,562.0,562.0,562.0,562.0,756000,252,1,562.0,562.0
2017-07-19,618.0,618.0,618.0,618.0,20852700,6319,1,562.0,618.0
2017-07-24,680.0,680.0,680.0,680.0,36329040,10008,3,618.0,680.0
2017-08-02,748.0,748.0,748.0,748.0,1135581249,284393,16,680.0,748.0
2017-08-06,823.0,823.0,823.0,823.0,71589600,16300,7,748.0,823.0
2017-08-07,905.0,905.0,905.0,905.0,107731300,22300,7,823.0,905.0
2017-08-08,996.0,996.0,996.0,996.0,2122016994,399328,59,905.0,996.0
2017-08-09,1066.0,1066.0,896.0,917.0,1137604550,232556,69,996.0,1020.0
2017-08-12,1007.0,1007.0,864.0,876.0,309577303,66251,23,917.0,890.0
2017-08-13,935.0,963.0,916.0,948.0,995596834,196705,43,876.0,963.0
2017-08-14,993.0,1043.0,993.0,1041.0,911487161,164011,57,948.0,1040.0
2017-08-15,1124.0,1124.0,937.0,948.0,1080814939,213565,84,1041.0,937.0
2017-08-16,993.0,1021.0,890.0,944.0,771889635,153192,87,948.0,891.0
2017-08-19,991.0,991.0,853.0,880.0,622576318,132517,50,944.0,857.0
2017-08-20,857.0,857.0,793.0,795.0,405179222,95547,39,880.0,793.0
2017-08-21,750.0,804.0,749.0,750.0,1933606172,483318,143,795.0,753.0
2017-08-22,768.0,825.0,768.0,816.0,481385160,110624,41,750.0,825.0
2017-08-23,897.0,897.0,825.0,875.0,2074547813,444464,119,816.0,840.0
2017-08-26,871.0,878.0,788.0,799.0,439220783,103062,70,875.0,815.0
2017-08-27,838.0,879.0,818.0,858.0,2087980918,455968,87,799.0,873.0
2017-08-28,937.0,937.0,862.0,869.0,15713942,3388,8,858.0,862.0
2017-08-29,881.0,918.0,806.0,826.0,382388319,86792,43,869.0,853.0
2017-08-30,803.0,856.0,803.0,849.0,666399828,147049,43,826.0,843.0
2017-09-02,888.0,900.0,834.0,848.0,1216764410,268836,49,849.0,843.0
2017-09-03,871.0,898.0,834.0,873.0,1926830744,413832,76,848.0,834.0
2017-09-04,834.0,853.0,806.0,839.0,209562892,46795,19,873.0,852.0
2017-09-05,872.0,872.0,796.0,820.0,431139091,98593,30,839.0,823.0
2017-09-06,777.0,838.0,777.0,815.0,320964340,73760,37,820.0,806.0
2017-09-10,834.0,840.0,834.0,834.0,139433000,31320,15,815.0,840.0
2017-09-11,830.0,851.0,806.0,831.0,754225503,170163,44,834.0,809.0
2017-09-12,808.0,808.0,806.0,807.0,806281816,187178,35,831.0,806.0
2017-09-13,825.0,825.0,731.0,765.0,382101280,93658,38,807.0,787.0
2017-09-16,841.0,841.0,796.0,822.0,177333421,40420,42,765.0,825.0
2017-09-17,752.0,815.0,752.0,772.0,283562249,68864,31,822.0,768.0
2017-09-18,768.0,816.0,759.0,783.0,597602208,143066,42,772.0,806.0
2017-09-19,768.0,796.0,760.0,771.0,84099100,20450,16,783.0,791.0
2017-09-20,787.0,796.0,787.0,795.0,78027300,18400,8,771.0,787.0
2017-09-23,764.0,785.0,761.0,772.0,199228212,48360,12,795.0,785.0
2017-09-24,751.0,787.0,750.0,768.0,35185351,8586,16,772.0,785.0
2017-09-25,785.0,785.0,733.0,752.0,162273804,40467,18,768.0,753.0
2017-09-27,752.0,796.0,676.0,725.0,1034766075,267281,60,752.0,767.0
2017-10-02,768.0,768.0,765.0,767.0,48008405,11731,14,725.0,765.0
2017-10-03,703.0,766.0,694.0,702.0,822094842,219536,60,767.0,710.0
2017-10-04,656.0,684.0,656.0,672.0,358454836,100009,28,702.0,670.0
2017-10-07,624.0,673.0,619.0,644.0,360306483,104869,28,672.0,673.0
2017-10-08,637.0,645.0,604.0,623.0,245567052,73847,24,644.0,609.0
2017-10-09,656.0,685.0,656.0,676.0,203754349,56482,14,623.0,685.0
2017-10-10,693.0,720.0,693.0,704.0,602302254,160258,50,676.0,703.0
2017-10-11,661.0,700.0,661.0,664.0,42674080,12040,3,704.0,700.0
2017-10-14,660.0,689.0,660.0,668.0,243745892,68428,21,664.0,663.0
