date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-19,1158.0,1158.0,1158.0,1158.0,1012900000,700000,4,800.0,1158.0
2013-12-11,1601.0,1601.0,1601.0,1601.0,30000000,15000,1,1158.0,1601.0
2013-12-22,2401.0,2401.0,2401.0,2401.0,4974000,1658,1,1601.0,2401.0
2013-12-25,2401.0,2401.0,2401.0,2401.0,9900000,3300,1,2401.0,2401.0
2014-01-14,1697.0,1697.0,1697.0,1697.0,21289040,10042,1,2401.0,1697.0
2014-02-10,1697.0,1697.0,1697.0,1697.0,31800000,15000,1,1697.0,1697.0
2014-02-24,1697.0,1697.0,1697.0,1697.0,31800000,15000,1,1697.0,1697.0
2014-03-02,1697.0,1697.0,1697.0,1697.0,6996000,3300,1,1697.0,1697.0
2014-03-04,1697.0,1697.0,1697.0,1697.0,31800000,15000,1,1697.0,1697.0
2014-03-10,1698.0,1698.0,1698.0,1698.0,994749,469,1,1697.0,1698.0
2014-03-26,1601.0,1601.0,1601.0,1601.0,30000000,15000,2,1698.0,1601.0
2014-04-05,1281.0,1281.0,1281.0,1281.0,24000000,15000,1,1601.0,1281.0
2014-04-14,1241.0,1241.0,1241.0,1241.0,15500000,10000,1,1281.0,1241.0
2014-04-15,1201.0,1201.0,1201.0,1201.0,15000000,10000,1,1241.0,1201.0
2014-04-26,1209.0,1209.0,1209.0,1209.0,3681380,2438,1,1201.0,1209.0
2014-05-05,1281.0,1281.0,1161.0,1172.0,1610000,1100,2,1209.0,1161.0
2014-05-10,1201.0,1201.0,1201.0,1201.0,150000,100,1,1172.0,1201.0
2014-05-14,1161.0,1161.0,1161.0,1161.0,14500000,10000,1,1201.0,1161.0
2014-05-21,1121.0,1121.0,1121.0,1121.0,14000000,10000,1,1161.0,1121.0
2014-06-02,1121.0,1121.0,1121.0,1121.0,21015000,15000,1,1121.0,1121.0
2014-06-03,1121.0,1121.0,1121.0,1121.0,10586800,7562,1,1121.0,1121.0
2014-06-23,1161.0,1161.0,1121.0,1150.0,4885000,3400,2,1121.0,1121.0
2014-07-02,1128.0,1128.0,1128.0,1128.0,2800000,2000,1,1150.0,1128.0
2014-07-06,1128.0,1128.0,1128.0,1128.0,21000000,15000,1,1128.0,1128.0
2014-07-22,1128.0,1128.0,1128.0,1128.0,21000000,15000,1,1128.0,1128.0
2014-07-26,1128.0,1128.0,1128.0,1128.0,7000000,5000,1,1128.0,1128.0
2014-09-07,1349.0,1445.0,1349.0,1407.0,1825000,1250,2,1128.0,1445.0
2014-09-16,964.0,964.0,964.0,964.0,1500000,1500,1,1407.0,964.0
2014-10-22,964.0,1494.0,964.0,1364.0,37948000,26810,6,964.0,1494.0
2014-10-28,1156.0,1156.0,1156.0,1156.0,6000000,5000,1,1364.0,1156.0
2014-11-30,1494.0,1494.0,1494.0,1494.0,7750000,5000,2,1156.0,1494.0
2014-12-24,965.0,1060.0,965.0,1055.0,11525525,10525,2,1494.0,1060.0
2015-01-11,933.0,933.0,932.0,933.0,24190000,25000,2,1055.0,932.0
