date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-08-31,109.0,109.0,109.0,109.0,19050000,15000,2,78.0,109.0
2014-10-08,172.0,172.0,172.0,172.0,19990000,10000,2,109.0,172.0
2014-10-15,189.0,190.0,189.0,189.0,4600000,2100,2,172.0,190.0
2014-10-19,215.0,215.0,215.0,215.0,22500000,9000,2,189.0,215.0
2014-10-20,259.0,302.0,259.0,273.0,47200000,14900,5,215.0,302.0
2014-10-21,267.0,388.0,267.0,340.0,26840000,6800,3,273.0,388.0
2014-10-22,517.0,603.0,517.0,589.0,40300000,5900,2,340.0,603.0
2014-10-25,853.0,853.0,853.0,853.0,48510000,4900,7,589.0,853.0
2014-10-26,862.0,862.0,862.0,862.0,118850000,11885,5,853.0,862.0
2014-10-28,603.0,603.0,345.0,392.0,137460000,30240,8,862.0,345.0
2014-11-01,388.0,388.0,388.0,388.0,45000,10,1,392.0,388.0
2014-11-02,388.0,388.0,259.0,262.0,112827000,37164,10,388.0,259.0
2014-11-05,276.0,276.0,259.0,263.0,161010000,52736,10,262.0,276.0
2014-11-08,302.0,310.0,284.0,292.0,81400000,24000,3,263.0,284.0
2014-11-09,302.0,381.0,302.0,318.0,120117500,32500,4,292.0,381.0
2014-11-10,388.0,388.0,383.0,387.0,259378500,57750,17,318.0,388.0
2014-11-11,388.0,431.0,387.0,415.0,326490800,67721,10,387.0,388.0
2014-11-12,409.0,431.0,345.0,365.0,156638400,37000,6,415.0,345.0
2014-11-16,345.0,371.0,336.0,345.0,125964500,31500,12,365.0,345.0
2014-11-17,345.0,345.0,345.0,345.0,8000000,2000,1,345.0,345.0
2014-11-19,343.0,343.0,311.0,332.0,60705500,15750,5,345.0,328.0
2014-11-22,320.0,320.0,303.0,310.0,127778709,35541,10,332.0,303.0
2014-11-23,310.0,310.0,310.0,310.0,435448800,120958,5,310.0,310.0
2014-11-24,310.0,310.0,310.0,310.0,64816000,18000,7,310.0,310.0
2014-11-25,303.0,319.0,303.0,313.0,25427500,7000,2,310.0,319.0
2014-11-26,326.0,327.0,326.0,327.0,58820000,15500,7,313.0,327.0
2014-12-01,303.0,303.0,303.0,303.0,77242000,22000,3,327.0,303.0
2014-12-02,303.0,303.0,290.0,302.0,80838931,23048,6,303.0,303.0
2014-12-03,290.0,290.0,290.0,290.0,4882080,1453,1,302.0,290.0
2014-12-06,267.0,276.0,260.0,265.0,142085500,46115,12,290.0,263.0
2014-12-07,241.0,241.0,241.0,241.0,11208000,4000,1,265.0,241.0
2014-12-08,241.0,241.0,241.0,241.0,8960000,3200,2,241.0,241.0
2014-12-15,241.0,241.0,237.0,241.0,72190000,25800,3,241.0,237.0
2014-12-20,199.0,199.0,199.0,199.0,2559744,1111,1,241.0,199.0
2014-12-24,233.0,240.0,233.0,239.0,243960300,87889,3,199.0,240.0
2014-12-27,278.0,278.0,275.0,277.0,2250760,700,4,239.0,275.0
2014-12-30,284.0,284.0,237.0,276.0,65493050,20440,5,277.0,276.0
2015-01-07,215.0,215.0,215.0,215.0,8250000,3300,1,276.0,215.0
2015-01-12,215.0,215.0,215.0,215.0,210000,84,1,215.0,215.0
2015-01-17,224.0,224.0,216.0,224.0,206754700,79700,2,215.0,216.0
2015-01-21,259.0,259.0,215.0,221.0,12100400,4714,3,224.0,215.0
2015-01-25,221.0,221.0,221.0,221.0,192525000,75000,1,221.0,221.0
