date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-04-07,141.0,141.0,141.0,141.0,288900000000,54000000,58111,26.0,141.0
2014-04-08,148.0,148.0,148.0,148.0,265773972,47316,68,141.0,148.0
2014-04-09,155.0,155.0,155.0,155.0,395010545,66985,128,148.0,155.0
2014-04-12,163.0,163.0,163.0,163.0,1720472709,277899,427,155.0,163.0
2014-04-13,171.0,171.0,155.0,164.0,236857906135,37991972,42946,163.0,162.0
2014-04-14,159.0,166.0,156.0,159.0,40851653030,6778221,6495,164.0,156.0
2014-04-15,156.0,166.0,156.0,161.0,42536093786,6951059,6473,159.0,161.0
2014-04-16,164.0,167.0,163.0,165.0,40924797967,6514456,4208,161.0,165.0
2014-04-19,165.0,165.0,157.0,158.0,20866687444,3475966,2292,165.0,158.0
2014-04-20,163.0,166.0,161.0,165.0,30084244732,4814724,3190,158.0,166.0
2014-04-21,166.0,171.0,165.0,168.0,19122081525,2996791,2308,165.0,169.0
2014-04-22,170.0,170.0,161.0,165.0,26032542393,4153855,2537,168.0,162.0
2014-04-23,165.0,165.0,159.0,163.0,16572375744,2677017,1828,165.0,162.0
2014-04-26,163.0,169.0,163.0,166.0,23275715284,3686318,2580,163.0,166.0
2014-04-27,167.0,168.0,159.0,162.0,32540476219,5294400,2399,166.0,160.0
2014-04-28,158.0,163.0,158.0,160.0,14607319669,2410759,1371,162.0,159.0
2014-04-29,159.0,161.0,155.0,158.0,17452331622,2910468,1380,160.0,156.0
2014-04-30,158.0,161.0,157.0,158.0,9464155502,1573326,1082,158.0,159.0
2014-05-03,160.0,160.0,156.0,158.0,9015816903,1505090,983,158.0,157.0
2014-05-04,157.0,157.0,153.0,154.0,5285094401,901176,834,158.0,154.0
2014-05-05,155.0,158.0,153.0,155.0,8278406796,1409349,869,154.0,155.0
2014-05-06,154.0,154.0,151.0,152.0,10310750822,1785106,930,155.0,152.0
2014-05-07,151.0,153.0,149.0,151.0,6971044637,1215032,806,152.0,153.0
2014-05-10,153.0,157.0,152.0,154.0,5299904945,905465,661,151.0,153.0
2014-05-11,155.0,156.0,153.0,154.0,4203381402,716956,550,154.0,155.0
2014-05-12,156.0,156.0,153.0,153.0,6145212786,1055117,573,154.0,153.0
2014-05-14,154.0,154.0,151.0,153.0,5653435563,971030,858,153.0,153.0
2014-05-17,146.0,150.0,146.0,148.0,5114587222,913136,548,153.0,147.0
2014-05-18,150.0,151.0,148.0,150.0,4505609744,793724,529,148.0,149.0
2014-05-19,150.0,157.0,147.0,155.0,22401966543,3811021,1430,150.0,157.0
2014-05-20,159.0,163.0,159.0,162.0,20315365220,3303133,1170,155.0,163.0
2014-05-21,165.0,169.0,158.0,163.0,30126585617,4856210,2234,162.0,159.0
2014-05-24,163.0,163.0,155.0,159.0,12470658386,2063240,1024,163.0,157.0
2014-05-25,155.0,162.0,153.0,157.0,15671954294,2624875,1433,159.0,158.0
2014-05-26,158.0,161.0,156.0,159.0,14533312233,2401197,1939,157.0,156.0
2014-05-28,159.0,159.0,154.0,156.0,8588725014,1452303,1047,159.0,154.0
2014-05-31,157.0,158.0,152.0,153.0,5708689932,979886,607,156.0,152.0
2014-06-01,151.0,153.0,147.0,149.0,6735487526,1193802,729,153.0,148.0
2014-06-02,150.0,151.0,148.0,150.0,4076324878,716249,535,149.0,151.0
2014-06-03,153.0,153.0,149.0,151.0,4423302890,773533,375,150.0,150.0
2014-06-07,153.0,153.0,149.0,151.0,3774072634,658908,501,151.0,151.0
2014-06-08,152.0,152.0,150.0,151.0,3404696046,594821,533,151.0,150.0
2014-06-09,151.0,151.0,148.0,150.0,5173488006,909777,580,151.0,150.0
2014-06-10,150.0,152.0,148.0,149.0,8705905452,1536190,967,150.0,148.0
2014-06-17,154.0,154.0,152.0,154.0,8883811400,1621491,457,149.0,154.0
2014-06-18,154.0,160.0,153.0,156.0,6563353022,1183455,521,154.0,159.0
2014-06-21,157.0,158.0,152.0,154.0,3381263008,615591,301,156.0,153.0
2014-06-22,154.0,154.0,152.0,153.0,3780541925,692621,335,154.0,154.0
2014-06-23,156.0,156.0,152.0,154.0,3234317427,590304,320,153.0,152.0
2014-06-24,154.0,154.0,151.0,152.0,5708915371,1055531,338,154.0,152.0
2014-06-25,154.0,154.0,152.0,153.0,3322466287,610771,266,152.0,153.0
2014-06-28,153.0,154.0,145.0,150.0,7755685376,1455005,353,153.0,150.0
2014-06-29,150.0,151.0,146.0,150.0,7676457650,1438708,441,150.0,148.0
2014-06-30,143.0,150.0,142.0,144.0,2747672861,536580,238,150.0,142.0
2014-07-01,145.0,151.0,142.0,149.0,2330816663,439040,277,144.0,151.0
2014-07-02,151.0,156.0,151.0,156.0,3800492059,683968,288,149.0,156.0
2014-07-05,161.0,164.0,161.0,163.0,11123097421,1910062,531,156.0,164.0
2014-07-06,162.0,162.0,155.0,156.0,5009735058,903550,200,163.0,155.0
2014-07-07,149.0,159.0,149.0,155.0,3821769479,692021,244,156.0,154.0
2014-07-08,157.0,161.0,157.0,160.0,2556572101,449331,286,155.0,159.0
2014-07-09,161.0,161.0,152.0,155.0,3060181572,552214,367,160.0,155.0
2014-07-12,157.0,157.0,152.0,154.0,2532690170,462057,208,155.0,153.0
2014-07-13,155.0,155.0,150.0,152.0,1805396996,332646,258,154.0,153.0
2014-07-14,150.0,154.0,150.0,153.0,1498695836,274881,201,152.0,153.0
2014-07-15,154.0,154.0,151.0,152.0,1593552590,294136,206,153.0,151.0
2014-07-16,153.0,156.0,151.0,153.0,1251294310,229754,228,152.0,152.0
2014-07-20,153.0,153.0,148.0,149.0,3894748503,733814,280,153.0,149.0
2014-07-21,152.0,152.0,149.0,150.0,1281789722,239155,202,149.0,151.0
2014-07-22,153.0,153.0,148.0,150.0,3343659792,624449,360,150.0,151.0
2014-07-23,151.0,156.0,151.0,153.0,3465056012,635275,334,150.0,151.0
2014-07-26,149.0,154.0,148.0,150.0,2038151140,381337,179,153.0,149.0
2014-07-27,152.0,153.0,148.0,150.0,1920429548,360152,228,150.0,149.0
2014-07-28,152.0,153.0,151.0,152.0,2137058494,395391,351,150.0,152.0
2014-08-02,153.0,153.0,151.0,152.0,2029106885,375416,246,152.0,151.0
2014-08-03,152.0,153.0,151.0,152.0,1960482528,362488,226,152.0,152.0
