date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-03-05,197.0,259.0,197.0,234.0,11528584401,2432330,1587,49.0,259.0
2012-03-06,246.0,246.0,246.0,246.0,1991795400,400200,163,234.0,246.0
2012-03-07,258.0,258.0,258.0,258.0,1569746750,300430,122,246.0,258.0
2012-03-10,271.0,271.0,268.0,271.0,5043038900,919350,401,258.0,271.0
2012-03-11,284.0,284.0,284.0,284.0,1310172500,227500,98,271.0,284.0
2012-03-12,295.0,295.0,270.0,281.0,2865577600,503800,245,284.0,270.0
2012-03-13,267.0,267.0,267.0,267.0,188405700,34800,25,281.0,267.0
2012-03-14,254.0,255.0,254.0,254.0,961280800,186800,126,267.0,254.0
2012-03-17,243.0,259.0,241.0,249.0,368760000,73050,38,254.0,241.0
2012-03-18,237.0,237.0,237.0,237.0,479600,100,1,249.0,237.0
2012-03-24,227.0,237.0,225.0,227.0,81957300,17800,12,237.0,225.0
2012-03-25,216.0,236.0,216.0,220.0,678214100,152003,99,227.0,224.0
2012-03-26,231.0,231.0,210.0,211.0,32565500,7600,6,220.0,210.0
2012-03-27,217.0,222.0,201.0,206.0,728820602,174978,104,211.0,203.0
2012-03-28,215.0,216.0,206.0,213.0,313186758,72468,51,206.0,216.0
2012-04-02,213.0,213.0,213.0,213.0,43220000,10000,5,213.0,213.0
2012-04-03,208.0,208.0,203.0,205.0,116567000,28000,20,213.0,203.0
2012-04-04,205.0,205.0,196.0,201.0,494078201,121135,82,205.0,196.0
2012-04-07,206.0,206.0,206.0,206.0,15460500,3700,7,201.0,206.0
2012-04-08,206.0,206.0,196.0,197.0,45894355,11505,10,206.0,196.0
2012-04-09,203.0,207.0,192.0,204.0,621651432,150000,82,197.0,207.0
2012-04-10,215.0,215.0,215.0,215.0,36983500,8500,5,204.0,215.0
2012-04-11,219.0,219.0,204.0,204.0,144951300,35000,18,215.0,204.0
2012-04-14,214.0,215.0,205.0,211.0,203059194,47500,33,204.0,207.0
2012-04-15,201.0,201.0,200.0,200.0,195427200,48100,29,211.0,200.0
2012-04-16,200.0,200.0,190.0,191.0,176243500,45500,26,200.0,190.0
2012-04-17,200.0,201.0,192.0,196.0,530872808,133500,77,191.0,197.0
2012-04-18,200.0,205.0,188.0,191.0,152480200,39300,23,196.0,188.0
2012-04-21,194.0,201.0,194.0,200.0,398512000,98500,47,191.0,201.0
2012-04-22,205.0,210.0,205.0,209.0,223872160,52780,48,200.0,210.0
2012-04-23,212.0,212.0,208.0,212.0,68645000,16000,13,209.0,211.0
2012-04-24,222.0,222.0,222.0,222.0,899600,200,1,212.0,222.0
2012-04-28,226.0,226.0,226.0,226.0,229450,50,1,222.0,226.0
2012-05-01,215.0,215.0,215.0,215.0,10900000,2500,1,226.0,215.0
2012-05-02,204.0,204.0,204.0,204.0,41420000,10000,5,215.0,204.0
2012-05-05,195.0,195.0,194.0,195.0,27998500,7100,4,204.0,194.0
2012-05-06,194.0,204.0,190.0,195.0,23652100,6000,5,195.0,190.0
2012-05-07,200.0,200.0,200.0,200.0,8100000,2000,1,195.0,200.0
2012-05-08,199.0,199.0,199.0,199.0,8060000,2000,2,200.0,199.0
2012-05-09,189.0,189.0,189.0,189.0,419285500,109500,45,199.0,189.0
2012-05-12,197.0,197.0,197.0,197.0,3999000,1000,1,189.0,197.0
2012-05-13,196.0,196.0,196.0,196.0,397300,100,1,197.0,196.0
2012-05-14,186.0,186.0,186.0,186.0,9437500,2500,1,196.0,186.0
2012-05-15,189.0,189.0,189.0,189.0,3827000,1000,1,186.0,189.0
2012-05-16,185.0,189.0,185.0,186.0,5663000,1500,2,189.0,189.0
2012-05-19,189.0,189.0,189.0,189.0,7650000,2000,1,186.0,189.0
2012-05-20,188.0,188.0,188.0,188.0,45831000,12000,7,189.0,188.0
2012-05-21,182.0,189.0,182.0,187.0,55185000,14600,11,188.0,189.0
2012-05-22,183.0,183.0,183.0,183.0,37000000,10000,4,187.0,183.0
2012-05-26,189.0,189.0,189.0,189.0,3846125,1005,2,183.0,189.0
2012-05-27,183.0,183.0,183.0,183.0,68073600,18400,9,189.0,183.0
2012-05-28,178.0,178.0,178.0,178.0,12942000,3595,4,183.0,178.0
2012-05-29,187.0,187.0,187.0,187.0,3780000,1000,1,178.0,187.0
2012-05-30,188.0,188.0,188.0,188.0,5718000,1500,2,187.0,188.0
2012-06-02,188.0,188.0,184.0,187.0,71248400,18800,11,188.0,184.0
2012-06-05,196.0,196.0,188.0,189.0,15316300,4000,4,187.0,188.0
2012-06-06,196.0,196.0,183.0,186.0,13214000,3500,2,189.0,183.0
2012-06-09,183.0,183.0,177.0,179.0,36185000,10000,6,186.0,177.0
2012-06-10,170.0,170.0,170.0,170.0,110721790,32205,19,179.0,170.0
2012-06-11,173.0,178.0,173.0,176.0,213743095,60000,43,170.0,178.0
2012-06-12,184.0,184.0,184.0,184.0,3915350,1050,3,176.0,184.0
2012-06-13,175.0,175.0,175.0,175.0,38973000,11000,5,184.0,175.0
2012-06-16,175.0,175.0,166.0,168.0,205879020,60634,34,175.0,166.0
2012-06-26,175.0,175.0,175.0,175.0,119095000,40000,26,168.0,175.0
2012-07-14,167.0,167.0,167.0,167.0,1901088,672,2,175.0,167.0
2012-07-16,158.0,158.0,158.0,158.0,3225600,1200,3,167.0,158.0
2012-07-18,150.0,150.0,150.0,150.0,2809400,1100,2,158.0,150.0
2012-07-21,143.0,143.0,143.0,143.0,3155100,1300,1,150.0,143.0
2012-07-22,136.0,136.0,136.0,136.0,6456800,2800,3,143.0,136.0
2012-07-23,143.0,143.0,143.0,143.0,1210500,500,1,136.0,143.0
2012-07-30,143.0,143.0,143.0,143.0,5328400,2200,1,143.0,143.0
2012-07-31,147.0,147.0,141.0,145.0,8378800,3400,4,143.0,147.0
2012-09-08,138.0,138.0,138.0,138.0,67167972,28692,8,145.0,138.0
2012-09-09,145.0,145.0,145.0,145.0,7374000,3000,2,138.0,145.0
2012-09-10,147.0,147.0,145.0,146.0,37290000,15000,3,145.0,145.0
2012-09-11,146.0,152.0,146.0,150.0,7656000,3000,2,146.0,152.0
2012-09-15,158.0,158.0,158.0,158.0,72600900,27100,15,150.0,158.0
2012-09-16,166.0,166.0,165.0,166.0,5622000,2000,2,158.0,165.0
2012-09-17,174.0,174.0,174.0,174.0,19476600,6600,2,166.0,174.0
2012-09-18,182.0,182.0,182.0,182.0,30360400,9800,4,174.0,182.0
2012-09-19,191.0,191.0,191.0,191.0,21463200,6600,2,182.0,191.0
2012-09-22,201.0,201.0,201.0,201.0,17070000,5000,2,191.0,201.0
2012-09-23,211.0,211.0,211.0,211.0,113254400,31600,11,201.0,211.0
2012-09-24,211.0,218.0,211.0,212.0,87369500,24300,12,211.0,211.0
2012-09-25,218.0,218.0,212.0,213.0,8124750,2250,3,212.0,212.0
2012-09-26,217.0,217.0,202.0,208.0,9523900,2700,3,213.0,202.0
2012-09-29,208.0,208.0,197.0,204.0,97163000,28000,14,208.0,197.0
2012-09-30,197.0,197.0,197.0,197.0,5025000,1500,2,204.0,197.0
2012-10-01,197.0,207.0,197.0,198.0,29530000,8800,5,197.0,197.0
2012-10-02,198.0,198.0,198.0,198.0,10065000,3000,1,198.0,198.0
2012-10-03,194.0,194.0,194.0,194.0,32997000,10000,4,198.0,194.0
2012-10-06,188.0,188.0,188.0,188.0,77393700,24200,9,194.0,188.0
2012-10-07,188.0,188.0,179.0,182.0,38248200,12400,9,188.0,179.0
2012-10-08,180.0,180.0,173.0,174.0,59559900,20100,7,182.0,173.0
2012-10-09,174.0,174.0,174.0,174.0,2963000,1000,1,174.0,174.0
2012-10-10,171.0,171.0,166.0,167.0,80626900,28500,14,174.0,166.0
2012-10-14,167.0,167.0,167.0,167.0,8520000,3000,2,167.0,167.0
2012-10-15,175.0,176.0,159.0,173.0,84263800,28700,10,167.0,176.0
2012-10-16,181.0,181.0,181.0,181.0,21574000,7000,2,173.0,181.0
2012-10-17,191.0,191.0,191.0,191.0,19416000,6000,3,181.0,191.0
2012-10-20,200.0,200.0,200.0,200.0,339700,100,1,191.0,200.0
2012-10-21,210.0,210.0,210.0,210.0,1629569280,456978,110,200.0,210.0
2012-10-22,220.0,220.0,220.0,220.0,33696000,9000,2,210.0,220.0
2012-10-23,231.0,231.0,231.0,231.0,481547500,122500,13,220.0,231.0
2012-10-24,243.0,243.0,243.0,243.0,55301800,13400,5,231.0,243.0
2012-10-27,255.0,255.0,231.0,249.0,1517421500,358500,81,243.0,231.0
2012-10-30,237.0,237.0,237.0,237.0,5027500,1250,2,249.0,237.0
2012-10-31,225.0,225.0,225.0,225.0,1910500,500,1,237.0,225.0
2012-11-04,214.0,214.0,214.0,214.0,1815000,500,1,225.0,214.0
2012-11-05,203.0,203.0,203.0,203.0,70704500,20500,4,214.0,203.0
2012-11-06,193.0,193.0,193.0,193.0,327700000,100000,16,203.0,193.0
2012-11-07,200.0,203.0,200.0,202.0,27460000,8000,4,193.0,203.0
2012-11-10,193.0,193.0,192.0,193.0,151932600,46400,12,202.0,192.0
2012-11-11,183.0,183.0,183.0,183.0,6222000,2000,1,193.0,183.0
2012-11-12,174.0,174.0,174.0,174.0,5912000,2000,1,183.0,174.0
2012-11-13,166.0,166.0,166.0,166.0,35046500,12450,5,174.0,166.0
2012-11-17,174.0,174.0,160.0,169.0,22906000,8000,2,166.0,160.0
2012-11-21,160.0,160.0,160.0,160.0,5958990,2190,2,169.0,160.0
2012-11-26,160.0,168.0,160.0,164.0,13920000,5000,5,160.0,168.0
2012-12-01,156.0,156.0,156.0,156.0,13225000,5000,2,164.0,156.0
2012-12-02,148.0,148.0,148.0,148.0,168441000,67000,9,156.0,148.0
2012-12-03,142.0,142.0,141.0,141.0,38005779,15851,8,148.0,141.0
2012-12-05,148.0,148.0,148.0,148.0,5034000,2000,1,141.0,148.0
2012-12-09,144.0,144.0,141.0,143.0,35640050,14649,3,148.0,141.0
2012-12-12,136.0,136.0,136.0,136.0,5780000,2500,1,143.0,136.0
2012-12-15,129.0,130.0,129.0,129.0,66995530,30490,7,136.0,129.0
2012-12-16,123.0,123.0,123.0,123.0,76103573,36361,7,129.0,123.0
2012-12-17,129.0,129.0,129.0,129.0,2197000,1000,2,123.0,129.0
2012-12-18,136.0,136.0,136.0,136.0,23060000,10000,1,129.0,136.0
2012-12-19,143.0,143.0,143.0,143.0,14768100,6100,3,136.0,143.0
2012-12-22,150.0,150.0,150.0,150.0,30494000,12000,3,143.0,150.0
2012-12-23,157.0,157.0,157.0,157.0,53360000,20000,2,150.0,157.0
2012-12-24,165.0,165.0,165.0,165.0,39216801,14001,4,157.0,165.0
2012-12-25,173.0,173.0,173.0,173.0,123522000,42000,10,165.0,173.0
2012-12-29,181.0,181.0,181.0,181.0,104346000,34000,4,173.0,181.0
2012-12-30,178.0,178.0,178.0,178.0,7555000,2500,1,181.0,178.0
2013-01-07,172.0,174.0,172.0,172.0,144830000,49500,8,178.0,172.0
2013-01-09,180.0,180.0,180.0,180.0,2287500,750,1,172.0,180.0
2013-01-14,182.0,182.0,182.0,182.0,9409050,3045,1,180.0,182.0
2013-01-16,173.0,173.0,173.0,173.0,38168000,13000,5,182.0,173.0
2013-02-12,164.0,164.0,164.0,164.0,4185000,1500,1,173.0,164.0
2013-02-17,164.0,164.0,164.0,164.0,2510100,900,1,164.0,164.0
2013-02-18,156.0,156.0,156.0,156.0,5300000,2000,1,164.0,156.0
2013-04-15,148.0,148.0,148.0,148.0,10197900,4050,4,156.0,148.0
2013-04-16,141.0,141.0,141.0,141.0,13736820,5740,5,148.0,141.0
2013-04-21,134.0,134.0,134.0,134.0,5685000,2500,1,141.0,134.0
2013-04-22,127.0,127.0,127.0,127.0,5402500,2500,1,134.0,127.0
2013-04-23,121.0,121.0,121.0,121.0,8212000,4000,1,127.0,121.0
2013-04-24,115.0,127.0,115.0,123.0,30324000,14500,3,121.0,127.0
2013-04-27,117.0,117.0,117.0,117.0,54249100,27300,8,123.0,117.0
2013-04-29,118.0,123.0,117.0,117.0,41891000,21000,4,117.0,123.0
2013-04-30,123.0,123.0,123.0,123.0,41880000,20000,4,117.0,123.0
2013-05-01,117.0,129.0,117.0,125.0,46692000,22000,8,123.0,129.0
2013-05-04,131.0,131.0,131.0,131.0,24285200,10900,3,125.0,131.0
2013-05-05,131.0,138.0,131.0,137.0,25171400,10800,5,131.0,138.0
2013-05-08,144.0,144.0,144.0,144.0,9788000,4000,2,137.0,144.0
2013-05-21,151.0,151.0,151.0,151.0,32112500,12500,2,144.0,151.0
2013-06-12,144.0,144.0,144.0,144.0,2441000,1000,1,151.0,144.0
2013-06-16,137.0,137.0,137.0,137.0,78846000,34000,8,144.0,137.0
2013-06-17,130.0,130.0,130.0,130.0,220426040,100010,32,137.0,130.0
2013-06-26,136.0,136.0,136.0,136.0,11565000,5000,1,130.0,136.0
2013-06-29,143.0,143.0,143.0,143.0,2428000,1000,1,136.0,143.0
2013-07-03,136.0,136.0,136.0,136.0,5767500,2500,1,143.0,136.0
2013-07-21,129.0,129.0,129.0,129.0,1096000,500,1,136.0,129.0
2013-07-22,123.0,123.0,123.0,123.0,416600,200,1,129.0,123.0
2013-07-24,117.0,117.0,117.0,117.0,593700,300,1,123.0,117.0
2013-07-27,111.0,111.0,111.0,111.0,83431755,44355,12,117.0,111.0
2013-07-29,116.0,116.0,116.0,116.0,701125,355,1,111.0,116.0
2013-07-31,122.0,122.0,122.0,122.0,2073000,1000,1,116.0,122.0
2013-08-06,116.0,116.0,116.0,116.0,19700000,10000,1,122.0,116.0
2013-08-12,110.0,122.0,110.0,112.0,36991500,19500,6,116.0,110.0
2013-08-13,106.0,106.0,106.0,106.0,18030000,10000,1,112.0,106.0
2013-08-21,111.0,111.0,111.0,111.0,39961230,21110,3,106.0,111.0
2013-08-31,117.0,117.0,117.0,117.0,43332496,21808,9,111.0,117.0
2013-09-01,117.0,123.0,117.0,119.0,77330336,38418,5,117.0,118.0
2013-09-03,124.0,124.0,124.0,124.0,59104000,28000,4,119.0,124.0
2013-09-08,125.0,125.0,125.0,125.0,1058500,500,1,124.0,125.0
2013-09-10,131.0,131.0,131.0,131.0,25752980,11590,4,125.0,131.0
2013-09-11,137.0,137.0,137.0,137.0,81655000,35000,6,131.0,137.0
2013-09-14,144.0,144.0,144.0,144.0,198324918,80982,14,137.0,144.0
2013-09-15,151.0,151.0,151.0,151.0,6427500,2500,1,144.0,151.0
2013-09-16,159.0,159.0,159.0,159.0,377860000,140000,28,151.0,159.0
2013-09-17,167.0,167.0,167.0,167.0,198280000,70000,19,159.0,167.0
2013-09-21,174.0,174.0,174.0,174.0,2960000,1000,1,167.0,174.0
2013-09-22,170.0,170.0,166.0,166.0,47887000,17000,4,174.0,166.0
2013-09-23,158.0,158.0,158.0,158.0,599406450,223850,57,166.0,158.0
2013-09-24,165.0,166.0,165.0,165.0,132989811,47461,11,158.0,166.0
2013-09-25,173.0,173.0,173.0,173.0,154455000,52500,15,165.0,173.0
2013-09-28,182.0,182.0,182.0,182.0,3089000,1000,1,173.0,182.0
2013-09-29,191.0,191.0,191.0,191.0,651843000,201000,22,182.0,191.0
2013-09-30,200.0,200.0,200.0,200.0,180185790,52918,7,191.0,200.0
2013-10-01,211.0,211.0,200.0,210.0,164094000,46000,10,200.0,200.0
2013-10-02,200.0,221.0,200.0,215.0,247264650,67849,14,210.0,217.0
2013-10-05,204.0,204.0,204.0,204.0,69240000,20000,2,215.0,204.0
2013-10-06,194.0,206.0,194.0,199.0,159535709,47100,23,204.0,205.0
2013-10-07,189.0,189.0,189.0,189.0,353980000,110000,23,199.0,189.0
2013-10-08,199.0,199.0,199.0,199.0,74316000,22000,24,189.0,199.0
2013-10-09,209.0,209.0,209.0,209.0,489348000,138000,54,199.0,209.0
2013-10-12,219.0,219.0,218.0,218.0,909497072,245511,82,209.0,218.0
2013-10-14,229.0,229.0,229.0,229.0,267135750,68675,17,218.0,229.0
2013-10-15,240.0,240.0,240.0,240.0,168254600,41200,6,229.0,240.0
2013-10-19,252.0,252.0,252.0,252.0,114318080,26660,8,240.0,252.0
2013-10-20,264.0,264.0,263.0,263.0,56139439,12551,3,252.0,264.0
2013-10-21,275.0,276.0,275.0,276.0,736754900,157100,22,263.0,276.0
2013-10-26,289.0,289.0,289.0,289.0,4968600,1014,1,276.0,289.0
2013-10-27,274.0,274.0,274.0,274.0,24569090,5278,3,289.0,274.0
2013-10-29,260.0,260.0,260.0,260.0,4423000,1000,1,274.0,260.0
2013-10-30,247.0,247.0,247.0,247.0,42020000,10000,2,260.0,247.0
2013-11-02,235.0,235.0,235.0,235.0,379240000,95000,14,247.0,235.0
2013-11-03,223.0,223.0,223.0,223.0,19860148,5236,2,235.0,223.0
2013-11-04,212.0,212.0,212.0,212.0,3604000,1000,1,223.0,212.0
2013-11-05,202.0,202.0,202.0,202.0,190412064,55611,12,212.0,202.0
2013-11-06,212.0,212.0,212.0,212.0,240563020,66916,28,202.0,212.0
2013-11-09,201.0,201.0,201.0,201.0,330528753,96759,70,212.0,201.0
2013-11-10,191.0,191.0,191.0,191.0,19175000,5900,2,201.0,191.0
2013-11-11,183.0,201.0,182.0,187.0,350438300,110400,20,191.0,201.0
2013-11-12,196.0,196.0,196.0,196.0,101626000,30500,5,187.0,196.0
2013-11-16,206.0,206.0,206.0,206.0,290334000,83000,14,196.0,206.0
2013-11-17,216.0,216.0,216.0,216.0,41014320,11180,6,206.0,216.0
2013-11-19,227.0,227.0,227.0,227.0,284955638,73990,19,216.0,227.0
