date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-01-11,768.0,768.0,768.0,768.0,98610444790,47182031,59781,368.0,768.0
2017-01-14,807.0,807.0,807.0,807.0,104182090,47485,82,768.0,807.0
2017-01-15,847.0,847.0,847.0,847.0,185515862,80554,134,807.0,847.0
2017-01-16,889.0,889.0,889.0,889.0,279803706,115717,176,847.0,889.0
2017-01-17,933.0,933.0,933.0,933.0,1706436990,672355,380,889.0,933.0
2017-01-18,980.0,980.0,980.0,980.0,5059197072,1899098,939,933.0,980.0
2017-01-21,1028.0,1028.0,935.0,978.0,97093481048,36487205,42536,980.0,949.0
2017-01-22,946.0,1025.0,938.0,985.0,48337092606,18036726,14231,978.0,1015.0
2017-01-23,1015.0,1035.0,1015.0,1032.0,41304325885,14712474,7693,985.0,1035.0
2017-01-24,1035.0,1055.0,993.0,1028.0,19538745608,6984703,5404,1032.0,1003.0
2017-01-25,1011.0,1036.0,1001.0,1020.0,14289483650,5149281,2675,1028.0,1008.0
2017-01-28,1012.0,1054.0,1011.0,1031.0,12468070533,4448316,2151,1020.0,1012.0
2017-01-29,1023.0,1041.0,1001.0,1019.0,7343679095,2649001,1367,1031.0,1007.0
2017-01-30,1019.0,1029.0,974.0,994.0,15458480714,5720922,2495,1019.0,978.0
2017-01-31,985.0,989.0,949.0,962.0,11603180759,4433386,2113,994.0,953.0
2017-02-01,956.0,983.0,949.0,966.0,4698578186,1787626,1158,962.0,967.0
2017-02-04,969.0,969.0,918.0,922.0,6230594313,2484663,1602,966.0,918.0
2017-02-05,917.0,936.0,905.0,913.0,7893894870,3180461,1588,922.0,909.0
2017-02-06,916.0,934.0,912.0,917.0,2179693185,873682,594,913.0,916.0
2017-02-07,916.0,930.0,916.0,920.0,3704942133,1480201,1008,917.0,919.0
2017-02-08,919.0,966.0,919.0,960.0,9694377304,3712359,1426,920.0,966.0
2017-02-11,977.0,1008.0,960.0,998.0,13655311905,5032613,1844,960.0,1008.0
2017-02-12,1029.0,1047.0,1017.0,1044.0,13382483075,4711791,1571,998.0,1047.0
2017-02-13,1096.0,1096.0,1096.0,1096.0,4119600198,1381489,392,1044.0,1096.0
2017-02-14,1103.0,1125.0,1050.0,1087.0,30099670812,10177678,3571,1096.0,1058.0
2017-02-15,1066.0,1141.0,1059.0,1124.0,28442750257,9305506,3208,1087.0,1141.0
2017-02-18,1145.0,1180.0,1121.0,1160.0,14615331255,4632836,1674,1124.0,1144.0
2017-02-19,1142.0,1176.0,1126.0,1145.0,8973359244,2881552,1051,1160.0,1154.0
2017-02-20,1154.0,1202.0,1144.0,1188.0,15264092600,4722911,1810,1145.0,1177.0
2017-02-21,1177.0,1242.0,1177.0,1218.0,15567088765,4699795,1721,1188.0,1197.0
2017-02-22,1199.0,1219.0,1169.0,1183.0,9044210680,2812279,1017,1218.0,1174.0
2017-02-25,1177.0,1199.0,1151.0,1172.0,8528222836,2675528,1018,1183.0,1173.0
2017-02-26,1159.0,1230.0,1151.0,1223.0,43184904311,12986811,3924,1172.0,1213.0
2017-02-27,1212.0,1217.0,1162.0,1177.0,15589638530,4869271,1744,1223.0,1175.0
2017-02-28,1191.0,1210.0,1177.0,1195.0,6482370437,1993806,775,1177.0,1180.0
2017-03-01,1183.0,1211.0,1140.0,1175.0,7079608805,2215695,832,1195.0,1155.0
2017-03-04,1184.0,1184.0,1116.0,1131.0,6085942918,1977817,854,1175.0,1129.0
2017-03-05,1116.0,1169.0,1103.0,1141.0,6347704124,2044733,837,1131.0,1151.0
2017-03-06,1157.0,1167.0,1136.0,1149.0,3161924729,1011630,431,1141.0,1136.0
2017-03-07,1133.0,1159.0,1130.0,1143.0,1530798407,492541,289,1149.0,1140.0
2017-03-08,1145.0,1166.0,1121.0,1145.0,5469731139,1757149,664,1143.0,1153.0
2017-03-11,1140.0,1167.0,1115.0,1148.0,4110513759,1316196,515,1145.0,1147.0
