date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-25,2547.0,2547.0,2547.0,2547.0,45000000000,15000000,3018,849.0,2547.0
2021-08-28,2624.0,2624.0,2624.0,2624.0,32256340050,10438945,3323,2547.0,2624.0
2021-08-29,2702.0,2702.0,2702.0,2702.0,25028733768,7865724,1756,2624.0,2702.0
2021-08-30,2783.0,2783.0,2717.0,2783.0,194573375671,59379268,21558,2702.0,2783.0
2021-08-31,2921.0,2921.0,2921.0,2921.0,13542726160,3936839,1101,2783.0,2921.0
2021-09-01,3009.0,3009.0,3009.0,3009.0,66217738191,18689737,4096,2921.0,3009.0
2021-09-04,3099.0,3099.0,3099.0,3099.0,59460455000,16295000,3307,3009.0,3099.0
2021-09-05,3191.0,3191.0,3191.0,3191.0,65206072660,17351270,3770,3099.0,3191.0
2021-09-06,3286.0,3286.0,3185.0,3276.0,293172279007,75996221,25394,3191.0,3185.0
2021-09-07,3178.0,3249.0,3178.0,3181.0,122882903535,32804684,10917,3276.0,3178.0
2021-09-08,3099.0,3276.0,3087.0,3183.0,100827330422,26900759,9279,3181.0,3150.0
2021-09-11,3146.0,3227.0,3088.0,3122.0,15007237317,4081477,1533,3183.0,3088.0
2021-09-12,3029.0,3029.0,3029.0,3113.0,915670302,256706,103,3122.0,3029.0
2021-09-13,3020.0,3020.0,3020.0,3110.0,340170138,95634,43,3113.0,3020.0
2021-09-14,2954.0,2954.0,2954.0,2954.0,46768148294,13442986,5392,3110.0,2954.0
2021-09-15,2866.0,2954.0,2866.0,2876.0,221231375890,65318606,19531,2954.0,2934.0
2021-09-18,2953.0,2953.0,2790.0,2810.0,31862975575,9629663,3667,2876.0,2790.0
2021-09-19,2726.0,2726.0,2726.0,2726.0,12219115380,3806578,1221,2810.0,2726.0
2021-09-20,2644.0,2726.0,2644.0,2659.0,123962294411,39595826,13374,2726.0,2709.0
2021-09-21,2663.0,2738.0,2659.0,2723.0,50639938883,15789004,5929,2659.0,2732.0
2021-09-22,2768.0,2768.0,2642.0,2646.0,34207313350,10977593,3860,2723.0,2642.0
2021-09-25,2599.0,2683.0,2567.0,2576.0,29974951980,9879792,3810,2646.0,2567.0
2021-09-26,2556.0,2556.0,2499.0,2500.0,19852798446,6743030,2644,2576.0,2499.0
2021-09-28,2427.0,2486.0,2425.0,2428.0,10358822869,3622751,1277,2500.0,2425.0
2021-09-29,2356.0,2444.0,2356.0,2369.0,31550858241,11309134,607,2428.0,2411.0
2021-10-02,2395.0,2440.0,2395.0,2412.0,6309464902,2197267,137,2369.0,2440.0
2021-10-03,2484.0,2484.0,2339.0,2350.0,18036424783,6517597,459,2412.0,2339.0
2021-10-04,2283.0,2394.0,2279.0,2283.0,16020664278,5959079,436,2350.0,2280.0
2021-10-06,2250.0,2310.0,2215.0,2220.0,13783613955,5272278,338,2283.0,2215.0
2021-10-09,2166.0,2216.0,2153.0,2190.0,4494441146,1770327,98,2220.0,2153.0
2021-10-10,2125.0,2244.0,2125.0,2149.0,18049611541,7130775,494,2190.0,2199.0
2021-10-11,2212.0,2213.0,2157.0,2194.0,7071673201,2714522,161,2149.0,2213.0
2021-10-12,2232.0,2260.0,2131.0,2222.0,25651189429,9802814,549,2194.0,2255.0
2021-10-13,2267.0,2276.0,2156.0,2193.0,11776831078,4559858,252,2222.0,2156.0
2021-10-16,2161.0,2242.0,2128.0,2141.0,24820218492,9846216,426,2193.0,2130.0
2021-10-17,2123.0,2123.0,2077.0,2113.0,4227135848,1727858,108,2141.0,2077.0
2021-10-18,2050.0,2122.0,2050.0,2061.0,15348024604,6322754,353,2113.0,2114.0
2021-10-19,2105.0,2122.0,2105.0,2104.0,6882452239,2754431,142,2061.0,2122.0
2021-10-20,2161.0,2167.0,2106.0,2164.0,10229369661,4012357,196,2104.0,2167.0
2021-10-23,2229.0,2229.0,2229.0,2229.0,10993114125,4187853,86,2164.0,2229.0
2021-10-25,2295.0,2295.0,2295.0,2295.0,13863962706,5129102,86,2229.0,2295.0
2021-10-26,2410.0,2410.0,2410.0,2410.0,15005368752,5287304,83,2295.0,2410.0
2021-10-27,2482.0,2482.0,2482.0,2482.0,12137359972,4152364,63,2410.0,2482.0
2021-10-30,2556.0,2556.0,2556.0,2556.0,14716476950,4889195,100,2482.0,2556.0
2021-10-31,2632.0,2632.0,2480.0,2573.0,152530646632,50340240,1246,2556.0,2480.0
2021-11-01,2497.0,2648.0,2497.0,2541.0,86088220610,28774691,1164,2573.0,2564.0
2021-11-02,2598.0,2616.0,2547.0,2606.0,22336944004,7277968,414,2541.0,2570.0
2021-11-03,2615.0,2615.0,2528.0,2536.0,25901452530,8674585,386,2606.0,2547.0
2021-11-06,2547.0,2611.0,2547.0,2604.0,42993069372,14018981,451,2536.0,2611.0
2021-11-07,2649.0,2682.0,2611.0,2674.0,45933512887,14587642,430,2604.0,2682.0
2021-11-08,2717.0,2754.0,2717.0,2753.0,20975475309,6469547,175,2674.0,2754.0
2021-11-09,2835.0,2835.0,2760.0,2829.0,79883345962,23974502,651,2753.0,2835.0
2021-11-10,2837.0,2913.0,2745.0,2892.0,142965012616,41978821,1038,2829.0,2913.0
2021-11-13,2823.0,2947.0,2823.0,2857.0,17246851254,5126918,445,2892.0,2830.0
2021-11-14,2941.0,2941.0,2930.0,2941.0,36935088692,10662850,263,2857.0,2941.0
2021-11-15,3029.0,3029.0,2883.0,3018.0,158833211999,44685819,1159,2941.0,3019.0
2021-11-16,3014.0,3108.0,2962.0,3099.0,121424212613,33269860,791,3018.0,3108.0
2021-11-17,3150.0,3192.0,3059.0,3186.0,51748695681,13791272,539,3099.0,3125.0
2021-11-20,3151.0,3186.0,3091.0,3101.0,34311315334,9394684,390,3186.0,3091.0
2021-11-21,3125.0,3138.0,3009.0,3018.0,63806917122,17953039,574,3101.0,3009.0
2021-11-22,2972.0,3108.0,2928.0,3036.0,90227617683,25241814,894,3018.0,3108.0
2021-11-23,3125.0,3127.0,3065.0,3111.0,74802687993,20413168,665,3036.0,3065.0
2021-11-24,3040.0,3204.0,3040.0,3167.0,48173048545,12916406,571,3111.0,3204.0
2021-11-27,3185.0,3262.0,3159.0,3246.0,47414216462,12403034,470,3167.0,3201.0
2021-11-28,3279.0,3343.0,3150.0,3299.0,34177976384,8798124,475,3246.0,3223.0
2021-11-29,3367.0,3367.0,3200.0,3280.0,4948706206,1288951,122,3299.0,3200.0
2021-11-30,3183.0,3183.0,3183.0,3183.0,26455524108,7058571,153,3280.0,3183.0
2021-12-01,3176.0,3176.0,3088.0,3162.0,2131189824,585462,51,3183.0,3088.0
2021-12-04,3004.0,3088.0,3004.0,3014.0,42724666645,12039523,523,3162.0,3004.0
2021-12-05,3016.0,3104.0,3016.0,3092.0,35563878968,9767492,368,3014.0,3083.0
2021-12-06,3159.0,3184.0,3093.0,3183.0,48185816252,12855822,344,3092.0,3184.0
