date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-01-08,27.0,27.0,22.0,22.0,21161295246,17356830,957,18.0,22.0
2012-01-09,23.0,23.0,23.0,22.0,44598400,35200,12,22.0,23.0
2012-01-10,23.0,23.0,23.0,22.0,22804600,17900,9,22.0,23.0
2012-01-11,23.0,23.0,23.0,22.0,26050800,20400,7,22.0,23.0
2012-01-15,23.0,23.0,23.0,22.0,20880300,16300,11,22.0,23.0
2012-01-16,23.0,23.0,23.0,22.0,138248280,107670,9,22.0,23.0
2012-01-17,24.0,25.0,24.0,25.0,131461250,93725,38,22.0,25.0
2012-01-18,26.0,26.0,26.0,26.0,2718846500,1863500,103,25.0,26.0
2012-01-21,27.0,27.0,26.0,27.0,23252357986,15331300,2896,26.0,27.0
2012-01-23,27.0,28.0,27.0,28.0,10093976437,6518967,1099,27.0,27.0
2012-01-25,27.0,27.0,27.0,27.0,1382403323,928499,96,28.0,27.0
2012-02-01,21.0,22.0,21.0,22.0,1688738296,1386113,225,27.0,22.0
2012-02-04,23.0,23.0,23.0,22.0,270012480,213280,23,22.0,23.0
2012-02-05,23.0,23.0,22.0,22.0,2252606086,1824826,243,22.0,22.0
2012-02-06,21.0,22.0,21.0,21.0,768196792,647193,56,22.0,21.0
2012-02-07,20.0,21.0,20.0,20.0,319267822,279317,28,21.0,20.0
2012-02-08,20.0,20.0,20.0,20.0,25824960,23520,6,20.0,20.0
2012-02-12,20.0,20.0,20.0,20.0,6912986,6319,2,20.0,20.0
2012-02-13,20.0,20.0,20.0,20.0,3280093,3001,4,20.0,20.0
2012-02-14,20.0,20.0,20.0,20.0,45809816,41912,2,20.0,20.0
2012-02-22,19.0,20.0,19.0,20.0,1856955098,1696730,155,20.0,20.0
2012-02-25,20.0,20.0,20.0,20.0,169976952,149496,10,20.0,20.0
2012-02-26,21.0,21.0,21.0,20.0,95045265,81865,11,20.0,21.0
2012-02-27,21.0,21.0,21.0,20.0,9752500,8300,6,20.0,21.0
2012-02-28,21.0,21.0,21.0,20.0,13043016,11091,7,20.0,21.0
2012-02-29,21.0,21.0,21.0,20.0,341620,290,2,20.0,21.0
2012-03-03,22.0,23.0,22.0,23.0,2288451692,1804252,181,20.0,23.0
2012-03-04,23.0,24.0,23.0,24.0,1686661803,1281023,111,23.0,24.0
2012-03-05,23.0,23.0,23.0,23.0,562731461,441651,48,24.0,23.0
2012-03-06,22.0,22.0,22.0,22.0,1629588754,1328564,167,23.0,22.0
2012-03-07,21.0,22.0,21.0,21.0,1300830002,1087194,156,22.0,21.0
2012-03-10,22.0,22.0,21.0,22.0,372747167,305310,78,21.0,21.0
2012-03-11,21.0,21.0,21.0,21.0,308772201,262200,43,22.0,21.0
2012-03-12,20.0,20.0,20.0,21.0,43699416,38552,11,21.0,20.0
2012-03-13,20.0,20.0,20.0,21.0,146009736,129412,25,21.0,20.0
2012-03-14,20.0,21.0,20.0,20.0,999458351,887315,106,21.0,20.0
2012-03-17,20.0,21.0,20.0,20.0,199407480,173300,35,20.0,20.0
2012-03-18,20.0,21.0,20.0,20.0,247672960,220721,35,20.0,20.0
2012-03-24,21.0,21.0,21.0,21.0,429052850,366850,45,20.0,21.0
2012-03-25,21.0,22.0,20.0,21.0,927354152,782463,101,21.0,21.0
2012-03-26,20.0,21.0,20.0,21.0,255010138,223417,43,21.0,20.0
2012-03-27,20.0,20.0,20.0,20.0,465333480,416276,49,21.0,20.0
2012-03-28,20.0,21.0,20.0,20.0,107340940,93290,34,20.0,21.0
2012-04-02,21.0,21.0,20.0,21.0,510215527,436390,54,20.0,21.0
2012-04-03,21.0,22.0,21.0,22.0,738811074,609130,65,21.0,22.0
2012-04-04,22.0,22.0,21.0,22.0,613608763,505492,84,22.0,21.0
2012-04-07,21.0,21.0,21.0,21.0,330898320,283390,45,22.0,21.0
2012-04-08,20.0,21.0,20.0,20.0,2262518596,2009538,187,21.0,20.0
2012-04-09,20.0,21.0,20.0,20.0,379854920,335954,82,20.0,20.0
2012-04-10,21.0,21.0,19.0,19.0,1739356661,1596999,155,20.0,19.0
2012-04-11,19.0,20.0,19.0,19.0,482276568,449162,62,19.0,19.0
2012-04-14,20.0,20.0,19.0,20.0,772877945,695173,143,19.0,19.0
2012-04-15,20.0,21.0,20.0,20.0,1191664822,1052807,141,20.0,20.0
2012-04-16,20.0,20.0,19.0,20.0,392465100,357619,56,20.0,20.0
2012-04-17,20.0,20.0,19.0,19.0,330429148,305233,62,20.0,19.0
2012-04-23,20.0,20.0,20.0,19.0,41989666,37291,3,19.0,20.0
2012-04-24,20.0,20.0,20.0,20.0,622925000,551540,98,19.0,20.0
2012-04-28,21.0,21.0,20.0,21.0,1036424789,886604,90,20.0,21.0
2012-04-29,21.0,21.0,21.0,21.0,178958103,153933,27,21.0,21.0
2012-04-30,21.0,21.0,20.0,21.0,195530947,170897,47,21.0,20.0
2012-05-01,21.0,21.0,20.0,21.0,199792083,173947,34,21.0,21.0
2012-05-02,20.0,21.0,20.0,20.0,143549392,126867,63,21.0,21.0
2012-05-05,20.0,20.0,20.0,20.0,141770408,127547,31,20.0,20.0
2012-05-06,20.0,20.0,19.0,20.0,153954200,140400,18,20.0,19.0
2012-05-07,19.0,20.0,19.0,20.0,189657346,172432,28,20.0,20.0
2012-05-08,19.0,20.0,19.0,20.0,132694611,121140,18,20.0,19.0
2012-05-09,20.0,20.0,19.0,19.0,330197171,303250,42,20.0,19.0
2012-05-12,20.0,20.0,19.0,19.0,12001000,11100,3,19.0,19.0
2012-05-13,19.0,20.0,19.0,19.0,156677300,145900,17,19.0,19.0
2012-05-14,19.0,19.0,19.0,19.0,155184273,145530,28,19.0,19.0
2012-05-15,20.0,20.0,19.0,19.0,437277440,412000,53,19.0,19.0
2012-05-16,19.0,20.0,19.0,20.0,814460972,739823,94,19.0,20.0
2012-05-19,20.0,20.0,20.0,20.0,593303545,518221,44,20.0,20.0
2012-05-20,21.0,21.0,21.0,21.0,3990580962,3360370,305,20.0,21.0
2012-05-21,22.0,22.0,22.0,22.0,1670952574,1357684,131,21.0,22.0
2012-05-26,20.0,20.0,19.0,19.0,732029463,688435,89,22.0,19.0
2012-05-27,19.0,20.0,19.0,20.0,363902345,330167,32,19.0,20.0
