date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-03-07,41.0,41.0,41.0,41.0,3395000000,485000,482,0.0,41.0
2004-03-09,43.0,43.0,24.0,43.0,1381203100,243372,227,41.0,43.0
2004-03-10,45.0,45.0,45.0,45.0,2096153276,271628,68,43.0,45.0
2004-03-13,45.0,45.0,43.0,43.0,1087223341,147735,144,45.0,43.0
2004-03-14,42.0,43.0,42.0,42.0,287505934,39824,55,43.0,42.0
2004-03-15,43.0,43.0,41.0,42.0,31889250,4486,9,42.0,42.0
2004-03-16,41.0,41.0,40.0,40.0,64882277,9433,12,42.0,40.0
2004-03-17,39.0,39.0,38.0,39.0,47699860,7215,10,40.0,39.0
2004-03-28,38.0,38.0,37.0,38.0,95651978,14878,16,39.0,38.0
2004-03-29,36.0,37.0,36.0,36.0,34471490,5610,7,38.0,36.0
2004-03-30,36.0,36.0,36.0,36.0,48189590,7840,10,36.0,36.0
2004-04-03,37.0,37.0,36.0,37.0,52782014,8416,13,36.0,37.0
2004-04-04,37.0,38.0,37.0,37.0,23729910,3660,7,37.0,37.0
2004-04-05,39.0,39.0,38.0,38.0,25704720,3831,10,37.0,38.0
2004-04-06,40.0,40.0,39.0,39.0,2830010,410,2,38.0,39.0
2004-04-07,41.0,41.0,41.0,41.0,66223695,9555,6,39.0,41.0
2004-04-10,41.0,41.0,41.0,41.0,51535940,7310,13,41.0,41.0
2004-04-12,41.0,41.0,41.0,41.0,6013240,853,5,41.0,41.0
2004-04-13,41.0,41.0,41.0,41.0,59337720,8510,7,41.0,41.0
2004-04-18,39.0,39.0,39.0,39.0,37161070,5610,11,41.0,39.0
2004-04-21,39.0,39.0,39.0,39.0,63558030,9610,13,39.0,39.0
2004-04-24,39.0,39.0,37.0,38.0,180330496,27482,22,39.0,38.0
2004-04-25,38.0,38.0,38.0,38.0,4526797,690,3,38.0,38.0
2004-04-26,38.0,38.0,38.0,38.0,232575835,35464,17,38.0,38.0
2004-04-27,38.0,38.0,38.0,38.0,65430000,10000,2,38.0,38.0
2004-05-01,38.0,38.0,37.0,37.0,162313353,25433,18,38.0,37.0
2004-05-02,35.0,37.0,35.0,37.0,4556123,751,2,37.0,37.0
2004-05-03,37.0,37.0,37.0,37.0,12729400,2010,2,37.0,37.0
2004-05-04,37.0,37.0,37.0,37.0,80322777,12671,11,37.0,37.0
2004-05-05,37.0,37.0,37.0,37.0,31539572,5010,6,37.0,37.0
2004-05-08,37.0,37.0,37.0,37.0,18541650,2960,5,37.0,37.0
2004-05-09,37.0,37.0,37.0,37.0,23551470,3760,10,37.0,37.0
2004-05-10,37.0,37.0,37.0,37.0,185294739,29566,19,37.0,37.0
2004-05-11,37.0,37.0,37.0,37.0,9397664,1492,4,37.0,37.0
2004-05-15,37.0,37.0,37.0,37.0,33312930,5310,6,37.0,37.0
2004-05-16,37.0,37.0,37.0,37.0,35203040,5610,9,37.0,37.0
2004-05-17,37.0,37.0,37.0,37.0,31483892,5010,11,37.0,37.0
2004-05-18,37.0,37.0,37.0,37.0,578098,92,2,37.0,37.0
2004-05-19,35.0,37.0,35.0,36.0,37406329,6039,8,37.0,36.0
2004-05-22,36.0,36.0,36.0,36.0,6261355,1010,5,36.0,36.0
2004-05-23,36.0,36.0,36.0,36.0,46360800,7520,1,36.0,36.0
2004-05-25,36.0,36.0,35.0,36.0,37018570,6070,6,36.0,36.0
2004-05-26,35.0,35.0,35.0,35.0,19362070,3213,6,36.0,35.0
2004-05-29,35.0,35.0,35.0,35.0,6917992,1154,3,35.0,35.0
2004-05-30,34.0,37.0,34.0,35.0,193983982,32119,25,35.0,35.0
2004-05-31,37.0,37.0,36.0,36.0,7250480,1144,3,35.0,36.0
2004-06-01,37.0,37.0,36.0,36.0,3259150,510,2,36.0,36.0
2004-06-02,38.0,38.0,38.0,38.0,48278400,7520,1,36.0,38.0
2004-06-05,38.0,38.0,38.0,38.0,40999715,6381,6,38.0,38.0
2004-06-06,39.0,39.0,39.0,39.0,107463041,15941,12,38.0,39.0
2004-06-07,41.0,41.0,41.0,41.0,61362606,8684,6,39.0,41.0
2004-06-08,42.0,43.0,42.0,43.0,143119351,19633,18,41.0,43.0
2004-06-09,43.0,43.0,42.0,43.0,152038935,20731,32,43.0,43.0
2004-06-12,43.0,43.0,41.0,42.0,163034138,22768,17,43.0,42.0
2004-06-13,42.0,42.0,41.0,42.0,233584382,32672,14,42.0,42.0
2004-09-26,43.0,44.0,42.0,44.0,496781550,66620,31,42.0,44.0
2004-09-27,44.0,44.0,43.0,44.0,386793910,51931,20,44.0,44.0
2004-09-28,43.0,44.0,43.0,43.0,145342898,19642,15,44.0,43.0
2004-09-29,43.0,43.0,43.0,43.0,21035306,2831,8,43.0,43.0
2004-10-02,43.0,43.0,43.0,43.0,37753340,5096,6,43.0,43.0
2004-10-03,43.0,43.0,43.0,43.0,19841757,2707,4,43.0,43.0
2004-10-06,42.0,43.0,42.0,43.0,14593770,2010,3,43.0,43.0
2004-10-09,41.0,43.0,41.0,43.0,2203260,310,3,43.0,43.0
2004-10-19,42.0,44.0,42.0,43.0,379776250,51503,25,43.0,43.0
2004-10-20,43.0,45.0,43.0,43.0,1120446580,147010,5,43.0,43.0
2004-10-23,43.0,43.0,43.0,43.0,147580,20,2,43.0,43.0
2004-10-25,41.0,43.0,41.0,43.0,10568230,1510,3,43.0,43.0
2004-10-26,41.0,42.0,41.0,42.0,3568000,510,2,43.0,42.0
2004-10-27,40.0,41.0,40.0,41.0,31219190,4510,7,42.0,41.0
2004-10-30,39.0,40.0,39.0,40.0,13469190,2010,3,41.0,40.0
2004-11-01,38.0,38.0,38.0,38.0,63820392,9708,5,40.0,38.0
2004-11-03,39.0,39.0,39.0,39.0,19240527,2873,3,38.0,39.0
2004-11-06,41.0,41.0,41.0,41.0,69600000,10000,6,39.0,41.0
2004-11-08,42.0,42.0,41.0,41.0,3689310,510,3,41.0,41.0
2004-11-09,41.0,41.0,41.0,41.0,105000000,15000,4,41.0,41.0
2004-11-10,41.0,43.0,41.0,42.0,212423510,29254,14,41.0,42.0
2004-11-13,44.0,44.0,43.0,43.0,106286432,14368,7,42.0,43.0
2004-11-16,45.0,45.0,45.0,45.0,49702400,6400,3,43.0,45.0
2004-11-17,48.0,48.0,47.0,47.0,950935413,117266,37,45.0,47.0
2004-11-20,48.0,49.0,48.0,48.0,603411941,72969,23,47.0,48.0
2004-11-21,49.0,50.0,49.0,49.0,706016493,84321,26,48.0,49.0
2004-11-22,50.0,51.0,50.0,51.0,310395420,35872,25,49.0,51.0
2004-11-23,53.0,53.0,53.0,53.0,642847428,70767,40,51.0,53.0
2004-11-24,56.0,56.0,56.0,56.0,423266349,44377,50,53.0,56.0
2004-11-27,56.0,58.0,54.0,55.0,446773135,47305,30,56.0,55.0
2004-11-28,55.0,55.0,54.0,54.0,263898015,28382,29,55.0,54.0
2004-11-29,54.0,54.0,53.0,53.0,60846055,6675,6,54.0,53.0
2004-11-30,53.0,53.0,51.0,52.0,163197561,18255,14,53.0,52.0
2004-12-01,53.0,53.0,52.0,53.0,596256789,66300,32,52.0,53.0
2004-12-04,53.0,53.0,51.0,52.0,77654198,8741,8,53.0,52.0
2004-12-05,51.0,51.0,51.0,51.0,189376942,21642,8,52.0,51.0
2004-12-06,51.0,51.0,51.0,51.0,2067510,235,2,51.0,51.0
2004-12-07,51.0,51.0,51.0,51.0,32760422,3744,9,51.0,51.0
2004-12-12,51.0,51.0,51.0,51.0,37929130,4336,5,51.0,51.0
2004-12-13,51.0,51.0,51.0,51.0,17940048,2056,3,51.0,51.0
2004-12-14,51.0,51.0,51.0,51.0,1747800,200,1,51.0,51.0
2004-12-15,51.0,51.0,49.0,51.0,42195604,4848,4,51.0,51.0
2004-12-18,50.0,50.0,48.0,49.0,133495864,15883,17,51.0,49.0
2004-12-19,48.0,49.0,48.0,49.0,29580536,3578,6,49.0,49.0
2004-12-20,49.0,51.0,49.0,50.0,157289906,18517,14,49.0,50.0
2004-12-21,51.0,52.0,51.0,51.0,543876382,61771,33,50.0,51.0
2004-12-22,54.0,54.0,54.0,54.0,197784624,21396,13,51.0,54.0
2004-12-26,57.0,57.0,57.0,57.0,98030600,10100,6,54.0,57.0
2004-12-27,60.0,60.0,58.0,59.0,1096241789,107759,47,57.0,59.0
2004-12-28,62.0,62.0,60.0,62.0,1256756085,117965,77,59.0,62.0
2004-12-29,60.0,61.0,59.0,60.0,361074614,35219,31,62.0,60.0
2005-01-01,60.0,60.0,60.0,60.0,24648680,2390,4,60.0,60.0
2005-01-02,60.0,60.0,59.0,60.0,108864059,10593,22,60.0,60.0
