date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-10-04,6440.0,6440.0,4806.0,5145.0,934713054000,180000000,217,991.0,4806.0
2023-10-07,5400.0,5400.0,5400.0,5400.0,85412400000,15672000,359,5145.0,5400.0
2023-10-08,5668.0,5668.0,5549.0,5668.0,413951010760,72376882,2523,5400.0,5668.0
2023-10-09,5697.0,5767.0,5390.0,5529.0,197985209780,35470639,2474,5668.0,5420.0
2023-10-10,5380.0,5549.0,5331.0,5400.0,54991392550,10091769,957,5529.0,5400.0
2023-10-11,5440.0,5668.0,5430.0,5638.0,103594957780,18201562,922,5400.0,5668.0
2023-10-14,5727.0,5846.0,5549.0,5697.0,85295965550,14828741,1157,5638.0,5608.0
2023-10-15,5717.0,5717.0,5420.0,5489.0,34412913490,6210530,506,5697.0,5549.0
2023-10-16,5499.0,5697.0,5430.0,5568.0,27752541380,4937068,421,5489.0,5638.0
2023-10-17,5648.0,5707.0,5529.0,5578.0,27601113740,4901275,294,5568.0,5549.0
2023-10-18,5549.0,5549.0,5301.0,5341.0,49061263460,9110417,489,5578.0,5311.0
2023-10-21,5341.0,5420.0,5251.0,5331.0,23450416880,4355609,350,5341.0,5370.0
2023-10-22,5469.0,5469.0,5341.0,5360.0,8853635680,1627653,115,5331.0,5420.0
2023-10-23,5360.0,5370.0,5093.0,5202.0,26887226110,5125900,319,5360.0,5152.0
2023-10-24,5202.0,5202.0,4944.0,5004.0,19107730550,3780391,265,5202.0,4984.0
2023-10-25,5083.0,5251.0,4924.0,5103.0,27815125380,5400081,355,5004.0,5132.0
2023-10-28,5043.0,5043.0,4855.0,4875.0,30258952290,6149104,260,5103.0,4895.0
2023-10-29,4984.0,5103.0,4954.0,5014.0,6036596110,1192884,107,4875.0,5053.0
2023-10-30,5103.0,5251.0,5033.0,5192.0,3053824390,583347,78,5014.0,5232.0
2023-10-31,5192.0,5261.0,4964.0,5083.0,4954969670,965142,138,5192.0,4984.0
2023-11-01,4984.0,5083.0,4835.0,4865.0,8413457560,1712961,118,5083.0,4964.0
2023-11-04,4939.0,5108.0,4939.0,5071.0,5020177632,980907,99,4865.0,5080.0
2023-11-05,5083.0,5132.0,4974.0,5016.0,2673538167,528186,115,5071.0,4994.0
2023-11-06,5043.0,5043.0,4964.0,4984.0,2804698559,557638,85,5016.0,5014.0
2023-11-07,5033.0,5233.0,5023.0,5163.0,4240125634,813713,132,4984.0,5086.0
2023-11-08,5247.0,5247.0,4984.0,5016.0,6724939511,1328425,193,5163.0,5045.0
2023-11-11,5063.0,5152.0,4914.0,5014.0,2717500940,537289,95,5016.0,4964.0
2023-11-12,4964.0,5113.0,4934.0,5043.0,2741060610,538599,98,5014.0,5073.0
2023-11-13,4984.0,5291.0,4984.0,5103.0,12113105810,2349969,203,5043.0,5053.0
2023-11-14,4984.0,5093.0,4954.0,5004.0,2861816980,567007,125,5103.0,5043.0
2023-11-15,5053.0,5093.0,4924.0,4984.0,786407080,156392,63,5004.0,4994.0
2023-11-18,5023.0,5073.0,4806.0,4875.0,4649518650,944354,154,4984.0,4835.0
2023-11-19,4875.0,5053.0,4835.0,4895.0,4504924540,912041,161,4875.0,4865.0
