date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-10,1890.0,1890.0,1641.0,1699.0,2638669790000,444000000,52,286.0,1719.0
2022-05-11,1799.0,1799.0,1799.0,1799.0,63277400000,10060000,1726,1699.0,1799.0
2022-05-14,1904.0,1904.0,1904.0,1904.0,69093963540,10374469,1599,1799.0,1904.0
2022-05-15,2016.0,2016.0,2016.0,2016.0,138698365350,19673527,3530,1904.0,2016.0
2022-05-16,2136.0,2136.0,2136.0,2136.0,47373485040,6341832,921,2016.0,2136.0
2022-05-17,2262.0,2262.0,2233.0,2262.0,889656946330,112478389,23110,2136.0,2262.0
2022-05-18,2265.0,2396.0,2262.0,2345.0,647176762960,78909057,17460,2262.0,2396.0
2022-05-21,2405.0,2485.0,2368.0,2456.0,131543042040,15311394,3496,2345.0,2485.0
2022-05-22,2599.0,2602.0,2519.0,2602.0,455646647660,50089588,9978,2456.0,2602.0
2022-05-23,2716.0,2716.0,2448.0,2531.0,425389985160,48069860,12917,2602.0,2448.0
2022-05-24,2488.0,2611.0,2408.0,2536.0,238210961640,26846916,4230,2531.0,2528.0
2022-05-25,2445.0,2571.0,2385.0,2445.0,187075862590,21887486,3625,2536.0,2405.0
2022-05-28,2402.0,2430.0,2299.0,2328.0,203553849480,25010143,2714,2445.0,2299.0
2022-05-29,2290.0,2465.0,2239.0,2448.0,432715506500,50535529,5315,2328.0,2462.0
2022-05-30,2485.0,2485.0,2319.0,2370.0,183500167200,22142255,2667,2448.0,2345.0
2022-05-31,2368.0,2368.0,2245.0,2285.0,97132142130,12150378,1484,2370.0,2288.0
2022-06-01,2285.0,2353.0,2276.0,2308.0,61843021010,7663564,1376,2285.0,2333.0
2022-06-06,2356.0,2356.0,2170.0,2182.0,95840327150,12564104,1335,2308.0,2170.0
2022-06-07,2150.0,2230.0,2093.0,2150.0,29277505100,3894421,922,2182.0,2113.0
2022-06-08,2159.0,2227.0,2076.0,2153.0,51194357100,6795571,794,2150.0,2125.0
2022-06-11,2099.0,2136.0,2024.0,2056.0,61312689780,8523555,801,2153.0,2059.0
2022-06-12,2036.0,2179.0,2019.0,2167.0,112345170900,14812585,984,2056.0,2179.0
2022-06-13,2190.0,2216.0,2090.0,2139.0,47086189360,6297977,973,2167.0,2113.0
2022-06-14,2116.0,2142.0,2059.0,2093.0,33899253660,4630386,565,2139.0,2087.0
2022-06-15,2044.0,2113.0,2019.0,2047.0,25677934400,3587459,484,2093.0,2042.0
2022-06-18,2076.0,2076.0,1942.0,1953.0,101129716520,14808023,897,2047.0,1959.0
2022-06-19,2016.0,2056.0,1996.0,2007.0,66667002660,9494230,733,1953.0,2007.0
2022-06-20,2044.0,2116.0,2036.0,2064.0,74994116470,10386361,830,2007.0,2085.0
2022-06-26,1946.0,2007.0,1943.0,1946.0,49070374010,7287305,446,2064.0,1952.0
2022-06-27,1937.0,2062.0,1917.0,2056.0,78907945450,11091279,847,1946.0,2062.0
2022-06-28,2096.0,2111.0,1969.0,2036.0,30312599570,4306557,690,2056.0,2010.0
2022-06-29,2056.0,2056.0,1966.0,1992.0,22480996680,3261520,512,2036.0,1998.0
2022-07-02,1969.0,2010.0,1943.0,1975.0,30631465300,4487542,418,1992.0,1981.0
2022-07-03,2044.0,2044.0,1923.0,1960.0,31378000270,4629724,598,1975.0,2010.0
2022-07-04,2018.0,2018.0,1946.0,1972.0,26725782770,3918271,414,1960.0,1984.0
2022-07-05,1940.0,1981.0,1908.0,1934.0,21788422650,3255633,438,1972.0,1958.0
2022-07-06,1937.0,1952.0,1879.0,1897.0,21054713620,3209462,319,1934.0,1897.0
2022-07-09,1926.0,1949.0,1853.0,1894.0,6881390330,1050090,208,1897.0,1931.0
2022-07-11,1940.0,2004.0,1865.0,1946.0,14652586050,2177084,367,1894.0,1905.0
2022-07-12,1871.0,1981.0,1871.0,1905.0,13150162440,1996954,247,1946.0,1937.0
2022-07-13,1955.0,1963.0,1908.0,1934.0,10852667080,1622253,169,1905.0,1937.0
2022-07-16,1877.0,1995.0,1877.0,1920.0,43231302560,6515470,341,1934.0,1934.0
2022-07-17,1966.0,1966.0,1882.0,1920.0,19677963510,2965093,211,1920.0,1926.0
2022-07-19,1908.0,1937.0,1885.0,1911.0,7257888430,1097445,169,1920.0,1937.0
2022-07-20,1937.0,1937.0,1888.0,1905.0,5050993660,766639,168,1911.0,1905.0
2022-07-23,1952.0,2012.0,1917.0,1969.0,15463174460,2270976,347,1905.0,1963.0
2022-07-24,1989.0,1989.0,1894.0,1926.0,21332018180,3205194,182,1969.0,1911.0
2022-07-25,1891.0,1923.0,1839.0,1859.0,10766709880,1674326,239,1926.0,1851.0
2022-07-26,1900.0,1958.0,1848.0,1917.0,28511831690,4301919,225,1859.0,1934.0
2022-07-27,1934.0,2027.0,1888.0,1995.0,47975226700,6956027,522,1917.0,1995.0
2022-07-30,1995.0,2047.0,1946.0,1986.0,13050139590,1900109,228,1995.0,1949.0
2022-07-31,1995.0,2001.0,1929.0,1949.0,31746177110,4712879,251,1986.0,1969.0
2022-08-01,1952.0,1995.0,1931.0,1946.0,31746678350,4714463,249,1949.0,1958.0
2022-08-02,1978.0,2062.0,1908.0,2041.0,59150327250,8376971,430,1946.0,2062.0
2022-08-03,2067.0,2163.0,2067.0,2148.0,45907450310,6178588,598,2041.0,2160.0
2022-08-06,2163.0,2209.0,2082.0,2125.0,17160632060,2334862,445,2148.0,2108.0
2022-08-09,2128.0,2128.0,2036.0,2067.0,9774693150,1367273,233,2125.0,2085.0
2022-08-10,2007.0,2117.0,2007.0,2067.0,10109545840,1413466,187,2067.0,2053.0
2022-08-13,2038.0,2183.0,2030.0,2125.0,26672109390,3630065,373,2067.0,2117.0
2022-08-14,2050.0,2148.0,2024.0,2079.0,141120217470,19615510,1196,2125.0,2073.0
2022-08-15,2062.0,2160.0,2062.0,2128.0,69080661660,9386166,612,2079.0,2134.0
2022-08-16,2163.0,2166.0,2085.0,2111.0,30343150360,4157371,353,2128.0,2108.0
2022-08-17,2082.0,2119.0,2038.0,2070.0,26068485730,3641585,324,2111.0,2073.0
2022-08-20,2070.0,2140.0,2062.0,2111.0,44005104140,6029632,294,2070.0,2088.0
2022-08-21,2140.0,2140.0,2070.0,2088.0,16451007100,2278954,215,2111.0,2096.0
2022-08-22,2067.0,2163.0,2067.0,2117.0,44230265280,6046308,257,2088.0,2122.0
2022-08-23,2137.0,2169.0,2117.0,2151.0,39289001930,5278609,311,2117.0,2137.0
2022-08-24,2140.0,2273.0,2140.0,2195.0,69937735730,9214627,634,2151.0,2270.0
2022-08-27,2255.0,2270.0,2174.0,2212.0,22362143990,2923855,386,2195.0,2174.0
2022-08-28,2212.0,2255.0,2177.0,2209.0,38378807830,5023620,334,2212.0,2255.0
2022-08-29,2247.0,2252.0,2200.0,2226.0,17870998420,2320538,252,2209.0,2241.0
2022-08-30,2250.0,2351.0,2226.0,2293.0,65113550110,8209198,558,2226.0,2296.0
2022-08-31,2293.0,2331.0,2293.0,2310.0,49779601450,6228952,296,2293.0,2313.0
2022-09-03,2299.0,2328.0,2192.0,2307.0,131079550090,16429647,565,2310.0,2313.0
2022-09-04,2299.0,2342.0,2299.0,2313.0,60007516710,7499463,234,2307.0,2313.0
2022-09-05,2319.0,2333.0,2319.0,2319.0,26913718090,3353884,114,2313.0,2325.0
2022-09-06,2331.0,2357.0,2313.0,2336.0,46169193480,5714340,233,2319.0,2333.0
2022-09-07,2348.0,2354.0,2316.0,2345.0,76352818860,9409226,219,2336.0,2345.0
2022-09-10,2354.0,2365.0,2331.0,2351.0,107106632250,13173820,381,2345.0,2362.0
2022-09-11,2354.0,2365.0,2331.0,2348.0,109893762840,13539977,485,2351.0,2342.0
2022-09-12,2351.0,2414.0,2287.0,2357.0,45074283760,5533263,308,2348.0,2371.0
2022-09-13,2371.0,2385.0,2348.0,2359.0,11948731160,1464081,135,2357.0,2354.0
2022-09-14,2351.0,2388.0,2348.0,2368.0,12863300610,1570847,161,2359.0,2359.0
2022-09-18,2394.0,2397.0,2359.0,2374.0,19744288670,2405645,188,2368.0,2368.0
2022-09-19,2380.0,2411.0,2380.0,2391.0,58481954990,7070880,342,2374.0,2391.0
2022-09-20,2406.0,2414.0,2385.0,2403.0,84722712630,10194705,377,2391.0,2400.0
2022-09-21,2400.0,2411.0,2385.0,2403.0,78997935770,9508368,324,2403.0,2403.0
