date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-10-21,2572.0,2572.0,2572.0,2572.0,39150000000,4500000,131,296.0,2572.0
2019-10-22,2624.0,2624.0,2624.0,2624.0,141992874,16001,6,2572.0,2624.0
2019-10-23,2676.0,2676.0,2676.0,2676.0,134506911,14861,6,2624.0,2676.0
2019-10-26,2730.0,2730.0,2730.0,2730.0,115492320,12510,9,2676.0,2730.0
2019-10-28,2839.0,2839.0,2839.0,2839.0,124822601,13001,6,2730.0,2839.0
2019-10-30,2895.0,2895.0,2895.0,2895.0,127309000,13000,6,2839.0,2895.0
2019-11-02,2953.0,2953.0,2953.0,2953.0,120814848,12096,7,2895.0,2953.0
2019-11-03,3012.0,3012.0,3010.0,3012.0,5412643398,531332,63,2953.0,3012.0
2019-11-04,3132.0,3132.0,3132.0,3132.0,157437434,14861,4,3012.0,3132.0
2019-11-09,3195.0,3195.0,3195.0,3195.0,109270965,10113,8,3132.0,3195.0
2019-11-10,3258.0,3258.0,3258.0,3258.0,60615500,5500,8,3195.0,3258.0
2019-11-11,3389.0,3389.0,3389.0,3389.0,837810561,73101,13,3258.0,3389.0
2019-11-12,3456.0,3456.0,3456.0,3456.0,93075780,7962,16,3389.0,3456.0
2019-12-28,3525.0,3525.0,3525.0,3525.0,223566015,20505,3,3456.0,3525.0
2020-01-15,3596.0,3667.0,3596.0,3648.0,135412482,12000,17,3525.0,3667.0
2020-01-27,3721.0,3721.0,3721.0,3721.0,222238790,19310,5,3648.0,3721.0
2020-01-28,3795.0,3795.0,3795.0,3795.0,84638190,7210,6,3721.0,3795.0
2020-02-01,3871.0,3871.0,3871.0,3871.0,101183823,8451,8,3795.0,3871.0
2020-02-02,4026.0,4026.0,4026.0,4026.0,127062455,10205,5,3871.0,4026.0
2020-02-03,4106.0,4106.0,4106.0,4106.0,89535000,7050,8,4026.0,4106.0
2020-02-04,4188.0,4188.0,4188.0,4188.0,19431064770,1500005,64,4106.0,4188.0
2020-02-05,4272.0,4272.0,4272.0,4272.0,81114607,6139,6,4188.0,4272.0
2020-02-08,4443.0,4443.0,4443.0,4443.0,281772946,20506,4,4272.0,4443.0
2020-02-09,4531.0,4531.0,4531.0,4531.0,210239015,15001,2,4443.0,4531.0
2020-02-10,4622.0,4622.0,4622.0,4622.0,117219000,8200,7,4531.0,4622.0
2020-02-16,4714.0,4714.0,4714.0,4714.0,295434540,20263,3,4622.0,4714.0
2020-02-25,4902.0,4902.0,4902.0,4902.0,759605648,50096,16,4714.0,4902.0
2020-03-02,5000.0,5000.0,5000.0,4925.0,2315987102,149747,15,4902.0,5000.0
2020-03-03,5023.0,5023.0,5023.0,4928.0,364039552,23432,13,4925.0,5023.0
2020-03-04,5027.0,5027.0,5027.0,4987.0,6161991262,396346,28,4928.0,5027.0
2020-03-07,5187.0,5187.0,5187.0,5026.0,2029327199,126493,22,4987.0,5187.0
2020-03-09,5126.0,5126.0,5126.0,5126.0,14675187824,925529,91,5026.0,5126.0
2020-03-10,5229.0,5229.0,5229.0,5132.0,582826401,36037,7,5126.0,5229.0
2020-03-11,5235.0,5235.0,5235.0,5139.0,663831000,41000,5,5132.0,5235.0
2020-03-14,5344.0,5344.0,5344.0,5344.0,11980748128,724832,42,5139.0,5344.0
2020-03-15,5451.0,5451.0,5451.0,5345.0,60591246,3594,4,5344.0,5451.0
2020-03-16,5451.0,5451.0,5451.0,5348.0,341907358,20278,2,5345.0,5451.0
2020-03-17,5455.0,5455.0,5455.0,5348.0,13497600,800,1,5348.0,5455.0
2020-03-18,5562.0,5562.0,5562.0,5403.0,2788038601,162067,15,5348.0,5562.0
2020-03-24,5511.0,5511.0,5511.0,5404.0,40143330,2355,4,5403.0,5511.0
2020-03-25,5512.0,5512.0,5512.0,5406.0,196313252,11516,3,5404.0,5512.0
2020-03-28,5514.0,5514.0,5514.0,5410.0,443036940,25980,4,5406.0,5514.0
2020-03-29,5627.0,5627.0,5627.0,5532.0,5860877922,336774,25,5410.0,5627.0
2020-03-30,5643.0,5643.0,5643.0,5573.0,3871948050,221850,14,5532.0,5643.0
2020-04-04,5685.0,5685.0,5685.0,5587.0,1249886798,71089,5,5573.0,5685.0
2020-04-05,5698.0,5698.0,5698.0,5588.0,90821625,5153,3,5587.0,5698.0
2020-04-06,5811.0,5811.0,5811.0,5621.0,1536561312,85488,21,5588.0,5811.0
2020-04-07,5733.0,5733.0,5733.0,5623.0,225799288,12734,7,5621.0,5733.0
