date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-22,668.0,668.0,668.0,668.0,52800000000,440000,2936,28.0,668.0
2021-09-25,688.0,688.0,688.0,688.0,105158880000,850800,6015,668.0,688.0
2021-09-26,709.0,709.0,709.0,709.0,15635713944,122818,877,688.0,709.0
2021-09-28,730.0,730.0,691.0,729.0,132405737426,1011449,12704,709.0,730.0
2021-09-29,752.0,766.0,718.0,757.0,200331845214,1473378,15758,729.0,766.0
2021-10-02,780.0,780.0,769.0,780.0,13178628385,94105,850,757.0,780.0
2021-10-03,803.0,803.0,757.0,798.0,120439145851,840568,8436,780.0,803.0
2021-10-04,822.0,822.0,822.0,822.0,11034926532,74772,999,798.0,822.0
2021-10-06,781.0,863.0,781.0,830.0,276020467586,1853123,20342,822.0,863.0
2021-10-23,854.0,854.0,854.0,854.0,10510905504,68512,800,830.0,854.0
2021-10-25,880.0,880.0,880.0,875.0,8308955058,52582,741,854.0,880.0
2021-10-26,901.0,901.0,901.0,885.0,4226192761,26131,369,875.0,901.0
2021-10-27,911.0,911.0,911.0,898.0,5625875696,34384,434,885.0,911.0
2021-10-30,943.0,943.0,898.0,942.0,257621287501,1523264,20952,898.0,943.0
2021-10-31,942.0,942.0,914.0,915.0,13664172868,83141,1164,942.0,914.0
2021-11-01,888.0,943.0,888.0,912.0,212972108388,1300059,17473,915.0,939.0
2021-11-02,940.0,940.0,920.0,939.0,16694033809,98999,1347,912.0,940.0
2021-11-03,967.0,967.0,955.0,967.0,81214618987,467621,6531,939.0,967.0
2021-11-06,996.0,996.0,952.0,987.0,54858906520,309659,3960,967.0,958.0
2021-11-07,957.0,957.0,957.0,957.0,13005921585,75684,951,987.0,957.0
2021-11-08,928.0,928.0,928.0,952.0,1811920300,10870,153,957.0,928.0
2021-11-09,923.0,944.0,923.0,925.0,31911229082,192109,2684,952.0,923.0
2021-11-10,882.0,950.0,879.0,902.0,94897558013,585907,7736,925.0,925.0
2021-11-13,876.0,913.0,875.0,889.0,44388513944,278036,3706,902.0,905.0
2021-11-14,904.0,916.0,863.0,899.0,34766238705,215323,2869,889.0,916.0
2021-11-17,926.0,926.0,926.0,916.0,6339841088,38122,443,899.0,926.0
2021-11-20,943.0,943.0,943.0,943.0,10330222008,60987,833,916.0,943.0
2021-11-21,972.0,972.0,972.0,972.0,46613907630,267182,3641,943.0,972.0
2021-11-22,1001.0,1001.0,1001.0,989.0,6374427154,35473,502,972.0,1001.0
2021-11-23,1038.0,1038.0,1038.0,1010.0,4791045672,25704,291,989.0,1038.0
2021-11-24,1040.0,1040.0,1040.0,1027.0,6453340748,34564,314,1010.0,1040.0
2021-11-27,1058.0,1058.0,1058.0,1051.0,8023801950,42255,594,1027.0,1058.0
2021-11-28,1082.0,1082.0,1082.0,1082.0,11003823000,56625,796,1051.0,1082.0
2021-11-29,1136.0,1136.0,1094.0,1136.0,169060669064,829099,11510,1082.0,1136.0
2021-11-30,1170.0,1170.0,1107.0,1165.0,93176757002,445494,6109,1136.0,1169.0
2021-12-01,1131.0,1200.0,1131.0,1192.0,54466860799,254428,3634,1165.0,1200.0
2021-12-04,1228.0,1228.0,1220.0,1228.0,138434024516,627835,8358,1192.0,1228.0
2022-01-02,1596.0,1596.0,1596.0,1596.0,34593766400,21621104,4396,1228.0,1596.0
2022-01-03,1548.0,1590.0,1548.0,1548.0,83586365057,53845178,20893,1596.0,1548.0
2022-01-04,1502.0,1502.0,1502.0,1502.0,22826431458,15156993,3834,1548.0,1502.0
2022-01-05,1457.0,1457.0,1457.0,1498.0,986928876,675516,274,1502.0,1457.0
2022-01-08,1424.0,1424.0,1424.0,1479.0,2449813666,1716758,694,1498.0,1424.0
2022-01-09,1436.0,1436.0,1436.0,1478.0,266823697,185423,77,1479.0,1436.0
2022-01-10,1435.0,1435.0,1435.0,1458.0,4459508344,3101188,1246,1478.0,1435.0
2022-01-11,1416.0,1430.0,1416.0,1416.0,41315756376,29112614,11635,1458.0,1416.0
2022-01-12,1346.0,1346.0,1346.0,1393.0,2999044189,2223161,546,1416.0,1346.0
2022-01-15,1352.0,1352.0,1352.0,1390.0,678414625,500675,179,1393.0,1352.0
2022-01-16,1349.0,1349.0,1349.0,1389.0,266841536,197368,62,1390.0,1349.0
2022-01-17,1348.0,1348.0,1348.0,1387.0,579497940,428940,128,1389.0,1348.0
2022-01-18,1318.0,1318.0,1318.0,1384.0,353220869,267389,18,1387.0,1318.0
2022-01-19,1343.0,1343.0,1343.0,1384.0,63290266,47021,6,1384.0,1343.0
2022-01-22,1343.0,1343.0,1343.0,1383.0,198077360,147160,9,1384.0,1343.0
2022-01-23,1342.0,1342.0,1342.0,1383.0,16737180,12444,3,1383.0,1342.0
2022-01-24,1314.0,1314.0,1314.0,1321.0,8483189466,6441298,159,1383.0,1314.0
2022-01-25,1282.0,1282.0,1282.0,1282.0,182335901255,141895643,3154,1321.0,1282.0
2022-01-26,1244.0,1291.0,1244.0,1248.0,204500714030,163482879,4620,1282.0,1245.0
2022-01-29,1211.0,1285.0,1211.0,1249.0,73146074870,58411215,1559,1248.0,1285.0
2022-01-30,1286.0,1286.0,1286.0,1267.0,5083163766,3943494,99,1249.0,1286.0
2022-01-31,1305.0,1305.0,1305.0,1289.0,5978314716,4570577,109,1267.0,1305.0
2022-02-01,1353.0,1353.0,1353.0,1353.0,24101198220,17773745,419,1289.0,1353.0
2022-02-02,1393.0,1393.0,1393.0,1374.0,5794649420,4150895,142,1353.0,1393.0
2022-02-05,1415.0,1415.0,1415.0,1403.0,7176359036,5060902,113,1374.0,1415.0
2022-02-06,1445.0,1445.0,1386.0,1433.0,341011429440,237443338,5949,1403.0,1445.0
2022-02-07,1503.0,1503.0,1503.0,1478.0,7102736641,4713163,133,1433.0,1503.0
2022-02-08,1522.0,1522.0,1522.0,1499.0,5413236262,3547337,90,1478.0,1522.0
2022-02-09,1544.0,1544.0,1544.0,1528.0,7163424180,4627535,131,1499.0,1544.0
2022-02-12,1573.0,1573.0,1573.0,1553.0,5631023863,3570719,76,1528.0,1573.0
2022-02-13,1630.0,1630.0,1630.0,1600.0,6478203786,3964629,125,1553.0,1630.0
2022-02-14,1648.0,1648.0,1648.0,1614.0,3048927896,1845598,59,1600.0,1648.0
2022-02-16,1662.0,1662.0,1662.0,1655.0,9354796584,5615124,96,1614.0,1662.0
2022-02-19,1704.0,1704.0,1704.0,1704.0,35785964760,20951970,616,1655.0,1704.0
2022-02-20,1789.0,1789.0,1789.0,1789.0,13495360549,7526693,162,1704.0,1789.0
2022-02-21,1842.0,1842.0,1842.0,1842.0,18749024528,10156568,257,1789.0,1842.0
2022-02-22,1896.0,1896.0,1896.0,1880.0,8203160982,4315182,119,1842.0,1896.0
2022-02-23,1936.0,1936.0,1936.0,1911.0,6530566317,3364537,91,1880.0,1936.0
2022-02-26,2006.0,2006.0,2006.0,2006.0,13790219334,6857394,164,1911.0,2006.0
2022-02-27,2066.0,2066.0,2066.0,2041.0,6296597986,3040366,74,2006.0,2066.0
2022-02-28,2102.0,2102.0,2102.0,2100.0,10690134196,5073628,122,2041.0,2102.0
2022-03-02,2163.0,2163.0,2163.0,2116.0,2919710640,1346730,69,2100.0,2163.0
2022-03-07,2179.0,2179.0,2179.0,2179.0,21312498480,9758470,220,2116.0,2179.0
2022-03-08,2244.0,2244.0,2127.0,2241.0,128074614976,57019217,1222,2179.0,2244.0
2022-03-09,2307.0,2307.0,2260.0,2307.0,281967315300,121926852,2204,2241.0,2307.0
2022-03-12,2376.0,2376.0,2376.0,2336.0,4385395392,1841056,67,2307.0,2376.0
2022-03-13,2453.0,2453.0,2453.0,2447.0,10115066992,4113488,114,2336.0,2453.0
2022-03-14,2520.0,2520.0,2520.0,2520.0,19539511782,7735357,183,2447.0,2520.0
2022-03-15,2595.0,2595.0,2595.0,2530.0,1548031968,595168,46,2520.0,2595.0
2022-03-16,2606.0,2606.0,2606.0,2540.0,1460565100,559175,34,2530.0,2606.0
2022-03-19,2667.0,2667.0,2667.0,2597.0,4742479368,1774216,50,2540.0,2667.0
2022-03-26,2675.0,2675.0,2675.0,2614.0,2299614345,857745,34,2597.0,2675.0
2022-03-27,2692.0,2692.0,2692.0,2635.0,2887723360,1070320,32,2614.0,2692.0
2022-03-29,2713.0,2713.0,2713.0,2654.0,2568251200,944210,40,2635.0,2713.0
