date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-07,30.0,30.0,30.0,30.0,20869200,5610,3,0.0,30.0
2001-04-08,30.0,31.0,30.0,31.0,45286313,12044,15,30.0,31.0
2001-04-09,30.0,31.0,30.0,31.0,12377384,3284,10,31.0,31.0
2001-04-10,31.0,31.0,31.0,31.0,23014672,6068,14,31.0,31.0
2001-04-11,31.0,32.0,31.0,31.0,55183624,14358,20,31.0,31.0
2001-04-14,31.0,31.0,31.0,31.0,41686660,10802,19,31.0,31.0
2001-04-15,31.0,32.0,31.0,32.0,74706328,19247,32,31.0,32.0
2001-04-25,19.0,20.0,19.0,20.0,17384345,7478,21,32.0,20.0
2001-04-29,21.0,21.0,21.0,21.0,9223830,3630,17,20.0,21.0
2001-04-30,21.0,22.0,21.0,22.0,10003128,3786,15,21.0,22.0
2001-05-01,23.0,23.0,23.0,23.0,141652576,50574,53,22.0,23.0
2001-05-02,23.0,23.0,22.0,23.0,128260615,46549,81,23.0,23.0
2001-05-05,23.0,23.0,23.0,23.0,143294672,51210,67,23.0,23.0
2001-05-06,23.0,23.0,23.0,23.0,300098451,107254,77,23.0,23.0
2001-05-07,23.0,23.0,22.0,23.0,65929462,23626,25,23.0,23.0
2001-05-08,22.0,23.0,22.0,22.0,35961054,13070,38,23.0,22.0
2001-05-09,22.0,22.0,21.0,21.0,51902915,19632,34,22.0,21.0
2001-05-12,22.0,22.0,21.0,21.0,44673146,17082,26,21.0,21.0
2001-05-13,21.0,21.0,20.0,20.0,41718664,16319,34,21.0,20.0
2001-05-15,20.0,21.0,20.0,21.0,31352717,12348,23,20.0,21.0
2001-05-16,21.0,21.0,21.0,21.0,139211062,53686,31,21.0,21.0
2001-05-19,21.0,22.0,21.0,21.0,157611979,60470,62,21.0,21.0
2001-05-20,21.0,21.0,21.0,21.0,136977595,53349,40,21.0,21.0
2001-05-21,21.0,21.0,21.0,21.0,216034150,83515,70,21.0,21.0
2001-05-23,21.0,21.0,21.0,21.0,1369483053,528589,65,21.0,21.0
2001-05-26,21.0,22.0,21.0,22.0,59791942,22559,31,21.0,22.0
2001-05-27,21.0,22.0,21.0,22.0,55299757,20800,36,22.0,22.0
2001-05-28,22.0,22.0,22.0,22.0,70453748,25620,25,22.0,22.0
2001-05-29,23.0,23.0,15.0,23.0,156640466,56898,65,22.0,23.0
2001-05-30,23.0,23.0,22.0,22.0,232428019,84582,74,23.0,22.0
2001-06-02,22.0,23.0,22.0,22.0,99905087,36429,52,22.0,22.0
2001-06-03,22.0,22.0,22.0,22.0,90519725,33144,63,22.0,22.0
2001-06-06,22.0,22.0,22.0,22.0,71778573,26229,47,22.0,22.0
2001-06-09,22.0,22.0,22.0,22.0,144670273,53008,53,22.0,22.0
2001-06-11,22.0,22.0,22.0,22.0,78464332,28691,37,22.0,22.0
2001-06-12,22.0,22.0,22.0,22.0,29813642,11059,46,22.0,22.0
2001-06-13,22.0,22.0,15.0,22.0,318801586,153081,315,22.0,22.0
2001-06-16,22.0,22.0,22.0,22.0,50909357,19011,43,22.0,22.0
2001-06-17,22.0,22.0,22.0,22.0,87866545,32863,68,22.0,22.0
2001-06-18,22.0,22.0,15.0,22.0,101237951,50066,294,22.0,22.0
2001-06-19,21.0,22.0,21.0,21.0,151329907,57741,82,22.0,21.0
2001-06-20,21.0,21.0,21.0,21.0,103594545,39797,65,21.0,21.0
2001-06-23,21.0,22.0,21.0,22.0,108125020,40692,64,21.0,22.0
2001-06-24,22.0,22.0,22.0,22.0,130529798,48381,91,22.0,22.0
2001-06-25,22.0,22.0,22.0,22.0,100951622,37298,47,22.0,22.0
2001-06-26,22.0,22.0,22.0,22.0,131590360,48755,81,22.0,22.0
2001-06-27,22.0,22.0,22.0,22.0,551031758,203964,141,22.0,22.0
2001-06-30,22.0,22.0,22.0,22.0,473729116,172273,122,22.0,22.0
2001-07-01,22.0,23.0,22.0,23.0,297306617,106616,98,22.0,23.0
2001-07-02,23.0,23.0,23.0,23.0,292620443,102298,104,23.0,23.0
2001-07-03,23.0,23.0,23.0,23.0,169752781,59090,77,23.0,23.0
2001-07-04,23.0,24.0,23.0,24.0,469692674,157611,126,23.0,24.0
2001-07-07,24.0,24.0,23.0,23.0,82649120,28419,33,24.0,23.0
2001-07-08,23.0,24.0,23.0,23.0,112362542,38795,59,23.0,23.0
2001-07-09,23.0,24.0,23.0,23.0,303611801,105414,74,23.0,23.0
2001-07-10,23.0,23.0,23.0,23.0,799473868,285306,61,23.0,23.0
2001-07-11,23.0,23.0,23.0,23.0,78088193,27590,39,23.0,23.0
2001-07-14,24.0,24.0,23.0,24.0,528302287,179146,146,23.0,24.0
2001-08-22,24.0,25.0,23.0,24.0,822552850,276387,154,24.0,24.0
2001-08-25,24.0,24.0,23.0,23.0,288208895,100400,78,24.0,23.0
2001-08-26,24.0,24.0,23.0,23.0,414951318,145031,138,23.0,23.0
2001-08-27,23.0,23.0,23.0,23.0,300920973,107310,135,23.0,23.0
2001-08-28,23.0,23.0,23.0,23.0,579296273,207152,169,23.0,23.0
2001-08-29,23.0,23.0,23.0,23.0,347334020,124360,78,23.0,23.0
2001-09-01,22.0,23.0,22.0,23.0,402924672,146111,106,23.0,23.0
2001-09-02,22.0,22.0,21.0,22.0,214947447,79687,84,23.0,22.0
2001-09-03,21.0,22.0,21.0,22.0,1114168379,421196,186,22.0,22.0
2001-09-04,22.0,22.0,21.0,22.0,687754933,255927,112,22.0,22.0
2001-09-05,22.0,22.0,22.0,22.0,191946110,71078,84,22.0,22.0
2001-09-08,22.0,23.0,22.0,23.0,199845889,71609,98,22.0,23.0
2001-09-09,23.0,23.0,23.0,23.0,343699505,120537,89,23.0,23.0
2001-09-10,23.0,23.0,23.0,23.0,225919893,78754,104,23.0,23.0
2001-09-11,23.0,23.0,23.0,23.0,341358807,120077,91,23.0,23.0
2001-09-12,22.0,23.0,22.0,23.0,147428483,53012,57,23.0,23.0
2001-09-15,22.0,23.0,22.0,23.0,425354598,154005,84,23.0,23.0
2001-09-16,22.0,23.0,22.0,23.0,1357043449,491842,98,23.0,23.0
2001-09-17,21.0,22.0,21.0,22.0,1626783274,593854,114,23.0,22.0
2001-09-18,22.0,22.0,22.0,22.0,731228202,266208,81,22.0,22.0
2001-09-19,22.0,22.0,22.0,22.0,485446745,178077,123,22.0,22.0
2001-09-22,22.0,22.0,22.0,22.0,178054239,64771,43,22.0,22.0
2001-09-23,22.0,22.0,22.0,22.0,567888274,207713,95,22.0,22.0
2001-09-24,22.0,22.0,22.0,22.0,198816513,73386,65,22.0,22.0
2001-09-25,22.0,22.0,22.0,22.0,271653548,101015,95,22.0,22.0
2001-09-26,22.0,22.0,22.0,22.0,32589504,12099,23,22.0,22.0
2001-09-29,22.0,22.0,21.0,22.0,643667165,241603,112,22.0,22.0
2001-09-30,22.0,22.0,21.0,22.0,543234036,202054,102,22.0,22.0
2001-10-02,22.0,22.0,22.0,22.0,119608040,44283,50,22.0,22.0
2001-10-03,22.0,22.0,22.0,22.0,180610541,66902,65,22.0,22.0
2001-10-06,22.0,22.0,22.0,22.0,275599259,101378,84,22.0,22.0
2001-10-07,22.0,22.0,22.0,22.0,159717891,58477,104,22.0,22.0
2001-10-08,22.0,22.0,22.0,22.0,253200310,93068,61,22.0,22.0
2001-10-09,22.0,22.0,22.0,22.0,413392684,153143,86,22.0,22.0
2001-10-10,22.0,22.0,22.0,22.0,23000849,8499,15,22.0,22.0
2001-10-13,22.0,22.0,22.0,22.0,294291224,109425,93,22.0,22.0
2001-10-14,22.0,22.0,22.0,22.0,36711175,13700,13,22.0,22.0
2001-10-16,22.0,22.0,22.0,22.0,3972013203,1476629,109,22.0,22.0
2001-10-17,22.0,22.0,22.0,22.0,1058283405,393174,56,22.0,22.0
2001-10-20,22.0,22.0,22.0,22.0,111247722,41353,54,22.0,22.0
2001-10-21,22.0,23.0,22.0,23.0,145174419,51869,49,22.0,23.0
2001-10-22,23.0,23.0,23.0,23.0,321514272,113536,74,23.0,23.0
2001-10-23,23.0,23.0,23.0,23.0,508402360,178240,70,23.0,23.0
2001-10-24,23.0,23.0,23.0,23.0,133296636,46462,42,23.0,23.0
2001-10-27,23.0,24.0,23.0,24.0,216004828,74512,64,23.0,24.0
2001-10-28,24.0,24.0,23.0,24.0,413589565,142173,91,24.0,24.0
2001-10-29,24.0,24.0,24.0,24.0,321374508,109108,112,24.0,24.0
2001-10-30,24.0,24.0,24.0,24.0,92263314,31334,42,24.0,24.0
2001-10-31,24.0,24.0,24.0,24.0,191185068,64720,78,24.0,24.0
2001-11-03,24.0,24.0,24.0,24.0,170241199,57099,67,24.0,24.0
2001-11-04,24.0,24.0,23.0,23.0,99310409,33188,51,24.0,23.0
2001-11-05,23.0,24.0,23.0,24.0,283542269,94717,37,23.0,24.0
2001-11-06,24.0,24.0,24.0,24.0,214409514,71480,59,24.0,24.0
2001-11-07,24.0,24.0,24.0,24.0,68194859,22750,24,24.0,24.0
2001-11-10,24.0,24.0,24.0,24.0,503606449,168105,70,24.0,24.0
2001-11-11,24.0,24.0,24.0,24.0,148855014,49985,40,24.0,24.0
2001-11-12,23.0,24.0,23.0,23.0,99281247,34580,31,24.0,23.0
2001-11-13,23.0,23.0,22.0,23.0,450582589,160811,103,23.0,23.0
2001-11-14,23.0,24.0,23.0,23.0,127574751,44704,61,23.0,23.0
2001-11-17,23.0,23.0,23.0,23.0,30841947,10747,26,23.0,23.0
2001-11-18,23.0,23.0,23.0,23.0,78852553,27996,56,23.0,23.0
2001-11-19,23.0,23.0,23.0,23.0,62940456,22246,40,23.0,23.0
2001-11-20,23.0,23.0,23.0,23.0,102182310,36295,51,23.0,23.0
2001-11-21,23.0,23.0,23.0,23.0,94638204,33790,48,23.0,23.0
2001-11-24,23.0,23.0,23.0,23.0,1342883758,474923,128,23.0,23.0
2001-11-25,23.0,24.0,23.0,24.0,1130265317,392815,119,23.0,24.0
2001-11-26,24.0,24.0,24.0,24.0,1367141545,467001,136,24.0,24.0
2001-11-27,24.0,24.0,24.0,24.0,143290225,49080,45,24.0,24.0
2001-11-28,24.0,24.0,23.0,23.0,122232452,42361,47,24.0,23.0
2001-12-01,23.0,23.0,23.0,23.0,452944954,157862,71,23.0,23.0
2001-12-02,23.0,23.0,23.0,23.0,198559720,69421,58,23.0,23.0
2001-12-03,23.0,23.0,23.0,23.0,477894222,166504,69,23.0,23.0
2001-12-04,23.0,23.0,23.0,23.0,1279550369,444275,95,23.0,23.0
2001-12-05,23.0,23.0,23.0,23.0,367182320,127411,65,23.0,23.0
2001-12-08,23.0,23.0,23.0,23.0,1011610780,352500,95,23.0,23.0
2001-12-09,23.0,23.0,23.0,23.0,1528255994,532425,122,23.0,23.0
2001-12-10,23.0,24.0,23.0,24.0,4062510940,1415475,260,23.0,24.0
2001-12-11,24.0,24.0,24.0,24.0,287575701,96203,62,24.0,24.0
2001-12-12,25.0,25.0,25.0,25.0,794135138,261798,136,24.0,25.0
2001-12-15,25.0,26.0,25.0,26.0,765538998,246010,113,25.0,26.0
2001-12-17,26.0,27.0,17.0,27.0,536674926,187173,95,26.0,27.0
2001-12-18,27.0,27.0,26.0,26.0,726368455,223504,145,27.0,26.0
2001-12-19,26.0,26.0,26.0,26.0,1027495891,317194,115,26.0,26.0
2001-12-22,26.0,26.0,25.0,25.0,73008614,23490,34,26.0,25.0
2001-12-23,25.0,25.0,24.0,25.0,546082432,177995,137,25.0,25.0
2001-12-24,25.0,25.0,25.0,25.0,407071278,131025,82,25.0,25.0
2001-12-25,25.0,25.0,25.0,25.0,1062898266,342763,65,25.0,25.0
2001-12-26,25.0,25.0,25.0,25.0,551542520,177316,78,25.0,25.0
2001-12-29,25.0,25.0,25.0,25.0,139223681,44454,44,25.0,25.0
2001-12-30,25.0,25.0,25.0,25.0,254252915,81388,61,25.0,25.0
2001-12-31,25.0,25.0,25.0,25.0,144264796,46380,39,25.0,25.0
2002-01-01,25.0,26.0,25.0,25.0,263302691,84254,52,25.0,25.0
2002-01-02,24.0,25.0,24.0,25.0,202563178,65944,29,25.0,25.0
2002-01-05,25.0,25.0,25.0,25.0,302464099,99399,55,25.0,25.0
2002-01-06,25.0,25.0,24.0,25.0,992232336,327490,115,25.0,25.0
2002-01-07,25.0,25.0,24.0,25.0,719473773,237250,102,25.0,25.0
2002-01-08,25.0,25.0,25.0,25.0,320692792,105437,76,25.0,25.0
2002-01-12,25.0,25.0,25.0,25.0,167420154,54684,61,25.0,25.0
2002-01-13,25.0,25.0,25.0,25.0,241077145,79098,58,25.0,25.0
2002-01-14,25.0,25.0,25.0,25.0,250722489,82179,65,25.0,25.0
2002-01-15,25.0,25.0,24.0,25.0,177924906,58800,64,25.0,25.0
2002-01-16,25.0,25.0,25.0,25.0,528952856,174607,104,25.0,25.0
2002-01-19,25.0,25.0,25.0,25.0,301069214,98358,74,25.0,25.0
2002-01-20,25.0,26.0,25.0,25.0,389184369,124154,84,25.0,25.0
2002-01-21,25.0,26.0,25.0,26.0,390085145,124293,93,25.0,26.0
2002-01-22,26.0,26.0,25.0,26.0,1181530717,368117,125,26.0,26.0
2002-01-23,26.0,26.0,26.0,26.0,554079882,172926,67,26.0,26.0
2002-01-26,26.0,26.0,26.0,26.0,377392266,118272,51,26.0,26.0
2002-01-27,26.0,26.0,26.0,26.0,256631203,80351,39,26.0,26.0
2002-01-28,26.0,26.0,26.0,26.0,38264682,12090,9,26.0,26.0
2002-01-29,25.0,26.0,24.0,25.0,230791197,74070,76,26.0,25.0
2002-01-30,25.0,25.0,25.0,25.0,179262869,57785,57,25.0,25.0
2002-02-02,25.0,25.0,25.0,25.0,412117495,133098,43,25.0,25.0
2002-02-03,25.0,25.0,24.0,25.0,356945525,117026,89,25.0,25.0
2002-02-04,25.0,25.0,25.0,25.0,248853096,80760,61,25.0,25.0
2002-02-05,25.0,25.0,25.0,25.0,951556030,307462,118,25.0,25.0
2002-02-06,25.0,25.0,25.0,25.0,402140833,129871,53,25.0,25.0
2002-02-09,25.0,25.0,25.0,25.0,118537652,38350,34,25.0,25.0
2002-02-10,25.0,25.0,25.0,25.0,839116458,271843,110,25.0,25.0
2002-02-12,25.0,25.0,25.0,25.0,135939499,44468,34,25.0,25.0
2002-02-13,25.0,25.0,25.0,25.0,2385747578,770911,88,25.0,25.0
2002-02-16,25.0,25.0,25.0,25.0,44072787,14353,24,25.0,25.0
2002-02-17,25.0,25.0,25.0,25.0,20395385,6694,6,25.0,25.0
2002-02-18,25.0,25.0,24.0,25.0,232039256,76148,79,25.0,25.0
2002-02-19,25.0,25.0,25.0,25.0,221871142,72484,36,25.0,25.0
2002-02-20,25.0,25.0,25.0,25.0,531190689,171814,61,25.0,25.0
2002-02-24,25.0,25.0,25.0,25.0,1012033572,326746,58,25.0,25.0
2002-02-25,25.0,25.0,25.0,25.0,95989573,30961,28,25.0,25.0
2002-02-26,25.0,25.0,25.0,25.0,380255855,122691,55,25.0,25.0
2002-02-27,25.0,25.0,25.0,25.0,715265849,231497,61,25.0,25.0
2002-03-02,25.0,25.0,25.0,25.0,318590183,103214,55,25.0,25.0
2002-03-04,25.0,25.0,25.0,25.0,1028996593,331930,104,25.0,25.0
2002-03-05,25.0,25.0,25.0,25.0,485540172,156638,57,25.0,25.0
2002-03-06,25.0,25.0,25.0,25.0,204633464,66113,35,25.0,25.0
2002-03-09,25.0,25.0,25.0,25.0,783780864,252164,94,25.0,25.0
