date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-11-29,27.0,27.0,27.0,27.0,340000000000,100000000,25187,8.0,27.0
2015-11-30,29.0,29.0,29.0,29.0,22443183420,6286606,2706,27.0,29.0
2015-12-01,29.0,29.0,28.0,29.0,173064123922,47975033,23313,29.0,28.0
2015-12-05,29.0,29.0,28.0,29.0,38209131739,10690511,5998,29.0,28.0
2015-12-06,28.0,29.0,28.0,28.0,19722222508,5626717,2851,29.0,28.0
2015-12-07,28.0,28.0,28.0,28.0,13001329139,3717043,1770,28.0,28.0
2015-12-08,28.0,28.0,28.0,28.0,8552746569,2451488,1316,28.0,28.0
2015-12-09,28.0,29.0,28.0,29.0,14303861984,4019005,1956,28.0,29.0
2015-12-13,29.0,29.0,28.0,29.0,8188276247,2286154,1060,29.0,29.0
2015-12-14,29.0,29.0,28.0,29.0,25006428130,6897879,2563,29.0,29.0
2015-12-15,29.0,30.0,29.0,29.0,14400814960,3932406,1459,29.0,29.0
2015-12-16,30.0,30.0,29.0,29.0,10520877800,2879223,1230,29.0,29.0
2015-12-19,29.0,29.0,28.0,29.0,5914928858,1659947,675,29.0,28.0
2015-12-20,28.0,29.0,28.0,28.0,3562597456,1013312,375,29.0,28.0
2015-12-21,28.0,29.0,28.0,29.0,3904769689,1095022,432,28.0,29.0
2015-12-22,29.0,29.0,28.0,28.0,3372097946,958989,486,29.0,28.0
2015-12-23,28.0,28.0,28.0,28.0,4111846234,1173771,470,28.0,28.0
2015-12-26,28.0,28.0,28.0,28.0,3066589879,877172,352,28.0,28.0
2015-12-27,28.0,29.0,28.0,29.0,6708424252,1883776,786,28.0,29.0
2015-12-28,28.0,29.0,28.0,29.0,4545440887,1267403,532,29.0,29.0
2015-12-30,28.0,30.0,28.0,29.0,12152592870,3304639,1167,29.0,29.0
2016-01-02,29.0,29.0,29.0,29.0,3881749885,1070082,490,29.0,29.0
2016-01-03,29.0,29.0,29.0,29.0,7790748344,2150438,748,29.0,29.0
2016-01-04,29.0,30.0,29.0,29.0,8764130334,2386693,893,29.0,29.0
2016-01-05,29.0,31.0,29.0,31.0,38156472279,9940905,3029,29.0,31.0
2016-01-06,31.0,32.0,31.0,32.0,107012660224,26576840,5786,31.0,32.0
2016-01-09,34.0,34.0,33.0,34.0,146152215633,34611606,7673,32.0,33.0
2016-01-10,34.0,36.0,33.0,35.0,59549336291,13624117,4078,34.0,35.0
2016-01-11,35.0,36.0,35.0,36.0,24504613116,5523999,1737,35.0,35.0
2016-01-12,35.0,36.0,34.0,35.0,25034499075,5725316,1619,36.0,35.0
2016-01-13,35.0,35.0,35.0,35.0,22699010540,5210320,1600,35.0,35.0
2016-01-16,36.0,37.0,35.0,36.0,33505882683,7405490,1065,35.0,37.0
2016-01-17,37.0,38.0,35.0,36.0,31957445726,7098341,842,36.0,35.0
2016-01-18,36.0,36.0,35.0,35.0,7953279326,1799544,302,36.0,36.0
2016-01-19,36.0,37.0,36.0,37.0,28544477573,6152760,625,35.0,37.0
2016-01-20,37.0,39.0,36.0,38.0,17375940325,3677643,480,37.0,38.0
2016-01-23,38.0,39.0,37.0,38.0,27942775236,5951954,706,38.0,38.0
2016-01-24,38.0,38.0,37.0,38.0,10740938578,2294611,423,38.0,37.0
2016-01-25,37.0,38.0,37.0,37.0,18059837842,3866620,511,38.0,37.0
2016-01-26,37.0,39.0,37.0,39.0,59120451321,12212663,1177,37.0,39.0
2016-01-27,39.0,39.0,37.0,38.0,15423271799,3272943,570,39.0,37.0
2016-01-30,37.0,37.0,36.0,36.0,12163400494,2693233,398,38.0,36.0
2016-01-31,36.0,36.0,35.0,36.0,3121529686,702883,160,36.0,36.0
2016-02-01,37.0,37.0,37.0,37.0,16432326392,3527404,331,36.0,37.0
2016-02-02,38.0,39.0,37.0,38.0,8819291047,1877609,276,37.0,37.0
2016-02-03,36.0,38.0,36.0,37.0,9571012487,2093234,247,38.0,37.0
2016-02-06,38.0,38.0,37.0,38.0,4801460491,1026284,163,37.0,37.0
2016-02-07,38.0,39.0,38.0,39.0,28875898622,5897526,665,38.0,39.0
2016-02-08,40.0,41.0,40.0,41.0,33983434246,6634338,769,39.0,41.0
2016-02-09,42.0,43.0,39.0,42.0,17386881944,3339646,657,41.0,40.0
2016-02-10,40.0,42.0,40.0,41.0,19858767523,3922153,626,42.0,40.0
2016-02-13,39.0,40.0,39.0,39.0,16995522839,3524034,366,41.0,39.0
2016-02-14,37.0,39.0,37.0,38.0,5504136528,1147179,176,39.0,38.0
2016-02-15,38.0,40.0,38.0,39.0,5095228120,1050211,198,38.0,38.0
2016-02-16,38.0,38.0,37.0,38.0,8012182024,1699486,250,39.0,38.0
2016-02-17,37.0,39.0,37.0,38.0,10161332765,2120025,337,38.0,39.0
2016-02-20,39.0,39.0,37.0,37.0,16291676820,3513909,422,38.0,37.0
2016-02-21,37.0,37.0,35.0,36.0,9846217841,2196100,238,37.0,36.0
2016-02-22,36.0,38.0,36.0,38.0,2278543062,486232,118,36.0,38.0
2016-02-23,38.0,38.0,36.0,36.0,7934204739,1764320,227,38.0,36.0
2016-02-24,36.0,37.0,35.0,36.0,8482890026,1867172,201,36.0,37.0
2016-02-27,37.0,38.0,36.0,37.0,1100126440,238959,103,36.0,36.0
2016-02-28,36.0,37.0,36.0,36.0,4472418718,992655,172,37.0,36.0
2016-02-29,37.0,37.0,36.0,36.0,2496637047,552619,122,36.0,36.0
2016-03-01,37.0,37.0,36.0,37.0,2876564037,624275,163,36.0,36.0
2016-03-02,36.0,36.0,36.0,36.0,6176857755,1368663,154,37.0,36.0
2016-03-05,36.0,38.0,36.0,38.0,11894493494,2518620,345,36.0,38.0
2016-03-06,38.0,39.0,38.0,39.0,5939005391,1235299,262,38.0,39.0
2016-03-07,38.0,38.0,37.0,37.0,10782416568,2339677,314,39.0,37.0
2016-03-08,36.0,37.0,36.0,36.0,6445475128,1423244,203,37.0,36.0
2016-03-09,37.0,37.0,36.0,36.0,7403386669,1626461,169,36.0,36.0
2016-03-12,36.0,38.0,36.0,37.0,7517352846,1614440,296,36.0,36.0
2016-03-14,37.0,38.0,37.0,38.0,12616599974,2682486,504,37.0,37.0
2016-03-15,38.0,38.0,36.0,37.0,21215959950,4595551,449,38.0,37.0
2016-03-16,37.0,37.0,35.0,36.0,11623168371,2608779,400,37.0,35.0
2016-03-26,35.0,36.0,35.0,35.0,2452393296,557307,129,36.0,35.0
2016-03-27,35.0,35.0,35.0,35.0,2002976327,461513,99,35.0,35.0
2016-03-28,35.0,36.0,33.0,34.0,1514469235,360262,86,35.0,34.0
2016-03-29,35.0,35.0,35.0,35.0,1482380718,337187,76,34.0,35.0
2016-03-30,36.0,37.0,34.0,36.0,1934356640,431517,153,35.0,36.0
2016-04-02,35.0,36.0,34.0,35.0,1523659915,347849,87,36.0,35.0
2016-04-03,36.0,36.0,34.0,35.0,2257943811,518675,140,35.0,35.0
2016-04-04,35.0,35.0,34.0,35.0,3959060804,917291,113,35.0,35.0
2016-04-05,34.0,35.0,34.0,35.0,1270367376,290661,122,35.0,35.0
2016-04-06,35.0,35.0,34.0,35.0,1198383778,276388,78,35.0,35.0
2016-04-09,35.0,35.0,34.0,35.0,2226787933,513016,97,35.0,35.0
2016-04-10,34.0,35.0,34.0,35.0,2705381098,628087,103,35.0,35.0
2016-04-11,35.0,35.0,34.0,35.0,648035256,150127,41,35.0,35.0
2016-04-12,35.0,35.0,34.0,34.0,3726661162,876506,97,35.0,34.0
2016-04-13,34.0,34.0,33.0,33.0,2289354305,551055,91,34.0,33.0
2016-04-16,33.0,33.0,32.0,32.0,2163184147,540241,112,33.0,32.0
2016-04-17,31.0,33.0,31.0,32.0,1557322266,388409,65,32.0,32.0
2016-04-18,32.0,34.0,32.0,33.0,2770777181,672120,73,32.0,33.0
2016-04-19,33.0,33.0,31.0,32.0,2067408073,515287,79,33.0,31.0
2016-04-20,32.0,33.0,32.0,32.0,949409872,234717,33,32.0,33.0
2016-04-23,32.0,33.0,32.0,33.0,567825226,139488,32,32.0,33.0
2016-04-24,33.0,34.0,33.0,34.0,1557765057,369630,85,33.0,34.0
2016-04-25,34.0,34.0,34.0,34.0,1587712822,375464,79,34.0,34.0
2016-04-26,33.0,33.0,33.0,33.0,396470851,95433,25,34.0,33.0
2016-04-27,34.0,35.0,33.0,35.0,1140225968,263968,114,33.0,35.0
2016-04-30,35.0,35.0,34.0,35.0,3494075194,803272,115,35.0,35.0
2016-05-01,35.0,35.0,34.0,34.0,947449845,221145,57,35.0,34.0
2016-05-02,34.0,35.0,34.0,34.0,1194602453,280573,83,34.0,35.0
2016-05-03,35.0,35.0,33.0,34.0,1709799429,407762,64,34.0,33.0
2016-05-04,33.0,34.0,33.0,33.0,777173484,186218,42,34.0,34.0
2016-05-07,33.0,34.0,33.0,34.0,814606489,194877,45,33.0,33.0
2016-05-08,33.0,34.0,33.0,34.0,590505150,141090,46,34.0,33.0
2016-05-09,33.0,34.0,33.0,33.0,1214878500,293263,44,34.0,33.0
2016-05-10,33.0,33.0,33.0,33.0,1320026894,320642,46,33.0,33.0
2016-05-11,33.0,33.0,32.0,32.0,3240465678,802686,89,33.0,33.0
2016-05-14,34.0,34.0,34.0,34.0,51546794,12163,7,32.0,34.0
2016-05-18,34.0,35.0,34.0,34.0,4253131495,988925,134,34.0,34.0
2016-05-25,36.0,37.0,36.0,36.0,5806565505,1477292,144,34.0,36.0
2016-05-28,36.0,38.0,36.0,37.0,3941770418,978053,173,36.0,37.0
2016-05-29,37.0,38.0,37.0,37.0,1084991392,267861,40,37.0,37.0
2016-05-30,37.0,38.0,37.0,38.0,1748292281,426722,64,37.0,38.0
2016-05-31,38.0,39.0,37.0,38.0,1269294354,307264,43,38.0,38.0
2016-06-01,38.0,39.0,37.0,39.0,1724854914,411770,73,38.0,39.0
2016-06-05,39.0,39.0,39.0,39.0,2640882931,622733,103,39.0,39.0
2016-06-06,38.0,39.0,38.0,38.0,328025856,78553,25,39.0,39.0
2016-06-07,39.0,39.0,38.0,39.0,665156459,158656,44,38.0,39.0
2016-06-08,38.0,38.0,37.0,38.0,764518862,185259,41,39.0,37.0
2016-06-11,37.0,38.0,37.0,37.0,656094236,162655,44,38.0,38.0
2016-06-12,37.0,38.0,37.0,37.0,469599059,116281,31,37.0,37.0
2016-06-13,38.0,38.0,37.0,37.0,1502169261,372447,52,37.0,37.0
2016-06-14,37.0,37.0,37.0,37.0,532131064,132588,39,37.0,37.0
2016-06-15,37.0,38.0,37.0,38.0,541325395,132410,27,37.0,38.0
2016-06-18,38.0,38.0,37.0,38.0,679139220,165871,34,38.0,38.0
2016-06-19,37.0,38.0,37.0,38.0,587886461,144132,25,38.0,37.0
2016-06-20,37.0,38.0,37.0,37.0,279756135,68902,18,38.0,38.0
2016-06-21,37.0,39.0,37.0,38.0,1070801773,257161,43,37.0,39.0
2016-06-22,39.0,40.0,39.0,40.0,559676752,129910,46,38.0,40.0
2016-06-25,40.0,40.0,38.0,38.0,275317388,66800,11,40.0,38.0
2016-06-26,38.0,40.0,38.0,40.0,2948137816,684632,107,38.0,40.0
2016-06-28,40.0,41.0,40.0,40.0,1540027952,351502,75,40.0,40.0
2016-06-29,38.0,40.0,38.0,39.0,591338339,139344,41,40.0,39.0
2016-07-02,39.0,39.0,38.0,39.0,133257226,31148,14,39.0,39.0
2016-07-03,39.0,40.0,39.0,39.0,583720810,136456,38,39.0,39.0
2016-07-04,39.0,39.0,38.0,39.0,1333966678,317997,34,39.0,39.0
2016-07-05,38.0,39.0,38.0,38.0,363201717,86817,8,39.0,39.0
2016-07-09,38.0,39.0,38.0,38.0,447255800,106818,24,38.0,39.0
2016-07-10,38.0,39.0,38.0,39.0,124656323,29750,11,38.0,39.0
2016-07-11,39.0,39.0,39.0,39.0,306887653,72644,17,39.0,39.0
2016-07-12,38.0,40.0,38.0,39.0,1161939211,272747,42,39.0,39.0
2016-07-13,39.0,40.0,39.0,40.0,150643776,35061,17,39.0,40.0
2016-07-16,39.0,40.0,39.0,40.0,770353892,178334,31,40.0,40.0
2016-07-17,40.0,40.0,40.0,40.0,1336095165,308155,43,40.0,40.0
2016-07-18,40.0,41.0,40.0,40.0,1055222770,243572,41,40.0,40.0
2016-07-19,39.0,41.0,39.0,40.0,641031933,146919,68,40.0,40.0
2016-07-20,40.0,41.0,40.0,41.0,844949548,190013,15,40.0,41.0
2016-07-23,41.0,43.0,41.0,42.0,749365765,162595,38,41.0,43.0
2016-07-24,44.0,44.0,43.0,44.0,16020516919,3316989,304,42.0,44.0
2016-07-25,43.0,44.0,43.0,43.0,939416776,199685,40,44.0,43.0
2016-07-26,43.0,44.0,42.0,44.0,724874104,152400,35,43.0,44.0
2016-07-27,42.0,44.0,42.0,44.0,242193700,50227,3,44.0,44.0
2016-07-31,45.0,45.0,43.0,44.0,1698186021,352453,44,44.0,43.0
2016-08-01,43.0,44.0,43.0,44.0,1102360126,232150,28,44.0,43.0
2016-08-02,43.0,44.0,43.0,44.0,454115658,95210,21,44.0,44.0
2016-08-03,44.0,44.0,42.0,44.0,197788680,41287,5,44.0,42.0
2016-08-06,42.0,43.0,42.0,43.0,1090985600,234880,34,44.0,42.0
2016-08-07,43.0,43.0,43.0,43.0,125015000,27000,8,43.0,43.0
2016-08-08,42.0,42.0,42.0,42.0,552035895,119881,20,43.0,42.0
2016-08-09,43.0,43.0,42.0,42.0,305989564,67227,15,42.0,42.0
2016-08-10,42.0,44.0,42.0,43.0,508595146,108594,26,42.0,43.0
2016-08-13,44.0,44.0,43.0,44.0,2162048159,454319,48,43.0,43.0
2016-08-14,43.0,43.0,43.0,43.0,190230901,40653,21,44.0,43.0
2016-08-15,43.0,43.0,43.0,43.0,123954750,26500,8,43.0,43.0
2016-08-16,43.0,43.0,43.0,43.0,295654750,63250,15,43.0,43.0
2016-08-17,43.0,43.0,42.0,43.0,112883958,24331,8,43.0,43.0
2016-08-20,42.0,43.0,42.0,43.0,109469240,23440,8,43.0,43.0
2016-08-21,43.0,44.0,43.0,43.0,279528110,59180,19,43.0,44.0
2016-08-22,44.0,44.0,43.0,43.0,737090979,156090,25,43.0,43.0
2016-08-23,44.0,44.0,42.0,43.0,829976160,176568,8,43.0,43.0
2016-08-24,43.0,43.0,42.0,43.0,338479139,71943,12,43.0,43.0
2016-08-27,43.0,43.0,43.0,43.0,46990000,10000,1,43.0,43.0
2016-08-28,42.0,43.0,42.0,42.0,385838810,83869,18,43.0,42.0
2016-08-29,42.0,42.0,42.0,42.0,789175413,172207,14,42.0,42.0
2016-08-30,42.0,42.0,42.0,42.0,43491021,9600,5,42.0,42.0
2016-08-31,42.0,42.0,41.0,42.0,9419916258,2060616,94,42.0,42.0
2016-09-04,42.0,42.0,42.0,42.0,6238038784,1356097,143,42.0,42.0
2016-09-05,41.0,41.0,41.0,41.0,221106740,50000,12,42.0,41.0
2016-09-06,41.0,43.0,41.0,41.0,36501724,8239,11,41.0,41.0
2016-09-07,40.0,42.0,40.0,40.0,371444097,85205,28,41.0,40.0
2016-09-10,39.0,42.0,39.0,40.0,536981630,124547,19,40.0,40.0
2016-09-11,39.0,40.0,39.0,40.0,25840906410,5902091,552,40.0,40.0
2016-09-13,40.0,40.0,39.0,40.0,8812095038,2012868,102,40.0,40.0
2016-09-14,40.0,40.0,40.0,40.0,2356756365,542145,36,40.0,40.0
2016-09-17,39.0,39.0,39.0,39.0,6839034,1600,4,40.0,39.0
2016-09-18,40.0,40.0,40.0,40.0,65715250,15250,7,39.0,40.0
2016-09-19,40.0,41.0,40.0,41.0,197500950,44625,16,40.0,41.0
2016-09-21,40.0,41.0,40.0,40.0,131965000,30000,6,41.0,41.0
2016-09-24,41.0,41.0,40.0,41.0,268010851,60661,14,40.0,40.0
2016-09-25,40.0,40.0,40.0,40.0,65558700,15215,13,41.0,40.0
2016-09-26,40.0,40.0,40.0,40.0,99708800,23000,9,40.0,40.0
2016-09-27,40.0,40.0,40.0,40.0,3899188164,899366,30,40.0,40.0
2016-09-28,40.0,42.0,40.0,41.0,730108554,162856,29,40.0,41.0
