date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-15,41.0,41.0,41.0,41.0,9528000,1200,1,0.0,41.0
2001-04-22,41.0,41.0,41.0,41.0,794000,100,1,41.0,41.0
2001-04-23,41.0,41.0,41.0,41.0,1587500,200,2,41.0,41.0
2001-04-24,41.0,41.0,41.0,41.0,36489557,4600,12,41.0,41.0
2001-04-25,41.0,41.0,41.0,41.0,3494040,440,1,41.0,41.0
2001-04-28,41.0,41.0,41.0,41.0,48228220,6070,4,41.0,41.0
2001-04-29,41.0,41.0,41.0,41.0,16000000,2000,2,41.0,41.0
2001-04-30,41.0,41.0,41.0,41.0,1760000,220,1,41.0,41.0
2001-05-01,41.0,41.0,41.0,41.0,39960000,4980,6,41.0,41.0
2001-05-02,41.0,41.0,41.0,41.0,6440000,800,1,41.0,41.0
2001-05-05,42.0,42.0,42.0,42.0,26730000,3300,5,41.0,42.0
2001-05-07,42.0,42.0,42.0,42.0,19620000,2400,3,42.0,42.0
2001-05-08,43.0,43.0,43.0,43.0,14105000,1700,3,42.0,43.0
2001-06-19,51.0,51.0,51.0,51.0,28000000,2800,5,43.0,51.0
2001-06-20,50.0,51.0,50.0,50.0,30434000,3100,4,51.0,50.0
2001-06-24,50.0,50.0,49.0,49.0,27441500,2850,5,50.0,49.0
2001-06-25,49.0,49.0,49.0,49.0,77753075,8156,13,49.0,49.0
2001-06-26,49.0,51.0,49.0,51.0,162482390,16751,39,49.0,51.0
2001-06-27,51.0,52.0,51.0,52.0,101304000,10080,30,51.0,52.0
2001-06-30,52.0,54.0,52.0,54.0,79987400,7800,27,52.0,54.0
2001-07-01,55.0,55.0,54.0,55.0,116991112,10913,16,54.0,55.0
2001-07-02,55.0,56.0,55.0,56.0,29283000,2700,6,55.0,56.0
2001-07-03,55.0,55.0,55.0,55.0,69100950,6449,11,56.0,55.0
2001-07-04,55.0,55.0,55.0,55.0,5615145690,521408,36,55.0,55.0
2001-07-07,55.0,56.0,55.0,56.0,981034990,90977,20,55.0,56.0
2001-07-09,56.0,56.0,56.0,56.0,13198800,1200,4,56.0,56.0
2001-07-10,56.0,56.0,55.0,55.0,35019000,3260,10,56.0,55.0
2001-07-11,55.0,55.0,53.0,55.0,151203166,14227,23,55.0,55.0
2001-07-14,55.0,56.0,55.0,56.0,147345188,13654,19,55.0,56.0
2001-07-15,56.0,56.0,55.0,55.0,184232350,17070,36,56.0,55.0
2001-07-16,56.0,56.0,55.0,56.0,235421000,21700,50,55.0,56.0
2001-08-13,57.0,62.0,57.0,62.0,33255000,2900,8,56.0,62.0
2001-08-15,65.0,65.0,65.0,65.0,128785200,10200,24,62.0,65.0
2001-08-18,68.0,68.0,68.0,68.0,826543193,62349,45,65.0,68.0
2001-08-19,67.0,68.0,67.0,67.0,146574457,11270,18,68.0,67.0
2001-08-20,67.0,67.0,67.0,67.0,7797600,600,1,67.0,67.0
2001-08-21,64.0,64.0,64.0,64.0,32250000,2580,4,67.0,64.0
2001-08-22,64.0,64.0,64.0,64.0,74951280,6000,5,64.0,64.0
2001-08-25,63.0,63.0,63.0,63.0,12300000,1000,1,64.0,63.0
2001-09-01,61.0,61.0,61.0,61.0,11875000,1000,1,63.0,61.0
2001-09-02,58.0,58.0,58.0,58.0,56650000,5000,6,61.0,58.0
2001-09-03,58.0,58.0,58.0,58.0,57783000,5100,8,58.0,58.0
2001-09-04,58.0,58.0,58.0,58.0,93191430,8230,13,58.0,58.0
2001-09-05,58.0,58.0,58.0,58.0,18144000,1600,1,58.0,58.0
2001-09-11,59.0,59.0,59.0,59.0,23028000,2000,2,58.0,59.0
2001-09-12,59.0,59.0,59.0,59.0,22577680,1960,3,59.0,59.0
2001-09-16,59.0,59.0,59.0,59.0,62298000,5400,5,59.0,59.0
2001-09-17,59.0,59.0,59.0,59.0,23040000,2000,5,59.0,59.0
2001-09-19,59.0,59.0,59.0,59.0,177905076,15463,10,59.0,59.0
2001-09-22,59.0,59.0,59.0,59.0,20165970,1749,1,59.0,59.0
2001-09-23,60.0,60.0,59.0,59.0,40495000,3500,2,59.0,59.0
2001-09-24,59.0,59.0,59.0,59.0,21917000,1900,5,59.0,59.0
2001-09-25,59.0,59.0,59.0,59.0,54006200,4694,4,59.0,59.0
2001-09-26,59.0,59.0,59.0,59.0,18482000,1604,3,59.0,59.0
2001-09-29,59.0,59.0,59.0,59.0,23120000,2000,3,59.0,59.0
2001-10-02,60.0,60.0,60.0,60.0,13920000,1200,2,59.0,60.0
2001-10-07,59.0,60.0,59.0,60.0,55104000,4755,5,60.0,60.0
2001-10-08,60.0,60.0,60.0,60.0,17399700,1500,3,60.0,60.0
2001-10-09,59.0,60.0,59.0,60.0,139835750,12061,16,60.0,60.0
2001-10-10,60.0,60.0,60.0,60.0,289991537,25000,20,60.0,60.0
2001-10-17,59.0,60.0,59.0,60.0,231760940,20000,11,60.0,60.0
2001-10-20,59.0,60.0,59.0,60.0,92191626,7950,10,60.0,60.0
2001-10-22,60.0,60.0,60.0,60.0,18560000,1600,2,60.0,60.0
2001-10-23,60.0,60.0,60.0,60.0,13200800,1138,2,60.0,60.0
