date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-06,7.0,7.0,6.0,7.0,181379751,55879,77,7.0,7.0
2001-05-07,7.0,7.0,7.0,7.0,325663118,99962,80,7.0,7.0
2001-05-08,7.0,7.0,7.0,7.0,797914981,241949,87,7.0,7.0
2001-05-09,7.0,7.0,7.0,7.0,1392841852,415588,185,7.0,7.0
2001-05-12,7.0,7.0,7.0,7.0,79685410,23538,26,7.0,7.0
2001-05-13,7.0,7.0,7.0,7.0,441025763,127297,112,7.0,7.0
2001-05-15,7.0,7.0,7.0,7.0,355398008,102172,89,7.0,7.0
2001-05-16,7.0,7.0,7.0,7.0,217613221,62860,48,7.0,7.0
2001-05-19,7.0,7.0,7.0,7.0,90483021,26226,24,7.0,7.0
2001-05-20,7.0,7.0,7.0,7.0,89218325,26034,28,7.0,7.0
2001-05-21,7.0,7.0,7.0,7.0,117339780,34546,25,7.0,7.0
2001-05-23,7.0,7.0,7.0,7.0,55159260,16305,28,7.0,7.0
2001-05-26,7.0,7.0,7.0,7.0,58733327,16990,18,7.0,7.0
2001-05-27,7.0,7.0,7.0,7.0,94707263,27728,32,7.0,7.0
2001-05-28,7.0,7.0,7.0,7.0,121141724,35706,39,7.0,7.0
2001-05-29,7.0,7.0,7.0,7.0,18934395,5596,12,7.0,7.0
2001-05-30,7.0,7.0,7.0,7.0,113594525,33550,35,7.0,7.0
2001-06-02,7.0,7.0,7.0,7.0,51202040,15079,17,7.0,7.0
2001-06-03,7.0,7.0,7.0,7.0,154024550,45834,35,7.0,7.0
2001-06-06,7.0,7.0,7.0,7.0,32235913,9593,14,7.0,7.0
2001-06-09,7.0,7.0,7.0,7.0,14439487,4332,8,7.0,7.0
2001-06-11,7.0,7.0,7.0,7.0,91127132,27198,29,7.0,7.0
2001-06-12,7.0,7.0,7.0,7.0,55268630,16469,27,7.0,7.0
2001-06-13,7.0,7.0,7.0,7.0,60502419,18069,13,7.0,7.0
2001-06-16,7.0,7.0,7.0,7.0,29636159,8865,19,7.0,7.0
2001-06-17,7.0,7.0,7.0,7.0,247791246,75439,22,7.0,7.0
2001-06-18,7.0,7.0,7.0,7.0,34758552,10467,11,7.0,7.0
2001-06-19,7.0,7.0,7.0,7.0,129168395,39421,31,7.0,7.0
2001-06-20,7.0,7.0,7.0,7.0,124607629,38538,24,7.0,7.0
2001-06-23,7.0,7.0,7.0,7.0,53747179,16285,22,7.0,7.0
2001-06-24,7.0,7.0,7.0,7.0,28234800,8556,10,7.0,7.0
2001-06-25,7.0,7.0,7.0,7.0,48366538,14654,24,7.0,7.0
2001-06-26,7.0,7.0,7.0,7.0,31240492,9456,19,7.0,7.0
2001-06-27,7.0,7.0,7.0,7.0,52918885,16015,16,7.0,7.0
2001-06-30,7.0,7.0,7.0,7.0,6796759,2059,1,7.0,7.0
2001-07-01,7.0,7.0,7.0,7.0,246753785,73895,34,7.0,7.0
2001-07-02,7.0,7.0,7.0,7.0,31687718,9462,6,7.0,7.0
2001-07-03,7.0,7.0,7.0,7.0,102162058,30498,18,7.0,7.0
2001-07-04,7.0,7.0,7.0,7.0,53068080,15980,9,7.0,7.0
2001-07-07,7.0,7.0,7.0,7.0,57537390,17431,14,7.0,7.0
2001-07-08,7.0,7.0,7.0,7.0,24965879,7520,15,7.0,7.0
2001-07-09,7.0,7.0,7.0,7.0,20931320,6316,10,7.0,7.0
2001-07-10,7.0,7.0,7.0,7.0,33752845,10203,11,7.0,7.0
2001-07-11,7.0,7.0,7.0,7.0,97460165,29481,29,7.0,7.0
2001-07-14,7.0,7.0,7.0,7.0,31687605,9570,21,7.0,7.0
2001-07-15,7.0,7.0,7.0,7.0,718147696,218087,36,7.0,7.0
2001-09-03,7.0,7.0,6.0,6.0,96919480,30703,23,7.0,6.0
2001-09-04,6.0,6.0,6.0,6.0,540773941,176977,63,6.0,6.0
2001-09-05,6.0,6.0,6.0,6.0,786013051,263539,71,6.0,6.0
2001-09-08,6.0,6.0,6.0,6.0,137620924,45891,28,6.0,6.0
2001-09-09,6.0,6.0,6.0,6.0,148677304,49955,33,6.0,6.0
2001-09-10,6.0,6.0,6.0,6.0,331348214,111676,323,6.0,6.0
2001-09-11,6.0,6.0,6.0,6.0,3177304878,1093029,48,6.0,6.0
2001-09-12,6.0,6.0,6.0,6.0,10114525,3411,6,6.0,6.0
2001-09-15,6.0,6.0,6.0,6.0,55450058,18994,20,6.0,6.0
2001-09-16,6.0,6.0,6.0,6.0,3931556,1334,6,6.0,6.0
2001-09-17,6.0,6.0,6.0,6.0,138767086,48391,32,6.0,6.0
2001-09-18,6.0,6.0,6.0,6.0,18753696,6490,5,6.0,6.0
2001-09-19,6.0,6.0,6.0,6.0,133105949,46700,33,6.0,6.0
2001-09-22,6.0,6.0,6.0,6.0,37628828,13183,16,6.0,6.0
2001-09-23,6.0,6.0,6.0,6.0,41276590,14741,21,6.0,6.0
2001-09-24,6.0,6.0,6.0,6.0,146161561,52918,33,6.0,6.0
2001-09-25,6.0,6.0,6.0,6.0,21388164,7833,6,6.0,6.0
2001-09-26,6.0,6.0,6.0,6.0,132970090,48772,22,6.0,6.0
2001-09-29,6.0,6.0,6.0,6.0,9954850,3620,5,6.0,6.0
2001-09-30,6.0,6.0,5.0,6.0,256780530,93953,42,6.0,6.0
2001-10-02,6.0,6.0,6.0,6.0,14060432,5133,14,6.0,6.0
2001-10-03,6.0,6.0,6.0,6.0,77447466,28554,57,6.0,6.0
2001-10-06,6.0,6.0,6.0,6.0,138746336,51130,24,6.0,6.0
2001-10-07,6.0,6.0,6.0,6.0,45709549,16961,15,6.0,6.0
2001-10-08,6.0,6.0,5.0,6.0,16481424,6152,11,6.0,6.0
2001-10-09,6.0,6.0,6.0,6.0,25395328,9382,9,6.0,6.0
2001-10-10,6.0,6.0,6.0,6.0,217330860,80530,415,6.0,6.0
2001-10-13,6.0,6.0,6.0,6.0,11867050,4405,5,6.0,6.0
2001-10-14,5.0,6.0,5.0,6.0,186312124,69943,47,6.0,6.0
2001-10-16,6.0,6.0,5.0,6.0,284823058,105878,44,6.0,6.0
2001-10-17,6.0,6.0,6.0,6.0,415769902,154492,48,6.0,6.0
2001-10-20,6.0,6.0,6.0,6.0,200247140,74202,49,6.0,6.0
2001-10-21,6.0,6.0,6.0,6.0,299643910,110635,70,6.0,6.0
2001-10-22,6.0,6.0,6.0,6.0,254267552,91786,33,6.0,6.0
2001-10-23,6.0,6.0,6.0,6.0,329958655,114019,63,6.0,6.0
2001-10-24,6.0,6.0,6.0,6.0,421719302,143995,52,6.0,6.0
2001-10-27,6.0,6.0,6.0,6.0,355513157,122190,55,6.0,6.0
2001-10-28,6.0,6.0,6.0,6.0,128154959,44527,29,6.0,6.0
2001-10-29,6.0,6.0,6.0,6.0,429808414,152720,48,6.0,6.0
2001-10-30,6.0,6.0,6.0,6.0,423670778,150172,46,6.0,6.0
2001-10-31,6.0,6.0,6.0,6.0,259888102,92676,39,6.0,6.0
2001-11-03,6.0,6.0,6.0,6.0,253327793,90062,51,6.0,6.0
2001-11-04,6.0,6.0,6.0,6.0,710416147,253693,71,6.0,6.0
2001-11-05,6.0,6.0,6.0,6.0,1534237794,547593,103,6.0,6.0
2001-11-06,6.0,6.0,6.0,6.0,4306162244,1524090,119,6.0,6.0
2001-11-07,6.0,6.0,6.0,6.0,1543971441,522363,127,6.0,6.0
2001-11-10,6.0,6.0,6.0,6.0,784562192,260621,68,6.0,6.0
2001-11-11,6.0,6.0,6.0,6.0,235080169,79570,35,6.0,6.0
2001-11-12,6.0,6.0,6.0,6.0,286703956,96297,42,6.0,6.0
2001-11-13,6.0,6.0,6.0,6.0,324975912,109105,54,6.0,6.0
2001-11-14,6.0,6.0,6.0,6.0,322816019,108691,61,6.0,6.0
2001-11-17,6.0,6.0,6.0,6.0,255655006,86168,44,6.0,6.0
2001-11-18,6.0,6.0,6.0,6.0,113371300,38290,28,6.0,6.0
2001-11-19,6.0,6.0,6.0,6.0,117138391,39453,26,6.0,6.0
2001-11-20,6.0,6.0,6.0,6.0,126617968,42670,26,6.0,6.0
2001-11-21,6.0,6.0,6.0,6.0,97206953,32831,17,6.0,6.0
2001-11-24,6.0,6.0,6.0,6.0,95406977,32248,22,6.0,6.0
2001-11-25,6.0,6.0,6.0,6.0,139750700,47308,22,6.0,6.0
2001-11-26,6.0,6.0,6.0,6.0,101814191,35031,20,6.0,6.0
2001-11-27,6.0,6.0,6.0,6.0,85244521,29791,17,6.0,6.0
2001-11-28,6.0,6.0,6.0,6.0,93384652,32787,28,6.0,6.0
2001-12-01,6.0,6.0,6.0,6.0,26539350,9353,9,6.0,6.0
2001-12-02,6.0,6.0,6.0,6.0,33630519,11795,12,6.0,6.0
