date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-03-01,201.0,201.0,201.0,201.0,2100000000,1000000,125,96.0,201.0
2011-03-02,211.0,211.0,211.0,211.0,606375,275,1,201.0,211.0
2011-03-05,222.0,222.0,222.0,222.0,23844500,10300,2,211.0,222.0
2011-03-06,233.0,233.0,233.0,233.0,5151600,2120,2,222.0,233.0
2011-03-07,245.0,245.0,245.0,245.0,3214260,1260,6,233.0,245.0
2011-03-08,257.0,257.0,257.0,257.0,16070678,6001,2,245.0,257.0
2011-03-09,270.0,270.0,270.0,270.0,9697950,3450,4,257.0,270.0
2011-03-12,283.0,283.0,283.0,283.0,52085150,17650,14,270.0,283.0
2011-03-13,297.0,297.0,297.0,297.0,1910852596,616802,131,283.0,297.0
2011-03-14,312.0,312.0,312.0,312.0,650400,200,1,297.0,312.0
2011-03-15,327.0,327.0,327.0,327.0,5291700,1550,4,312.0,327.0
2011-03-16,344.0,344.0,344.0,344.0,755184640,210710,178,327.0,344.0
2011-03-19,361.0,361.0,361.0,361.0,16941026,4502,17,344.0,361.0
2011-03-26,379.0,379.0,379.0,379.0,19755000,5000,13,361.0,379.0
2011-03-27,398.0,398.0,398.0,398.0,12444000,3000,3,379.0,398.0
2011-03-28,418.0,418.0,418.0,418.0,14079715,3233,8,398.0,418.0
2011-03-29,438.0,438.0,438.0,438.0,29420820,6435,9,418.0,438.0
2011-03-30,460.0,460.0,460.0,460.0,960048000,200010,161,438.0,460.0
2011-04-03,483.0,483.0,483.0,483.0,21319200,4230,11,460.0,483.0
2011-04-04,507.0,507.0,507.0,507.0,2091477780,395215,354,483.0,507.0
2011-04-05,533.0,533.0,533.0,533.0,261820944,47124,92,507.0,533.0
2011-04-06,559.0,559.0,506.0,535.0,9471349692,1696791,2459,533.0,506.0
2011-04-09,527.0,534.0,509.0,513.0,1970824248,368647,408,535.0,509.0
2011-04-10,487.0,487.0,487.0,487.0,99345240,19560,23,513.0,487.0
2011-04-11,475.0,511.0,475.0,506.0,3424864281,648844,462,487.0,508.0
2011-04-12,511.0,531.0,504.0,523.0,1339718162,245688,186,506.0,531.0
2011-04-13,549.0,549.0,532.0,543.0,817178588,144420,98,523.0,543.0
2011-04-16,542.0,568.0,516.0,521.0,960056811,176684,118,543.0,516.0
2011-04-17,499.0,526.0,495.0,496.0,784850396,151732,170,521.0,495.0
2011-04-18,471.0,513.0,471.0,474.0,687715003,139064,66,496.0,471.0
2011-04-19,451.0,464.0,451.0,451.0,254276766,54100,42,474.0,451.0
2011-04-20,433.0,472.0,433.0,456.0,213594764,44895,57,451.0,453.0
2011-04-23,473.0,473.0,434.0,455.0,2556664305,538605,138,456.0,434.0
2011-04-24,451.0,451.0,432.0,440.0,63457060,13816,14,455.0,432.0
2011-04-25,418.0,418.0,418.0,418.0,2182000,500,1,440.0,418.0
