date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-08-28,569.0,569.0,569.0,569.0,11459627200,2046362,295,102.0,569.0
2017-08-30,568.0,568.0,457.0,501.0,1726652320,350516,69,569.0,457.0
2017-09-02,361.0,369.0,361.0,363.0,10275921677,2880045,597,501.0,369.0
2017-09-04,369.0,385.0,369.0,378.0,3560805063,955305,135,363.0,385.0
2017-09-06,378.0,391.0,378.0,385.0,2266898002,597742,124,378.0,391.0
2017-09-11,404.0,404.0,381.0,400.0,3079842203,780857,161,385.0,381.0
2017-09-13,378.0,378.0,372.0,377.0,1774026951,477170,137,400.0,372.0
2017-09-16,376.0,376.0,376.0,376.0,1137948714,307561,76,377.0,376.0
2017-09-18,401.0,401.0,388.0,397.0,3384187053,864942,113,376.0,388.0
2017-09-20,376.0,376.0,376.0,376.0,383727000,103710,12,397.0,376.0
2017-09-23,376.0,376.0,376.0,376.0,1551084400,419212,67,376.0,376.0
2017-09-25,376.0,379.0,376.0,376.0,1211652190,327322,47,376.0,379.0
2017-10-07,396.0,396.0,396.0,396.0,2297735286,589314,45,376.0,396.0
2017-10-09,395.0,395.0,367.0,392.0,1077545028,279216,52,396.0,367.0
2017-10-11,371.0,371.0,371.0,371.0,251780793,68849,10,392.0,371.0
2017-10-14,391.0,391.0,381.0,381.0,196000650,52251,17,371.0,381.0
2017-10-16,360.0,363.0,360.0,360.0,1337515950,376749,47,381.0,363.0
2017-10-18,371.0,386.0,371.0,384.0,704580000,186200,24,360.0,386.0
2017-10-21,383.0,383.0,383.0,383.0,911265550,241715,47,384.0,383.0
2017-10-23,386.0,386.0,386.0,386.0,609106762,160182,27,383.0,386.0
2017-10-25,401.0,401.0,386.0,388.0,202621820,52982,22,386.0,386.0
2017-10-28,386.0,386.0,386.0,386.0,553416363,145521,24,388.0,386.0
2017-10-30,386.0,395.0,386.0,390.0,1206771174,314358,30,386.0,395.0
2017-11-01,395.0,400.0,395.0,395.0,1454928635,373563,52,390.0,400.0
2017-11-04,401.0,438.0,401.0,419.0,1533975200,372052,82,395.0,438.0
2017-11-06,468.0,497.0,468.0,473.0,3000317598,642121,122,419.0,497.0
2017-11-08,508.0,508.0,466.0,504.0,2127065000,428693,87,473.0,466.0
2017-11-11,457.0,467.0,457.0,459.0,3065284022,678415,124,504.0,467.0
2017-11-20,467.0,467.0,467.0,467.0,873225927,189873,21,459.0,467.0
2017-11-22,468.0,468.0,461.0,467.0,2092474294,454430,70,467.0,461.0
2017-11-25,435.0,435.0,435.0,435.0,257400000,60000,5,467.0,435.0
2017-11-29,436.0,457.0,436.0,440.0,3190189500,735727,70,435.0,457.0
2017-12-02,496.0,496.0,440.0,453.0,230981800,51800,12,440.0,440.0
2017-12-04,453.0,453.0,426.0,440.0,90045725,20775,7,453.0,426.0
2017-12-09,378.0,406.0,378.0,401.0,580432360,146929,25,440.0,406.0
2017-12-11,401.0,401.0,401.0,401.0,321917100,81498,14,401.0,401.0
2017-12-13,406.0,406.0,396.0,405.0,685179000,171581,38,401.0,396.0
2017-12-16,406.0,406.0,381.0,393.0,103149345,26655,7,405.0,381.0
2017-12-18,393.0,368.0,368.0,368.0,181500000,50000,6,393.0,368.0
2017-12-20,375.0,376.0,375.0,376.0,543961300,146949,26,368.0,376.0
2017-12-23,367.0,367.0,367.0,367.0,36210000,10000,7,376.0,367.0
2017-12-25,381.0,381.0,381.0,381.0,1084061250,289083,38,367.0,381.0
2017-12-27,381.0,381.0,381.0,381.0,522363750,139297,45,381.0,381.0
2018-01-03,367.0,367.0,328.0,366.0,511285269,141910,31,381.0,328.0
2018-01-06,367.0,375.0,367.0,368.0,1387113280,382400,28,366.0,375.0
2018-01-08,375.0,375.0,375.0,375.0,305198200,82486,16,368.0,375.0
2018-01-10,375.0,375.0,375.0,375.0,7961794,2153,2,375.0,375.0
2018-01-15,372.0,372.0,355.0,355.0,81715120,23324,6,375.0,355.0
