date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-09-29,18.0,18.0,18.0,17.0,448200,1800,1,17.0,18.0
2021-05-05,18.0,18.0,18.0,17.0,357315,1435,1,17.0,18.0
2021-05-08,18.0,18.0,18.0,17.0,351575,1435,1,17.0,18.0
2021-05-31,18.0,18.0,18.0,17.0,351575,1435,1,17.0,18.0
2022-06-22,1977.0,2037.0,1918.0,1963.0,401428337269,14975814,2204,17.0,1918.0
2022-06-25,1908.0,1955.0,1908.0,1911.0,35093671150,1345322,325,1963.0,1908.0
2022-06-26,1856.0,1856.0,1856.0,1864.0,13085898150,516209,38,1911.0,1856.0
2022-06-27,1809.0,1809.0,1809.0,1860.0,1097396300,44429,22,1864.0,1809.0
2022-06-28,1805.0,1915.0,1805.0,1882.0,99553418600,3874430,1033,1860.0,1915.0
2022-06-29,1933.0,1937.0,1886.0,1937.0,42628346100,1612818,677,1882.0,1937.0
2022-07-02,1985.0,1992.0,1955.0,1992.0,39130325450,1439545,455,1937.0,1992.0
2022-07-03,2050.0,2050.0,2047.0,2036.0,12263717850,437998,139,1992.0,2050.0
2022-07-04,2094.0,2094.0,2094.0,2043.0,2132072800,74548,31,2036.0,2094.0
2022-07-05,2102.0,2102.0,2102.0,2065.0,6220093600,216728,36,2043.0,2102.0
2022-07-06,2124.0,2124.0,2124.0,2091.0,7513813000,259097,38,2065.0,2124.0
2022-07-09,2153.0,2153.0,2153.0,2098.0,2175982200,74013,23,2091.0,2153.0
2022-07-11,2160.0,2160.0,2160.0,2105.0,2004525000,67950,37,2098.0,2160.0
2022-07-12,2168.0,2168.0,2043.0,2142.0,196150880250,6705018,1997,2105.0,2043.0
2022-07-13,2080.0,2204.0,2080.0,2113.0,65877493650,2282520,1235,2142.0,2080.0
2022-07-16,2065.0,2153.0,2050.0,2054.0,60365580600,2152172,663,2113.0,2050.0
2022-07-17,1999.0,2043.0,1996.0,1996.0,27518079650,1009700,199,2054.0,1996.0
2022-07-19,1937.0,2029.0,1937.0,1944.0,24291512200,915552,398,1996.0,1937.0
