date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,6.0,6.0,6.0,6.0,310368080,110870,115,6.0,6.0
2001-03-26,6.0,6.0,6.0,6.0,270595190,96613,98,6.0,6.0
2001-03-27,6.0,6.0,6.0,6.0,466405131,166600,120,6.0,6.0
2001-03-28,6.0,7.0,6.0,7.0,227566666,80676,104,6.0,7.0
2001-03-31,7.0,7.0,6.0,7.0,500068371,177362,161,7.0,7.0
2001-04-03,7.0,7.0,7.0,7.0,158053247,55562,86,7.0,7.0
2001-04-07,7.0,7.0,7.0,7.0,355157582,122642,144,7.0,7.0
2001-04-08,7.0,7.0,7.0,7.0,890538835,299359,270,7.0,7.0
2001-04-09,7.0,7.0,7.0,7.0,1349633103,434320,378,7.0,7.0
2001-04-10,7.0,7.0,7.0,7.0,1839935140,592395,467,7.0,7.0
2001-04-11,7.0,7.0,7.0,7.0,1865310571,604953,458,7.0,7.0
2001-04-14,7.0,7.0,7.0,7.0,1343731773,434057,398,7.0,7.0
2001-04-15,7.0,7.0,7.0,7.0,707240663,229777,261,7.0,7.0
2001-04-16,7.0,7.0,7.0,7.0,816117110,268061,325,7.0,7.0
2001-04-17,7.0,7.0,7.0,7.0,1187554196,386136,311,7.0,7.0
2001-04-18,7.0,7.0,7.0,7.0,1650557427,534555,387,7.0,7.0
2001-04-21,7.0,7.0,7.0,7.0,6598014831,2129585,331,7.0,7.0
2001-04-22,7.0,7.0,7.0,7.0,3112179770,1014348,383,7.0,7.0
2001-04-23,7.0,7.0,7.0,7.0,1529794816,495008,410,7.0,7.0
2001-04-24,7.0,7.0,7.0,7.0,2196484253,705864,419,7.0,7.0
2001-04-25,7.0,8.0,7.0,8.0,307808716,94443,107,7.0,8.0
2001-04-28,8.0,8.0,8.0,8.0,3313926256,962280,611,8.0,8.0
2001-04-29,8.0,8.0,8.0,8.0,2295314354,651640,430,8.0,8.0
2001-04-30,8.0,8.0,8.0,8.0,1834287435,515842,424,8.0,8.0
2001-05-01,8.0,8.0,8.0,8.0,1473195131,415255,390,8.0,8.0
2001-05-02,8.0,8.0,8.0,8.0,1067293261,307281,347,8.0,8.0
2001-05-05,8.0,8.0,8.0,8.0,1599525490,470082,419,8.0,8.0
2001-05-06,8.0,8.0,8.0,8.0,2311560861,670450,405,8.0,8.0
2001-05-07,8.0,8.0,8.0,8.0,1842285659,525826,359,8.0,8.0
2001-05-08,8.0,8.0,8.0,8.0,2293543983,642528,357,8.0,8.0
2001-05-09,8.0,8.0,8.0,8.0,1040455849,290450,257,8.0,8.0
2001-05-12,8.0,8.0,8.0,8.0,640421450,180715,211,8.0,8.0
2001-05-13,8.0,8.0,8.0,8.0,1284013846,367043,367,8.0,8.0
2001-05-15,8.0,8.0,8.0,8.0,995082643,283850,272,8.0,8.0
2001-05-16,8.0,8.0,8.0,8.0,1189322545,339597,295,8.0,8.0
2001-05-19,8.0,8.0,8.0,8.0,3958060693,1145576,323,8.0,8.0
2001-05-20,8.0,8.0,8.0,8.0,1650250917,480474,305,8.0,8.0
2001-05-21,8.0,8.0,8.0,8.0,1334026395,389722,313,8.0,8.0
2001-05-23,8.0,8.0,8.0,8.0,1289776767,372608,294,8.0,8.0
2001-05-26,8.0,8.0,8.0,8.0,1386946067,396099,306,8.0,8.0
2001-05-27,8.0,8.0,8.0,8.0,1831451541,512473,320,8.0,8.0
2001-05-28,8.0,8.0,8.0,8.0,978207877,272305,270,8.0,8.0
2001-05-29,8.0,8.0,8.0,8.0,1388279306,394759,339,8.0,8.0
2001-05-30,8.0,8.0,8.0,8.0,1169097545,331146,311,8.0,8.0
2001-06-02,8.0,8.0,8.0,8.0,1788992053,507965,394,8.0,8.0
2001-06-03,8.0,8.0,8.0,8.0,942728650,270617,338,8.0,8.0
2001-06-06,8.0,8.0,8.0,8.0,1058351619,302522,290,8.0,8.0
2001-06-09,8.0,8.0,8.0,8.0,1260727875,356390,348,8.0,8.0
2001-06-11,8.0,8.0,8.0,8.0,2770270403,768864,486,8.0,8.0
2001-06-12,8.0,8.0,8.0,8.0,1956320862,546106,357,8.0,8.0
2001-06-13,8.0,8.0,5.0,8.0,2131304856,649121,654,8.0,8.0
2001-06-16,8.0,8.0,8.0,8.0,1292698150,366728,368,8.0,8.0
2001-06-17,8.0,8.0,8.0,8.0,1911407144,547261,421,8.0,8.0
2001-06-18,8.0,8.0,8.0,8.0,1713486660,491032,425,8.0,8.0
2001-06-19,8.0,8.0,8.0,8.0,3362570813,951258,494,8.0,8.0
2001-06-20,8.0,8.0,8.0,8.0,2114304356,596395,440,8.0,8.0
2001-06-23,8.0,8.0,8.0,8.0,1564794127,440805,404,8.0,8.0
2001-06-24,8.0,8.0,8.0,8.0,2053231667,580158,520,8.0,8.0
2001-06-25,8.0,8.0,8.0,8.0,1728634751,488441,474,8.0,8.0
2001-06-26,8.0,8.0,8.0,8.0,9271810478,2633144,592,8.0,8.0
2001-06-27,8.0,8.0,8.0,8.0,2206884423,627807,524,8.0,8.0
2001-06-30,8.0,8.0,8.0,8.0,2539504161,726317,650,8.0,8.0
2001-07-01,8.0,8.0,8.0,8.0,3529425321,1012598,837,8.0,8.0
2001-07-02,8.0,8.0,8.0,8.0,2192411485,630221,688,8.0,8.0
2001-07-03,8.0,8.0,8.0,8.0,3737168990,1082782,828,8.0,8.0
2001-07-04,8.0,8.0,8.0,8.0,3235056011,943588,778,8.0,8.0
2001-07-07,8.0,8.0,8.0,8.0,2991480743,873633,781,8.0,8.0
2001-07-08,8.0,8.0,8.0,8.0,3001252122,873256,911,8.0,8.0
2001-07-09,8.0,8.0,8.0,8.0,3911210845,1121110,902,8.0,8.0
2001-07-10,8.0,8.0,8.0,8.0,5214007876,1488212,792,8.0,8.0
2001-07-11,8.0,8.0,8.0,8.0,3633534066,1030379,776,8.0,8.0
2001-07-14,8.0,8.0,8.0,8.0,5667603471,1612780,958,8.0,8.0
2001-07-15,8.0,8.0,8.0,8.0,20432559912,5837457,1165,8.0,8.0
2001-07-16,8.0,8.0,8.0,8.0,14660644873,4178513,1450,8.0,8.0
