date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-05-07,117.0,195.0,78.0,129.0,3608122553,561712,318,117.0,129.0
2003-05-10,136.0,136.0,125.0,136.0,4714117216,680409,330,129.0,136.0
2003-05-11,142.0,142.0,142.0,142.0,910907901,124799,94,136.0,142.0
2003-05-12,150.0,150.0,150.0,150.0,1375776705,179535,139,142.0,150.0
2003-05-13,157.0,157.0,157.0,157.0,1781657964,221434,155,150.0,157.0
2003-05-14,165.0,165.0,165.0,165.0,1188253440,140655,104,157.0,165.0
2003-05-17,165.0,173.0,164.0,165.0,6773780046,786860,417,165.0,165.0
2003-05-18,162.0,164.0,157.0,157.0,3983067223,496179,196,165.0,157.0
2003-05-20,156.0,156.0,149.0,156.0,4134590656,531907,310,157.0,156.0
2003-05-21,164.0,164.0,156.0,164.0,1538550525,184518,127,156.0,164.0
2003-05-24,172.0,173.0,159.0,164.0,1065380072,124564,115,164.0,164.0
2003-05-25,162.0,163.0,158.0,162.0,1816264116,222675,132,164.0,162.0
2003-05-26,159.0,166.0,158.0,165.0,3436005095,410828,297,162.0,165.0
2003-05-27,169.0,173.0,165.0,166.0,3396167865,391999,263,165.0,166.0
2003-05-28,173.0,174.0,166.0,174.0,3958791055,449749,273,166.0,174.0
2003-05-31,174.0,182.0,174.0,181.0,2436536958,265109,149,174.0,181.0
2003-06-01,181.0,181.0,172.0,177.0,2585758328,284740,135,181.0,177.0
2003-06-02,177.0,178.0,172.0,172.0,1402427323,156235,112,177.0,172.0
2003-06-03,172.0,172.0,172.0,172.0,577736989,65623,70,172.0,172.0
2003-06-07,166.0,170.0,166.0,168.0,1880755382,217701,106,172.0,168.0
2003-06-08,162.0,167.0,161.0,162.0,1362032084,164224,103,168.0,162.0
2003-06-09,156.0,156.0,156.0,156.0,649467060,81183,61,162.0,156.0
2003-06-10,155.0,156.0,152.0,156.0,1272953207,161367,86,156.0,156.0
2003-06-11,156.0,156.0,149.0,154.0,193798168,24574,21,156.0,154.0
2003-06-14,148.0,148.0,146.0,146.0,955334364,126068,65,154.0,146.0
2003-06-15,142.0,146.0,139.0,146.0,1293336243,179799,67,146.0,146.0
2003-06-16,145.0,153.0,145.0,151.0,737988431,96887,70,146.0,151.0
2003-06-17,151.0,154.0,151.0,154.0,226734600,28828,14,151.0,154.0
2003-06-22,172.0,176.0,156.0,175.0,623228163,71343,51,154.0,175.0
2003-06-23,167.0,175.0,167.0,170.0,3275263645,373928,252,175.0,170.0
2003-06-24,172.0,176.0,146.0,176.0,466792944824,62181069,218,170.0,176.0
2003-07-22,273.0,312.0,185.0,312.0,10300606316,677638,251,176.0,312.0
2003-08-18,136.0,174.0,133.0,156.0,7126225866,928452,272,312.0,156.0
2003-08-19,156.0,156.0,156.0,156.0,17144984000,2143123,424,156.0,156.0
2003-08-20,164.0,164.0,156.0,160.0,5198672869,634585,185,156.0,160.0
2003-08-23,164.0,164.0,160.0,160.0,1024854100,124208,69,160.0,160.0
2003-08-24,160.0,160.0,157.0,160.0,2022919883,250152,137,160.0,160.0
2003-08-25,158.0,160.0,152.0,160.0,1332752437,168009,103,160.0,160.0
2003-08-26,152.0,160.0,152.0,160.0,1180436222,151659,58,160.0,160.0
2003-08-27,152.0,160.0,152.0,160.0,1145689842,145277,64,160.0,160.0
2003-08-30,154.0,160.0,154.0,160.0,1735368848,217857,75,160.0,160.0
2003-08-31,157.0,160.0,157.0,160.0,615438708,75289,46,160.0,160.0
2003-09-01,160.0,160.0,157.0,160.0,798859707,98938,54,160.0,160.0
2003-09-02,160.0,160.0,156.0,160.0,360382918,44994,36,160.0,160.0
2003-09-03,156.0,160.0,156.0,160.0,100170632,12530,13,160.0,160.0
2003-09-06,156.0,160.0,152.0,160.0,432160602,55250,36,160.0,160.0
2003-09-07,152.0,152.0,152.0,152.0,5611543,721,3,160.0,152.0
2003-09-08,144.0,152.0,144.0,152.0,590119242,79808,50,152.0,152.0
2003-09-09,144.0,152.0,144.0,152.0,38489660,5205,10,152.0,152.0
2003-09-13,144.0,152.0,144.0,152.0,3553010,480,2,152.0,152.0
2003-09-16,144.0,152.0,144.0,152.0,16366732,2213,6,152.0,152.0
2003-09-21,144.0,152.0,144.0,152.0,2899584,392,3,152.0,152.0
2003-09-22,144.0,152.0,144.0,152.0,5167393,699,4,152.0,152.0
2003-09-27,144.0,152.0,144.0,152.0,6016898,814,3,152.0,152.0
2003-09-30,144.0,152.0,144.0,152.0,14438008,1954,5,152.0,152.0
2003-10-01,144.0,152.0,144.0,152.0,1066600,144,2,152.0,152.0
2003-10-04,144.0,151.0,144.0,151.0,21228650,2876,3,152.0,151.0
2003-10-05,144.0,146.0,144.0,146.0,2440112540,331087,16,151.0,146.0
