date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-08,304.0,304.0,304.0,304.0,2895000,750,5,304.0,304.0
2001-05-09,304.0,304.0,304.0,304.0,7725000,2000,2,304.0,304.0
2001-05-12,320.0,320.0,320.0,320.0,12078768,2978,2,304.0,320.0
2001-05-13,328.0,328.0,328.0,328.0,4157000,1000,2,320.0,328.0
2001-11-19,315.0,315.0,315.0,315.0,4000000,1000,1,328.0,315.0
2001-11-20,331.0,331.0,331.0,331.0,4200000,1000,3,315.0,331.0
2001-11-21,347.0,347.0,347.0,347.0,4410000,1000,1,331.0,347.0
2001-11-24,365.0,365.0,365.0,365.0,4630000,1000,1,347.0,365.0
2001-11-25,383.0,383.0,383.0,383.0,4861000,1000,2,365.0,383.0
2001-11-27,402.0,402.0,402.0,402.0,10208000,2000,2,383.0,402.0
2001-11-28,422.0,422.0,422.0,422.0,5359000,1000,1,402.0,422.0
2001-12-05,443.0,443.0,443.0,443.0,11252000,2000,1,422.0,443.0
2001-12-08,465.0,465.0,465.0,465.0,11814000,2000,5,443.0,465.0
2001-12-09,489.0,489.0,489.0,489.0,11628750,1875,3,465.0,489.0
2001-12-11,513.0,513.0,513.0,513.0,6512000,1000,1,489.0,513.0
2002-01-06,526.0,526.0,526.0,526.0,8142280,1220,1,513.0,526.0
2002-01-21,539.0,539.0,539.0,539.0,129960000,19000,17,526.0,539.0
2002-02-03,552.0,552.0,552.0,552.0,7011000,1000,6,539.0,552.0
2002-02-04,566.0,566.0,566.0,566.0,7186000,1000,2,552.0,566.0
2002-02-05,580.0,580.0,580.0,580.0,11047500,1500,2,566.0,580.0
2002-02-06,595.0,595.0,595.0,595.0,8303900,1100,1,580.0,595.0
2002-02-10,601.0,601.0,601.0,601.0,7624000,1000,8,595.0,601.0
2002-02-12,607.0,607.0,607.0,607.0,3850000,500,1,601.0,607.0
2002-02-13,613.0,613.0,613.0,613.0,4666200,600,3,607.0,613.0
2002-02-16,619.0,619.0,619.0,619.0,3927000,500,1,613.0,619.0
2002-02-25,625.0,625.0,625.0,625.0,3966000,500,2,619.0,625.0
2002-03-02,631.0,631.0,631.0,631.0,4005500,500,1,625.0,631.0
2002-03-05,638.0,638.0,638.0,638.0,4045500,500,1,631.0,638.0
2002-03-06,644.0,644.0,644.0,644.0,5719700,700,2,638.0,644.0
2002-03-09,650.0,650.0,650.0,650.0,2087756,253,2,644.0,650.0
2002-03-10,657.0,657.0,657.0,657.0,2500200,300,2,650.0,657.0
2002-03-12,663.0,663.0,663.0,663.0,6733600,800,3,657.0,663.0
2002-03-16,670.0,670.0,670.0,670.0,8501000,1000,1,663.0,670.0
2002-03-17,677.0,677.0,677.0,677.0,6868800,800,4,670.0,677.0
2002-03-18,683.0,683.0,683.0,683.0,8671000,1000,2,677.0,683.0
2002-03-26,690.0,690.0,690.0,690.0,8757000,1000,1,683.0,690.0
2002-03-31,697.0,697.0,697.0,697.0,13266000,1500,2,690.0,697.0
2002-04-10,704.0,704.0,704.0,704.0,8932000,1000,1,697.0,704.0
2002-08-07,1576.0,1576.0,1103.0,1373.0,192353750,11370,20,704.0,1373.0
2002-08-10,1407.0,1407.0,1407.0,1407.0,149738240,8384,23,1373.0,1407.0
2002-08-11,1442.0,1442.0,1442.0,1442.0,19349442,1057,4,1407.0,1442.0
2002-08-14,1478.0,1478.0,1418.0,1478.0,172817300,9300,33,1442.0,1478.0
2002-08-17,1478.0,1478.0,1478.0,1478.0,83004695,4424,5,1478.0,1478.0
2002-08-19,1478.0,1478.0,1477.0,1477.0,58139000,3100,2,1478.0,1477.0
2002-08-20,1476.0,1476.0,1476.0,1476.0,46845000,2500,1,1477.0,1476.0
2002-08-26,1476.0,1476.0,1476.0,1476.0,18738000,1000,1,1476.0,1476.0
2002-09-14,1403.0,1403.0,1403.0,1403.0,106812000,6000,6,1476.0,1403.0
2002-10-12,1333.0,1333.0,1333.0,1333.0,16912000,1000,2,1403.0,1333.0
2002-10-13,1266.0,1266.0,1266.0,1266.0,21288775,1325,3,1333.0,1266.0
2002-10-20,1266.0,1329.0,1203.0,1329.0,124934037,7938,16,1266.0,1329.0
2002-10-21,1333.0,1333.0,1333.0,1333.0,8694310,514,1,1329.0,1333.0
2002-10-27,1399.0,1399.0,1399.0,1399.0,83081280,4678,11,1333.0,1399.0
2002-10-28,1399.0,1399.0,1399.0,1399.0,18204000,1025,4,1399.0,1399.0
2002-10-29,1399.0,1399.0,1399.0,1399.0,2664000,150,1,1399.0,1399.0
2002-10-30,1399.0,1399.0,1399.0,1399.0,6216000,350,1,1399.0,1399.0
2002-11-10,1399.0,1399.0,1399.0,1399.0,17758000,1000,1,1399.0,1399.0
2002-11-13,1339.0,1339.0,1339.0,1339.0,34000000,2000,4,1399.0,1339.0
2002-11-18,1338.0,1338.0,1338.0,1338.0,29722200,1750,3,1339.0,1338.0
2002-11-26,1339.0,1339.0,1339.0,1339.0,13974000,822,2,1338.0,1339.0
2002-11-30,1339.0,1339.0,1339.0,1339.0,4947000,291,2,1339.0,1339.0
2002-12-09,1339.0,1339.0,1339.0,1339.0,9927376,584,3,1339.0,1339.0
2002-12-11,1339.0,1339.0,1339.0,1339.0,7072000,416,1,1339.0,1339.0
2002-12-14,1339.0,1339.0,1339.0,1339.0,23800000,1400,2,1339.0,1339.0
2003-01-20,1339.0,1339.0,1339.0,1339.0,60639000,3567,3,1339.0,1339.0
2003-01-28,1342.0,1342.0,1342.0,1342.0,46489900,2730,8,1339.0,1342.0
2003-01-29,1342.0,1342.0,1342.0,1342.0,4597830,270,3,1342.0,1342.0
2003-02-01,1342.0,1342.0,1342.0,1342.0,1702900,100,2,1342.0,1342.0
2003-02-04,1342.0,1342.0,1342.0,1342.0,2213770,130,1,1342.0,1342.0
2003-02-17,1351.0,1351.0,1347.0,1347.0,9032610,527,2,1342.0,1347.0
2003-02-18,1355.0,1355.0,1355.0,1355.0,8600000,500,1,1347.0,1355.0
2003-02-22,1355.0,1355.0,1355.0,1355.0,8601300,500,2,1355.0,1355.0
2003-02-23,1356.0,1356.0,1356.0,1356.0,8602000,500,1,1355.0,1356.0
2003-02-24,1371.0,1371.0,1371.0,1371.0,7830000,450,1,1356.0,1371.0
2003-02-26,1371.0,1371.0,1371.0,1371.0,1270200,73,1,1371.0,1371.0
2003-03-04,1375.0,1375.0,1375.0,1375.0,17450000,1000,2,1371.0,1375.0
2003-03-10,1375.0,1375.0,1375.0,1375.0,3490000,200,1,1375.0,1375.0
2003-03-16,1379.0,1379.0,1375.0,1375.0,87508744560,5000500,3,1375.0,1375.0
2003-03-30,1310.0,1310.0,1310.0,1310.0,3325000,200,2,1375.0,1310.0
2003-04-30,1244.0,1244.0,1244.0,1244.0,3158800,200,1,1310.0,1244.0
2003-06-03,969.0,969.0,969.0,969.0,33201900,2700,2,1244.0,969.0
2003-06-09,969.0,1017.0,969.0,1017.0,16846040,1320,5,969.0,1017.0
2003-07-16,1048.0,1068.0,573.0,1068.0,3258194350,257414,329,1017.0,1068.0
2003-07-19,1121.0,1121.0,1121.0,1121.0,28466000,2000,5,1068.0,1121.0
2003-07-22,1127.0,1127.0,1127.0,1127.0,22660704,1584,3,1121.0,1127.0
2003-07-23,1142.0,1142.0,1142.0,1142.0,31900000,2200,3,1127.0,1142.0
2003-07-27,1182.0,1183.0,1182.0,1183.0,72529050,4835,5,1142.0,1183.0
2003-07-28,1221.0,1242.0,1221.0,1242.0,93427438,5946,39,1183.0,1242.0
