date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-03-10,233.0,236.0,233.0,236.0,1548970000,405000,93,233.0,236.0
2002-03-11,241.0,241.0,240.0,241.0,1955092000,500000,99,236.0,241.0
2002-03-12,253.0,253.0,246.0,253.0,2524620364,612743,133,241.0,253.0
2002-05-28,329.0,356.0,319.0,338.0,4879849080,910256,320,253.0,338.0
2002-05-29,338.0,355.0,335.0,338.0,1910991210,347507,145,338.0,338.0
2002-06-01,337.0,338.0,335.0,338.0,356767409,64990,54,338.0,338.0
2002-06-02,339.0,343.0,338.0,341.0,2559519830,462657,106,338.0,341.0
2002-06-03,343.0,351.0,341.0,351.0,5707151456,1001782,187,341.0,351.0
2002-07-02,347.0,368.0,347.0,353.0,872964871,153295,68,351.0,353.0
2002-07-03,350.0,356.0,350.0,356.0,690858213,119443,36,353.0,356.0
2002-07-06,356.0,358.0,356.0,358.0,870691107,149642,51,356.0,358.0
2002-07-07,362.0,369.0,359.0,368.0,2206151924,367917,101,358.0,368.0
2002-07-08,378.0,378.0,370.0,378.0,1897708000,308630,81,368.0,378.0
2002-07-09,378.0,397.0,378.0,393.0,591628980,92306,41,378.0,393.0
2002-07-10,399.0,399.0,384.0,392.0,368654987,58198,49,393.0,392.0
2002-07-13,392.0,392.0,384.0,390.0,474134993,75492,33,392.0,390.0
2002-07-14,384.0,389.0,384.0,384.0,709951682,113069,51,390.0,384.0
2002-07-15,384.0,384.0,384.0,384.0,395838509,63330,39,384.0,384.0
2002-07-16,384.0,384.0,384.0,384.0,452017752,72302,23,384.0,384.0
2002-07-17,384.0,384.0,383.0,384.0,141372453,22636,12,384.0,384.0
2002-07-20,381.0,381.0,381.0,381.0,4957600,800,1,384.0,381.0
2002-07-21,368.0,378.0,368.0,368.0,266592020,44409,22,381.0,368.0
2002-07-22,356.0,365.0,356.0,362.0,950319632,163113,76,368.0,362.0
2002-07-23,362.0,363.0,362.0,363.0,303782129,51454,24,362.0,363.0
2002-07-24,362.0,368.0,362.0,368.0,264552958,44623,20,363.0,368.0
2002-07-27,367.0,367.0,362.0,362.0,175678000,29614,12,368.0,362.0
2002-07-28,349.0,356.0,349.0,356.0,312542180,54420,30,362.0,356.0
2002-07-29,353.0,353.0,353.0,353.0,6946000,1208,2,356.0,353.0
2002-07-30,350.0,352.0,344.0,349.0,161432111,28663,18,353.0,349.0
2002-07-31,338.0,344.0,338.0,338.0,108322200,19606,13,349.0,338.0
2002-08-03,335.0,338.0,333.0,338.0,266649080,48775,27,338.0,338.0
2002-08-04,335.0,338.0,335.0,337.0,177117850,32280,14,338.0,337.0
2002-08-05,335.0,335.0,335.0,335.0,99983333,18315,13,337.0,335.0
2002-08-06,332.0,336.0,332.0,334.0,601993830,110555,39,335.0,334.0
2002-08-07,332.0,332.0,329.0,329.0,132890320,24787,11,334.0,329.0
2002-08-10,326.0,327.0,326.0,327.0,135404884,25500,11,329.0,327.0
2002-08-11,327.0,327.0,325.0,327.0,274414400,51695,23,327.0,327.0
2002-08-13,326.0,335.0,326.0,335.0,370964140,69196,32,327.0,335.0
2002-08-14,338.0,344.0,338.0,344.0,372443115,66721,28,335.0,344.0
2002-08-17,347.0,353.0,344.0,350.0,426026560,74769,53,344.0,350.0
2002-08-18,350.0,356.0,350.0,350.0,422798255,74004,39,350.0,350.0
2002-08-19,350.0,350.0,344.0,349.0,268898834,47594,39,350.0,349.0
2002-08-20,349.0,350.0,344.0,349.0,750574350,132649,48,349.0,349.0
2002-08-21,347.0,350.0,347.0,348.0,640809973,113071,42,349.0,348.0
2002-08-27,348.0,348.0,348.0,348.0,4558680,804,3,348.0,348.0
2002-08-28,348.0,348.0,343.0,343.0,160105291,28442,17,348.0,343.0
2002-08-31,342.0,342.0,342.0,342.0,16710000,3000,2,343.0,342.0
2002-09-01,342.0,342.0,335.0,341.0,149843760,27415,11,342.0,341.0
2002-09-02,341.0,342.0,331.0,342.0,299837933,54652,22,341.0,342.0
2002-09-03,341.0,341.0,341.0,341.0,121049229,21775,11,342.0,341.0
2002-09-04,344.0,344.0,344.0,344.0,179748800,32098,10,341.0,344.0
2002-09-07,344.0,344.0,344.0,344.0,628361244,112211,28,344.0,344.0
2002-09-08,344.0,344.0,344.0,344.0,1052921460,188019,21,344.0,344.0
2002-09-09,345.0,347.0,345.0,347.0,95162622,16904,9,344.0,347.0
2002-09-10,347.0,347.0,347.0,347.0,73191090,12950,6,347.0,347.0
2002-09-11,349.0,351.0,349.0,350.0,144655500,25350,10,347.0,350.0
2002-09-14,351.0,356.0,351.0,356.0,69444690,12030,6,350.0,356.0
2002-09-24,375.0,387.0,368.0,386.0,398820419,64352,32,356.0,386.0
2002-09-25,386.0,386.0,372.0,375.0,587304576,95474,48,386.0,375.0
2002-09-28,374.0,381.0,374.0,381.0,1085848990,177909,52,375.0,381.0
2002-09-29,380.0,380.0,374.0,380.0,190864410,30929,10,381.0,380.0
2002-09-30,380.0,380.0,380.0,380.0,449522780,72700,19,380.0,380.0
2002-10-01,380.0,381.0,380.0,381.0,92095720,14880,7,380.0,381.0
2002-10-02,379.0,380.0,374.0,380.0,394496424,64445,27,381.0,380.0
2002-10-06,380.0,380.0,376.0,379.0,80208195,13000,9,380.0,379.0
2002-10-07,375.0,375.0,375.0,375.0,48798000,8000,6,379.0,375.0
2002-10-08,373.0,373.0,368.0,373.0,241617334,40000,22,375.0,373.0
2002-10-09,368.0,374.0,362.0,374.0,330139012,54688,25,373.0,374.0
2002-10-12,371.0,372.0,362.0,371.0,458511056,75980,29,374.0,371.0
2002-10-13,371.0,371.0,365.0,365.0,36145000,6000,4,371.0,365.0
2002-10-14,362.0,370.0,362.0,370.0,6622000,1100,2,365.0,370.0
2002-10-15,362.0,368.0,362.0,368.0,33314000,5630,4,370.0,368.0
2002-10-16,362.0,368.0,362.0,368.0,264512400,44816,22,368.0,368.0
2002-10-19,368.0,372.0,368.0,372.0,114866380,19076,12,368.0,372.0
2002-10-20,372.0,378.0,372.0,378.0,137809705,22431,11,372.0,378.0
2002-10-21,381.0,381.0,381.0,381.0,222447264,35884,18,378.0,381.0
2002-10-23,382.0,382.0,381.0,382.0,225192750,36190,14,381.0,382.0
2002-10-26,382.0,384.0,382.0,384.0,822721895,131658,27,382.0,384.0
2002-10-27,384.0,384.0,381.0,384.0,18649100,3000,4,384.0,384.0
2002-10-28,381.0,384.0,381.0,384.0,24318000,3900,3,384.0,384.0
2002-10-29,384.0,384.0,381.0,382.0,120969295,19449,19,384.0,382.0
2002-10-30,382.0,382.0,381.0,381.0,33428400,5385,9,382.0,381.0
2002-11-02,381.0,381.0,381.0,381.0,4344900,700,1,381.0,381.0
2002-11-03,381.0,384.0,381.0,384.0,12457000,2000,3,381.0,384.0
2002-11-04,384.0,385.0,384.0,385.0,137869168,22056,15,384.0,385.0
2002-11-05,390.0,393.0,387.0,393.0,208530225,33019,17,385.0,393.0
2002-11-06,395.0,401.0,395.0,401.0,14843994,2286,4,393.0,401.0
2002-11-09,421.0,421.0,421.0,421.0,24273780,3540,2,401.0,421.0
2002-11-10,442.0,442.0,422.0,442.0,227785686,31711,19,421.0,442.0
2002-11-11,442.0,442.0,441.0,442.0,45423209,6313,8,442.0,442.0
2002-11-12,419.0,433.0,419.0,430.0,420865845,60256,18,442.0,430.0
2002-11-13,430.0,430.0,430.0,430.0,26599670,3800,5,430.0,430.0
2002-11-16,439.0,439.0,438.0,439.0,160591805,22470,14,430.0,439.0
2002-11-17,442.0,458.0,442.0,458.0,42235000,5800,10,439.0,458.0
2002-11-18,480.0,480.0,458.0,458.0,58169632,7716,13,458.0,458.0
2002-11-19,458.0,462.0,458.0,461.0,516756522,68776,37,458.0,461.0
2002-11-20,454.0,460.0,454.0,460.0,32412271,4341,4,461.0,460.0
2002-11-23,460.0,460.0,454.0,454.0,14749451,1982,4,460.0,454.0
2002-11-25,433.0,448.0,433.0,448.0,56638000,8000,9,454.0,448.0
2002-11-30,447.0,447.0,425.0,436.0,209084243,29538,8,448.0,436.0
2002-12-01,425.0,436.0,421.0,436.0,209976720,30257,17,436.0,436.0
2002-12-02,436.0,436.0,436.0,436.0,101991267,14369,9,436.0,436.0
2002-12-03,436.0,436.0,436.0,436.0,32904005,4635,5,436.0,436.0
2002-12-04,430.0,430.0,430.0,430.0,4158000,594,1,436.0,430.0
2002-12-07,430.0,430.0,424.0,428.0,176077930,25206,10,430.0,428.0
2002-12-08,429.0,429.0,424.0,428.0,75889171,10911,10,428.0,428.0
2002-12-09,428.0,430.0,427.0,430.0,769482982,110000,47,428.0,430.0
2002-12-10,430.0,430.0,430.0,430.0,7000000,1000,1,430.0,430.0
2002-12-11,430.0,430.0,424.0,430.0,45999300,6617,6,430.0,430.0
2002-12-14,430.0,430.0,430.0,430.0,101685148,14527,8,430.0,430.0
2002-12-15,430.0,431.0,430.0,431.0,267913000,38266,16,430.0,431.0
2002-12-16,443.0,443.0,437.0,443.0,107773590,14987,20,431.0,443.0
2002-12-17,454.0,460.0,443.0,458.0,797353600,107640,29,443.0,458.0
2002-12-18,458.0,473.0,458.0,473.0,546297540,71838,39,458.0,473.0
2003-01-11,554.0,560.0,553.0,560.0,887448550,98000,72,473.0,560.0
2003-01-12,567.0,571.0,562.0,565.0,531971983,57776,50,560.0,565.0
2003-01-13,565.0,565.0,564.0,564.0,219360070,23844,21,565.0,564.0
2003-01-14,563.0,564.0,561.0,563.0,114468625,12497,21,564.0,563.0
2003-01-15,541.0,563.0,541.0,553.0,877320056,98011,110,563.0,553.0
2003-01-26,289.0,289.0,286.0,286.0,76396400,16362,6,553.0,286.0
2003-01-27,286.0,286.0,286.0,286.0,465000,100,1,286.0,286.0
2003-01-28,276.0,284.0,276.0,284.0,32677514,7220,7,286.0,284.0
2003-01-29,282.0,283.0,276.0,282.0,140930440,30808,22,284.0,282.0
