date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-05-10,942.0,942.0,942.0,942.0,1210000,1000,1,779.0,942.0
2015-09-01,961.0,961.0,961.0,961.0,1110000,1000,1,942.0,961.0
2015-10-19,961.0,961.0,961.0,961.0,555000,500,1,961.0,961.0
2015-12-01,961.0,961.0,961.0,961.0,111000,100,1,961.0,961.0
2015-12-07,961.0,961.0,961.0,961.0,111000,100,1,961.0,961.0
2016-01-16,961.0,961.0,961.0,961.0,1110000,1000,1,961.0,961.0
2016-03-05,961.0,961.0,961.0,961.0,15540000,14000,1,961.0,961.0
2016-07-04,961.0,961.0,961.0,961.0,11100,10,1,961.0,961.0
2016-07-10,961.0,961.0,961.0,961.0,1110,1,1,961.0,961.0
2016-07-11,961.0,961.0,961.0,961.0,1375290,1239,2,961.0,961.0
2017-01-16,794.0,794.0,794.0,794.0,9110000,10000,1,961.0,794.0
2017-04-10,794.0,794.0,794.0,794.0,81990,90,2,794.0,794.0
2017-05-27,794.0,794.0,794.0,794.0,2657387,2917,1,794.0,794.0
2017-05-30,873.0,873.0,873.0,873.0,15100140,15070,2,794.0,873.0
2017-06-07,961.0,961.0,961.0,961.0,5504490,4995,1,873.0,961.0
2017-07-17,1056.0,1056.0,1056.0,1056.0,18180000,15000,2,961.0,1056.0
2017-08-14,1318.0,1585.0,1318.0,1063.0,23822025,15745,2,1056.0,1585.0
2017-08-19,1585.0,1585.0,1585.0,1064.0,2430444,1348,2,1063.0,1585.0
2017-08-26,932.0,967.0,932.0,1062.0,17142620,15748,3,1064.0,967.0
2017-08-30,967.0,967.0,967.0,1057.0,33000000,30000,4,1062.0,967.0
2017-09-03,967.0,967.0,967.0,1056.0,11742500,10675,3,1057.0,967.0
2017-09-04,879.0,879.0,879.0,1049.0,15000000,15000,2,1056.0,879.0
2017-09-24,1053.0,1053.0,877.0,1049.0,2540000,2300,3,1049.0,877.0
2017-10-11,1272.0,1272.0,1272.0,1049.0,1450000,1000,1,1049.0,1272.0
2017-10-15,930.0,930.0,930.0,1049.0,5300000,5000,1,1049.0,930.0
2017-10-16,939.0,939.0,939.0,1048.0,5350000,5000,1,1049.0,939.0
2017-10-22,1053.0,1053.0,1053.0,1048.0,810000,675,1,1048.0,1053.0
2017-10-28,1053.0,1070.0,1053.0,1048.0,6032200,5010,2,1048.0,1070.0
2017-11-04,1053.0,1053.0,901.0,1047.0,6465270,6110,2,1048.0,901.0
2017-11-05,924.0,956.0,924.0,1045.0,11903000,11100,3,1047.0,956.0
2017-11-06,1140.0,1140.0,1140.0,1045.0,2598000,2000,1,1045.0,1140.0
2017-11-08,1106.0,1106.0,1106.0,1045.0,3780000,3000,2,1045.0,1106.0
2017-11-11,1045.0,1045.0,1045.0,1045.0,11910000,10000,4,1045.0,1045.0
2017-11-12,1049.0,1070.0,1049.0,1046.0,28420000,23500,4,1045.0,1070.0
2017-11-13,1176.0,1176.0,1176.0,1049.0,15034800,11220,7,1046.0,1176.0
2017-11-25,939.0,939.0,939.0,1048.0,4554990,4257,2,1049.0,939.0
2017-11-29,932.0,932.0,932.0,1047.0,4399866,4143,2,1048.0,932.0
2017-12-04,1080.0,1080.0,1075.0,1047.0,245600,200,2,1047.0,1075.0
2017-12-24,1149.0,1149.0,1149.0,1047.0,1190000,1000,1,1047.0,1149.0
2017-12-25,1149.0,1149.0,1149.0,1047.0,1904000,1600,1,1047.0,1149.0
2018-01-03,1139.0,1149.0,1139.0,1048.0,16287790,13701,3,1047.0,1149.0
2018-01-06,1149.0,1159.0,1149.0,1049.0,13155520,11029,8,1048.0,1149.0
2018-01-07,1062.0,1159.0,1062.0,1049.0,2266549,1960,3,1049.0,1159.0
2018-01-13,1063.0,1063.0,1063.0,1049.0,6394608,5808,3,1049.0,1063.0
2018-01-30,705.0,819.0,686.0,740.0,3729117433,4869927,352,1049.0,686.0
2018-01-31,686.0,686.0,666.0,676.0,1066251485,1523301,117,740.0,666.0
2018-02-03,638.0,641.0,611.0,621.0,739214199,1148814,119,676.0,619.0
2018-02-04,608.0,647.0,565.0,585.0,22604847805,37304124,3198,621.0,623.0
2018-02-05,637.0,643.0,637.0,643.0,7774964318,11675542,531,585.0,643.0
2018-02-06,676.0,694.0,639.0,662.0,8996399920,13111338,816,643.0,647.0
2018-02-07,638.0,656.0,636.0,643.0,2040522875,3062823,206,662.0,638.0
2018-02-10,634.0,634.0,604.0,611.0,1228188990,1940813,158,643.0,608.0
2018-02-12,642.0,642.0,607.0,611.0,778688070,1229210,128,611.0,607.0
2018-02-13,611.0,628.0,583.0,591.0,13366330325,21853088,1757,611.0,605.0
2018-02-14,597.0,611.0,597.0,606.0,1733822856,2761018,163,591.0,608.0
2018-02-17,596.0,616.0,586.0,595.0,2845978732,4623612,285,606.0,589.0
2018-02-18,593.0,598.0,585.0,588.0,505477601,829336,88,595.0,588.0
2018-02-19,591.0,604.0,586.0,590.0,962799952,1575940,137,588.0,586.0
2018-02-21,589.0,626.0,588.0,609.0,1881421585,2983180,253,590.0,618.0
2018-02-24,601.0,611.0,601.0,606.0,1120384616,1783010,126,609.0,604.0
2018-02-25,593.0,612.0,592.0,605.0,1154154343,1843065,165,606.0,608.0
2018-02-26,607.0,608.0,593.0,605.0,895293868,1428800,106,605.0,605.0
2018-02-27,595.0,606.0,595.0,601.0,505066774,812005,65,605.0,606.0
2018-02-28,605.0,605.0,586.0,588.0,1065365925,1748120,149,601.0,586.0
2018-03-03,597.0,597.0,577.0,580.0,1241600293,2064406,205,588.0,579.0
2018-03-04,577.0,589.0,575.0,579.0,1022267789,1704793,152,580.0,579.0
2018-03-05,579.0,579.0,566.0,571.0,776295331,1312490,114,579.0,566.0
2018-03-06,566.0,573.0,560.0,566.0,430827766,735546,73,571.0,569.0
2018-03-07,575.0,592.0,562.0,579.0,987452328,1646480,166,566.0,585.0
2018-03-10,579.0,589.0,568.0,575.0,990262897,1663437,122,579.0,569.0
2018-03-11,588.0,592.0,563.0,574.0,423970377,713215,57,575.0,584.0
2018-03-26,570.0,603.0,565.0,571.0,28387289,48059,11,574.0,589.0
2018-03-27,573.0,628.0,572.0,620.0,2577242434,4016821,308,571.0,628.0
2018-03-28,661.0,664.0,618.0,642.0,4697313586,7062337,556,620.0,628.0
2018-04-03,634.0,634.0,592.0,601.0,1201994418,1932771,153,642.0,596.0
2018-04-04,596.0,596.0,583.0,587.0,583678712,959725,102,601.0,585.0
2018-04-07,588.0,608.0,588.0,603.0,487194908,780604,76,587.0,605.0
2018-04-08,607.0,607.0,580.0,584.0,477374573,789541,73,603.0,580.0
2018-04-09,561.0,588.0,561.0,573.0,598238219,1008723,107,584.0,571.0
2018-04-10,590.0,590.0,567.0,572.0,731092632,1234479,142,573.0,579.0
2018-04-11,579.0,582.0,515.0,524.0,2197306956,4048870,289,572.0,515.0
2018-04-15,492.0,541.0,492.0,522.0,342321745,632735,59,524.0,527.0
2018-04-16,540.0,540.0,518.0,523.0,189297803,349115,36,522.0,521.0
2018-04-17,529.0,529.0,516.0,528.0,321603596,587539,52,523.0,526.0
2018-04-18,535.0,562.0,523.0,527.0,171450940,314012,28,528.0,523.0
2018-04-21,514.0,545.0,514.0,528.0,236970547,433101,45,527.0,540.0
2018-04-22,541.0,541.0,522.0,525.0,27575577,50697,13,528.0,526.0
2018-04-23,520.0,520.0,502.0,503.0,419764759,804922,73,525.0,511.0
2018-04-24,498.0,521.0,498.0,510.0,452291263,856257,77,503.0,509.0
2018-04-25,503.0,514.0,500.0,502.0,487398597,937316,79,510.0,500.0
2018-04-28,498.0,502.0,483.0,490.0,324014186,639470,77,502.0,483.0
2018-04-29,483.0,488.0,464.0,473.0,148028034,301936,36,490.0,464.0
2018-04-30,464.0,488.0,464.0,468.0,82260505,169495,26,473.0,486.0
2018-05-01,486.0,492.0,478.0,487.0,261130648,518484,33,468.0,492.0
2018-05-05,496.0,516.0,483.0,497.0,210100987,407582,44,487.0,491.0
2018-05-06,488.0,488.0,468.0,477.0,264172563,535177,43,497.0,473.0
2018-05-07,477.0,491.0,467.0,473.0,300488334,613530,83,477.0,473.0
2018-05-08,487.0,500.0,478.0,485.0,449196430,894149,100,473.0,483.0
2018-05-09,436.0,473.0,436.0,453.0,199505215,425318,46,485.0,454.0
2018-05-12,446.0,497.0,446.0,481.0,297477970,596891,69,453.0,483.0
2018-05-13,483.0,528.0,483.0,520.0,1156296852,2147775,222,481.0,528.0
2018-05-14,545.0,557.0,521.0,541.0,467283511,835101,107,520.0,531.0
2018-05-15,531.0,536.0,502.0,520.0,686580457,1276793,118,541.0,502.0
2018-05-16,500.0,508.0,492.0,501.0,153107276,295162,37,520.0,493.0
2018-05-19,508.0,509.0,497.0,504.0,175679482,336520,32,501.0,498.0
2018-05-20,489.0,495.0,483.0,488.0,361540172,716005,80,504.0,492.0
2018-05-21,495.0,495.0,473.0,479.0,186173944,375058,48,488.0,483.0
2018-05-22,496.0,496.0,478.0,488.0,142723364,282664,37,479.0,488.0
2018-05-23,483.0,521.0,483.0,503.0,359645849,690297,93,488.0,503.0
2018-05-26,521.0,529.0,483.0,493.0,449303886,879434,82,503.0,490.0
2018-05-27,492.0,492.0,483.0,489.0,125222211,247583,29,493.0,488.0
2018-05-28,490.0,507.0,490.0,496.0,243664061,473649,107,489.0,502.0
2018-05-29,505.0,509.0,494.0,504.0,96729891,185172,25,496.0,504.0
2018-05-30,494.0,497.0,493.0,495.0,121063600,236050,24,504.0,497.0
2018-06-02,494.0,497.0,492.0,493.0,239810780,468978,54,495.0,494.0
2018-06-03,492.0,492.0,486.0,488.0,359944259,712350,68,493.0,492.0
2018-06-09,492.0,492.0,483.0,484.0,264057260,526636,40,488.0,484.0
2018-06-10,485.0,485.0,478.0,480.0,232101548,466716,44,484.0,478.0
2018-06-11,488.0,503.0,488.0,493.0,252672296,494001,50,480.0,498.0
2018-06-12,499.0,528.0,498.0,513.0,597375283,1124879,139,493.0,521.0
2018-06-13,537.0,564.0,518.0,557.0,3732626016,6464341,454,513.0,558.0
2018-06-17,557.0,612.0,557.0,604.0,2657673361,4255035,357,557.0,612.0
2018-06-18,618.0,628.0,578.0,599.0,1848007658,2982472,237,604.0,580.0
2018-06-19,563.0,608.0,561.0,589.0,933349480,1531122,100,599.0,585.0
2018-06-20,588.0,612.0,577.0,592.0,2347841687,3827653,259,589.0,581.0
2018-06-23,583.0,599.0,574.0,585.0,265611231,438328,38,592.0,582.0
2018-06-24,580.0,601.0,580.0,593.0,565047265,921005,106,585.0,596.0
2018-06-25,584.0,593.0,552.0,569.0,1692286115,2873173,210,593.0,563.0
2018-06-26,559.0,565.0,543.0,554.0,210700199,366887,50,569.0,543.0
2018-06-27,543.0,543.0,522.0,532.0,332951478,604584,65,554.0,540.0
2018-06-30,534.0,536.0,520.0,523.0,121006499,223107,25,532.0,522.0
2018-07-01,515.0,525.0,505.0,519.0,163989504,305578,26,523.0,517.0
2018-07-02,508.0,531.0,493.0,517.0,392318701,733727,65,519.0,528.0
2018-07-03,568.0,568.0,568.0,568.0,317363004,539733,33,517.0,568.0
2018-07-04,606.0,622.0,580.0,608.0,2379823336,3780401,363,568.0,609.0
2018-07-07,618.0,621.0,551.0,595.0,748634587,1214833,137,608.0,608.0
2018-07-08,605.0,622.0,575.0,605.0,3234761540,5160757,373,595.0,599.0
2018-07-10,618.0,647.0,560.0,609.0,1589143798,2518087,192,605.0,583.0
2018-07-11,607.0,607.0,553.0,568.0,581243785,988517,131,609.0,560.0
2018-07-14,587.0,594.0,560.0,568.0,198325479,337039,42,568.0,561.0
2018-07-15,557.0,559.0,531.0,544.0,538292536,956523,84,568.0,534.0
2018-07-16,525.0,555.0,523.0,541.0,124512058,222289,50,544.0,554.0
2018-07-30,570.0,627.0,560.0,572.0,4776914549,8070052,713,541.0,560.0
2018-07-31,568.0,629.0,568.0,615.0,7375399993,11586097,691,572.0,629.0
2018-08-01,655.0,655.0,579.0,614.0,1314738486,2068644,207,615.0,585.0
2018-08-04,615.0,615.0,560.0,577.0,1179957779,1977170,114,614.0,584.0
2018-08-05,587.0,617.0,561.0,591.0,1927668259,3148704,301,577.0,579.0
2018-08-06,607.0,620.0,566.0,591.0,2482262940,4056585,316,591.0,566.0
2018-08-07,570.0,579.0,541.0,558.0,1235282080,2136797,165,591.0,560.0
2018-08-08,543.0,569.0,543.0,551.0,922146878,1613757,95,558.0,559.0
2018-08-11,547.0,564.0,531.0,546.0,477003294,843757,66,551.0,550.0
2018-08-12,564.0,564.0,537.0,543.0,371264695,660769,41,546.0,553.0
2018-08-13,541.0,551.0,527.0,534.0,706942554,1277689,96,543.0,531.0
2018-08-14,531.0,554.0,531.0,546.0,321879984,569955,49,534.0,546.0
2018-08-15,550.0,554.0,525.0,546.0,198771290,351671,57,546.0,540.0
2018-08-18,537.0,554.0,537.0,547.0,451068027,796343,58,546.0,548.0
2018-08-19,552.0,559.0,526.0,542.0,879028981,1567342,123,547.0,536.0
2018-08-20,534.0,578.0,534.0,563.0,1643606473,2818124,199,542.0,563.0
2018-08-21,576.0,619.0,567.0,604.0,5476958388,8766953,600,563.0,617.0
2018-08-25,654.0,663.0,618.0,658.0,8867150661,13029523,1002,604.0,663.0
2018-08-26,686.0,722.0,647.0,681.0,4834128208,6855366,542,658.0,657.0
2018-08-27,666.0,748.0,647.0,716.0,10657714472,14373781,953,681.0,748.0
2018-08-28,748.0,787.0,724.0,765.0,5912671164,7462932,513,716.0,751.0
2018-08-29,718.0,840.0,718.0,773.0,2692269251,3365066,258,765.0,790.0
2018-09-01,829.0,829.0,740.0,770.0,491498000,616824,70,773.0,751.0
2018-09-02,735.0,735.0,693.0,696.0,3204386868,4447380,302,770.0,693.0
2018-09-03,693.0,724.0,665.0,695.0,529745255,735553,75,696.0,686.0
2018-09-04,676.0,765.0,676.0,750.0,10595131140,13641103,1148,695.0,764.0
2018-09-05,766.0,810.0,719.0,772.0,8168751852,10226151,724,750.0,753.0
2018-09-08,788.0,817.0,749.0,786.0,5848626637,7181025,566,772.0,792.0
2018-09-09,805.0,821.0,763.0,779.0,22451001824,27837368,1825,786.0,763.0
2018-09-10,811.0,857.0,799.0,834.0,18293857022,21165998,1563,779.0,857.0
2018-09-11,908.0,908.0,871.0,906.0,470833650,502184,35,834.0,871.0
2018-09-15,897.0,897.0,809.0,856.0,2226204527,2513462,126,906.0,839.0
2018-09-16,850.0,850.0,771.0,790.0,11251951057,13755580,965,856.0,821.0
2018-09-17,847.0,868.0,847.0,865.0,6528492250,7282460,457,790.0,868.0
2018-09-18,951.0,951.0,869.0,914.0,13859739117,14652921,1054,865.0,934.0
2018-09-22,946.0,946.0,908.0,927.0,8298012224,8646885,740,914.0,915.0
2018-09-23,951.0,951.0,883.0,899.0,10499010029,11277580,968,927.0,901.0
2018-09-24,880.0,906.0,849.0,869.0,6015558166,6686076,658,899.0,865.0
2018-09-25,915.0,956.0,895.0,943.0,15231881054,15585566,1215,869.0,956.0
