date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-10-15,754.0,754.0,754.0,754.0,115499425800,34999826,201795,228.0,754.0
2018-10-16,791.0,791.0,791.0,791.0,210561120,60768,375,754.0,791.0
2018-10-17,831.0,831.0,831.0,831.0,258981944,71188,477,791.0,831.0
2018-10-20,872.0,872.0,872.0,872.0,9841402602,2576958,994,831.0,872.0
2018-10-21,916.0,916.0,916.0,916.0,32757346568,8170952,2594,872.0,916.0
2018-10-22,961.0,961.0,961.0,961.0,777924216,184824,965,916.0,961.0
2018-10-23,1009.0,1009.0,1009.0,1009.0,92842920441,21009939,7010,961.0,1009.0
2018-10-24,1059.0,1059.0,1059.0,1059.0,104729470208,22575872,22812,1009.0,1059.0
2018-10-27,1062.0,1094.0,1007.0,1042.0,196851836344,43135988,77475,1059.0,1007.0
2018-10-28,990.0,990.0,990.0,990.0,2083855584,480594,360,1042.0,990.0
2018-10-29,941.0,1025.0,941.0,975.0,104150714303,24409042,37744,990.0,941.0
2018-10-31,1014.0,1023.0,982.0,1009.0,47046073417,10653174,13057,975.0,1023.0
2018-11-03,1025.0,1059.0,1009.0,1054.0,47542430926,10304668,7949,1009.0,1059.0
2018-11-04,1083.0,1106.0,1039.0,1100.0,93675519642,19451524,11940,1054.0,1106.0
2018-11-05,1112.0,1147.0,1110.0,1125.0,57508735835,11674031,9596,1100.0,1139.0
2018-11-06,1142.0,1142.0,1085.0,1108.0,45639551852,9406132,14203,1125.0,1103.0
2018-11-10,1110.0,1110.0,1053.0,1057.0,30225528949,6529712,4465,1108.0,1053.0
2018-11-11,1011.0,1051.0,1004.0,1012.0,28662121485,6469444,5117,1057.0,1025.0
2018-11-12,1025.0,1062.0,1025.0,1052.0,18534507941,4022505,3817,1012.0,1062.0
2018-11-13,1085.0,1096.0,1055.0,1071.0,22721953403,4844446,4299,1052.0,1060.0
2018-11-14,1060.0,1118.0,1032.0,1085.0,34789973861,7324276,4736,1071.0,1096.0
2018-11-17,1085.0,1105.0,1040.0,1066.0,16201560778,3469821,4806,1085.0,1062.0
2018-11-18,1077.0,1077.0,1013.0,1021.0,23295957500,5209157,2900,1066.0,1050.0
2018-11-19,1021.0,1048.0,1016.0,1028.0,9254112625,2056575,2556,1021.0,1028.0
2018-11-20,996.0,1017.0,982.0,993.0,12596127874,2896326,2875,1028.0,1006.0
2018-11-21,982.0,1015.0,982.0,997.0,6444427550,1476333,2415,993.0,998.0
2018-11-24,1014.0,1014.0,947.0,961.0,12078827060,2871918,2821,997.0,953.0
2018-11-26,948.0,948.0,913.0,914.0,6193138843,1546629,1303,961.0,913.0
2018-11-27,884.0,939.0,884.0,912.0,13472870468,3373838,3738,914.0,913.0
2018-11-28,914.0,918.0,867.0,872.0,17767592909,4655910,2610,912.0,878.0
2018-12-01,868.0,868.0,828.0,830.0,13026174907,3585225,2122,872.0,828.0
2018-12-02,834.0,863.0,829.0,849.0,7476813553,2010323,1630,830.0,860.0
2018-12-03,870.0,879.0,859.0,867.0,4832471499,1273364,1159,849.0,864.0
2018-12-04,868.0,868.0,824.0,829.0,13941869823,3839573,1909,867.0,836.0
2018-12-05,843.0,871.0,820.0,859.0,14752161948,3923912,2107,829.0,871.0
2018-12-08,891.0,902.0,868.0,893.0,9648728814,2467467,1504,859.0,902.0
2018-12-09,923.0,928.0,872.0,902.0,9340393955,2365956,1479,893.0,884.0
2018-12-10,871.0,883.0,859.0,867.0,7621651529,2006539,1235,902.0,871.0
2018-12-12,845.0,863.0,845.0,853.0,5327985280,1427067,1390,867.0,853.0
2018-12-15,851.0,855.0,834.0,840.0,6624927343,1801171,1126,853.0,844.0
2018-12-16,843.0,868.0,839.0,854.0,5317259841,1421919,920,840.0,854.0
2018-12-17,866.0,866.0,826.0,837.0,5899295631,1610192,1047,854.0,829.0
2018-12-18,829.0,844.0,827.0,834.0,3530101570,966963,749,837.0,833.0
2018-12-19,832.0,836.0,803.0,811.0,4548990904,1280204,882,834.0,811.0
2018-12-22,799.0,822.0,777.0,797.0,3828423118,1097329,775,811.0,793.0
2018-12-23,786.0,837.0,786.0,826.0,5475907825,1514574,1054,797.0,818.0
2018-12-24,830.0,845.0,812.0,820.0,2955727762,823314,634,826.0,822.0
2018-12-25,822.0,826.0,799.0,806.0,4222531076,1195932,611,820.0,806.0
2018-12-26,800.0,822.0,800.0,808.0,7470890253,2110620,767,806.0,816.0
2018-12-29,815.0,831.0,806.0,815.0,4576478084,1282083,545,808.0,818.0
2018-12-30,822.0,845.0,800.0,832.0,10048955667,2758380,1315,815.0,832.0
2018-12-31,832.0,856.0,832.0,847.0,7609543903,2051651,1031,832.0,850.0
2019-01-01,852.0,856.0,833.0,839.0,5417217888,1474301,649,847.0,837.0
2019-01-02,838.0,838.0,812.0,818.0,7747891134,2163035,799,839.0,813.0
2019-01-05,822.0,824.0,801.0,811.0,3631264053,1022621,613,818.0,816.0
2019-01-06,813.0,840.0,813.0,828.0,4823110830,1330234,707,811.0,829.0
2019-01-07,829.0,869.0,829.0,862.0,18230481153,4831091,1467,828.0,869.0
2019-01-08,895.0,895.0,863.0,877.0,11038926349,2873977,1112,862.0,867.0
2019-01-09,859.0,859.0,837.0,848.0,11390179020,3068117,1043,877.0,845.0
2019-01-12,845.0,856.0,831.0,837.0,7568827696,2063767,901,848.0,838.0
2019-01-13,865.0,879.0,856.0,875.0,19152347815,4998930,1713,837.0,879.0
2019-01-14,893.0,917.0,879.0,901.0,15584573401,3948016,1254,875.0,893.0
2019-01-15,882.0,901.0,869.0,885.0,9541172968,2463542,908,901.0,898.0
2019-01-16,901.0,901.0,845.0,877.0,8143417414,2119548,798,885.0,850.0
2019-01-19,850.0,875.0,849.0,857.0,7628938891,2032212,726,877.0,861.0
2019-01-20,857.0,870.0,851.0,860.0,4211544687,1118981,510,857.0,852.0
2019-01-21,854.0,854.0,817.0,821.0,8731485663,2428979,714,860.0,822.0
2019-01-22,837.0,843.0,817.0,832.0,3559059291,977323,462,821.0,843.0
2019-01-23,853.0,859.0,840.0,853.0,4460756782,1194087,893,832.0,859.0
2019-01-26,856.0,861.0,836.0,847.0,3528587030,951347,477,853.0,840.0
2019-01-27,848.0,848.0,825.0,828.0,4049825635,1116929,549,847.0,829.0
2019-01-28,826.0,836.0,826.0,831.0,3718351651,1022375,487,828.0,831.0
2019-01-29,832.0,854.0,832.0,844.0,4221837402,1142719,487,831.0,838.0
2019-01-30,836.0,853.0,829.0,836.0,5212016252,1423836,499,844.0,834.0
2019-02-02,830.0,840.0,820.0,826.0,6047342205,1671313,521,836.0,820.0
2019-02-03,829.0,829.0,802.0,811.0,3722278428,1047656,402,826.0,808.0
2019-02-04,811.0,852.0,804.0,836.0,3082002600,842290,417,811.0,831.0
2019-02-05,826.0,834.0,815.0,825.0,2875085879,796273,338,836.0,831.0
2019-02-06,822.0,844.0,818.0,833.0,3299887322,904573,398,825.0,840.0
2019-02-10,827.0,845.0,827.0,835.0,1420912587,388529,301,833.0,831.0
2019-02-12,834.0,834.0,820.0,826.0,2375320589,657098,342,835.0,822.0
2019-02-13,820.0,826.0,814.0,819.0,2443773604,681823,682,826.0,819.0
2019-02-16,820.0,829.0,811.0,817.0,2177891785,608485,584,819.0,819.0
2019-02-17,810.0,829.0,808.0,812.0,1553773235,437171,300,817.0,819.0
2019-02-18,807.0,822.0,807.0,811.0,3536285811,995852,350,812.0,810.0
2019-02-19,806.0,811.0,797.0,799.0,6722819332,1920813,648,811.0,799.0
2019-02-20,799.0,821.0,786.0,797.0,5208509151,1492408,601,799.0,806.0
2019-02-23,816.0,816.0,800.0,806.0,3040391820,861002,407,797.0,808.0
2019-02-24,822.0,822.0,795.0,801.0,3729935985,1063359,507,806.0,802.0
2019-02-25,802.0,809.0,797.0,803.0,4013916015,1141838,507,801.0,807.0
2019-02-26,796.0,811.0,795.0,803.0,2570340556,731037,324,803.0,805.0
2019-02-27,800.0,815.0,799.0,806.0,4234430642,1200086,516,803.0,810.0
2019-03-02,813.0,833.0,808.0,819.0,6164925044,1718167,697,806.0,815.0
2019-03-03,820.0,829.0,805.0,813.0,5801363577,1629031,567,819.0,813.0
2019-03-04,822.0,822.0,806.0,810.0,5504974823,1552335,640,813.0,807.0
2019-03-12,877.0,921.0,836.0,869.0,12609920075,4544666,1170,810.0,866.0
2019-03-13,876.0,876.0,833.0,847.0,5941087266,2197791,817,869.0,842.0
2019-03-16,846.0,861.0,833.0,841.0,3063077826,1140585,553,847.0,834.0
2019-03-17,846.0,846.0,830.0,833.0,3841169530,1444758,537,841.0,834.0
2019-03-18,827.0,860.0,826.0,848.0,3593550120,1327327,557,833.0,852.0
2019-03-19,856.0,890.0,852.0,885.0,12123089471,4291834,1116,848.0,890.0
2019-03-25,893.0,929.0,893.0,921.0,10542985264,3583336,949,885.0,927.0
2019-03-26,958.0,967.0,940.0,964.0,8957281112,2909625,801,921.0,967.0
2019-03-27,996.0,996.0,924.0,951.0,7538762275,2482578,887,964.0,945.0
2019-03-30,971.0,977.0,940.0,963.0,6861210038,2230664,704,951.0,976.0
2019-03-31,985.0,985.0,932.0,957.0,6606508840,2161004,655,963.0,954.0
2019-04-06,946.0,996.0,932.0,975.0,7851152785,2522125,812,957.0,993.0
2019-04-07,1003.0,1023.0,986.0,1017.0,10266643298,3162128,670,975.0,1006.0
2019-04-08,1002.0,1036.0,977.0,1010.0,6765598412,2098706,604,1017.0,1012.0
2019-04-09,979.0,1008.0,979.0,990.0,8383315340,2653090,719,1010.0,986.0
2019-04-10,990.0,1039.0,979.0,1023.0,11744948054,3593820,772,990.0,1039.0
2019-04-13,1074.0,1074.0,1052.0,1074.0,22156658515,6460877,972,1023.0,1074.0
2019-04-14,1121.0,1127.0,1074.0,1107.0,32985591018,9330684,2140,1074.0,1127.0
2019-04-15,1143.0,1159.0,1080.0,1130.0,11517608511,3191529,990,1107.0,1093.0
2019-04-16,1074.0,1083.0,1074.0,1074.0,16119003605,4698626,730,1130.0,1074.0
2019-04-17,1021.0,1049.0,1021.0,1028.0,14062896251,4286044,890,1074.0,1040.0
2019-04-20,1033.0,1079.0,1033.0,1074.0,8432817859,2459029,526,1028.0,1079.0
2019-04-22,1127.0,1127.0,1071.0,1119.0,29870347748,8356810,1410,1074.0,1105.0
2019-04-23,1121.0,1175.0,1102.0,1157.0,15009920407,4061585,953,1119.0,1175.0
2019-04-24,1212.0,1215.0,1176.0,1213.0,12430010961,3208411,501,1157.0,1215.0
2019-04-27,1268.0,1273.0,1216.0,1249.0,24697789110,6192075,1235,1213.0,1250.0
2019-04-28,1250.0,1264.0,1187.0,1214.0,20117224068,5191666,1305,1249.0,1209.0
2019-04-29,1194.0,1246.0,1190.0,1219.0,11201451106,2877476,1066,1214.0,1221.0
2019-04-30,1243.0,1243.0,1159.0,1211.0,10884274840,2813672,764,1219.0,1209.0
2019-05-01,1237.0,1272.0,1237.0,1264.0,12303873535,3049174,615,1211.0,1272.0
2019-05-04,1327.0,1327.0,1327.0,1327.0,4125385332,973887,229,1264.0,1327.0
2019-05-05,1390.0,1393.0,1261.0,1333.0,22501127084,5288266,1150,1327.0,1328.0
2019-05-06,1266.0,1296.0,1266.0,1268.0,32754253150,8090152,1260,1333.0,1266.0
2019-05-07,1205.0,1253.0,1205.0,1207.0,10155775840,2635666,374,1268.0,1205.0
2019-05-08,1147.0,1251.0,1147.0,1191.0,28403967332,7467537,1356,1207.0,1228.0
2019-05-11,1248.0,1248.0,1147.0,1205.0,21316895793,5538439,1095,1191.0,1196.0
2019-05-12,1171.0,1204.0,1145.0,1148.0,7167660900,1954535,426,1205.0,1145.0
2019-05-13,1127.0,1206.0,1127.0,1183.0,15249632442,4036621,972,1148.0,1206.0
2019-05-14,1240.0,1242.0,1215.0,1238.0,15561022599,3937432,893,1183.0,1241.0
2019-05-15,1290.0,1299.0,1238.0,1283.0,33727651311,8235208,1572,1238.0,1299.0
2019-05-18,1315.0,1347.0,1315.0,1345.0,22551151662,5250025,942,1283.0,1347.0
2019-05-19,1394.0,1394.0,1328.0,1365.0,25542065142,5861314,1411,1345.0,1362.0
2019-05-20,1315.0,1346.0,1297.0,1300.0,23272784196,5604753,978,1365.0,1328.0
2019-05-21,1268.0,1365.0,1268.0,1348.0,10873818003,2525971,890,1300.0,1337.0
2019-05-22,1334.0,1386.0,1317.0,1350.0,13609153352,3156461,855,1348.0,1351.0
2019-05-25,1378.0,1378.0,1283.0,1328.0,15548374183,3666834,901,1350.0,1322.0
2019-05-26,1352.0,1362.0,1324.0,1346.0,10546487806,2454647,761,1328.0,1335.0
2019-05-28,1362.0,1413.0,1359.0,1410.0,22418380410,4979000,1000,1346.0,1413.0
2019-05-29,1478.0,1478.0,1363.0,1408.0,21753788175,4838353,1001,1410.0,1375.0
2019-06-01,1340.0,1378.0,1338.0,1355.0,15731308695,3635793,908,1408.0,1362.0
2019-06-02,1369.0,1408.0,1363.0,1378.0,10478984232,2382267,619,1355.0,1381.0
2019-06-03,1380.0,1425.0,1380.0,1406.0,19705034273,4387836,1098,1378.0,1417.0
2019-06-08,1465.0,1477.0,1425.0,1474.0,26638653995,5658691,890,1406.0,1477.0
2019-06-09,1548.0,1548.0,1538.0,1548.0,15772099391,3191239,498,1474.0,1548.0
2019-06-10,1625.0,1625.0,1561.0,1603.0,33794848221,6602182,1216,1548.0,1572.0
2019-06-11,1566.0,1575.0,1523.0,1532.0,38737421674,7917634,1592,1603.0,1535.0
2019-06-12,1550.0,1581.0,1458.0,1513.0,22495329128,4656877,1012,1532.0,1473.0
2019-06-15,1441.0,1497.0,1437.0,1450.0,19485207534,4208569,943,1513.0,1456.0
2019-06-16,1456.0,1472.0,1384.0,1422.0,17006058211,3746105,954,1450.0,1390.0
2019-06-17,1386.0,1386.0,1351.0,1357.0,13694002901,3159516,1018,1422.0,1353.0
2019-06-18,1394.0,1415.0,1322.0,1363.0,11865130585,2726948,749,1357.0,1347.0
2019-06-19,1375.0,1408.0,1331.0,1353.0,7691815533,1780259,598,1363.0,1349.0
2019-06-22,1313.0,1347.0,1286.0,1292.0,13257934088,3215057,708,1353.0,1306.0
2019-06-23,1303.0,1356.0,1303.0,1353.0,7393021303,1711295,425,1292.0,1356.0
2019-06-24,1421.0,1421.0,1403.0,1420.0,15623017826,3445676,720,1353.0,1421.0
2019-06-25,1441.0,1472.0,1379.0,1426.0,9375082376,2059458,669,1420.0,1409.0
2019-06-26,1437.0,1437.0,1374.0,1388.0,11113949894,2507632,718,1426.0,1388.0
2019-06-30,1432.0,1432.0,1347.0,1358.0,10668755191,2460201,627,1388.0,1366.0
2019-07-01,1333.0,1375.0,1306.0,1339.0,8511642981,1990726,566,1358.0,1359.0
2019-07-02,1376.0,1376.0,1347.0,1362.0,12034315051,2766679,850,1339.0,1361.0
2019-07-09,1299.0,1430.0,1299.0,1429.0,6596138403,1458610,229,1362.0,1430.0
2019-07-10,1501.0,1501.0,1501.0,1501.0,7465280400,1572300,338,1429.0,1501.0
2019-07-13,1560.0,1560.0,1455.0,1495.0,26289301342,5557648,1305,1501.0,1495.0
2019-07-14,1486.0,1520.0,1457.0,1478.0,13296653167,2844291,768,1495.0,1457.0
2019-07-15,1482.0,1482.0,1404.0,1421.0,14085063733,3132590,665,1478.0,1404.0
2019-07-16,1366.0,1391.0,1350.0,1353.0,7486243538,1749506,381,1421.0,1350.0
