date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-27,401.0,401.0,401.0,401.0,1569900,300,1,0.0,401.0
2001-03-31,422.0,422.0,422.0,422.0,19769200,3600,6,401.0,422.0
2001-04-18,422.0,422.0,422.0,422.0,2196800,400,2,422.0,422.0
2001-05-23,515.0,515.0,515.0,515.0,7382100,1100,2,422.0,515.0
2001-05-27,528.0,528.0,528.0,528.0,15819400,2300,6,515.0,528.0
2001-06-06,534.0,534.0,534.0,534.0,6946000,1000,1,528.0,534.0
2001-07-02,539.0,539.0,539.0,539.0,1403000,200,1,534.0,539.0
2001-07-04,544.0,544.0,544.0,544.0,7439250,1050,2,539.0,544.0
2001-07-09,550.0,550.0,550.0,550.0,7155000,1000,2,544.0,550.0
2001-09-02,553.0,553.0,553.0,553.0,7200000,1000,1,550.0,553.0
2001-09-17,581.0,581.0,581.0,581.0,3024000,400,1,553.0,581.0
2001-09-18,595.0,595.0,595.0,595.0,3874500,500,1,581.0,595.0
2001-09-19,610.0,610.0,610.0,610.0,31831536,4008,6,595.0,610.0
2001-09-22,625.0,625.0,625.0,625.0,76516000,9400,6,610.0,625.0
2001-09-30,631.0,631.0,631.0,631.0,2466300,300,3,625.0,631.0
2001-10-09,637.0,637.0,637.0,637.0,4151500,500,2,631.0,637.0
2001-10-10,643.0,653.0,643.0,653.0,11852500,1400,3,637.0,653.0
2001-10-20,669.0,669.0,669.0,669.0,4361000,500,5,653.0,669.0
2001-10-29,676.0,676.0,676.0,676.0,1761800,200,2,669.0,676.0
2001-11-06,683.0,683.0,683.0,683.0,3558800,400,4,676.0,683.0
2001-11-13,690.0,690.0,690.0,690.0,7834920,872,2,683.0,690.0
2001-11-21,697.0,697.0,697.0,697.0,56912128,6272,6,690.0,697.0
2001-11-24,697.0,697.0,697.0,697.0,5789212,638,3,697.0,697.0
2001-12-01,698.0,698.0,697.0,697.0,4541400,500,2,697.0,697.0
2001-12-17,704.0,704.0,704.0,704.0,9170000,1000,1,697.0,704.0
2001-12-19,711.0,711.0,711.0,711.0,5630688,608,1,704.0,711.0
2001-12-24,718.0,718.0,718.0,718.0,10288300,1100,3,711.0,718.0
2001-12-30,725.0,725.0,725.0,725.0,5667600,600,6,718.0,725.0
2002-01-08,732.0,732.0,732.0,732.0,14310000,1500,5,725.0,732.0
2002-01-14,740.0,740.0,740.0,740.0,11995575,1245,5,732.0,740.0
2002-01-19,747.0,747.0,747.0,747.0,9731000,1000,2,740.0,747.0
2002-01-26,754.0,754.0,754.0,754.0,10319400,1050,4,747.0,754.0
2002-01-27,762.0,762.0,762.0,762.0,4963000,500,1,754.0,762.0
2002-01-29,769.0,769.0,769.0,769.0,10255575,1023,5,762.0,769.0
2002-02-03,777.0,777.0,777.0,777.0,10125000,1000,5,769.0,777.0
2002-02-05,785.0,785.0,785.0,785.0,10226000,1000,4,777.0,785.0
2002-02-06,793.0,793.0,793.0,793.0,10328000,1000,2,785.0,793.0
2002-02-10,800.0,800.0,800.0,800.0,15646500,1500,2,793.0,800.0
2002-02-16,808.0,808.0,808.0,808.0,6584375,625,4,800.0,808.0
2002-02-17,817.0,817.0,817.0,817.0,9980320,938,1,808.0,817.0
2002-02-18,825.0,825.0,825.0,825.0,11068380,1030,4,817.0,825.0
2002-02-25,833.0,833.0,833.0,833.0,11938300,1100,3,825.0,833.0
2002-02-27,841.0,841.0,841.0,841.0,12057100,1100,5,833.0,841.0
2002-03-02,850.0,850.0,850.0,850.0,54243000,4900,9,841.0,850.0
2002-03-06,858.0,858.0,858.0,858.0,12857000,1150,6,850.0,858.0
2002-03-09,867.0,867.0,867.0,867.0,57019550,5050,2,858.0,867.0
2002-03-12,876.0,876.0,876.0,876.0,11973150,1050,6,867.0,876.0
2002-03-17,885.0,885.0,885.0,885.0,5758500,500,3,876.0,885.0
2002-03-30,893.0,893.0,893.0,893.0,13958400,1200,5,885.0,893.0
2002-04-03,902.0,902.0,902.0,902.0,11748000,1000,4,893.0,902.0
2002-04-06,911.0,911.0,911.0,911.0,11865000,1000,5,902.0,911.0
2002-04-08,920.0,920.0,920.0,920.0,13181300,1100,6,911.0,920.0
2002-04-10,929.0,929.0,929.0,929.0,12102000,1000,7,920.0,929.0
2002-04-14,929.0,929.0,929.0,929.0,35098700,2900,1,929.0,929.0
2002-04-20,930.0,930.0,930.0,930.0,9687200,800,4,929.0,930.0
2002-04-21,929.0,939.0,929.0,939.0,34272100,2825,4,930.0,939.0
2002-04-23,939.0,939.0,939.0,939.0,6115000,500,1,939.0,939.0
2002-05-04,948.0,948.0,948.0,948.0,14204800,1150,4,939.0,948.0
2002-05-05,958.0,958.0,958.0,958.0,13722500,1100,4,948.0,958.0
2002-05-12,967.0,967.0,967.0,967.0,13228950,1050,4,958.0,967.0
2002-06-03,1044.0,1151.0,1044.0,1151.0,31359900,2100,2,967.0,1151.0
2002-08-03,1344.0,1383.0,1344.0,1383.0,126102000,7200,4,1151.0,1383.0
2002-08-28,1452.0,1452.0,1452.0,1452.0,9455000,500,4,1383.0,1452.0
2002-09-03,1452.0,1452.0,1452.0,1452.0,7564000,400,1,1452.0,1452.0
2002-09-09,1382.0,1382.0,1382.0,1382.0,16200000,900,2,1452.0,1382.0
2002-09-10,1420.0,1420.0,1420.0,1420.0,17482500,945,1,1382.0,1420.0
2002-09-14,1420.0,1420.0,1420.0,1420.0,1979500,107,2,1420.0,1420.0
2002-09-17,1420.0,1420.0,1420.0,1420.0,5420300,293,2,1420.0,1420.0
2002-09-23,1420.0,1420.0,1420.0,1420.0,1480000,80,1,1420.0,1420.0
2002-09-28,1349.0,1349.0,1349.0,1349.0,70300000,4000,4,1420.0,1349.0
2002-10-13,1349.0,1349.0,1349.0,1349.0,351520,20,1,1349.0,1349.0
2002-10-14,1351.0,1351.0,1349.0,1349.0,11638000,662,3,1349.0,1349.0
2002-11-03,1349.0,1349.0,1349.0,1349.0,878800,50,1,1349.0,1349.0
2002-11-05,1350.0,1351.0,1350.0,1351.0,25908720,1473,3,1349.0,1351.0
2002-11-11,1351.0,1351.0,1351.0,1351.0,123130,7,1,1351.0,1351.0
2002-11-24,1282.0,1351.0,1282.0,1351.0,1721203,100,2,1351.0,1351.0
2002-11-30,1351.0,1351.0,1351.0,1351.0,6033370,343,5,1351.0,1351.0
2002-12-15,1350.0,1351.0,1350.0,1351.0,117559422,6684,9,1351.0,1351.0
2002-12-29,1351.0,1351.0,1351.0,1351.0,1759000,100,1,1351.0,1351.0
2003-02-02,1351.0,1351.0,1351.0,1351.0,87950000,5000,1,1351.0,1351.0
2003-02-03,1351.0,1351.0,1351.0,1351.0,105487230,5997,2,1351.0,1351.0
2003-02-05,1351.0,1351.0,1351.0,1351.0,351800000,20000,2,1351.0,1351.0
2003-02-09,1351.0,1351.0,1351.0,1351.0,168424250,9575,5,1351.0,1351.0
2003-02-15,1351.0,1351.0,1351.0,1351.0,1864540,106,1,1351.0,1351.0
2003-02-19,1351.0,1535.0,1351.0,1351.0,58136552182,2906912,24,1351.0,1351.0
2003-03-10,1351.0,1351.0,1351.0,1351.0,4221600,240,1,1351.0,1351.0
2003-03-19,1351.0,1351.0,1351.0,1351.0,37625499,2139,2,1351.0,1351.0
2003-04-07,1351.0,1351.0,1351.0,1351.0,137755121,7831,2,1351.0,1351.0
2003-05-06,1351.0,1351.0,1351.0,1351.0,7212310,410,1,1351.0,1351.0
2003-05-10,1351.0,1351.0,1351.0,1351.0,1759900,100,1,1351.0,1351.0
2003-05-14,1352.0,1352.0,1352.0,1352.0,1760300,100,1,1351.0,1352.0
2003-05-17,1352.0,1352.0,1352.0,1352.0,435773250,24750,3,1352.0,1352.0
2003-05-18,1352.0,1352.0,1352.0,1352.0,52830000,3000,1,1352.0,1352.0
2003-05-20,1353.0,1353.0,1353.0,1353.0,1761600,100,1,1352.0,1353.0
2003-05-28,1356.0,1356.0,1356.0,1356.0,10601400,600,6,1353.0,1356.0
2003-06-03,1358.0,1358.0,1358.0,1358.0,31835700,1800,18,1356.0,1358.0
2003-06-08,1359.0,1360.0,1359.0,1360.0,44264400,2500,25,1358.0,1360.0
2003-06-09,1361.0,1361.0,1361.0,1361.0,1773000,100,1,1360.0,1361.0
2003-06-11,1362.0,1363.0,1362.0,1363.0,23076900,1300,12,1361.0,1363.0
2003-06-18,1363.0,1363.0,1363.0,1363.0,1775900,100,1,1363.0,1363.0
2003-06-21,1363.0,1363.0,1363.0,1363.0,1776000,100,1,1363.0,1363.0
2003-11-17,1459.0,1459.0,1459.0,1459.0,99237000,5223,3,1363.0,1459.0
2003-12-14,1459.0,1459.0,1459.0,1459.0,15199200,800,4,1459.0,1459.0
2003-12-15,1458.0,1459.0,1458.0,1459.0,2089680,110,2,1459.0,1459.0
2004-01-06,1458.0,1458.0,1458.0,1458.0,19179930,1010,2,1459.0,1458.0
2004-01-18,1457.0,1458.0,1457.0,1458.0,13475870,710,8,1458.0,1458.0
2004-01-26,1457.0,1457.0,1457.0,1457.0,21069430,1110,4,1458.0,1457.0
2004-01-27,1457.0,1530.0,1457.0,1498.0,22025390,1110,4,1457.0,1498.0
2004-02-04,1498.0,1498.0,1498.0,1498.0,5852700,300,3,1498.0,1498.0
2004-02-09,1572.0,1572.0,1572.0,1572.0,171102852,8353,1,1498.0,1572.0
2004-02-16,1572.0,1572.0,1572.0,1572.0,2048400,100,1,1572.0,1572.0
2004-03-13,1651.0,1651.0,1651.0,1651.0,58071600,2700,1,1572.0,1651.0
2004-06-09,1734.0,1734.0,1734.0,1734.0,60974100,2700,1,1651.0,1734.0
2004-07-20,1820.0,1820.0,1820.0,1820.0,59493020,2510,6,1734.0,1820.0
2004-08-14,1820.0,1820.0,1820.0,1820.0,5928630,250,2,1820.0,1820.0
2004-08-16,1820.0,1820.0,1820.0,1820.0,6402940,270,3,1820.0,1820.0
2004-11-30,1820.0,1820.0,1820.0,1820.0,28695090,1210,13,1820.0,1820.0
2005-02-06,1911.0,1911.0,1911.0,1911.0,12448500,500,1,1820.0,1911.0
2005-04-05,2007.0,2007.0,2007.0,2007.0,78423000,3000,1,1911.0,2007.0
2005-04-19,2107.0,2107.0,2107.0,2107.0,109792000,4000,1,2007.0,2107.0
2005-06-22,2107.0,2107.0,2107.0,2107.0,27448000,1000,1,2107.0,2107.0
2005-08-21,2107.0,2107.0,2107.0,2107.0,5489600,200,2,2107.0,2107.0
2006-02-19,1228.0,1228.0,1228.0,1228.0,16000000,1000,1,2107.0,1228.0
2006-04-15,1228.0,1228.0,1228.0,1228.0,246576000,15411,2,1228.0,1228.0
2006-04-23,1228.0,1228.0,1228.0,1228.0,246576000,15411,3,1228.0,1228.0
2006-05-30,1236.0,1236.0,1236.0,1236.0,16100000,1000,1,1228.0,1236.0
2006-05-31,1228.0,1236.0,1228.0,1236.0,3024950,189,2,1236.0,1236.0
2006-06-07,1228.0,1235.0,1228.0,1235.0,4944870,309,2,1236.0,1235.0
2006-07-18,768.0,806.0,768.0,773.0,73330180,7283,6,1235.0,773.0
2006-08-07,788.0,788.0,774.0,774.0,2134032,208,2,773.0,774.0
2006-08-09,788.0,788.0,775.0,775.0,2134122,208,2,774.0,775.0
2006-10-03,790.0,790.0,782.0,782.0,20675860,2010,2,775.0,782.0
2006-10-04,798.0,798.0,783.0,783.0,2158982,208,2,782.0,783.0
2006-12-12,845.0,845.0,845.0,845.0,12826000,1166,2,783.0,845.0
2007-01-10,861.0,861.0,845.0,845.0,379290,34,2,845.0,845.0
2007-01-13,861.0,861.0,845.0,845.0,379324,34,2,845.0,845.0
2007-01-15,861.0,861.0,845.0,845.0,603808,54,2,845.0,845.0
2007-01-20,861.0,861.0,845.0,845.0,379426,34,2,845.0,845.0
2007-02-03,861.0,861.0,845.0,845.0,626430,56,4,845.0,845.0
2007-02-04,862.0,862.0,858.0,858.0,33795730,3010,3,845.0,858.0
