date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-21,63.0,63.0,63.0,63.0,172733600,127010,1,8.0,63.0
2014-02-01,138.0,138.0,138.0,138.0,81030000,27010,1,63.0,138.0
2014-02-02,172.0,172.0,172.0,172.0,7500000,2000,1,138.0,172.0
2014-02-03,267.0,267.0,253.0,254.0,98234500,17779,2,172.0,253.0
2014-02-05,299.0,299.0,299.0,299.0,9750000,1500,1,254.0,299.0
2014-02-08,184.0,184.0,184.0,184.0,703152000,175788,4,299.0,184.0
2014-02-12,152.0,152.0,147.0,150.0,322854200,98731,7,184.0,147.0
2014-02-17,147.0,147.0,147.0,147.0,48000000,15000,5,150.0,147.0
2014-02-19,147.0,147.0,138.0,139.0,464840000,154260,8,147.0,138.0
2014-02-23,138.0,138.0,138.0,138.0,159780000,53260,2,139.0,138.0
2014-02-24,140.0,140.0,140.0,140.0,3080500,1010,1,138.0,140.0
2014-02-26,143.0,143.0,143.0,143.0,21777000,7000,1,140.0,143.0
2014-03-04,152.0,152.0,143.0,149.0,91084800,28040,2,143.0,143.0
2014-04-13,136.0,136.0,133.0,134.0,61200000,21000,5,149.0,136.0
2014-04-27,136.0,136.0,136.0,136.0,29500,10,1,134.0,136.0
2014-04-30,136.0,136.0,136.0,136.0,590000,200,1,136.0,136.0
2014-05-05,136.0,136.0,136.0,136.0,590000,200,2,136.0,136.0
2014-05-12,99.0,99.0,99.0,99.0,1289570000,599800,1,136.0,99.0
2014-05-25,126.0,136.0,126.0,127.0,130165000,47260,2,99.0,136.0
2014-05-26,136.0,136.0,136.0,136.0,46580500,15790,1,127.0,136.0
2014-05-28,138.0,138.0,136.0,137.0,102178000,34326,7,136.0,136.0
2014-06-01,136.0,136.0,136.0,136.0,295000,100,1,137.0,136.0
2014-06-02,136.0,136.0,136.0,136.0,885000,300,1,136.0,136.0
2014-06-03,126.0,127.0,126.0,126.0,893955000,325000,12,136.0,126.0
2014-06-09,134.0,134.0,134.0,134.0,598600,205,2,126.0,134.0
2014-06-15,131.0,131.0,129.0,129.0,780052500,278590,4,134.0,129.0
2014-06-16,110.0,110.0,110.0,110.0,1440000000,600000,1,129.0,110.0
2014-06-18,110.0,110.0,110.0,110.0,6912000000,2880000,1,110.0,110.0
2014-07-02,110.0,110.0,108.0,108.0,47416000,21120,4,110.0,110.0
2014-07-08,101.0,101.0,101.0,101.0,78086880,37008,1,108.0,101.0
