date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-02-05,1261.0,1261.0,1191.0,1253.0,3267063175,2435992,277,934.0,1191.0
2012-02-06,1190.0,1190.0,1190.0,1190.0,254800,200,1,1253.0,1190.0
2012-02-07,1131.0,1131.0,1131.0,1131.0,121100,100,1,1190.0,1131.0
2012-02-08,1075.0,1075.0,1075.0,1075.0,115100,100,1,1131.0,1075.0
2012-02-12,1022.0,1112.0,1022.0,1029.0,322947400,293200,57,1075.0,1029.0
2012-02-29,977.0,1080.0,977.0,977.0,52313092,50002,15,1029.0,977.0
2012-03-03,934.0,972.0,929.0,930.0,544030536,546545,543,977.0,934.0
2012-03-04,884.0,961.0,884.0,917.0,45883777,46744,10,930.0,884.0
2012-03-05,872.0,872.0,872.0,872.0,933000,1000,1,917.0,872.0
2012-03-06,829.0,829.0,829.0,829.0,22175000,25000,6,872.0,829.0
2012-03-07,788.0,869.0,788.0,788.0,20325000,24100,8,829.0,869.0
2012-03-10,749.0,827.0,749.0,826.0,16815522405,19022153,17,788.0,827.0
2012-03-11,825.0,825.0,825.0,825.0,3053387510,3457970,25,826.0,825.0
2012-03-12,784.0,784.0,784.0,784.0,1891945,2255,1,825.0,784.0
2012-03-14,746.0,746.0,746.0,746.0,19950000,25000,5,784.0,746.0
2012-03-18,709.0,709.0,709.0,709.0,22770000,30000,5,746.0,709.0
2012-03-24,744.0,744.0,744.0,744.0,77450800,97300,12,709.0,744.0
2012-03-25,747.0,780.0,747.0,762.0,122450000,150000,34,744.0,780.0
2012-03-26,794.0,800.0,794.0,797.0,162030000,190000,29,762.0,800.0
2012-03-27,836.0,836.0,836.0,836.0,80550000,90000,10,797.0,836.0
2012-03-28,875.0,875.0,875.0,875.0,9370,10,1,836.0,875.0
2012-04-02,916.0,916.0,916.0,916.0,9800,10,1,875.0,916.0
2012-04-03,960.0,960.0,960.0,960.0,1028,1,1,916.0,960.0
2012-04-04,1008.0,1008.0,1008.0,1008.0,1079,1,1,960.0,1008.0
2012-05-02,959.0,959.0,959.0,959.0,102600,100,1,1008.0,959.0
2012-05-05,934.0,934.0,934.0,934.0,800000000,800000,99,959.0,934.0
2012-05-06,934.0,934.0,934.0,934.0,347834000,347834,127,934.0,934.0
2012-05-07,934.0,934.0,934.0,934.0,50000,50,1,934.0,934.0
2012-05-08,934.0,934.0,934.0,934.0,20950000,20950,3,934.0,934.0
2012-05-12,934.0,934.0,934.0,934.0,27800000,27800,3,934.0,934.0
2012-05-14,934.0,934.0,934.0,934.0,35000000,35000,2,934.0,934.0
2012-05-16,934.0,934.0,934.0,934.0,7200000,7200,1,934.0,934.0
2012-06-12,934.0,934.0,934.0,934.0,23000000,23000,3,934.0,934.0
2012-06-19,934.0,934.0,934.0,934.0,88700000,88700,7,934.0,934.0
2012-07-01,934.0,934.0,934.0,934.0,150000000,150000,3,934.0,934.0
2012-07-09,888.0,888.0,888.0,888.0,42749050,44999,6,934.0,888.0
2012-07-10,932.0,932.0,932.0,932.0,49850000,50000,7,888.0,932.0
2012-07-14,934.0,934.0,934.0,934.0,4999000,4999,1,932.0,934.0
2012-07-30,942.0,942.0,942.0,942.0,2476656,2457,1,934.0,942.0
2012-09-24,938.0,938.0,938.0,941.0,100000000,100000,10,942.0,938.0
2012-09-25,938.0,938.0,938.0,941.0,10000000,10000,1,941.0,938.0
2012-09-29,938.0,938.0,938.0,941.0,30000000,30000,3,941.0,938.0
2012-10-06,938.0,938.0,938.0,941.0,300000,300,1,941.0,938.0
2012-10-15,940.0,940.0,940.0,941.0,6012000,6000,1,941.0,940.0
2012-10-16,938.0,938.0,938.0,941.0,10000000,10000,1,941.0,938.0
2012-10-22,938.0,938.0,938.0,941.0,7300000,7300,1,941.0,938.0
2012-10-24,938.0,938.0,938.0,941.0,15000000,15000,2,941.0,938.0
2012-10-29,938.0,938.0,938.0,941.0,15000000,15000,2,941.0,938.0
2012-10-30,941.0,941.0,941.0,941.0,3009000,3000,1,941.0,941.0
2012-11-04,941.0,941.0,938.0,941.0,15023730,15000,3,941.0,938.0
2012-11-06,938.0,938.0,938.0,941.0,15000000,15000,3,941.0,938.0
2012-11-27,938.0,938.0,938.0,941.0,10910000,10910,2,941.0,938.0
2013-02-12,938.0,938.0,938.0,941.0,50000000,50000,1,941.0,938.0
2013-02-25,948.0,948.0,947.0,941.0,3031000,3000,2,941.0,947.0
2013-03-11,941.0,941.0,941.0,941.0,1003000,1000,1,941.0,941.0
2013-03-13,941.0,941.0,941.0,941.0,30090000,30000,3,941.0,941.0
2013-03-17,941.0,941.0,941.0,941.0,11033000,11000,2,941.0,941.0
2013-04-28,997.0,997.0,996.0,942.0,5312000,5000,2,941.0,996.0
2013-04-29,1126.0,1126.0,940.0,942.0,5012376,5000,2,942.0,940.0
2013-05-01,939.0,939.0,939.0,942.0,12012,12,1,942.0,939.0
2013-05-26,939.0,939.0,938.0,942.0,12008485,12000,3,942.0,938.0
2013-05-27,942.0,942.0,942.0,942.0,3012000,3000,1,942.0,942.0
2013-06-02,938.0,938.0,938.0,941.0,52000000,52000,4,942.0,938.0
2013-06-16,941.0,941.0,941.0,941.0,5002964,4988,1,941.0,941.0
2013-06-25,1004.0,1004.0,985.0,943.0,8528160,8000,3,941.0,985.0
2013-07-24,1400.0,1400.0,1400.0,943.0,74650,50,2,943.0,1400.0
2013-08-12,939.0,939.0,939.0,943.0,2002000,2000,1,943.0,939.0
2013-09-16,952.0,952.0,952.0,952.0,326830000,322000,9,943.0,952.0
2013-09-17,999.0,999.0,999.0,999.0,1065000,1000,1,952.0,999.0
2013-09-21,957.0,957.0,949.0,955.0,29508000,29000,3,999.0,949.0
2013-09-23,938.0,938.0,938.0,938.0,5000000,5000,2,955.0,938.0
2013-09-29,940.0,940.0,940.0,940.0,501000,500,1,938.0,940.0
2013-10-07,940.0,940.0,940.0,940.0,7314600,7300,2,940.0,940.0
2013-10-19,987.0,987.0,987.0,987.0,5260000,5000,1,940.0,987.0
2013-10-27,1036.0,1036.0,1036.0,1036.0,256199760,232065,16,987.0,1036.0
2013-10-28,1087.0,1087.0,1018.0,1084.0,251527500,217500,8,1036.0,1018.0
2013-10-29,1033.0,1033.0,1033.0,1033.0,44040000,40000,5,1084.0,1033.0
2013-10-30,1084.0,1084.0,981.0,1027.0,250823592,229032,16,1033.0,981.0
2013-11-04,976.0,976.0,976.0,976.0,16656000,16000,4,1027.0,976.0
2013-11-05,939.0,939.0,929.0,938.0,319900000,320000,11,976.0,929.0
2013-11-06,938.0,938.0,938.0,938.0,87000000,87000,20,938.0,938.0
2013-11-09,938.0,938.0,938.0,938.0,6575000,6575,2,938.0,938.0
2013-11-10,937.0,937.0,937.0,937.0,12987000,13000,2,938.0,937.0
2013-11-11,891.0,891.0,891.0,891.0,100890000,106200,6,937.0,891.0
2013-11-23,938.0,1032.0,937.0,928.0,188480000,185800,15,891.0,937.0
2013-11-24,949.0,1126.0,949.0,998.0,152397272,130601,14,928.0,1126.0
2013-11-25,1048.0,1048.0,1048.0,1048.0,893600000,800000,30,998.0,1048.0
2013-11-26,1099.0,1099.0,1099.0,1099.0,23440000,20000,2,1048.0,1099.0
2013-11-27,1154.0,1154.0,1154.0,1154.0,98400000,80000,2,1099.0,1154.0
2013-11-30,1211.0,1211.0,1211.0,1211.0,6455000,5000,1,1154.0,1211.0
2013-12-01,1271.0,1271.0,1271.0,1271.0,67750000,50000,5,1211.0,1271.0
2013-12-04,1334.0,1334.0,1334.0,1334.0,2779341660,1954530,104,1271.0,1334.0
